af014bbf20	ආස්වාදය සොයමින් වෙහෙසට පත්වන්නේය.
af20e75c1e	එය දිර්ඝ කාලීන පිරිවැය සමඟ සැසදීමේදී
af21804265	එමෙන්ම පෘතග්ජන සිරකරුවාට ද,
af219f1329	මම ඔයාලගෙන් සමාව ඉල්ලනවා
af21cd0435	වත්ත පල්ලෙහා ගසකින් කපා ගන්නා ලද
af21ddc215	එම සිරුර ඉවත් කිරීම
af21fcce27	උප ප්‍රධාන චරිතත් රඟපෑවා
af227a163c	සිවුරු දාගෙන දැන් කරන්නේ ජරා වැඩ
af22a97aa4	ගෙනියන්න පුලුවන් නෙව
af22bbe803	තමන් විසින් සිදුකරනු ලබන කර්ම මත රැඳේ
af22e4e1c4	මෙවන් කෘති විශාල ප්‍රමාණයක්
af238fe50e	පහනේ තෙල් ගෙන ගොස්
af241e7de7	ඔබේ සිතුම් පැතුම් බොහෝ දුරට
af242dcdd6	එයාගෙ සුවඳ කඳු වළලු හතක්
af24acb36c	ඇත්තටම අපි අතර කවදාවත් තරහක් මරහක් තිබිලා නෑ.
af24c92d19	දන්ත ධාතුව සුරක්ෂිතව තියන්න තැනක්.
af24ee01bb	අනේ විමලෝ
af251aacbe	බුදුරජාණන් වහන්සේ නමක් පහළ වුණ කාරණය තමයි
af25b451a8	මහාවංශ ඉතිහාසයෙන් සනාථ වෙයි.
af25dfdc4a	භෞතිකමය සශ්‍රීකත්වයක්
af26594aca	ඒත් ඔහු ගේ මුල් ම නවකතාව
af27816dcc	එක එක කතන්දර හදන්නේ
af278640a5	ඒත් තව මේකට
af27d9d3e0	ඌව වෙල්ලස්ස පදනම් කරගත්
af27dfb0bf	පස් අවුරුදු දස අවුරුදු සැළසුම් ගැහුවද?
af28183660	මෙම ආහාර වර්ග සතරම
af284da3db	කනවා කියන
af2964b34a	අභ්‍යවකාශය තුල ගොඩ නැගුනු
af29d84f21	නීති පොතද අලූත් කරමිනි
af2a2964a6	නමුත් එය භාවිතා කරන විට
af2a64b44d	ඌරු පැටියා වෘකයාව තම්බලා කනවා
af2a8bac5a	විවිධ මාන කිහිපයකින්
af2b84ede0	හැකියාවක් තිබුණේ කෙසේද
af2bc89a38	අප්‍රිකාවේ ප්‍රයෝජනයට යෙදිය හැකි විය
af2c23c44b	එබැවින් බෞද්ධයනට ද
af2c898b53	උපාසකය, ඔබ මේ අත්බවයෙහි
af2d318c82	ලේසියෙන් පරාජයක් බාර ගන්න අකමැති බවයි.
af2d3f71d2	මීගමුව රෝහලේ සිට රාගම රෝහලට ගෙන යන අතර වාරයේදී ඇය මිය ගියාය.
af2d7b09b5	හරි වැරැද්ද මොකද්ද කියල
af2d856d92	හැකියාවක් තිබුණේ කෙසේද
af2f28ca6b	සේවකයින්ගේ සුවදුක් විමසා
af2f659d8d	පැහැදිලි එකඟතාවයක් නොමැති වාතාවරණයකි.
af2fad2035	හැත්තෑ පහක් කිව්වේ
af301638a6	බොහෝ සූත්‍ර ධර්ම දේශනා කොට ඇත්තේ
af3092cad7	එය අපි හැමෝම භාවිත කරන
af311f42d2	තමන්ගෙ කතාවෙ වීරයා
af32676410	මට ෆේක් බුකියේ වෙච්ච අල කලංචියක් කියාගෙන
af32851287	එය අසා වහා දිව ආ ආරක්‍ෂකයෝ
af336f8aa1	ඉතිං ඕක දැකලා දැකලා හිතුවා
af344f8b79	ඒත් මගේ පරක්කුව නිසා
af34630503	free music downloads
af3471b62e	අපේ බබා ලිපි පෙළ ඉදිරියටත්
af347c644e	තියටර් එකෙන් දෙන කම්පනය වැනි කම්පනයක්
af3495a884	මෙම දෝෂය ඉක්මනින් නිවැරදි කිරීමට හැකි බව
af34b5640f	අපි හැමෝම තුළ හොඳ සහ නරක කට හරියටම තියෙනවා.
af34fdac03	සොන්යා ගේ අභිරහස් ගමනක් ගැනයි.
af35dbef63	ඒත් එකේ හරහට ඉන්නේ
af365061ff	එබැවින් පාත්‍රය
af36785f1a	අමාරුම දේ
af368fbf9a	පංතිමය සන්ධානයන්ගේ ස්වරූපය
af36967ae6	අනික මේක ගොඩක්වගේ
af36cdd7b9	සියලු දෙනා වෙනුවෙන්
af36ed2940	අනුගත නොවන ස්ථාවරයක පසුවිය යුතු වීම
af37a74747	එයාව හමුවන්න දකින්න ඇවිත් යන්න එන්න කියලා
af393e591e	ස්තූතියි සබ් ලබා ලබා දුන්නට
af396fbd65	මතුවන ප්‍රශ්ණයක් පමණයි
af3aad15df	එතකොට අපි සරණ ගියේ අන්න ඒ ශ්‍රාවක සංඝරත්නයයි
af3ae606d2	කෝට්ටේ වැනසෙන සමයේ
af3bac14c5	වැඩි කරන්න අද කියලා හෙට බෑ.
af3be25bf2	බෞද්ධ කතා කලාව තුළින්
af3cd0b33f	ජනතාවට සිදු වූයේ
af3e1b968c	සිංහලට අනුවදන්නේ නැහැ.
af3e3c269c	තාම කිව්වේ නැහැනේ
af3e95c349	වල් වැදී ඇති බව නොදන්නා බවය
af3ebd5669	බුදුන්වහන්සේගේම නියමයක් නොවේ.
af3ebdad8f	වෙළෙඳ ව්‍යාපාරිකයන්ට ලාභ ලබාගත හැකි දවසකි.
af3f1e16c3	ඇයි ළිඳේ පැන්නේ
af3ff79d00	අන්තිම කැමැත්තට අනුව
af3ffa7f22	මේ සියල්ල එක් වූ කල්හි
af402d7e62	ලෝක ධර්මයයයි.
af40528fb2	මීළඟ පෝය ඔක්තෝබර් මස 18 වෙනිදා සිකුරාදා ය.
af40a2bece	ඔහු තම පාලනය ස්ථාපිත කිරිම
af412774dc	එතකොට ඔබ වගේ දරුවෙක් බිහි කල
af41a3700a	මුදල් යොදවා කරන මොනයම් හෝ කටයුතුවලින් පාඩු ගෙනදිය හැකි අතර
af420933e9	අලියා ඇයි
af4261cd56	ගරුතර මහා සංඝ රත්නයේ ඔවදන් පිළිපැද
af428174f1	එතකොට මගේ අදහස්
af43138a5f	පැතිරෙන්න පටන් ගත්තා
af43ad629d	sirasafm
af4410e6f2	හැබැයි ඒ කවුරුවත්
af4430cc9a	වචනවල තේරුම වෙනස් වෙනවා
af4482bf08	meemessa
af44efeca3	ජයගත් බවත් එහිදී ඉහළ නිලධාරීන්ට වඩා
af452c4e65	එම සංචාරක යුවළ ඉමහත් කලකිරීමට පත්ව ඇත
af45409748	අපි දෙන්න කොහොමද
af4609088e	හැබැයි ඒවා මේ විදියට කතා කරන්න
af461787dd	එබැවින් අද අපට
af46b5c64f	වැඩ වලින් මඟ අරින අමනයින්ට නං
af470e16ff	ඔයාලගෙ පස්සෙනුත් ඒවායේ විපාක පැමිණේවි.
af4731fd39	අතපය ඉදිරියට දානවා
af474e2ef5	මීට අමතරව හඳගමගේ සිනමාත්මක භාෂාවට හසුවන ගැහැණියක් සිටී.
af47508bbf	ඝාතනය කළ කුරිරු පාලකයාගෙන්
af496473e0	යන දෙගිඩියාවෙන් ඉන්නෙ.
af49a40745	රත්මලාන ධර්ම පර්යේෂණායතනයේ අධ්‍යක්ෂ
af49ab835c	විශේෂ සම්මන්ත්‍රණ වැඩමුළු පැවැත්වීමටත්
af49dd9c09	පසුව බලන්නේ
af4a65d2f2	එහි තැන්පත් කර තිබේ.
af4aa083e3	කියනු ලැබේ.
af4b0f232d	අම්මව බලා ගන්නේ කවන්නේ
af4b6e5847	එවිට ඹබට සැනසීමෙන්
af4b716184	එම දුක් අඳෝනා අසා
af4c5d43c2	මේක මගේ ෂෝක් මටම ෂෝක්ද?
af4cad259e	අනෙත් කටයුතු සොයා බලන්ඩ
af4d74be01	මෙම අනුපස්සනාව ද ප්‍රගුණ කළ යුතු ය.
af4d9cd6fa	තම නිර්මාණයෙහි පඨිතමය අර්ථය පවා සිරකර තැබීමට
af4da7fe4b	nilantha
af4db7fdce	එක් අංශයක්
af4db97347	ඒවාට නොසැලී මුහුණ දුන්
af4dd4ef65	අද රංගන ශිල්පිනියක් කියන දේ සාමාන්‍ය එකක් වෙලා
af4e1e54cf	රාමායනය වනාහි ඉන්දියානුවන්ගේ මනදොල පිරවීම සඳහා
af4e4754fa	එම සාකච්ඡා සටහන්
af4eae1605	ඊට පෙර අධ්‍යාපනයට හිත යොමු කිරීම
af4ecb4629	ඔබ උනන්දු විය යුතුයි
af4f692530	වසර මිලියන ගණනාවක් ගතවෙනු ඇත
af5034c943	ඒ ලස්සන කාන්තාව
af5041604e	hotel info
af5090b655	මාධ්‍ය මගින් වාර්තා කෙරුණේ.
af50b726d6	etisalat.lk
af51352e7c	එබඳු කෙනෙක් කොපමණ කාලයක් ජීවත් වුනත්
af515dd5c7	ඉතින් ඊට වඩා හොයනවනම් බදු ගෙවන්න ඕනි.
af51617883	අනේ මට වෙදකම පුළුවන් වුනා නං
af5175c63f	අපේ තාත්තා පවත්වාගෙන යන දේවාලයට
af51a456b7	කවරෙන් එළියට අරන් බලනව
af51c2b7f6	මවුපියන් පෝෂණය කිරීමයි.
af524ff7b1	උදාහරණ වශයෙන් නම් සදහන් කල
af5315f0c8	දැක ගැනීමට ලැබේ.
af54935c51	රතුපස්වල ජල ප්‍රශ්නය ගැන
af54a2e416	අපේ ඉතිහාසය දන්න එකෙක්
af55438427	අසත්‍යයක් කීම ය.
af55442d51	ඉදින් භික්‍ෂුතෙම ඇස පිළිබඳ කලකිරීමෙන්
af556fec61	පිළිගන්න වෙනවා නේද?
af557fbe0d	සල්ලි තියෙද්දිම
af55d91759	ගල්කිස්ස ප්‍රදේශයේ මුහුදාසන්නයේ තිබුණ හෝටලයක් අසලයි.
af56232faf	එකළ බොහෝ සෙයින් ජනප්‍රසාදයට පත්
af56299c0b	තාක්ෂණයක් අවශ්‍ය වෙනවා.
af5635bf87	mattala air port
af56935992	කොළඹ දිස්ත්‍රික්කයේ එය ආරම්භ කරන්න
af572edfce	අධ්‍යාපනය ලබා ඇත්තේ
af57c70146	හෙළි වී ඇත.
af58ced08b	එලෙස රජ මැදුරේ කුමරියක වී
af590270a2	මල විකාරයක් අටවාගෙන
af596f4f32	මාර්ග වලට ප්‍රතිවිරුද්ධ පසින්
af59839d72	අද වෙනකොට
af59f3ea5a	මුළු මහත් සමාජයට ම පාඩුවකි.
af5a03a4a5	මේ වෙනුවෙන් සටනක
af5aa832ff	බීජ තුළ මෙම ආසනයිට්
af5ae7fce4	පදිංචිව සිටින ඒ අයටත් සාධාරණය ඉටු විය යුතුයි.
af5b9c14c8	lagna pala pala
af5c3b4530	ගල්පර අතර ඇවිද යාමේ දී පෑගුණහොත් මරණය සිදුවේ.
af5c40e904	ඉතා විශිෂ්ට අපූර්වතම නිර්මාණයකි.
af5c66aed9	අලුත් දෙයක් ගැන ලස්සන සටහනක්
af5c70ebf3	පිහිටා ඇත්තේ ද හවායි දූපත් සමූහයේය
af5c8f973d	සම්බුදු ධාතු නිධන් කර සෑදූ
af5c9ff1d6	කම්බි ටික එකතු කරනවා
af5d6e6dd7	ආයතනය පැහැදිලි ලෙසින්ම දේශපාලනීකරණය වන්නේය.
af5d8a1c66	අඩුගානේ මිනිහට පුළුවන් වෙන්න ඕන
af5e5c90c9	වෙන කිකිළියන් නැතුව
af5f0d0629	පිළිකුල් වෙලා තියෙන්නේ.
af5f1cd206	නඩු කියලා ජය ගත්තා.
af5f8a0098	නමුත් කැමති කැමති කෙනාට
af60927144	නීති ගත කරන එකට නම් මං විරුද්ධයි
af60e247ed	උපාදානය හෙවත් ස්කන්ධ පහ
af6112489e	යලිත් එවැන්නෙකු පහල වී ඇති බවට
af6140f3df	වෙනස් ප්‍රතික්‍රියා ඇති කරන බව
af61662abe	ඇඳුම් නැතුව.
af6183cf02	අපේ ඇඳුමේ තියෙන වටිනාකම තේරුම් කරලා දෙනවා.
af61999cc0	මුකුත් කියන්නේ නැහැනේ?
af619c9c19	තෙරුනේ නැතත් හින්දි සින්දු රසවිදින්නෙ
af61a6d3ad	එක ප්‍රධාන හේතුවක් තමයි
af61e9e290	ගොඩ නගා ගන්න බැරි ඒ නිසා.
af627ef61c	සියලු කරුණු කියා සිටියා.
af628b9264	විකට්ටුවට යන පන්දුවක්
af629fe9cf	පෞද්ගලීකරණය වූ අධ්‍යාපනය තුළ ඇත්තේ
af6333bad3	බුදුන් තෙවරක් ලංකාවට වැඩම කළා කියලා
af634a6be8	ඔබ ටිකෙන් ටික ජීවිතයට වුවමනා කරන
af6380a8fc	OL results
af63f9171e	ඒක ඔය දීලා තියන
af64b1cde6	සසර පුරුදු වශයෙන් සිදුවන ක්‍රියාකාරකම්
af64cb2f15	hd wallpapers
af64ef3181	බෙහෙත් ද්‍රව්‍ය ආනයනය කර බෙදාහරින ආයතනයක
af651d2ab2	ජනතාව සමග සිටින ලෙසයි
af653087e1	ඒත් කවුරුත්
af653ca188	කිව්වත් වරදක් නෑ
af65e29040	ඒ සුහදශීලීබව නිසාමයි.
af662e341c	හදල තියන තෑන නම් හොදයි
af666b4269	තිබෙන ප්‍රධාන දොරටුව ශ්‍රද්ධාවයි.
af66ace62e	ඊයෙ ආවාට මොකද
af66e1fe12	ඔබ සැමට ජය
af6713aa3e	මහත්තයෝ කිසි දෙයකට බයවෙන්න එපා.
af6761f1d8	fiat 131
af67ab4b70	අපිත් එක්ක කතා කළේ.
af67b2a32c	මම හිතන්නෙ.
af67c6f5c9	අපි හැමෝම සීතලෙන් බඩ ගින්නෙන් මිරිකිලා හිටියේ.
af67c700af	ඉතින් මේ චිත්‍රපටිය සුපිරි චිත්‍රපටියක්
af67ff9953	වෙන්න ඕනෙ.
af689b8e5e	නමුත් ඔහුට
af68baabc0	ඉස්කෝලෙ යනකොට ලාවට
af6919ef5d	කරුණාව, මෛත්‍රිය, දයාව අනුකම්පාව වගේ යහපත් ගතිගුණ
af69a6163f	මොකද උන්වහන්සේ ඇත්ත කියලා
af6a598f24	සාමාන්‍ය අධ්‍යාපනයක් ලබා ඇත්තෙකුට පවා
af6a84ca0b	මම ඒ ආරාධනාවට කැමති වුණා.
af6b664a43	අඩුම වශයෙන් දෙරට අතර ඇති වන ගැටුවකදී
af6bd19467	needle tatting
af6bddc599	එම පැහැදීම නිසා රජතුමා චත්තපාණී උපාසකතුමාට
af6c16cf2d	හෝමෝ ෆෝබියාවෙන් පෙලෙන අය
af6c68c360	login fb
af6cb6d9c7	මේකෙ ඉන්න නලු නිලියන් නම් එච්චර ප්‍රසිද්ධ අය නෙවෙයි.
af6d535299	විමර්ෂණාක්ෂියෙන් බැලීමේ වැදගත්කම වනුයේ එයයි
af6d58f163	මේ සඳහා මැනවින් යොදා ගෙන ඇත.
af6da7366f	ගිනිගෙන දැවෙන වියදඬු
af6dd0a657	වේදනාවෙන් විලාප නොදී
af6ebad695	ධර්ම දානය ලෙස
af6f8db494	අනික බොට කියන්න සබ් කරාට මොකෝ
af6fc0dfab	එක දවසක් තාවකාලික නවාතැනකදි
af702fbf4c	ලැබෙන දෙය වියදම් වී යෑම නිසා
af708684b2	මේකෙ තියෙන්නේ අයිතිවාසිකම්
af70c9cd16	තමා අද මේක ඕගොල්ලන්ට ගෙනාවේ.
af70eb43b0	අං පිල් දෙකෙහිම එක සමානද
af70f11f94	මොකද ආඅගම් හැම එකකම හැටියට
af7143b405	විහාර මන්දිරය තුළ සිතුවම් කර තිබේ.
af718ee416	action games
af71ab5e9a	කවදාවත් නොදැකපු කෙනෙකුට වුනත්
af71dd6a4a	රජතුමා උඩුමහල් තලයේ සිට
af725f22b4	ඒ දෙව්රම් වෙහෙරේමයි
af72994d31	වේලාවක් ඇති බව බැහැර කල හැකිද?
af72e92924	වඩා හොඳින් නිවැරැදිව හදාරා
af73e00357	හංවඩු ගැසීමට සූදානම් වීම නොවේ.
af7403bb89	“නාච්චිඅම්මා” කියල දෙවි කෙනෙක් විදිහට
af7422d51e	රාත්‍රී භේරි වාදන අවස්ථා
af744b659d	හැබැයි හරියට වෙදකම ලබලා
af74c94bb7	ඒක කරන්නේ
af75128873	මුහුදට කඩන් වැටෙනව.
af755a8b11	ඇයගේ කාලයේ කල දෑ
af75c05d34	තමන්ට වුනත්
af75eb1b3c	බඩුත් හාමුදුරුවන්ගේ නඩුත් හාමුදුරුවන්ගේ
af75eee0f2	අනේ අය අපායට ද යති.
af7619ee99	ඔබ මේ ගැටලුව දිහා බලන්නේ
af769b1d52	අප සමග අදහස් දැක්වූ රන්මැණිකා මහත්මිය
af7720a48e	මෙහි යොදුනක් උසැති
af7728b0ce	චිත්‍රපටය නරඹන්නේ නැතුවද?
af7759db74	සමාජය පෙළැඹවීමක් වැනි ය.
af77ab9d95	ඇති ගැටලුව වතුකරයේ අයට නොමැත
af77bd42a6	ඇතැම් බලපත්‍ර හිමියන්ට දඩ නියම කළ විට දඩ නොගෙවා සිටියි.
af7802aca4	ආනයනය කරනු ලබන බෝට්ටු
af78391791	ආරක්ෂක ලේකම්වරයා ප්‍රකාශ කරන්නට ඇත්තේ
af7875950d	මට කතා කරලා තියනවා.
af795e0b08	පැහැදීම තියෙන්නේ
af7a489e83	ඒත් භාග්‍යාව
af7a89bcf6	සිංහල අපිව දෝලාවේ තියල
af7adadcaf	ප්‍රායෝගික දේශනාවකි
af7b85a2da	පුරුෂ මූලික ගොඩනැඟීමක් නොවන්නේද?
af7ba59323	ඉබේම හුරු වූයේ නැත.
af7bb4f0f3	මං මේ විස්තරේට තිත තියන්නම්
af7d1e52f7	තවත් වසර බොහෝ ගණනක් ගතවෙනු ඇත
af7d32639e	නියමයි ඔෙහාම යං යං.
af7d8fb70c	hot tamil news
af7e0d2e4c	නියැලීමට කවුරුත් ඉදිරිපත් වන්නේ නැහැ.
af7e14bf7f	ලෝංහස්ට් වැනි පුරා විද්‍යාඥයෝ ප්‍රධාන තැනක් ගනිති.
af7e507dbf	ගඩොල් ගොඩක් පෙන්නලා
af7e61d268	දඹුල්ල පොලිස් ස්ථානයේ සිටය.
af7ed86333	sinhala songs image
af7f35215c	කරන දේම වෙන්න පුළුවන්.
af7fa34601	කර්මය වශයෙන් දැක්විය හැකි යි.
af7fd6a202	සංසාරයේ කරන ලද
af7ffc3812	මෙම ගාථාව
af80165759	කොල්ලෙක් නම් එක්කෝ සිගරට් එකක් බීමය.
af8059695a	ශ්‍රාවකත්වය පවසන්නට විය
af805a62e4	නාගදීපය වෙතය.
af809911ff	අදද භික්ෂූන් වහන්සේ
af80e4b134	අමාත්‍යවරයා එසේ පැවසුයේ
af81080750	වයස්ගත වීමක් නොවෙයි.
af810c650d	අනියම් සබඳතා පවත්වන්නවුන්ට මේ සිදුවීම
af819d33f0	එම ස්ථාන වලදී
af81b9c6a6	මේ රජය යටතේ නිවැරදි පරිදි
af82d80490	සක්සුදක් සේ විශ්වාසයි.
af8316f890	මානසිකව ඔත්පල වී
af831ec83a	ඵලග්ග පිරිවෙන, දීඝසන්ද පිරිවෙන ආදියයි.
af833784b4	clay products in sri lanka
af853968b8	අද්භූත සිද්ධීන්ගෙන් වෙළි පවතී.
af85dee67d	සංයුක්ත නිකායෙහි සඳහන් වෙයි.
af85f69421	වරින් වර අල්ලගෙන යනව.
af869dcb6c	පෙරටුගාමීවන බවයි.
af86c4af57	විශේෂ තුනක්
af872ce7a5	නමුත් මේ සංකල්පය
af87584333	තවත් සොදුරු අත්දැකීම් සමූහයකින්ද සන්නද්ධව
af87670bf1	ඒ දේශනාව ශ්‍රවණය කළා.
af87d85e99	මේවා බල බල තවත් තොපි වෙනුවෙන් කතා කරන්න
af881bac5e	ගබඩාවෙන් ගෙනා අලූත්ම කොට්ට මෙට්ට
af88fb222f	බුදු දහමේ සැබෑ පරමර්ථය මේ ලෝකය විනාශ කිරීමයි.
af8971bd44	මෙම නවකතාව ප්‍රබන්ධ කර තිබෙයි.
af89a311f7	ඉතා ඈතක සිට වුව ද
af89cb5bd5	මම ප්‍රාර්ථනා කරමි.
af89cc2485	පාසැලක් වෙත ගොස් ඇරලනවා.
af8a590c64	සීමාව නොඉක්මවා
af8a81d556	සාර්ථක බ්ලොග් කරුවෙක් වෙන්න
af8b157119	මම ඉහලින්ම අගය කරනවා
af8b360c7d	එය උදා වී ඇත්තේ අප කිසිවෙකුත් නිසා නොව
af8b667fd6	ඩේවිඩ්ගෙන් උදව්වක් ලබා ගන්නයි
af8b975791	හැබැයි සම්බෝල මැල්ලුම් වලට නම් පොල් ඕනෑමයි.
af8bcc2e1d	අන්ධ භක්තිකයන් විශ්වාස කරන්නේ
af8be3fa53	ඔයාලා හය දෙනා තීරණය කිරීම.
af8be6a635	තෙල් තාච්චියට අත දැම්මොත්
af8cb19218	ඉතින් එක එක්කෙනා තම තමන්ගේ භාජනවල ප්‍රමාණයට
af8ccf0c7c	උගත් බුද්ධිමත් උසස් පුද්ගලයන් රැවටීම
af8d268ed0	ආරක්ෂකයා ලෙස පෙනීසිටි
af8e1c8210	එම අදහස් ආරෝපණය කළේ එනිසාවෙනි.
af8e61f944	ඵල බරිත ගසකට උපමා කර ඇත.
af8eb4c6f4	බ්ල්ලො දාල හොයා ගත්තු සියළු දෙනාම
af8ee3a820	සසර දුකින් මිදී
af8ee6f2e6	ඔය වචන ටිකක් එහා මෙහා කරලා
af8f538102	අපි දර්ශන තලයේදී කතා කළේ ඇස්වලින්.
af8fb0639d	මේ අතර වාරයේදි
af9085ca6f	තරුණ අය මං වගේ
af91196599	ආහාරයෙන් හෙයින්
af91c79880	මේ පින්වතුන් දන්නවා
af91c8891b	අප ඔවුන් දෙදෙනා සමග
af92741384	ශාපලත් යුද්ධය දක්වා
af92d544e3	ඒගොල්ලො සූදානම් නෑ
af92e90d24	ඉහතින් සටහන් කරන්නට යෙදුන
af9345df1d	නමුත් අද කතාවට ආක්‍රමණය කියන නම තිබ්බේ
af93aa697a	පෙරහරේ ගමන් කිරීමයි.
af93e5dcaf	අපට ලැබෙන්නේ මේ වගේ
af94ac3ec6	මොකක්ද යකෝ වික්ටර් රත්නායකගේ ලෝකෙට පරකාසේ කියන්නේ.
af94ad4d0e	වික්‍රමසිංහ පැමිණ පොල් වලවල් කැපීම
af94eaf78f	අමාත්‍යවරයා සඳහන් කළේය
af954be113	අරාබි වසන්තයේ ප්‍රතිඵල උදුරා ගැන්ම
af954f079b	වසර සියයක් පමණ වූ කළ
af955bb54a	සේවාව පිළිබඳව අධීක්ෂණයක්ද සිදුකළ යුතුව ඇත
af9571ac9b	සලකනු ලැබීමට ඇති අයිතිය වෙනුවෙන්
af9656db47	අනුන්ගේ සැපයෙහි සතුටු වීම නම්
