7200a8ee6c	අනාපානසතියේ පළමු පියවර
7223028590	විජේවීර ජවිපෙ බිහි කලේ.
72239937b4	ස්තුතියි
72244b90a5	අන්ධබාල පෘථග්ජන භාවයෙන්
7224728ad1	විපාක දෙනු ලබන කර්ම ද වේ.
7224b7b705	අසීමිත වනය නිජබිම වූ
72256d58cd	මුහුණට මුහුණ සිටින සේ මළ සිරුරු එල්ලී තිබී ඇත
72257f4508	ඉතින් ඕන මෝඩයෙකුට තේරෙනව නේද
7225b5bbcd	ලෙස රංගනයේ යෙදුනි
7225da9dae	වඩාත් කුසල් වර්ධනය වේ.
7225e9f429	ඇස් තිබිච්ච ඔක්කොම දැක්ක
72260ca442	උපකාරී වන බව කල්පනා කිරීම සුදුසුය.
72262d9e27	අප නිවසට ඇතුළු වී
722722ba1d	මුළු සමාජ පිට පටවන එක වැරදිය
7227704273	කැඩපතක් බඳු විය.
7227bf38aa	ගිහි පින්වතුනට යම් විවේක කාලයක් තිබුණු බව ප්‍රකටය.
7227d7dff5	එක් කාරුණික ගැහැණියක් ආදරෙන් මාව අහුලාගෙන
72286c8456	සමාජ ගැටුම් අවුල් ඇති වෙයි
7228772143	අවධානයකින් සිටීම යහපත්ය.
72288fa203	එතකොට ඔබට පුළුවනි
722952724b	ඒකාකාරී චරිත රාමුවකට
7229bf482f	උඹේ චොයිස් එකක් තෝර ගනිං
722a6aa54d	අර ගල උඩ වතුර ටැංකියට
722aca9a41	about sinhala rock
722b29f75b	මේ මහා පෘථවිය ඊට සාක්ෂි දරණු ඇතැයි
722ba46964	රන් කුකුළට නැහැ කීවා
722c2a943e	අපට උරුම කරගත්තු දෙයක්.
722c5d5979	ගමේ මිනිස්‌සු එක්‌ක කතා කළොත්
722c94017c	ඔය ලංකාවෙ එවුන්ගෙ
722d86661c	කතාවට විතරක් සීමා වෙනවා.
722d98afcf	දෙමල සමාජය පුරාවටම සමජාතියව නෑ.
722dd50fe3	නමක් හැටියට ඔප්පු වෙනවලු
722de6e406	ඒ අයුරින්ම පවත්වා ගෙන ඒමට ගත් උත්සාහය
722e8e6057	එක එකා ඇවිල්ල
722ea16c2b	කොළඹ සිට උතුරටත්
722edd3ace	හැබැයි යමක් හොයාගෙන
722f0e4ecf	ඇනා සහ ජෝයි දෙන්නට ඕනේ වෙනවා
722f8d2df6	එය විධිමත් වූවක් නොවන බවත්
722fb5df05	සඳ පෘථීවියේ ධනය
72302b0d33	දරුවාට දුක් පිණිස වන්නේය.
7230c16425	සිංහල බුද්ධාගම යනු
7230c702a0	පුංචි බංකුවක් හරිගස්ස ගන්න
7230e0e5da	නවක වදය දීමේදී
7230f33482	තරමක් අපලයි.
7230f63654	එම ප්‍රකාශය පිළිබඳව
72311283e2	මොවුන් සෑවොම
72317ec98d	එනම් සූර්යයා මීන රාශියෙන් නික්මෙන්නේ
7232aaf1f9	මෙසේ කියන්නේ.
72339734fe	සුදුසු තනතුරු ප්‍රදානය කළහ.
7234577e91	ගබඩා හිස් කරන්න ඕන නිසා.
72346cc162	සැමවිටම මිනිසා සම්බන්ධව
723490907a	අනිත් පත්තර ගැන කවර කතාද
7234beb714	මොන විදිහේ කෙනෙක්ද?
7234c496d6	හල්දුම්මුල්ල ප්‍රදේශයේ සිදු කෙරෙන කැණීම් මගින්
7234f9472f	මගේ ඌරු කතාවත් දාන්න
723521ce21	ඔබ සියලු දෙනාටම මාගේ ස්තුතිය!
7235db276a	අද ලෝක‍යේ
7236384aef	සම්පූර්ණ වන්නට ඕනෑ බව.
7237012834	පාලි ත්‍රිපිටකයේ උන්නතිය උදෙසා
7237dedb10	මින් මොන පුතාටද කියල නම්
7238d26010	අලි ගැනීමේ දී
72393816f3	සමහර විට ගණිකාවක් වුවත්
723a0e519a	ඔබ වහන්සේ අනුන්ගේ සිත් රිදෙන,
723a293874	sinhala nisades
723a9e5d46	වැරදි නොකිරීම ප්‍රධානයි
723ad5e283	බෝතල් වලට ජලය පුරවා ගැනීම
723b48d82d	උසට විහිදුණු තේ ගස්
723b70c225	ඇය ළමා රෝග විශේෂඥ
723b94837f	එනිසා පිරිමි සතුන් නඩත්තුව
723cb70fcc	මේක නම් අප්‍රියෙල් පලමුවෙනිද
723d21a3dc	මගේ සරදම් බස් හොඳින් හඳුනති.
723de53781	ඒකත් දැනගන්නවා.
723e0791f0	ගොඩක් දෙනා මට කිව්වා
723e290ce6	යම් ප්‍රතිලාභයකට එරහිව නැගී සිටිති
723edaef9c	ඒත් සෝනියෝ
723ef39535	මොකද මගදී මාත් එක්ක කතා කරන හැමෝටම
723efc9502	මේකී තර්ක ගොඩනැගෙන්නේ
723f4115b8	දේශපාලන පැත්තෙන්
723f76d0a3	විනිවිද භාවයක් නැත යන්නයි.
723fca709f	බුදුරජාණන් වහන්සේ සඟ පිරිසත් එක්ක
7240215b81	එහෙත් ඔහු අසන දෙය
7240297df2	දරුවා තුළ
724042ad8c	ඔබේ දියණිය පවා පවසන බව
72405b849a	එම සර්වඥධාතු සමසේ බෙදා දෙන ලෙස
7240e9b945	විමසමින් බලමින් සිටින විට
7240f46aff	චීනෙ තමා දෑන් ඉදිරියෙන් ඉන්නෙ කියල.
72414b6ae3	එහෙත් ඔබ මාර්ගයට අතර මගින් පිවිස
7241cd70e0	එතැන පරීක්ෂණ සඳහා පැමිණි සිටි
7241edc4f7	නඩත්තු කිරීම
724217b32b	දොරක් නැති ටොයිලට් එක මෙහා පැත්තේ
724225bb40	සිව් වසරක කාලයක් ගතවේ යැයි සිතන්න
7244312eef	පැහැදිලිව ම පෙනෙයි.
7245195d7d	අද අපි මෙහෙම ඉන්න හොඳ දේක ප්‍රතිපල නිසානේ
7245380a75	මල් පූජා කිරීම
7245ac07ac	කොටසක් දුටුවෙමි
7245c0c775	bike games
72462a0748	ඒ වුණාට පස්සේ කාලෙක
72466911d6	ප්‍රාරම්භකයා තමයි මේ කතාවේ දුෂ්ඨයා වෙන්න ඕනේ
7246f2f599	චරිතයට සම කරන්න පුලුවන් කෙනෙක් නැති නිසා.
72473443d2	එහෙම අයෙක් කිසි දිනෙක
72482b3e78	ගාමිණී සර්
7248475db7	පිනුම් කාරයෙක් ගත්තොත්
724884304b	ගතට සුවයක් දැනෙ යි.
7248a83377	අනිත් පැත්ත ජලයෙන් යටවෙනවා
7248cb1c59	සෞඛ්‍ය අමාත්‍යාංශය කියා සිටිය
7249d0a260	මිනිසුන් සහ සතුන්ද මීට අනුකූලව නිර්මාණය වී ඇත.
7249e4ac2a	ඒක මාක්ස්වාදයත් එක්ක
7249ff2e20	you tube mother Mary
724a1e6e8b	හැම කෙනෙක්ම කිසියම් ආකාරයක
724a2add30	බොහොම සරලයි නේ
724ab8e3af	අපහසු ගමන ද ජීවිතයට එකතු කරන්නේ
724af8b22b	ප්‍රහාණය වන්නේ, අරහත් ඵලයට පත් වීමෙනි.
724b4fe063	මේ පූජාව විනය නීති සමුදායකට සම්බන්ධ වීමත්
724b823f65	එබැවින් අවිහිංසාව සද්ධාව, භක්තිය හා
724c8a5696	සෑහෙන කාලකට පස්සෙනෙ
724d0be9e1	උන් කරන්නේ පාර දිගේ යන සංචාරකයන්ට හොඬ පා
724d32c1ad	ගහන්න ඒවා නැතිවෙනකොට
724d7f813b	ඔහු දුකට පත්වේ.
724d8afc49	එයා තමයි මාරියා.
724d9d0e32	මිනිසා බිහිකරගත් සියලුම භාෂාවල ඇත්තේ
724e146da3	සමහර පලාත් වල ක්‍රියාත්මක වෙනවා.
724f5f03dc	ගමන සදහා ඔවුන්ගෙන් ලැබුණු සහය
72501aa391	එතුමා මේ රට පංච මහා බල කේන්ද්‍රයක් බවට පත් කරනවා
72509d7f99	දිය කදුර සුන්දරව ගලායමින් තිබුණා
72510416c5	"සැමුවෙල් බෙකට්ගේ ""ගොඩෝ එනකං"""
7251698d5e	එබැවින්, ඔබ මේ ගැන සිතමින්
7251d3bece	මොනරවිල කැප්පෙටිපොල වූයේ
7251eebaeb	ඉතාම අගනා ශ්‍රේෂ්ඨ අවස්ථාවක්.
72520f22fa	එදා ඔවුන් මා දුටුයේ
72525389e1	ඔහු සඳහන් කරයි
725285eeae	තාත්තා ඉන්නේ එහෙ වෙන්න ඇති කියලා
7252a38fa2	උන්වහන්සේගෙ පැවැත්ම ඉතා සිත්කලුයි.
7252d5ce3d	ඔහු පියවර ගත් නිසා
7252fca493	නමුත් ඉංග්‍රීසි මාධ්‍යයෙන්
725356fde5	එම ඇමරිකානු කණ්ඩායම
72537d295d	තමා සමග යළිදු සංවාදයක
7253c8d2d0	බලන්ඩ ඕනෙ මේකත්
7254743741	වැලි අතරින් වතුර ‍ගෙනියන්න
72547811f3	ලබා ගැනීම සඳහා වෙහෙසෙයි.
7254e5a0cc	අපට අපේ සොයුරන්ගේ ආරක්ෂකයන් වෙන්නට
725559bf77	ඊට කලින් ඒ ජාතියට තියෙන නමට
7256312c76	එහෙනම් ඔන්න ඔයාලට ඉතිරි කරනවා
72564bca7c	අතුපතර විහිදුන අඹ ගස් වලින් සිසිල් සෙවන ලැබෙනවා
72569729f5	බොහෝම ස්තූතියි
7256d77ede	අනුව බැලූ කළ
72570e3c6d	අර පුණ්‍යවන්තයින් වරින් වර මිනිස් ලොවට පැමිණ
72584dec00	දැන් ඉන්නෙ එහෙම හැලිලා.
72589c366b	දා පටන් දුටු දේ ආවර්ජනා කෙරේ.
72596b2b6d	නොදන්න දේවල් නොකියා ඉඳිමුද?
725977c4e7	කෝච්චියට බස් එකට සමුපකාරේට ඉස්පිරිතාලෙට ආදී
7259f8ec6f	මමත් මග බලන් ඉන්නවා.
725a3c643a	දැන් නම් එහෙම කියන්න
725ab3090f	සකසා තිබීම විශේෂත්වයකි.
725b933b5d	නමුත් ඒ සංසිද්ධියට
725bd9fcc6	බ්ලොග් අවකාශය ඒකාකාරී වනු ඇත
725bdda72e	එසේ බිහිවෙයි.
725c2c3d3a	කොහොමද කියල කියහන්කෝ.
725c3774cc	වචන සහ උපදේශ රාශියක්
725d27391e	හිතන්න දෙයක් නෑ
725d474c29	ආන්දෝලනාත්මක කෘතියක්
725d557ea9	ඊයේ රාත්‍රිය වන විට
725d7ed12d	සුවිසල් ගල්තලාවක් දැක ගැනීමට ලැබෙයි
725ddd5701	යමක් දැනගන්න කියලා ගිහිල්ල.
725f8719b6	වෘක්‍ෂ දෙකක් ලෙස
7260ff5a97	election result
726124570a	ඔය යාළුවො සෙට් උනාම
7261bdd4d3	බොහෝ දුරට මේ අවුරුද්ද අවසානයේ
7261f1cc09	කතාව කිව්වා නම් එය අමුතු දෙයක් වේ.
726237d0df	කුසලාකුසල ප්‍රවණතා විග්‍රහකොට බැලීම
726238f4d9	සාමාන්‍යයෙන් මෙය සිදුවීමට වසරක් වත් යනවා.
72626d65d7	පිනිමුවා, අශ්වයා, මහ රාජාලියා ආදි මේ සියල්ලෝ ම
7262ebfe06	ඒක නිසා ඒවා නම්
72632741a6	ඇති වන්නේ ය.
7263753427	අකුසලයෙන් හිත නිදහස් වෙනවා
72638fa843	යාපනය අර්ධද්වීපයේ හුදකලාව පවතින
7263de978d	ඒගොල්ලෝ නිකන් හිතෙන හිතෙන දේවල්
72643c0025	අයවැය විවාදය පැවැති අවස්ථාවේ
7264744f12	උපරිමයක් නැහැ.
72659f36cf	මේක නරඹන්න
7265a2137d	ස්වල්ප වූ හෝ සාවද්‍ය බවක්
7266292e6f	කතාවේ නියමම තැනකට එන්නේ
72663c49d8	එනම් ශරීරයට දැඩිව දුක් දීමෙන්
7266954bb1	වෙනදේ තමයි මම මුලින් කිවුවෙ.
7267478108	ආගමික හා සාමාජික විප්ලවයේ
7267832a21	දැන් මම නවතිනවා.
7267f93ef2	මැතිවරණ කොමසාරිස්වරයා එම අදහස් පළ කළේ
7268120a85	තීරණය ඇය වෙනුවෙන්ද ක්‍රියාත්මක කරන්නේය
726815dba7	එහෙත් එහි විශේෂත්වය
7268fd4e0d	ඒක හින්ද
72698f01d1	ඒවාට සමාන බෝල ගල්
7269b4feb5	ඒ වෙනුවට දුකම ලැබෙනවා වුනොත්
7269df458a	බුදුරජාණන් වහන්සේගේ සදහම් පදය
726a3b9b93	හරිම විනෝද ජනකයි.
726abcdc2c	නිදසුන් කිහිපයක් මෙසේ ය.
726ac3fe10	පන්සිල් ගද්දි කිව්වනෙ
726b02f8a1	උපන් අකුසල් තමයි
726b3477c6	එතකොට බලන්න
726b4b5335	එල් ටී ටී ඊය අවසන් යුද්ධය
726bdd6b91	මේසා විශාල දිව්‍ය ඓශ්චර්යයක්
726ce2331d	නයි පැටියෙක් අරිනවා මිසක්
726d02c7dd	එම මතය සමාජයේ තහවුරු කරන්න
726d2eeb0e	එය සැලකුම් ලැබුව
726ec3d152	තමන්ගේ ගොදුරුගමින්
726f902f4a	මිසක් අගකින් පටන් අරන් බලන කෙනාව
726fb0ec26	මහල්ලා ඇය විවාහ කරගන්නට කැමත්ත පළකර අතර
727008c257	යක්ෂ ගෝත්‍රික රූප රචනයේදී
72701a1aca	smartphones for sale
72703a3dac	ඔට්ටුයි උඹට අර ඈත පෙනෙන
7270781525	පුද්ගල සුගතියට මෙන්ම සමාජ සුගතියටද ඉවහල් විය.
7270a0f9eb	එසේ නම් ඇඳුම්වලටත්
72713fd5b0	මම ඇගේ කඳුළු අතරින් ම එය අමුණමි
72718380eb	කෙටි කාලයකි.
7271d6e62c	රටේ මිනිස්සු කියපු නිසා එල්ලුවා කියල.
7271f02e7a	අර තිබුණු විරෝධතා ඉවර වුණා.
727212ce7d	උද්‍යාන සහකාර මැද්දේගොඩ මහතා
727212d418	තර්ජිත ගම්මාන වල වැසියෝය.
72723b5564	අල ටික තැම්බෙන්නෙ නැති වෙයි කියලා.
72725f11d2	ඔන්න බලන්න සිංදුව වෙන කෙනෙක් ලියලා
7272d4c518	ravi
7272d740cd	මොකෝ මට.
7273599de3	මෙලොවදීම නීතියට හසුකර ගැනීම නිසා
7273faa0c1	මෙහිදී අදහස් වන්නේ
727428cbe8	අමතක නොකරන්න
7274317eda	එය හරියට
72744225ad	භාෂා හැකියාව දියුණු කරගන්න.
72747e94ec	ඇගේ විධිමත් ජීවිතය අවුල් කරනු ලැබීය
727523c1e8	අද සවස ගණන් කිරීමේ මධ්‍යස්ථානයට ගිය
72759aa169	ඊට පස්සෙ බුවාව අපි දෙතුන් දෙනෙකුට අල්ලලා දුන්නා
7275a5279d	නීති මඟට ගියේය.
7275bbc1e4	සූදානම් කරලානේ තියෙන්නේ.
72760dd04a	හම්බන්තොට දක්වා දික්කරන්නේ ඇයි.
7276adb154	මේ යුද්දෙදිවත් රට වෙනුවෙන් වැඩ කරපන්
7276ce74cf	සිවුපසයෙන් සහ අනෙකුත් අවශ්‍ය උපස්ථාන
7276f7ba90	xp pro sp3 iso download
7277484aae	වර්තමාන ලංකාවේ පාර්ලිමේන්තු මන්ත්‍රීවරියක ලෙසද?
72781faa86	අපි වෘත්තීය මට්ටමේ නළු නිළියෝ බවට පත්වෙනවා.
72790821b6	යළි නවකථාවෙක් ලියන අදහසක් මා තුළ නොතිබුණි.
72792e0bed	වසර ක් ගෙවී ගොස් ඇත
727964818b	විනීතව හැසිරීමට පුරුදුවෙන්න
7279695bf5	අපගේ මාතෘකාවට හසුවන
7279c88bea	ඉරිදා අපරභාග 8.10 ට ලබයි.
7279e8b472	ගැප් එකක් තියනව
7279eb9a67	you are beautiful korean tv series
727a88f71f	තලෙයිබාන් බෞද්ධයෝ.
727b03baa0	ඒ අයට සැර කරලා බැනලා
727b10271d	සිරුරේ ප්‍රතිශක්තීකරණ පද්ධතිය
727b1e181c	අපි එ දා හිටිය කූඩුව ඇතුලේ
727b28ee32	ඒක හොඳටම ඇතිනේ
727bb9c31d	මරණය වන්නේය.
727bd80a70	එවිට උදව් ලබාගත් අයගේ යුතුකම නම්
727c191f67	ඉඩ දී සිටීමක් පමණයි.
727c220366	අමානෝ තහඩු ටිකේ සල්ලි මට ඕනේ
727d22b1b9	මෙයින් උන්වහන්සේගේ මානසික දියුණුව
727dc36edb	අවශ්‍ය තැනදී
727dd79f22	උන්වහන්සේගේ අදාරෙට පින්සිද්ද වෙන්න තමා
727de15f3f	අනෙත් කාරණය තමයි
727e025584	හාමුදුරුවන්ට කට ඇරලා හාමුදුරුවෝ කියල තමයි
727e72acd8	හොඳම තිර රචනය ඇතුළු සම්මාන විස්සක්
728008e0ee	මේකෙ වැඩ කෑලි කොයිතරං හිටියත්
72802a368c	අපිට කරන්න දෙයක් නැති කමින්.
72812d110a	රට හදන්න නෙවෙයි
72814776c2	කොටසේ වැතිර සිටින අයුරින්ම ඔහු තැබූහ.
72827dd8a7	එසේ නම් අනෙක් අවයවවල ක්‍රියාකාරිත්වය
72839e64ff	නොමදව ලැබේ.
7283e4265c	අපේ ආච්චිලා සීයලාට
7283f3fa8d	වෙනසකින් තොරව ධර්ම ප්‍රචාරයේ හැසිරෙති.
7283faac3f	තථාගතයන් වහන්සේට උපස්ථාන කරන ලද්දාහු ය.
7284094953	මෙය බමුණන් අතර පැවැති
72853658ef	වැද්දාගේ දැලට හසු වූ වටු කුරුල්ලන්
7285f53562	කරන අපහාසයක්.
728648081a	අන් අයට බාධාවකි.
7286be2ae2	කුරාණය සහ මුස්ලිම් ආගම
7287178abe	මාරු‍ වෙන්න ඕනෙ කියල හිතුන.
7287bac6ec	madhura dictionary
7287cb3b16	ජා හේවාපන්න කණ්ඩායම් යෙදවිය.
7287cd4677	ඉපදුණා වූ කෙනෙකු මේ කාලයේ
7287ee400b	පුද්ගල ගැටුම් බවට පත් නො කර ගත යුතුයි
7287f3bbf5	දරුවන් මේ බෞද්ධ සමාජය තුළ
72880dfeb1	දඩකෙළිය සඳහා ගත් දුනු අතැතිවයි.
7288343207	කුඩා දේශනයක් සිදු කරනු ලබනවා
7288516140	අපිම දන්නේ නැහැ
7288a1040b	ඔබේ සිහිය කොයිතරම් හොඳට
7288fada18	ජීවත් උන ආකාරයත්
72892fa03c	විශ්ව විද්‍යාල අධ්‍යාපනය ලබති
7289861a7b	මේ පැත්තට.
728a70982a	මහ ඇමැති ධුර අපේක්ෂකයා තෝරා ගැනෙන්නේ
728ae784ef	කැමැත්ත වන්නේය.
728bcdf53f	අංගුලිමාලටත් ගිහිපැවදි අනුගාමිකයො හිටියනෙ.
728bf00326	ඒක එහෙම වෙන්නත් පුළුවන්
728cd00e13	ලස්සන මැකිල ගිහින්.
728d1976e0	බොරු කීමෙන් වැළකීම
728d3f8e39	අද අපට එය දකින්න ලැබෙන්නේ
728dadb209	බව පැහැදිලිය
728db67aa8	අකාලික ගුණයන් නො වේද?
728dce60c2	වගා කරගන්නට උත්සාහ දැරීම
728ef35fdb	ඒත් පැංචා‍ගේ අතේ තිබුණු
728f439a95	ඒක වුනාට අපේ සංස්කෘතිය ඒක නෙවි
728f963019	අනිත් වෙලාවට වතුර බොන ආකාරයට
728fd3b3e3	දොළොස් දහසක් පමණ
728fdc8d19	අති මහත් වූ ආනන්දයක කිමිදී සිටි
729115e4ab	එක නැති කරන්න
729132c517	මව්පිය දෙපළට ඇති වටිනාම
72917c7315	ලංකාවේ සිටියා විය යුතුය
7291cb0b45	එමෙන්ම මහා සෑයෙහි ධාතු නිධානෝත්සවයේදී
7292e38559	දැනගන්න පුලුවන් වෙනවා.
729391f855	ඒත් පැරුණි ගීත
7293a609a0	මේසා විශාල දිව්‍ය ඓශ්චර්යයක්
7293f08c1d	අදහස මගේ තියෙනවා
7294195934	පන්සලේවත් කරඩුවෙවත් ඇතා පිටවත් නොවන නිසා.
729463d15b	සැකෙවින් දේශනා කරනා ලද්දකි.
72952ee4c1	මොහුගේ වාසනාවකට
729534450c	sunil perera dialog
72956b13db	අපි අධිවේගීමාර්ගයේ මුදල් අය කිරිම හැදුවේ
7295f606d1	නමුත් ඒ සුවිශේෂී ක්‍රමය
7295fab9dc	නූතන ඉංජිනේරුවන් මවිත කරවන නිර්මාණයන්ය
72961e27d1	මේ කොටස නරඹන්නම වෙයි.
7296471606	එමඟින් වේලුපිල්ලේ පිරිබාහරන්ට බැරි වුණ
729693ff3f	අපේ අභ්‍යන්තර ජීවිතය පිරිසිදු වුණේ නෑ.
7296c1ae97	එක වසර හොද වෙලාවට දුරියන් ගෙඩි කාටවත් අහුවුනේ නැත්තේ
72986d9341	උන්වහන්සේ සංසාරයේ පිරිසුදු චේතනාවෙන්
7298ba42b1	මොකද වුනේ අන්තිමට?
7298de20a7	කඩිනමින් සිරියානු සාම සාකච්ඡා ආරම්භ කිරීම
7299189817	අවන්හලේ ඇතුළත පෙනුමද
729936c31c	එතරම් නොවුණත් එය අපිට බලපෑවා.
7299403c58	ළඟා කරගතයුතු වූත්,
7299834757	ඒක මම ප්‍රේක්ෂකයෙක් හැටියටත්.
7299f9fae9	වැඩම කළහ.
729a05f0a1	පිළිගැනීම එකට එක කිරීම
729a3f9340	බෞද්ධයාගේ ප්‍රමුඛ ජීවන කාර්යවලදී
729adab84f	විනෝදය සැපයීමත්, ආගමික හැඟීම් තෘප්තිමත් කිරීමත් ය.
729b3f4cad	මුදල් ගෙවිය යුතුව තිබුණා
729c56f82c	අනිත් බොහේ දේ ලංකාවේ පිහිටා නොතිබීම
729c5e5170	එය කරන ලද්දේ
729c923111	අතුපතර විහිදුන අඹ ගස් වලින් සිසිල් සෙවන ලැබෙනවා
729d5b1085	නිර්මාණ විතරයි බාර ගන්නේ
729e1bf208	සැලකිල්ලට යොමුකළ යුත්තේ
729e599edf	එහිදී ඔවුන්ට වැඩිම පීඩනයක්
729ee3d524	රජරට වකුගඩු රෝගය
729ef68d0a	සංජීව නරකයද
729fc27625	කාගෙදෝ බ්ලොග් එකකින්.
72a051d90e	ඉතිං හොදි ගන්න වෙනවා
72a10ca139	බලපාන ප්‍රධාන සාධකය ලෙස සලකන්නේ
72a18ff5a6	භාරයක්ද වෙන වන්දනාකරුවෝ
72a195ded7	අධ්‍යාපන ඇමැති බන්දුල ගුණවර්ධන මහතා විසින්
72a23d92a9	ෆිදෙල් කස්තේ‍රාගේ සමීප මිතුරකු
72a28066d4	ප්‍රබල ස්ථානයක් හිමි නොවේ.
72a3248f4e	පුද්ගලික වෛද්‍ය විද්‍යාල විරෝධයේ
72a326bcb6	මෙම දේශනය
72a328ef99	මේවා නරඹපු ප්‍රේක්ෂකයෝ
72a346e6cc	මුලින්ම ප්‍රතික්ෂේප කළා.
72a35e0ab6	ඒවා අඩුවෙන කොට බාධක එනකොට
72a444125e	මොහොතකට පෙර
72a45ef06d	වන්දනා මාන කරන සුද්දගේ
72a479c76b	බයිස්කෝප් එක බාලම බලන්නකෝ.
72a47c3e08	මේකේ තියෙන්නේ
