dd006190d2	වෙනම චරිතයකුත් තියෙනවා නේද?
dd2496e6be	අතර මැදි පිරිසක් වූහ.
dd24b51623	ඒ මරු සිරා ගැන
dd26b62761	මේ ගැන තදින් ඉන්න පුලුවන්
dd270fac8b	අපි තාම විහිළු කරනව තාත්තට.
dd275e858d	පූජ්‍ය මාදුළුවාවේ සෝභිත හිමියෝ මෙසේද ප්‍රකාශ කළහ
dd27836952	එලෝළුයි මසුයි විතරයි!
dd27f20b5f	අ‍පොහොසත් වී ඇති බව
dd280b00fa	බලාපොරොත්තු වෙන එක විහිලුවක්.
dd28e7efc1	එක හුස්මට කියවගෙන ගිහින් බලනකොට
dd29042ded	නමුත් කිසිම දෙයක් නැති
dd29116ae9	හැමෝටම ජය.
dd29208dd1	නූතන වර්ගපූර්ණකරුවා
dd294b9a83	නඟුල් ඉස තබාගෙන සමහරු පැසෙති
dd2a06db98	මගෙන් සිද්ධිය පිළිබඳව විස්තර අසා අත්සනක් ගත්තා
dd2a21e617	රාජ් අයියා
dd2b58b224	ශ්‍රී ලංකා ක්‍රිකට් ආයතනය
dd2b86b3fd	ලාංකේය කලා නිර්මාණ විෂයයෙහි
dd2bd0f41d	එදා බස්රියට කුරුණෑගලට යාමට
dd2c074a14	වෙඩිතැබීමක්ද සිදුව ඇති බව සඳහන් වේ
dd2c19dc95	මේ ගමන යන්න බැහැ.
dd2cbdcb7f	sea
dd2d03e0d1	පියකරු වත කමලයි.
dd2da2664f	සෑහෙන කාලකට පස්සෙනෙ
dd2df9c132	ලොකු පඩියක් ගන්න එක නම්
dd2e83bb19	එක ම චිත්‍රය වුණත්
dd2edadd2a	අලුත් චරිතයක් එනවා.
dd2f1fee3e	ඊට හාත්පසින්ම වෙනස්.
dd2f531e7b	ඔහේ කියල දැමීම තරම් නොවේ.
dd2f57e822	ඉතින් බුද්ධාගමට මොන කෙලියක් උනත්
dd2fa7cf06	වෙලාව හොයා ගන්න වෙලා තියෙන්නේ.
dd2ff8dc49	සහතික වලට සීමාවූ උගතුන් මිස
dd3044b88d	රථය ඉදිරියේම තබාගෙන
dd305938b2	එළෂා නියම වැඩක් වගේ!
dd30622080	මෙබඳු සූත්‍ර විශාල ප්‍රමාණයක්
dd30922cc7	අපිම බේත් හේත් කරගන්නවා.
dd30bfa86f	වැඩ කරනවා
dd30db4636	පරිගණකයට ඇතුළත් කරගෙන තිබුණ
dd31a79715	watch price
dd31dff475	යම් බුද්ධි මට්ටමක්
dd322f7bab	ඉතින් ඒ මනුස්සයාගේ ප්‍රවාද ගැන මොන කතාද
dd3375f159	දවසක උන්ගෙ දේවලුත් කොල්ලකෑමට ලක් වෙන එක නවත්තන්න
dd33971220	අනිවාර්යයෙන්ම ඔයාලා වෙනුවෙන් තමයි
dd33d1f3f4	ලක්දිව තුන්විටක් පැදකුණු කොට
dd341ea558	දුමී යනු අමරදේව ගේ මචං ය.
dd345d1420	විද්‍යාවේ භාවිත වන තාක්ෂණික වචන භාවිත කරමින් නෙමෙයි.
dd3460e79f	අපි හිඟුරක්ගොඩ ආනන්ද බාලිකා විද්‍යාලය පහු කරලා
dd34e5ca2d	ගොඩක් කරදර විදින්න සිදුවෙයි.
dd34f9176e	අවසානයේ මේ උපසිරැසිවෙනුවෙන්
dd34fdca5a	පවතින අනෝන්‍ය සබැඳියාව නිසාම
dd353a05e7	ඇසි පිය හෙළන පමාවෙන්
dd355b2171	අපි ඒ වෙලාවට කතා කරන්නේ පුතාලා ගැන.
dd35712886	ලද රැකියාව සම්බන්ධයෙන් නොව
dd35c55731	ඔබ දැන් එළියට ඇවිල්ලා
dd3631fc9b	එය රජයකට වෙනසක් සිදු කිරීමට
dd36cb54b8	scholarship grade 05
dd36d0e8aa	මේ මොකක් ගැනද කියන්නේ කියලා
dd36d53215	යානය අතුරුදන්වීමෙන් අනතුරුව
dd36e6e70e	අපේ සමාජය යනු
dd37173c87	විශේෂයෙන් සිංහල අලුත් අවුරුද්ද
dd3737aac4	සිනා සිසී උන්වහන්සේ පසුකොට ගමන් කළේය.
dd379f6c5e	අමාත්‍යවරයා වැඩිදුරටත් සඳහන් කර තිබේ
dd38965c27	අතර මගදී
dd38dc57d5	රෝගය දුරලන ගොළු සන්නි යකා
dd392a651a	සොහොන් කොතකට පූජා කළ ඉතිහාසයක්
dd3959943f	විස්තර රාශියක් දීපවංසයේ සඳහන් වේ
dd39f09404	අර නිහාල් නෙල්සන් ගේ සින්දුවකුත් තියෙන්නේ!
dd39f5378c	ඔය ආමි පොරවලුත් ඔය පොන්න සුබ පැතීම කරනවා
dd3a07d744	එය ඉතා කණගාටුදායක තත්වයක්
dd3a856538	එකකින් සම්මාන ලැබෙන කොට
dd3ab46e90	අපි මේ චිත්‍රපටය නම් කරන්න හිතුවේ
dd3acefeec	එමෙන්ම උන්වහන්සේ මෙලොව උපදින්නේ
dd3b045822	බඩ මැදින් දෙකට නැවී
dd3b5ad467	අධ්‍යාපනය ඔස්සේ මානව සම්පත් දියුණු කළ යුතුය.
dd3bbbe989	රෝහලේ ලෙඩුන් බලන වේලාව එනතෙක් බලා සිටින්නේ
dd3bfd1dd4	අනේ මම දන්නේ නෑ
dd3c22efa0	අපේ පවුලේ නම් නමේ අගට.
dd3c4cdcde	ඇයි බන් කුරුස කාරයෝ මිනිස්සු මැරුවේ
dd3c5c2015	දී කිරි කෑ මුදියන්සේලාගේ කියලා
dd3c6ea7d6	මෙම දෝණපාක සූත්‍රය දේශනා කළ සේක.
dd3d3de01f	මට ඔයාට තරම් දැනුමක් නෑ.
dd3d5881f9	ගමන් ගත්තේය.
dd3d8c982b	තිරගතවුණු කාලෙත් එක්ක සලකනකොට
dd3d9edb3a	ගොඩක් හොඳයි
dd3ed256c8	ඇගේ රංගන දක්ෂතාව පිළිබඳව
dd3ede3d1a	ඒත් මුස්ලිම් ආගමිකයන්ට
dd3f5cb5de	ඇල්ල නැරඹීම සඳහා පැමිණි සංචාරකයන්
dd3f836a84	අරුණළු පැතිරෙන හිමිදිරි යාමේ
dd3fcb081e	දේශනාවක් කල සැරියුත් හිමියන්
dd3fddbe19	දෙස් විදෙස් සංචාරකයන් ගේ
dd40743035	යුද්දේ ඉවර වුනු ගමන්ම.
dd408356d3	මින් මැනගත හැකිය
dd409d3f2c	එච්චර ගාණක් දීලා අරන් මොනවද කරන්න තියෙන්නේ
dd40dcd900	තරමක් අනුරාගික දෘෂ්ටිකෝණයකි
dd413ca2bb	බාගත කරගත හැක.
dd4152ea33	තුෂාර තෙන්නකෝන් අධ්‍යක්ෂණය කර
dd416288a6	අන්තිමට මමත් ඒකෙ සාමාජිකයෙක් උනා නොදැනුවත්වම.
dd42765bdf	මේවා දාන්න කන කට්ට
dd42f4e561	යක්ෂණියගේ හද ගැස්ම නැවුම් ය.
dd430e8287	අත්අඩංගුවට පත් වෙනවා
dd43318900	අප සිත යනුවෙන් හඳුන්වන්නේ ද එයයි.
dd441f7ec5	මිනිස්සු හිතෙන් හදා ගත්තුවා.
dd44c922e2	ඒවගේම බයිස්කෝප් අඩවියට පිලිගන්නවා
dd4569e1dd	ඒක ඇය
dd45ac206d	දැවැන්ත වෘත්තීය නාට්‍ය කලාවට දරුණු චෝදනාවක් ඇත
dd46510ecd	සදහන් වේ.
dd46d991c9	අපි දකින කාලෙත් තිබුන
dd46dacf7d	පෙර අපර දෙදිගම විසූ බොහෝ චින්තකයෝ
dd47aecdc2	ස්වාමීනි මම පළමුව කිවුවේ
dd47b29f89	ඊට පස්සේ මම සුනන්ද සර්ට කිව්වා
dd47c69407	උගත් බුද්ධිමතුන්ගේ සහයෝගය මගින්
dd47f3c761	සිටුතුමණි මට පුළුවන් බුදුරජාණන් වහන්සේව
dd48e13ab5	ලොව ක්‍රියාකාරිත්වය නියාම ධර්ම පහක් අනුව සිදුවෙයි.
dd48fa3b1d	ඉතිං වැඩි විස්තර ලියන එක නවත්තලා
dd492a2d81	ඒකනේ දෙන්නට දෙන්නා
dd493362bc	සිය නීති රෙගුලාසි සඳහා
dd4979ffc8	එකක් නෙමේ.
dd49bb65ff	මට ඇත්තේද දුකකි.
dd4a15bbd2	හය ලක්ෂ අසූදාහ වෙනුවට
dd4a79e887	ඔබට තියන නිසා.
dd4ab8184c	එරන්දිගෙන්ද විශ්ව හමුවූ අන්දම
dd4b58ddff	ශ්‍රී ලංකාවෙහි අවකාශයක් නැත
dd4b91b670	වනු නොඅනුමානය.
dd4bb9584e	ලෝක විනාශයකදී
dd4e3f5b68	ඊළඟට ඒ ඇස් ගිය
dd4e6a3922	එජාප නායකත්වය සඳහා
dd4e85dc67	රාජ අණින් බාර ගැනීම
dd4e8ad3ae	එක වචනයක්වත් නැති නිහඬ රැඟුමක් ලෙස
dd4ffaacfc	එතරම්ම කණගාටුවට කරැණක් නෙමෙයි.
dd502f5c80	ඒත් හැකි සෑම වෙලාවකදීම
dd507da3ca	මට විශ්වාසයි
dd50f8614b	ඌ ගෙම්බෙක්ද අලියෙක්ද කියන එක
dd512deecc	අපටත් මේ
dd520ac26d	අපිට මුලින් කිව්වා
dd5214394b	ප්‍රකාශකයා ද බවට පත්විය
dd54cd07cb	තැන්කූ මලේ බොහොම ස්තූතියි
dd564b14a5	ලබාදීමට අමතක නොකළාය
dd57eee222	කතාවට කලින් කියන්න දෙයක් තියෙනවා.
dd584c242d	එම සූත්‍රය තුළින් පැහැදිලි කරනු ලැබේ.
dd588e2382	ඔබට පුළුවන් විය යුතුයි.
dd59a55067	මෙලොවදී මෙන්ම පරලොවදී ද
dd59fa6df2	පටන් ගනිද්දි මට සිද්ධ වුණා
dd5a754b30	හේවිසි වාදනය කරන්නේ මෙහි සිටය.
dd5a83a180	කැටයම් කලාවෙන්
dd5a9aecd5	හිතලා බලන්න ඕන.
dd5ae5e4da	ඇතැම් ඉන්දීය පුවත් සේවා වාර්තා කළේ දිවුරුම් දීම අනිද්දා සිදුවනු ඇති බවය.
dd5bd64e2a	කියුබන් රජය පවසන්නේ
dd5c3efa53	එහෙත් අප සමාජයට
dd5c6210cb	මේකෙ ඇත්ත පේන්නෙ
dd5c8fe93e	උපන් දින තෑග්ගක් ලෙස
dd5cae83d0	ඉදිරියට වෙනවනම් පොඩියට හරි දායකත්වයක් දෙන්න.
dd5cbf0c51	අද ලෝකෙම ඉවරයි.
dd5d618355	ඔබ මැදුම් පිළිවෙතෙහි පිහිටීමට හුරුවන්න
dd5da6ef5d	ඔබ මොකද කළේ?
dd5e091145	මිනිසුන් කදිම උපක්‍රමයක් ඇතිවයි උපදින්නෙ.
dd5e19446b	අද රටක ජාතීන් අතර ආරවුල් ගැන ද සැලකිලිමත් වෙයි
dd5e27106f	නළුවෙක් ලෙසත් අත්දකිනවා..
dd5e807c63	එය ඇත්තක් දැයි සොයා බලාගෙන
dd5e8cc84f	අවබෝධ කරගැනීම පිණිස
dd5e93ad41	දක්ෂිණ අධිවේගී මාර්ගයේ
dd5e9cb078	මේ ගැන සිතා බැලීමට
dd5ed889d4	රජු බුදු සමය වැළඳ ගෙන
dd5f25a712	මේ ගස හෙළීමට නොහැකි විය.
dd5f57f2fb	පොළොව සම්බන්ධ කටයුතුවලින් වාසි සැලසෙන බව පෙනී යයි.
dd61199dc7	මෙය හේතුඵල දහම අනුව හටගත්තක් නිසා
dd618d6c72	අපේ කවුරුහරි සංගීත කලාකාරයෙක් මැරුණාම
dd6233eda0	නොවැ නේද?
dd625cfca8	එයට යා යුත්තේ චාලියී.
dd628e4953	සිහි විකාර වූ මිනිසෙක් ගැන.
dd6316d91a	උබ වගේ අන්ද බිරි එකෙකුට
dd631d7647	winx club layla gif
dd635b828e	දයාන් ජයතිලකලා කියන පරිදි
dd63a7add4	මගේ මහත්මයා හෘදයාබාධයකින් මිය යන විට
dd63f61640	මේ සඳහා භාවිත කරනුයේ
dd63fc34bc	ප්‍රවාහන කටයුතු වලටද බාධාවක් විය
dd645439bb	අද මට මෙවැනි හානියක් වෙන්නේ නෑ.
dd64eef56a	ඉතින් දෙදෙනාට දෙදනාගේ කැමැත්ත තිබුණත්
dd653e0be0	ඊයෙ රෑ මාළිගයත් ජනපදයත්
dd65aed98f	එයින් පස්සේ අද වෙනකල්ම
dd65c54e0f	download movies free without membership
dd65f1528d	ඔය පරම්පරා වෙනස ගැන
dd666e8699	තවදුරටත් නීතිය කඩකිරීමම පමණි
dd66999974	ඒත් ඒකට හරි උත්තරයක්
dd6763171f	මේ සැරසිලි ප්‍රදර්ශනය කරන්නන්ගේද
dd6773f477	ආර්ථික ක්‍රමවේදයක් අපේ රටේ ගොඩනැගුවා
dd67dd2fe3	උපදවීමට උපාදානස්කන්ධ
dd687441e2	මෙහි නිරිසත්වයෝ
dd689c3f63	තමා අවබෝද නොකළ දෙයක්
dd699d1233	මොකද අපේ කියවන ගොඩක් දෙනෙක්
dd69bd25b9	මහා ප්‍රඥාවයි.
dd69dabced	මෙවන් බොදු ගීඅමා රසක් මෙන්
dd6a103bf5	මේවා සඳහා ආදර්ශය ලබාගන්නා ලද්දේ
dd6a66694e	කාටවත් ආඩම්බර වෙන්න තරම් ඉතිහාසයක් නැහැ.
dd6ad25030	මින් ඉදිරියට සිදු නොවිය යුතු බවයි
dd6b53153c	නම්‍යශීලී පෙනුමින් යුතු බවයි
dd6c16f09a	ඔබ වහන්සේගෙන් දැන ගන්නට කැමැතියි.
dd6c3ac163	ඒත් එහෙම කියන්න
dd6c68d81a	බුද්ධ පූජා සහ බෝධි පූජා ද ඇතුළත් වේ.
dd6cebe277	උදාහරනයක් දෙන්න කියලා
dd6d810e47	ඔබ මේවා බාගෙන
dd6d89fd31	රටේ සංවර්ධනයට ඵලදායකව ශ්‍රමය වැය කළ යුතුය
dd6d94b1ec	දෙයකැයි සිතිය නොහැක.
dd6ede2149	අන්න බලන්න සමාන ‍දේවල් වලට
dd6f4d8976	එක දවසක් හස්බන්ඩ් කෙනෙකුයි වයිෆ් කෙනෙකුයි තර්ක කරනවලු
dd6f63b3b7	අතරේ දෝලනය වෙමින් සිටී.
dd6fe4c6df	ඒත් මං එහෙම පුළුවන් කියලා
dd7001be70	එයට හේතුව කුලවාදීන්ගේ මූලික පදනමම
dd70d9e5c4	ඉතා හොද ලිපියක්.
dd7126a838	ගීත වින්දනය තව දුරටත් ව්‍යාප්ත වෙමින් පවතී
dd7219eeff	ඇය මේබව කියා සිටියේ සිය පියාගේ ඝාතන සිද්ධිය සම්බන්ධ නඩුවට
dd72270737	පාරම් බෑමයි.
dd72842e2c	කරන්නෙත් නැහැ.
dd736c2edf	අරව මේවා නැතිව
dd737b1a8a	මන්දාකිණි නො පවතින බව ය.
dd739f4ae8	nisades
dd73e45415	බඹරැල්ල බස් එකකට
dd743bb079	මෙයින් පැහැදිලි වනුයේ
dd747cb7af	භද්දකච්චායනා කුමරියගේ පැමිණීමද
dd74c88222	එසේ හෙයින් ඔහුගේ පක්ෂපාතීත්වයක් ඇත
dd74d449f2	මුළු ලොවේම අවධානයට යොමුව ඇත්තේ
dd75ce2bb0	හඳුනාගත යුත්තේ
dd7669bfbe	automatic chicken feeder
dd773a57e0	ශාන්ති කුමාර් තමයි මේ චිත්‍රපටියේ අධ්‍යක්‍ෂවරයා.
dd775dcc2b	භික්‍ෂුවක ලෙස සිටියේය
dd78017b2c	එමෙන්ම යථාර්ථවත්ව
dd784a73b7	ඉතිං මේවාට එකම විසඳුම තමයි
dd7850aa91	කළුරිය කළොත්
dd7854ae44	අද රෝම ගිවිසුම අත්සන් කරලා මේ ප්‍රශ්ණය විසඳන්න බෑ
dd78c28852	යොදා ඇති ගුරු, දුඹුරු මිශ්‍ර වර්ණ මාලාව
dd79dfb4d4	අපි ඔවුන්ගේ ගෙවීම් දෙස
dd7a120fb1	තිබෙන්නේ ඒ වැව පමණි.
dd7a13df39	ඉදිරි අයවැයට පෙර
dd7a4f4700	උපරිම අයුරින් අපේ කණ්ඩායම සේවය කරනවා
dd7a76c0e2	ස්වවීර්යයෙන් දියුණුවේ
dd7abcfe77	ඒත් යන්තර මන්තර වලින්
dd7b4e5f26	ඔය කිව්වට මුන් වගේ කානු වලයි
dd7bec644d	එවන් උතුම් දහම් දෙසූ මිනිසුන් දෙදෙනෙකු
dd7bf43272	එතනින් එහාමෙහා ගමනේ යෙදුන
dd7c1f6871	මොනතරම් මහන්සි ගත්තත්
dd7c85a6da	විද්‍යාඥයෝ පෙන්වා දෙති.
dd7c9a3e4f	කෘතියෙන් ලැබෙන රසය
dd7cfe9310	එම අවස්ථාවට සහභාගි වෙමින්
dd7d0e900a	මේ වස් කාලයේ ඔබට ලබාගත හැකි
dd7d333b13	එහෙයින් මෝඩයෝ
dd7d9eebee	ඔබ කන බොන දේවල් රස විඳින දේවල්
dd7e0679bc	ඊට පිටතින් මිරිසවැටි චෛත්‍යය ඉදිකර තිබේ.
dd7e28d290	රැකියා අවස්ථාද ඒ මඟින් අහිමි වේ
dd7e3c688d	ගමේ වෙන කඩ නැතැයි
dd7e462dbc	බොහෝ දෙනාට තමන් ගේ සැපත සතුට හා
dd7e54869b	ටොරොන්ටෝ අසපුව නිකුත්කර ඇති නිවේදනයේ
dd7f18cb05	පාණාතිපාත කියන එකට.
dd7f67b804	එප්පාවල පිහිටි පොස්පේට් නිධියද
dd7fe61820	ආශ්‍රය කිරීම මට ලැජ්ජාවකි
dd80e8e1bb	අවසන ඔහු වේදේහ රජුගේ
dd80f9c4e6	එනම් ඔවුන්ද ජනප්‍රිය දේශපාලන මාවතට
dd81410d46	සේරුවිල හරහා අනුරාධපුරයට පිවිසිය හැකිය.
dd81a16ecf	උසස් පෙළ කලා විෂයන්ගෙන් ඉගෙන ගන්න
dd81fcd227	සසුන්ගතවූවන්ගෙන් වැඩිදෙනා
dd82190181	කෙතෙක් ශ්‍රාවකයා ඇද බැඳ තබා ගැනීමට සමත්ද?
dd82ac0007	බාගත්තු කොපියක් තියෙන නිසා
dd82f16e7a	පුංචි ගෑණු ළමයෙක් එක්ක.
dd82fa2bdc	සෑම නිවෙසකම තිබුණි.
dd848ed63c	එහෙම නොගිය අය ගමට ගහද්දි
dd859f579c	දැන් කාලෙ මද සරු භාවයට
dd85a72dca	සිංහලයෙන් නවකතා කියවන
dd85eaffe2	අපට විශාල ශක්තියක් වෙලා තිබෙනවා.
dd85ed92a2	සමානාත්මතාව තිබුනු නිදහස් අවකාශයක්.
dd866d7a74	කම්මුල ඉඹල එහෙම තියෙනවා.
dd86797a3b	ඉංග්‍රීසීන් විසින් හයිය ලබා දුන් ප්‍රභාකරන්ගේ සීයලා වපුල
dd86bb28bf	අපි කොහොම කතා කළත්
dd86bc2de4	කවුරුවත් පිළිගත්තේ නෑ.
dd871b5e4d	ඔබ “හෙල බසින් ලියූ ත්‍රිපිටකය
dd8740cf98	ඉන් අනතුරුව එම කළාපය තුළ
dd877ab884	සමරකෝන් ස්වතන්ත්‍ර රචකයෙකු විය.
dd87bc92c6	ඔන්න ගොළුබෙල්ලා නොපෙනී ගියාට පස්සේ
dd883df6c2	පොලවට තද වෙන්න පාගන්න ඕන.
dd893d5f8f	බුදුන් සතු වූ මහා පින් මහිමය
dd898a5b91	එසේ කළ නොහැකිවූ විට
dd89a5aaff	ජීවන අරගලයේ ස්වභාවය පිළිබඳ
dd89a84c0d	මේකෙ තියෙන සමහර කතා ගෙතිලා තියෙන්නේ වක්‍රෝත්තිය වටා.
dd8a5b5c22	කියන එවුන්ව මැරුවේ.
dd8b2c3972	ඔබට ඇතිවන නොයෙකුත්
dd8b71ebbc	මේ කරන සේවයට මගේ හදවතින්ම ස්තුතියි කරනවා
dd8ba47c85	අතිශය අධම දේවල්
dd8bd8efcc	විමසා බැලීම වැදගත්ය
dd8c7cf123	කට්ට මුරිප්පු හන්දියේ ගහක ගුරුතුමිය බැඳලා
dd8c994247	මුගලන් මහ තෙරුන් වහන්සේ
dd8d4784ca	වෙනම කාන්තාවක් යොදවා
dd8d681542	ඇත්ත වශයෙන්ම මේ කථාව තුළින් මිනිස් ලිංගිකත්වය පිළිබඳ දක්වන්නේ සංකීර්ණ අදහසක්.
dd8d86d7d2	මුදල් අය කිරීම ආදී සියලූ කටයුතු
