5000251b61	සියලු සූත්‍ර විමර්ශනාත්මකව පිරික්සීමෙන්
503fc101a1	ඊජිප්තු ජනතාව ‍පොහොසත් වනු ඇද්ද?
504019af52	හොඳම තිර රචනය ඇතුළු සම්මාන විස්සක්
5040889309	පුතාගේ ෆොටෝ එවන්න කියලා.
5040bc92fb	මේවා තුලින් රිංගා යන්නන් සිටිය
50412cb36e	colours for kids you tube
504150e049	පුළුල් ජාතික ප්‍රතිපත්තියක් අවශ්‍ය වේ.
504192e843	සෑහෙන්න හිතන්න වෙනවා!
50419e571a	නමුත් ඔබවහන්සේ ගැන
5041a78ac0	නිරීක්ෂණය කරනවා හැරෙන්නට
5042701ebc	ටිකක් කල්පනා කොරලා බැලුවාලු
5042db2971	නමුත් ඔබට ගැ‍ලපෙන සුවපහසු මේ කබායේ වටිනාකම
5042db83fd	ජනිතාට ඉක්මන් සුවය ලැබේවා කියලා
5042f5eaad	මමත් බලන් හිටියේ බොහෝම ස්තුතියි
5042ff3643	එවැනි කල්‍යාණ මිතුරන් සමඟ
50434a3dc4	ඔවුහු බල කර සිටිති
50435cccde	උත්සහ කළේ බුද්ධත්වය ලබා ගැනීම පිණිසයි.
50437543fa	එදාම හරි ඊට පස්සෙන්ද හරි
5043b8695c	මුරිච්චියාත් සෙමින් සෙමින් නොකඩවාම සුළං ගහපු නිසා එය විශාල බැලුම් බෝලයකට පරිවර්තනය වුණා.
5043fb1375	කොල්ලන්ට කෙල්ලන්ට සමහර වැඩි හිටියන්ට
50441ef564	සිතේ වේගයෙන් ගමන් කරයි.
50449f2d27	නිෂ්පාදනයේ කර්තව්‍යයට එහා ගිය චරිතයකි
5044bb4d1f	හැමතිස්සේම හිතුවේ
50450f92c7	විදියත් බලන්න ඕනෑ.
50458f4995	සිදුවූ සත්‍ය කතාවක් මත පදනම්ව නිපදවූ කාර් රේසින් ෆිල්ම් එකක්.
5045e0289e	ඉතිං මහ එවුන්ට මොනවහරි කරගන්න
504600067e	එක්තරා අන්දමකට ඒක පාර්ශ්වික වූ
50463adc52	ගොඩක් අද මාව දන්නෙ
504675618b	බුදුරජාණන් වහන්සේ වදාළ ධර්මය මේ ජීවිතයේ දකින එකක්.
50473d8a28	උඹලගේ තියෙන කුහක කම නිසා
50474ce1be	එම වාර්තාවට අනුව
50487e2262	ගුණාත්මක භාවයද වැඩි දියුණු කළා.
5048b4728b	ඒත් මේ චිත්‍රපටයේ
5048d9aa09	අනිත් කාරණය තමයි
50492b139f	එක්සත් ජාතීන්ගේ ආහාර සහ කෘෂිකර්ම සංවිධානයට අනුව
50498b6871	මෙසේ විග්‍රහ කරනවා.
504ac00cc0	අපේ කොටස් පස් වෙනවනේ
504b044940	හෑල්ලුවට ලක්වෙන්නෙ මෙවැනි ක්‍රියා නිසයි.
504b53d843	මෙය වටහා ගත් ඇතැමුන්
504b920435	එහෙවු උන්
504ccb9b22	කෝ නෙට්වර්ක් යනුවෙන් හැඳින්වෙන්නේ ජාල මධ්‍යයයි
504d081371	එයාට ඕන විදියට හදන්න ඕනලු.
504d4951e8	එවැනි පුද්ගලයන් ලංකාවේ තැනින් තැන ඉන්න බව
504d76b8c7	ස්තුතියි හසන්ත අයියා!
504e8843af	යමක් තේරුම් කරලා දෙන්න
504eb0dd1f	සෑ පිහිටන බිමෙහි
504fc729f2	මේක පිස්සු වැඩක්
504ffc3b14	ඒවා නියාමනය කිරීමට තරම් වැඩපිළිවෙලක්
504ffff4e3	එවැනි මොහොතකදී අවවාද කොට
505105f768	හැදුනු සක්වල ප්‍රමාණෙ
505108bc56	මිනිසාද ඇතුළු සියලුම සත්ත්ව වර්ගයාගේ සිත් අතර
5051767984	පොදු විපක්‍ෂයක් හදනව නම්
5051f105ce	රංගනයෙන් දායක වෙන්නේ විවාහයෙන් පසුවයි.
5052597169	එහෙම මොකුත් නෑ.
50526346b1	ඔබලා කරලා තියන්න
50529cdc49	live cricket watch
505345f0aa	ඉන්දිකා මේ කලා ක්ෂේත්‍රයට වැඩක් කරලා තියෙනවාද?
50534c2639	ආනාපානසති භාවනාව වඩන්න ඉස්සර වෙලා ඔබ
50536a76a4	ලක්දිව පමණක් නොව
50542548dc	මේ අනුව පාසල් දරුවා කුඩාකල සිටම
50548cf0be	පැවැත්ම රඳා පවතින්නේ
5054bc04c5	එදා ඉන්දියන් මෙගාවලට
5055a6e26a	අන්න ඒ වගේ අවංක මිනිහෙක් අතට
5055ae5fde	එවිට භාරත මහතා
5056437e9a	ටෙන්ඩර් මණ්ඩලයක් සිටී.
5056d33d1c	අනික ඔය වනාන්තර මැද්දේ යන
505750eb30	ඒක නොතේරුණු නිසා තමයි
5057c4f1c1	දැහැමි සම්පත් පහක් එකතුව
50586a105c	ඔයාලගෙ අතට පත් කිරීම තමයි
5058f98131	සැලසුමක් දියත් කළේය
505a0f4ada	ඒකෙ තීරණාත්මක ගනුදෙනුවක නිරත වෙන්නෙ
505a2e192d	මම අද මේ අරගෙන ඇවිත් තියෙන්නෙ.
505a367f20	ආදරය කරන්නේ හොඳට තේරුම් අරගෙන.
505ab28350	නිශ්චිතව කිව හැක.
505ab32602	කොතනද යන්න පිරික්සීමයි
505b06e2d7	මුදල් උපයන්න හරිම අමාරුයි
505b256f8c	කොමෙන්ටු වල ඒවත් දාන්නකෝ.
505b35518e	රූපවාහිනි නාළිකාත් තිහකට අධික සංඛ්‍යාවක් තියෙනව.
505baf7c76	විශ්වාස කෙරෙන බවයි බලධාරීන් පවසන්නේ.
505bc5f0a6	අපි හැසිරෙන විදිය සහ චරිත ස්වභාවය
505bda1c76	කෑමට දෙයක් දීමට සූදානම් වුණා
505be3b0b6	සිටීම ඛේදනීය තත්වයකි.
505c849ad5	එම ප්‍රගතිය අර්ථවත් වනුයේ
505caba8a9	එක ධජයක් යට එකම රටක් තුළ
505d1e0546	කියන එක තමයි.
505d743998	මීලඟට හිමි වන පුද්ගලයාත්
505dcc33f1	big body
505ee430e8	මට මේ වගෙ ඒවා දකින කොට
505f3268f0	වැඩේ පටන් ගත්තෙ හවස ට විතර.
505f421eb4	website design & technology by create anet
505f567aed	gmail login password
505fec544f	නොසිතූ ආකාරයෙන් ව්‍යාර්ථ වීම
506091a018	බස්නාහිර පළාතට
506115b68c	යන්නෙන් වෙනස්ය.
506145e157	නමුත් අපේ හැඳුනුම් පතක කොපියක්
50617e25d8	මේ තොරතුරු පිළිබඳව සැලකීමේදී පෙනී යන්නේ
50624e9d4c	එබිලා බලන්න ලැබෙන එක
50629afc55	රජය කටයුතු කරන ක්‍රියාපිළිවෙත ගැනය
5062b5d31d	හදනවා කියලයි.
5062c3733e	ඉතාම අගනා ශ්‍රේෂ්ඨ අවස්ථාවක්.
5063eb806a	ඒවාට පිලිතුරුසැපයීමට තරම්
50640f91ca	චොකලට් කැබැල්ලක් ඇතුළු කරනු ලැබීය.
506418b761	ඒත් ඔහුගේ ජීවිතයේ
506443cfe3	අපි මේ උපසිරැසි දාන්න කොච්චර මහන්සි වෙනවද.
5064a7621c	මම නුවණ නැති කෙනෙක්‌ නොවෙමි.
5064b7112a	ඉතින් මට ඔය තරම් වංචාවක් කරලා තියෙද්දී
506520bae0	ගෙනයන මාසයක් ලෙසද
5065442240	ඒකනායක මහතා විසින් ඉදිරිපත් කරන ලද
5065530945	සිදුහත් කුමරුගෙ චරිතයට පණ පොවන්න වෙයි.
5065f78dac	මෙත් සිත වැඩීමෙන් ඵල රහිත වේ.
50669e18a9	කෝටි ගාණක් වටිනා ආභරණ වෙන්දේසියක්
5066c7bfd0	උණ කටුව සෑදීමට
5066fd46e5	අද දිනය අනුස්මරණ දිනයක් වෙයි.
5067f3f636	පහනේ තෙල් ගෙන ගොස්
50684ac5b8	අන්තිමට මේ “දර්ශනයේ තරුව” වෙන්නෙ
506854bf95	අපිට ඕන ඇති අරාබි වසන්තයක් නෑ
50687bfcd8	අද වන විට සූත්‍ර පිටකයේ
50690b200f	ඒ කෙටි හැඳින්වීමකි.
50692ac6ca	ආරංචි හැටියට මැය අනුගමනය කරන්නේ සිංහල වෙදකමයි.
506986069d	දියණියගේ යෙහෙළියක් විය යුතුයි
506a2cbab4	එවිය හැකි බව මතක් කර සිටිමි.
506a456d63	එයා අලුතෙන් හොයා ගත්තු
506a7a7dfc	හැබැයි බුදුරජාණන් වහන්සේ වදාළ ධර්මය
506a8a9d2d	පිටසක්වල ප්‍රහාරයක් ගැන.
506aeb39ec	ඇගේ එකම ආශාව වූයේ ලින්කන් ධවල මන්දිරයට තේරී පත්වීමයි.
506b180dbe	දක්‍ෂතා පෙන්නුම් කරන මාසයක් ද වේ.
506b82b42c	කඩිනමින් කරදෙන ලෙස
506c039e96	කිලෝමීටර කිහිපයක් දුරකදී
506cf1e5b4	පැහැදිලි වර්ණයක් දක්නට නොලැබේ
506cf83ec0	අප මේ මොහොතේ ජීවත්වන කාලාන්තරය තුළ
506db6b243	ඔවුන් තිදෙනාටම ආදරයක් ඇති වෙනවා.
506e4933ab	රට්ඨපාල හිමි අනුගමනය කළ බවයි
506e59f648	ඔන්න එහෙනම් වාසල අයියේ
506f3cb783	සිහි ගැන්වීමට යි.
506f95650d	ධර්ම දානය පිණිස තමයි
507051dc21	මෙම දේශනා පාඨය කෙරෙහි
50705ca430	ගෞතම බුදුන් වහන්සේගේ අග්‍ර ශ්‍රාවක තනතුර
50717173fe	උපරිම කොමඩියක්
5071950771	නොමිලේ දෙන්නෙ නැහැනෙ.
5071abd013	මං කෙළින්ම ගියේ කුස්සියට
5071f9e0ba	උපසිරැසි වල නිවැරදි වෙන්ඩ ඕන
5072af2cca	සුළු කම්කරුවකු පවා සතුටු සිතින්
5072b5fd57	අවශ්‍ය දේවල් තියනවා.
5072ce9655	ඉන්දියාවේ අලිපුර්දුවාර් ප්‍රදේශයේ
507409c5e8	මෙම න්‍යායට අනුව අතරමං වෙති
5074341401	අද අපි කරන්නේ
5074b3874f	ස්තුතියි දිනේෂ් සහෝ ජය වේවා!
5074ec1286	එක පාරක් රස්සාව නැති උනාට පස්සේ තමා
5075fee386	සියල්ල කෙලවර වන්නේ එබැවිනි.
50765bfe5e	ආයතන හයේම ඇතිවෙන දෙයක් ස්පර්ශය
507691afa1	එබැවින් පොදු ජනතාව විසින්
50770114a4	දහමෙහි ඇත.
5077340e65	අවුරුදු විස්සයි.
5077714a58	මඩවල එස් රත්නායක එයාගේ එක් නවකතාවක
5077fb641e	එයාලගෙ සංස්කෘතිකාංග එක්ක
5078602ab7	ඔන්න අපි පොලිමේ ඇවිත්
507901e04e	යමකු යම් අකුසල කර්මයක් කළහොත්
50791b67de	මම දිගටම මුදුව දාගෙන හිටියා.
50793d74f1	දෙවෙනි කොටසේදී ඔයාලා දැකපු විදියට
50798feeb2	දිගට කොටා ඇති හෑලි කියවා තේරුම් ගැනීමේ අපහසුවයි
507a08c7ca	කෝවිල් රස්සාව නිසා
507a4b12e0	මේ එක් එක් සිල් පදයෙහි
507a815891	ඉඩකඩම් රැසක් ද රජතුමා විසින්
507a837201	fb mobile
507aba9c2a	කොළඹ ප්‍රකාශනය නමින් ඉදිරිපත් වෙන්නේ.
507b26b33c	නමුත් පරම සත්‍ය කියා
507c535b75	සැලොන් කරන්න බැහැ.
507c745d8a	අපේ රටට අවශ්‍ය තිරිඟු
507c74a9d9	ඒත් ඉරානයට ගියාට පස්සේ
507cb64beb	මේ අවධියේ බෝපාල් ප්‍රදේශයේ
507cf01ddc	cricket games.com
507d7918af	තේජෝ ධාතුව කියන්නේ
507e4e5b89	එතකොට පිල්ලේ මහත්මිය කියනවා
507ec64f09	මැදිරි එක්කොට ඇත
507f11f1e3	බුදුසමයට අනුව මිනිසාගේ පරම සතුරා නපුරු සිතය
507f1e2165	මහින්දාගමනයත් සමඟ බෞද්ධ ප්‍රජාව අතර
507f215513	අම්මලා ඉන්න නිසා ‍ලේසියි.
507f6c187b	ගම දාලා යනවා.
507f710638	අතින් අතවරයට ලක්වේ.
507fad4a17	අවබෝධ වූ තැනැත්තාගේ සිත තුළ
50807624b6	දෙවැනි ජාත්‍යන්තර ගුවන්තොටුපළක් අවශ්‍ය වුවත්
5080f96355	තාපසතුමා ප්‍රකාශ කළේ ය.
508191f34f	ඉතින් ආනන්ද ස්වාමීන් වහන්සේ පාත්තරෙත් අරගෙන ළිඳක් ගාවට ගියා
5081d8c861	මෙයාල හිතන් ඉන්නේ.
5082152f2d	ඇන්ජලින් ගුණතිලක මහත්මියට මම වැඩිහිටියෙකුට ලෙස ගරු කරනවා.
508328f42e	අනුගමනය කළ බව
5083826271	එයින් දෙනමකට වත් පිළිවෙත්
5083e5d8c4	ලඟදී බැලුවා
508503092b	ඉතින් මේ ගමේ කෙල්ලෙක්
50855b2332	සීතල දේවල් සීතලටත් තියාගන්න පුළුවන් බෝතලයක් කියලා
508583cc39	නෙළා ගැනුමට මෙන්ම
5086399264	අපි සවන් දෙමු
50866f0cfa	නමකුත් පට බැන්දා
5086963fa5	කිසි දැනුමක් නැති හැඩයි.
5086a22d47	ඔහුට දෙවි මිනිස් දෙගතියේ බොහෝ සැප විපාක සලසා දුන්නා.
5086f955d8	සරච්චන්ද්‍ර ගෙන් කාලෝ ෆොන්සේකා ඇසූ ප්‍රශ්නය.
5087047476	සමාජ විද්‍යාත්මක හා මනෝවිද්‍යාත්මක ගැටලු මතුකරන්නකි
50872cb22b	එය ප්‍රයෝජනයට ගතහැකි නොවන අයුරින්
5087493465	පසුගාමී පියවරක් ලෙස.
508760c7fe	ඒත් ඉතින් නංගියෙක් කියන්නේ
5087b35618	බින්දුවනම් වෙන මොනවද බොල තව කතා.
50883d053a	දිගින් දිගට ම රැඳී සිටිති.
508871cfb5	සිදු නොවන බවයි.
508a1e51a6	එදා හැම ගෙදරකම කිරි ගවයින් හිටියාට
508a33f130	ඇති කළ පිළිවෙල.
508a62a613	එළැඹෙන අප්‍රේල් මාසය වන විට
508aca2e2a	ආසාවන් අඩු වෙන කොට
508acd53fb	ඒත් පාට එකිනෙක
508afb5e85	එහි මානසික බලපෑම
508b49f2bf	දා පටන් දුටු දේ ආවර්ජනා කෙරේ.
508b8bf126	ලොකේ තියෙන්නේ පුලුවන් කියලා බන්
508bd9c431	අපි අපට හිතෙන හරි දේ
508c0fffbd	උදාහරණයක් හැටියට අබේසුන්දර යනු
508c5ae2d1	පොලිසියෙන් හැංගිලා ඉන්න.
508d943258	උපත දිය යුතු කාලය පැමිණ ඇත
508db4008c	මිස්ටේක් එකක් වෙලා තියෙනව
508e1e2677	පැනල ගිහින් ගන්නේ
508fa15ea3	මෙම අයහපත් චර්යාව විමසීමකින් තොරව
5090182582	කැඳවාගෙන යාමට හදිසියේම විවිර වූ
50901a83bc	තුඹ නං මේ වෙනකොට
509039180a	ගල් මෝඩයෝ විතරයි.ඔක්කොම
50906e22e3	ඔන්න මං අලුත් කා‍ටුන් එකක් අරගෙන ආවා
5090b49f54	එයා ඉන්න හරියට ආවොත්
5090d5aba6	වෙන්නේ නැහැ නොවැ.
5090fde105	යාඥාවෙන් ලබා ගත හැක්කක් නොවේ.
5091238712	පිටපත් රචකයා ලෙස ඔහු නම්කර හමාරයි.
5091614eb7	මෙම ගාථාව වදාළා.
5091ba3c6b	ලොව පුරා රාජ්‍ය නායකයන්ගේ ශෝකය පළ වෙමිනුයි පවතින්නේ.
5091fa98dd	හිත සැහැල්ලු කර ගන්න.
5091fe12fc	උතුරට හා නැගෙනහිරට සේවා සලසයි
5092ac8974	වනාන්තරයක් තියෙන දිශාවකට.
5092d53e95	ඔබ ළඟට කවුරු හරි කෙනෙක්
5092df0c1b	විතැන් වෙලා පුලුවන් කමක් නෑ
5092ed8ee1	හරි දේ දැකපන් කොලුවෝ.
5092ef4a0c	එදා මෙදා තුර පුංචි තිරය බිහි කළ
509322c112	ඔවුන්ගේ රසාඥතාව හා සිංහල භාෂාව ක්‍රමිකව විකාශය වූ ආකාරයත්
5093253166	සුදුසු තත්ත්වයක නැති නිසා
50935b600d	එනිසා එහි හොඳ වගේම නරකත් තියනවා
50943560c7	සැහැල්ලු ජීවිතයක් මට තියෙනවා
509475446a	වසරක පමණ කාලයක්
