04009d2312	සම්පූර්ණයෙන් ඉවර වෙනවා
04221554e7	කැරලි කල්ලි එල්ල කළ ප්‍රහාරයක්
0422c4ca82	අපි සෑම දෙනෙක්ම
0422f76d87	සිතින් ඒ මළ සිරුරේ
04233003b4	ඒත් කිව්වේ
04234b0257	වංගෙඩියක් ගෙනේවි
0423a7f9dd	අටපිරිකර පූජාවක් සිද්ධ කරලා
0423b9bb9c	මගේ ඇවැස්ස මාමා
04240ac7c8	එය මාධ්‍ය නිදහස සුරක්ෂිත කරන
04245dc58b	කඩේ හරි යවන්න බැරිය
042465a413	කවදාවත් එකම වේදිකාවක ගී ගයලා නැහැ.
042472acad	සමගිය ගොඩනගන්න ඉතා අපහසුයි.
0424b823e0	ඒත් ඒ බවක්
0425573eba	ලොකු හාමුදුරුවෝ නිරන්තරයෙන්
0425cab727	ඒක නිකං අදහසක් !
0425df5ec7	තම ඓශ්චර්යය අන් අයට පෙනෙන සේ
0425ed63d7	malaysia airlines
042637c57a	ආර්ය සීල
04264ae939	එහෙව් ගායකයින්ගේ සින්දු අහලත් තෝ තාම අමු හරකනේ.
042686f467	මේක ආසියාවම ලැබූ ජයග්‍රහණයක් වෙන්නේ.
04269c37b9	අඩි 1 අඟල් 8 ක් උසැති
0426b5a7dc	අනාගත පරම්පරාවට බව.
0426cca5b5	multimedia software definition
0426d9575c	මුන්ට හිතක් නෑ
0426e14713	එහිදී වැඩිදුරටත් අදහස් දැක්ව
04271b7197	කථිකාචාර්ය ‍රාජකීය පණ්ඩිත
04273770fa	උණුසුම් සුභ පැතුම්
042747df24	ඔබේ අධ්‍යාපන කටයුතු
0427768c2e	බෙහෙත් ගන්නෙ ජීවත් වෙන්නෙ
0427ace434	බෝම්බයක් හදලා දාලා පෙන්නන්න කියපන්
0427f31fd3	ලබා දෙන පුහුණුවක්.
04293e4ac9	දඩයමෙන් උකුස්සා උකුස්සාගෙන් මිනිසා
042993665e	මේ චෛත්‍යය පිහිටි ස්ථානය
042b540d5a	ජනතාවට නැරඹීමට පමණක් විවෘත වන බව
042bc7835d	ඒවගේම මෙයා ඉන්න බයිස්කෝප්
042bdd6011	පරිසරය අවලස්සන වෙනවා
042c1149f7	තම නිමැවුම නරඹන්නාගේ පපුවට කිඳා බහින තරමට ම
042c7922e5	ත්‍රිපිටකධාරි ධර්මසේන හිමි යන දෙනම වූහ.
042cb48ba9	hsbc.lk
042cf86f90	අපිට දුකක් දැනෙන්නේ ඒ නිසාම තමයි
042d825500	සමාන කළ නොහැක්කේ ම ය.
042e715e44	අප රටේ දැනට ගොඩනැගෙමින් පවතින තත්වය
042eea7657	අද ඉන්න මාක්ස්වාදීන් කියාගන්නා අයට
042f42a8c0	දියසෙනලාව උපන් ගෙයිම මරා දමනවා
042fb5f755	එනම් යෝනිසෝමනසිකාරයෙන් සිදුකිරීම වන්නේ ය.
043015f8ca	රට පිළිබඳ බාහිර දැක්ම
0430cfa922	නමුත් ගව ඝාතනයට විරෝධය නොදක්වයි.
0430e2b79f	වයස්ගත වැඩිහිටියන්ට
0430e99708	උසස් අධ්‍යාපනයේ යෙදෙන අයට
0430fa1993	අබේවර්ධන බාලසූරියද සමහර දිනවල එහි ගමන් ගනී.
0431f4742f	රූප කලාපයන්ගේ වෙනස් වීම
0432293486	වැඩි ඈතක නැති බවනම් පේනවා
043249daa3	එතරම්ම ලස්සන අප්සරාවන් මේ ලෝකේ ඉන්නවාද
043327cd91	නගින්න මම ගිහිං දාන්නං
04339afeb4	ඒකෙ ගල්
0433e6a09c	ගුණවර්ධන මහතා
0433ff3f2d	ඇහුවාම මෙන්න
04348077af	නිර්දය ලෙස විවේචනය කරමින්
0435d3eed3	උන්වහන්සේගේ හැරමිටියේ එක කොනක්
0435e12749	අපි දෙන්නම දැනගෙන හිටියා.
04365e9fad	බුදුරජාණන් වහන්සේ අවධාරණය කරන්නේ
043695075d	යුද්ද කරන්නට වන්නේ
0436b64b03	පිළිකුල් සහගත නැද්ද?
0437ee4c2f	අපහාස නොකළ යුතුය.3
043889eb16	පොදුවේ සලකා බැලූ විට
0438a8ec49	අද මට මෙවැනි හානියක් වෙන්නේ නෑ.
043a071212	මේ ආරෝග්‍ය ශාලාවල ලෙඩුන්
043a5423e6	මුගේ හිතේ ඒ කියලා තියෙන්නේ තවත් මනුෂ්‍ය වාස ග්‍රහ ලෝකයක් ගැන කියල වෙන්න ඇති.
043ad00eb2	අපේ ලංකාවෙ ගායක ගායිකාවො ගයන බොහොමයක් ගීත
043b1345c2	ගොඩක් කාලෙකට පස්සේ
043b85b41d	ගීතයක් ගායනා කරනකොට
043ba58b78	ඔය කොයිකත්
043ba5e27b	එදා සිට සමන්ත කූට මස්තකයේ පිහිටි
043c4088e1	අපිට මොකෑ බොලන් ඕක
043c7eae21	අද කාන්තාවන් විලාසිතා කරන්නේ
043c7f310f	world
043ca760f6	අනික මොකද්ද මෙකේ තියෙන වැරැද්ද
043cc3d123	එන්න අපි දෙන්නා හාල්පාරු සංගමයක් හදමු
043ccb4975	භික්‍ෂූන් වහන්සේ එය පිළිගත්තේ නැති නිසා
043e8f8198	suwanda soyana mp3
043e93355c	පත් වී ඇත
043ec077e7	සිංහල බෞද්ධයන් විසින් පිහිටුවා
043efad1dc	ඌත් අපේ එකෙක් කියලා කියන්න
043f0c6712	සිදු විය යුත්තකි
043f16ca4e	එම මොහොතේ ම
043fd0ee9e	මෙසේ සියලු සත්වයන්ටම
043ffe05c8	එයත් අනිත් ජොබ් වගේම
04406dd41c	එතකොට තමයි අපට මහා සැපයක් ලබා ගැනීමට පුළුවන් වන්නේ
0440911f9d	ඒ ගංජා බොමින් දිරාපත්ව සිටින
04414edec7	ඒ සෝලංග ආරච්චිගේ පවුල
0441504599	එයා හොඳ ගෑනු කෙනෙක්
04418f1910	ඒක නිසා මුන්ට දැන්
0441bbe136	මෝඩ විදිහටනේ.ඒකයි මේ.
0441eb5960	මාම්පූරිය ගම්මානයේ පදිංචිකරුවන් බව
04420f5739	බොහෝ අය
04424c2205	කිරි නොගන්නා බවට ගණන් බලා ඇත
04426cf94b	එහිදී සියයට අනූඅටක්ම
0442bdad3a	මට ආදරය කළා කියලා
044354e924	ලියපු කවි පොතක් තිබුන මහ ගෙදර තියල.
0444ef04e1	ant
04453ede50	අපි කාටවත් මඟහැරලා යන්න බෑ.
044540230d	එම ථෙරාපදානයන්හි අවණ්ටඵලදායක වර්ගයෙහි
0445962c06	බිතු සිතුවම් නිර්මාණයට
04466b001a	ඇති ව්‍යුහය සම්බන්ධයෙන්
0446cc6e2c	ඔය කියන බෙහෙත
0447674dcb	ඔක්තෝබර් නොවැම්බර් කාලය තුළ
0447c900f4	අධිකරණය සිය තීන්දුවෙන් ප්‍රකාශ කර සිටියේ
0447d48ddc	නොවේද ඔබ රෝගී වුයේ?
0447e38a50	රක්ෂිත බන්ධනාගාර ගත කරන ලදී.
04484b9a41	ආනන්ද තෙරුන් වහන්සේ.
0448900506	මෙවැනි පාර්සල් ලැබී ඇති බව පැවසෙනවා?
044924a1df	ක්ෂේත්‍රයේ ජනතාව
04497b0c5c	මෙහි ඇති බෞද්ධ සිතුවම්
0449ba24ff	උද්ගතව තිබිමය
0449cb510c	එයා වැඩ ඇරිල එද්දි
0449f46a9d	බහුජාතික කොම්පැනියක්
0449f9a1fd	මහ මෝඩ වැඩක්.
044a7c9491	අපි දන්නව
044afcd12c	අයින් වෙන්න හේතුව
044ba7aca6	මේ රැග් එක නිසා තමයි
044bdb9c4c	සිංහල අනියමාර්ථයක් ගැන
044c08186c	පෝස්ට් එකක් නොලිවිය යුත්තේ කෙසේද කියන
044ca585c6	ගමනේදි ආටානාටිය පිරිත ඇසුරෙන්
044cf7c8f8	ඒ ගැන පැතිරී තුබූ ගෞරවයද
044d1e0ba5	ඉස්සරහට ලෝකේ මිනිස්සු අපිට වඩා ගොඩක් දැනුමින් සන්නද්ධ
044d283473	මෙම නම් අතර දැක්වෙන
044d882728	සිංහල සබ් වලට ස්තූතියි.
044e24099f	ඉතින් මේ මල්ල අරගෙන
044e9283ad	මේ නිසා ලොව දීර්ඝතම
044eabc11a	නැතිනම් මරණය නියතයි.
044ee7f8a2	සිතේ පැවති කරදරයකින්
044ef23163	මහ පොළොව මෙන්
044f49645d	යක්ෂණිය බයෙන් බයෙන් බොහෝ තැති අරගෙන
044f54149d	ඔහු කුමක් කියාවිද?
044f6fef0e	මොකෝ අතීතය කුමක්ද
044fa6799b	මහායානිකයන්ට අනුව
045041a746	ශිෂ්ටාචාරවලින් දක්නට ලැබෙන්නේ ඒ පුරාවස්තුයි
04504dde69	මහ පොළොවේ කිමිදී
04508accae	do a
0450da9371	ආජන්ටිනාවේ ඉපිද කියුබානුවන් වෙනුවෙන්
0451294951	ඒ කිව්වේ තව විනාඩියකින් විතර
04518343a0	දෙවනුව දෙන ධර්ම උපදේශය
0451d1f05f	ජනමාධ්‍ය හරහා ජනතාව අතරට
0451e70d9a	ඉතිං ඒව හැම තැනම එක එක විදියට එක එක කතා පැතිරුණා
0452192354	body building photos
0452a4f896	එමගින් සනීප වීමේදී
0452c3824f	එහි පුදුම කෘතීම ගතියක් තිබුනා
0452d72931	එක්තරා හිමිනමක් හා පන්සලක් තමයි මේ ගැටුමට මුල් වුණේ
0452f313e6	unicode converter
045377c4b2	මාලිගාවට පූජා කරවන ලද
04542854a9	ඔවුන් කෙරෙහි පරණ මතකය තියාගෙන
045450a686	අපි ඒ ඇසුරෙන් තේරුම් ගන්න ඕන.
0454649dec	අයියා දාලා තිබ්බ ලිස්ට් එකේ
045528d539	ප්‍රමුඛස්ථානයෙහිලා සලකා ඇත්තේ
0455696e50	උත්සාහකෙරුවේ
0455c406e4	ජීවිතය වෙනස් ‍වීමේ හැකියාවන් මතය
0456875531	ගිවිසුමට සම්පූර්ණ විරුද්ධව
04569aefb7	දළදා වහන්සේ භාරව සිටි කෙනෙකුට
0457025fb9	සිත පිහිටුවන්න කියලා
045754a0aa	වඩාත් අමාරුයි වගේ.
0457bdb951	මා භාර ගන්නෙ නෑ.
04586c82f8	එයි යටි පැත්ත
0459707d5e	එය සිය සිරුර් සැගවුණු
045afca31d	ඔබ අවබෝධ කරගන්නවා.
045afcb983	එතකං මේ ගෙදරට වෙලා
045b7ea405	හටගන්නා බව පෙන්වා දී ඇත
045bf9d829	පොඩි සහයෝගයක් දෙන්න.
045cca14ab	මුහුණදීමට සිදු වුණේ නැහැ.
045cd24bee	බ්‍රාහ්මණයෙනි,
045ce549f5	උඩගුවූයේ නැත
045d080203	මඟුල් බෙර වාදනය පවත්වයි
045e65b51a	මගේ අඩුපාඩු මොනවා හරි තියෙනවනම් ඒවා පෙන්නලා දෙන්න
045ea3a183	විවිධ ආකාරයකට හසුරුවා යා හැකියි.
045f0bee37	jingle bells
045f3fe9ea	නිරවුල් කර ගැනීමට හැකි වේ.
045f456cb0	water
046025d2d0	අකිල ඒ ළමයටත් කිව්වා
046082c723	එත් අපහු එන්නේ නම් නැහැ
0460ba02ef	මගේ අදහස් දැක්වීම
0461aedd4b	දේශපාලනය විසින්
0461c452f3	මෙය නිර්මාණය කර තිබෙනවා.
046238cf50	ඉතින් තවත් බලන් නොයිද
0462d110a1	ඔය කියන එව්වාගේ
046354cccb	ලෝකයේ ජනමාධ්‍ය මොන තරම් උනන්දුවකින් පසුවිණි දැයි පැහැදිලිය
04638199ce	අම්මාට පිං දෙන්නේ නුහුගුණේ අයියාය.
046460ba29	එම විනාශ වූ දේවල් ගොඩනැගීම ගැන
0464a26ef0	වෙන්නේ සබ් කරන එක එපා වෙන එක
04658f4059	ගමන් කරයි.
0465c08dad	අද ඔප්පු වෙලා ඉවරයි.
046619295c	මේ වගේ දේවල් සිද්ධ වෙනවා.
04662932bb	ලෞකික පාරේම දිගටම යති
0466636f50	සැබවින්ම මෙය එපමණ මිහිරි වියමනක් බව
04670ae5b3	කොයි මොහොතේ පිළිස්සී යාවිද
0467551826	උඹ මනුෂ්‍යයන් විනාශ කරන්න ආපු අමනුෂ්‍යයෙක්
0467e98775	සිංහල බෞද්ධයන්ගේ අයිතිය
0469297dfe	ස්වභාවික ලෝකයේ ලක්‍ෂණයකි.
0469f1338a	එතැනට යාම
046a16f936	යම් කිසි කෙනෙක් නිවන් අවබෝධ කරන්නට කැමැත්තෙන්
046ac1e569	කෝ කතන්දරේ කියලා.
046c213f12	ඒත් ඉතින්
046c7b6a2d	මේවා ඇතිකරන සන්නි යකා
046c9e4ec3	අපේ ජාතීහු
046cbc6acb	දොළොස් වියැති පුතු දියණිය සහ බිරිද
046ce6d492	ඒක තමයි බං
046d823688	පුද්ගල ගැටුම් බවට පත් නො කර ගත යුතුයි
046dd131b6	අද සිය ජීවිතයෙන් සමු ගන්නා විට
046de5d05d	එත් පොඩි ඉඟියක් දෙකක් තිබුනා
046e9b684b	ඔය ආදරේ නිසානෙ
046ee4e97a	හිටපු පොත්ගුල්ලා නෙවෙයි දැන්
046f059bbe	මේ තුළින් රටපුරා බෞද්ධ ප්‍රබෝධයක් ඇතිවේවායි පතමි
046f928142	එම අවස්ථාවේ මාතර පොලිසියේ නිලධාරින් පිරිසක් පැමිණ
046fd22f7b	එසේ නම් කවුරැන් හෝ
04710b4fcd	උතුරු කුරුකියන්නේ එක්සත් රාජධානිය වෙන්න බැරිද?
04714ee3a7	bbc sinhala
04714f976c	නෝනට මට වලි දාන්න බැරි වීම
0471509793	පොරොන්දුවක් ලැබුන වෙන්නත් පුළුවන්.
0471516d5d	රෙදි කෑල්ලක් දුන්නා.
0471a08ea4	උන් වහන්සේ මේ රට රකින්න හැදුවෙ තොපි වෙනුවෙන්.
04720b71b0	විශේෂ පලක් නොමැති අතර
04722807c1	දැන් එක එක ජාතියෙ සමාපත්ති පහළ කරගෙන
04728cf1a3	දූ දරුවන්ගේ අභිවෘද්ධියට
0472cc7723	මොන පාසලේ ද ඔබ සේවය කරන්නේ?
0473619caf	අපේ හිරු මෙන් මිලියන ගුණයක්
0473d9d2f9	මේ කතාව නැරඹුවායින් පස්සෙ
0473e9baf1	පතුරු ගැලැවී විනාශ වී තිබේ.
047410211e	ඒකට අනුව
04744fae3d	ඉන් හරියටම වසර කට පසුයි
04759a1165	රටේ ජනමාධ්‍ය මේ විදිහට බොරු ලියනකොට
04761e9e40	භාරගන්න බව ප්‍රකාශ කිරීමයි
04762b85a8	අපි හැඟුම්වලට ඉඩ දී මොහොතක්
0476611761	නිදහස අගයන පරිදිය
0476620efa	ඇය දැනගෙන හිටියා
0476c4146d	මුගලන් හිමියෝ ද ඒවා මැඩ
04771164ad	එහෙම පැනලා
04777b2289	සිංහල බෞද්ධයෙනි අපට මගක් තියෙනවා
04783a4e84	ඔන්න දැං ඒකට චාන්ස් එක ඇවිල්ල.
04784ada45	ඔබට බුදු සරණයි! ප්‍රවීන් මැනිලා
04786563b3	තම ශිල්ප ඥානය, වැඩිදියුණු කරගෙන ඇති
04788c9a2f	ඇතිවෙන දේ.
0478f56c03	ඒ වගේම අපි
047905417e	වෙන එකක් අඳින්න.
0479651ecd	gun
0479ae1b7b	ලෝංහස්ට් වැනි පුරා විද්‍යාඥයෝ ප්‍රධාන තැනක් ගනිති.
047a59fd8c	අලුත් 'සැමී' කතාව නිමා කළේ
047a5a1e9f	මේ විදිහටම හක්ගෙඩියක පාටට හැරෙනවා
047ab23fc9	ඔබලා ආනන්දයන් උනන්දු කළයුතු නැහැ.
047cf0d7a9	ඉතාම සිම්පල් කේස් එකක්.
047d145df5	යුද්ධයට එරෙහිව ගෙනගිය
047d67d29d	එය සිය සිරුර් සැගවුණු
047de34d15	බහලුම් නිදහස් කිරීමට
047ded6182	නැතිව ඉන්නලු.
047e3ee289	ඒවාට විසඳුම් ද පවතින අතර
047e4f5d9a	ඒ කොස්තාපල් එහෙම කරන එක
047e8c4053	මොකද ඉන්දියානු ආණ්ඩුව ජිනීවාවලදී දුන් පණිවිඩය
047ed15185	බොහෝ භික්ෂුහු උන්වහන්සේට ගෞරව දැක්වීමට පැමිණියද
047f09e9e1	මොනවා හරි ඉගෙන ගන්න
047f6ec062	වෙසක් පහන් කූඩු වලින්
047fd77226	එසේ නො වන නිර්මාණ නොකියවා
048055d53b	ජාතික යුතුකමක්‌ ඉටු වීමක්‌ද සිදුවේ.
04809a5962	අපේ රටේ ඉතිහාසය ගැන ආඩම්බරයි.
0480a83902	විද්වත්හු සළකති.
0480b5df92	කුරුණෑගල ඉබ්බාගමුව අරංකැලේ වනවාසාරාම කුටිය.
048180711d	පාලනය කරන්නේත්
0481bce843	ධර්මය නැති කාලයි
0481e46bd5	පස්ස දොරින් ගහනවා වගේ පනතක්.
048203a1ca	බුදුරජාණන් වහන්සේගේ ලංකා ගමනයත්,
04825affba	අනිත් ගැටළුව තමයි මාසෙකට
0482782b37	හැබැයි අපි නම් වෛද්‍යවරයෙක්‌ ළඟට යන්නෙ
0482e85063	එළම තමා මේකට
04838f74ec	මීළඟ පෝය අගෝස්තු මස 06 වැනිදා අඟහරුවාදාය.
048394d05b	දක්නට ලැබේ.
0483e9bcc9	අපි අනිකාගේ සතුටෙදි
0483f9516f	අපේ පාක්ෂිකයින් දැන් දුක්වින්දා හොඳටම ඇති.
0484007551	ආර්ථික අපහසුතාද මතුවිය හැකි අතර
04841bd94c	කිව්වේ ඒක
04841f63f2	මේ වසරේ මුල් මාස තුන
0484b1fd7c	නොමඟ යැවීමට හෝ නරක ආදර්ශයක් සැපයීමට
0484f0b67d	වැඩිමල් ගෑනු ළමයෙක් ඉන්නවා මිෂෙල් රානි මුඛර්ජී කියලා
0484f3e01f	මෙම චිත්‍රපටය විසින් දිනාගනු ලැබූ
0485505c5a	ලොව මෙතෙක් නිර්මාණය වූ
04858a3a88	කදුරුවෙල මහජන රැුස්වීමකදී මෙසේ පැවසූහ
0485d36db0	යුද්ධයේ එක් පැත්තක් පමණි.
0485f080bf	සමස්ථ මුස්ලිම් ජනයාගේ හඬ බවට පත්විය
048607af69	dubai
048617193f	එය ධර්ම දානයට අයිති වෙනවා.
048737afcf	ඔබේ පෞද්ගලික අත්දැකීම්.
04891bed89	මුව ගහනය දරන්න බැරි ගානට එන්නෙ නැතුව පාලනය උනා.
048930fa9b	පාසල ද
0489df6353	දෙස් විදෙස්හි ශාස්ත්‍රීය ග්‍රන්ථයන්හි පළ වී ඇත.
048a8a75be	ඒව කියල දීල තියෙන්න එපායැ තේරෙන්න..
048a95bb8c	ඒ වෙත අද්දවා ගනිති.
048ab7dddf	මෙසේ දේශනා කර ඇත.
048ac041a7	ඔයා කියන්න වගේ මේවා
048ace639b	උද්ඝෝෂණයේ නිරත වූ අයුරු ඡායාරූපයේ දැක්වේ
048b77e797	මෙතන ඇරෙන්න චිත්‍රපටය ගැන
048bfe4f72	ඇගේ කඳුළු කැමරාවෙන් වසන් කළ නිසා ජනතාව දැක්කෙ නැහැ.
048c0c2dfb	ඒත් ඔවුන් වෙනත් සත්තු
048c15271b	පොලිසිය පසුබට වන්නේ නැහැ
048c9b199e	සරසවි ආචාර්ය මණ්ඩලයද
048d465b40	මොකද ඔතන තියෙන්නෙ
048da4a9f0	ආණ්ඩුව අමාරුවේ දැමීමේ කුමන්ත්‍රණයක යෙදෙනවා
048dadb736	fb mobile
048dffd1be	අපි කතාව නිම කිරීමට පෙර
048e0f9d99	ඒත් හාමුදුරුවරු ඇවිත් ආවේගාත්මකව හැසිරිලා
048e4b5436	තමන් විප්ලවාදීන් යැයි කියාගත් අමනයන්
048e9cfaae	විදුලි බල්බ 30000 කින් සමන්විත වේ.
048ea54cb1	සංකල්පීය වශයෙන්
048f0a753d	පුද පූජා කරන්න පටන් අරන් තියනවා.
048f16231a	බුදුදහම නිර්දේශ කරනු ලබන්නේ
048f20b711	එතකොට ආයිත් දවසක දැනගත්තොත්
048f436e94	ඇය ම මව වන්නී ය.
048f503c70	අසරණ නිසාම ඉවසගෙන හිටියා.
048f8263a0	එංගලන්තය එරෙහිව ලන්ඩන් ඕවල් ක්‍රීඩාංගණයේදී අද
048fc2e153	හැබැයි පැය විසි හතරෙදිම
0490664c8a	maubima
04907d8e41	ගදෙන් සුවඳ වෙන්කරගන්න දන්නවා
0490c830d7	ඒත් හැකි සෑම වෙලාවකදීම
049271755d	මේ පන්සලේ ඉස්කෝලෙ තියාගෙන
049289fd0b	මගෙන් කරන ලද ඉල්ලීමකට අනුවයි.
049300f055	විහාර භූමිය ඔස්‌සේ ඉන් පිටතට දිව ගොස්‌ ඇත.
04930d444e	එබැවින් සත්ව ලෝකයෙහි
04938f9a5b	දෛවය කර්මය මේ ඕනෙ දෙයක් ගැන.
0493bd2713	මිනිස් දැක්මට ගෙන ඒම යි
04940a6ea5	උතුරට ඒක අවශ්‍ය නෑ
049433e340	එම කෘතියෙන් ආවේශය ලද
0494982462	බුදුරජාණන් වහන්සේගේ කාලේ දවසක්
0495473bb6	කතාකරා කියල ඇතුලට දායිද
049643a2c2	උතුරේ සිදුවිය නොහැකි ඇයි?
0496629ec6	මහජනතාව ආයෝජනය කල මුදලට
04972a2fe3	විභවතාව පුද්ගල මනස තුළ
049731e5e8	ගුවන් නියමුවන් දෙදෙනා පිළිබඳව ද
049745b6a9	එතුමා හැම තැනම
049825088d	ධනය මිල මුදල් හා තම ව්‍යාපාර වලින් වාසි සැලසේ.
04984b0f2c	වතුර ලබාගන්න අවස්ථාවක් නැති නිසා.
04985729a1	ස්කයිප් මඟින් ඵලාඵල සපයන එකම ජ්‍යෝතිෂ සේවය.
0498ba4ade	හරියටම පාළු අහසක
04994d8d78	පරක්කු වැඩියි.
049a34853b	දේශපාලනේ කියන්නෙ ඉගෙන ගත්තු අයට තැනක් නැති
