ab0035e9c5	මේඝදූත පුරාණයට අනුව
ab2f6170f0	මූලික ධර්ම අධ්‍යාපනයෙන් පස්සේ භික්ෂූන් වහන්සේලා
ab2fc28bf4	විශ්වවිද්‍යාවලින් පිටවන්නේ රැකියාවක් අතැතිවයි
ab2ff0b252	ඒ වනවිටත් මහනුවර බලා ගමන් කැර සිටියහ
ab30507578	ඉතිහාසය විකුණගෙන කෑමටත් පමණි.
ab309f1526	එයා යටතේ තමයි
ab30df3fbe	වැදගත් තොරතුරකි
ab319915cf	වගකීම දරන්නේ නීති අධ්‍යාපන සභාවයි.
ab31af2598	අප විසින් සිහියේ තබාගත යුතු ය.
ab321389db	ඒවා සෝලියස් මැන්දිස් කලාකරුවා විසින්
ab3247dfa0	එත් රොසිටා කැමති නෑ
ab325b9750	තමාගේ තර්කයට වාසි දායක දේ පමණයි
ab32b78d03	හිඟමනේ යාමටය
ab33089a97	උදෙසා අල්ලකප්පයෙහි ස්ථූපයක් ද
ab3312531f	නංගිලා තුන්දෙනයි මල්ලියි අම්මා
ab332c395b	තම තමන්ගේ මත කිය කියා
ab33f2b200	මේ මේ ගුණයන්ගෙන් සමන්විතයි.
ab3443e8f2	මව දියණියට
ab352a96cd	මේක හොයන්නත් බෑ.
ab3594fbf9	වැය වී ඇත
ab35a86cbf	ආගමක් ජපානයේ පැවතිණි.
ab35b904ac	අනිවාර්යෙන් සුදුසුකම්තියෙන කවුරු හරි ඉන්න ඕන.
ab35dce105	බාල සෝයා බෝංචි දුන්නේ කවුද?
ab35dce5a9	අපට ඉතා මනස්කාන්ත වූ
ab36879fd2	මෙම සියලු ම දේ
ab36b7f35f	උපාසකයා අසුන්ගෙන බණ කියන විට
ab37670bea	ෆිල්ම් එක බලලා
ab3804e563	එත් මේ තමා අපේ හදවතේ එක ලෙස ජීවත්වන ගායකයින්
ab3946126e	tony greig
ab39645365	දඩයක්කාරයාගේ දුවව අරන් ආවට පස්සේ තමා
ab39672458	රටේ සෑම පුරවැසියෙකු සම්බන්ධයෙන්ම
ab39908c6e	හිතලා වෙන්න පුළුවන්.
ab39a0941d	ඒත් එයා මගේ විශ්වාසය බින්ද නිසා
ab39bcb4cd	ඇතැම් කවි
ab39f6644e	කතා ලියවන එකේ
ab3a79c384	story in tamil
ab3aa89855	මම දනිමි.
ab3aabb50b	ජීවීත අවදානමක් බවයි කාර්මිකවෛද්‍ය මතය
ab3b845d00	අදාළ ගැටළුව දෙස
ab3dec2a60	එතුමියට තිබෙන ප්‍රශ්න ගැන බලන විට
ab3f3b250d	චිත්‍රපටිය කොහොමද කියලා.
ab3f8e5f9a	මගේ ඉස්සරහ දිගහැරුණා
ab3fbaee62	එහි ඇති ත්‍රිමාණ සිනමා ශාලාවලට අමතරව
ab3fec2677	එයට හේතුව තමයි
ab405c5f30	එළම කිරි
ab41616f68	බොරු කීම,
ab41c1590e	ඔහු ඉතා මැනවින් නිර්මාණය කර තිබේ.
ab4285e692	අන් අයගේ සිත් රිදීම් සම්බන්ධයෙන්
ab429a83d7	ඒත් මං ගායනා කරන්නෙ
ab431508ba	අපි බලමු එහෙනම් ඊගාව කොටස මොකක් ගැනද කියලා
ab438ca595	එකමත් එක රටක දේශද්‍රෝහී පිටුවහලකු
ab44531cf7	එහෙයින් දරු ප්‍රසූතියෙන්
ab44850141	edward and bela
ab44fd259c	කඨින බලය බලපැවැත්වෙන
ab45caf791	දිව්‍ය සැපයෙන් දිව්‍ය ශරීරයෙන් බබලනවා
ab45e52870	ක්‍රියාත්මක වී ඇති ‍පොලිසිය
ab460b67b5	ඇහුවට වැඩක් නෑ
ab46c8f0b5	මහජන මනසට මොනවාද මේ ඈතුලත් කරමින් සිටින්නේ?
ab46dba491	ඔයාලට බලාගන්න පුලුවන් වේවි
ab47465862	නමුත් දෙමව්පියෝ සැලකිලි බලාපොරොත්තු වෙනවා.
ab475a3736	එබැවින් චිත්‍රපටය තුළ
ab477b484c	ලංකා වැදි පරපුර ගැන ලියූ කෘතීන්ය.
ab478a844e	දර්ශනීය සැතපෙන බුද්ධ ප්‍රතිමාවක්
ab47aa2256	මෙම ධනය පැමිණෙන්නේ මෙරට බැංකු පද්ධතිය ඔස්සේය.
ab48e58a16	එහි භූමි වශයෙන් සළකන්නේ
ab490621fc	ඉංග්‍රීසි යෙදුම්
ab490815c4	මේ නයින් බලන කල්හි
ab4988590a	බමුණෝ
ab49e70484	යන්නේ මොකක්ද කියලා.
ab49f69a3b	අප විසින් සිත කය වචනය යන තුන් දොරින්
ab4a349a92	වර්තමාන ස්තූපයේ උස අඩි 192 කි.
ab4a3c3aed	සමාන්තර අත්දැකීම් තිබූ විට පමණි.
ab4a47def7	විශේෂයක් කරන්න ඕනේ.
ab4b32fd88	ධර්මය පිළි ගන්නෝ
ab4b8d058f	මෙම රජ මහා විහාරයේ ඇති පැරැණි විහාර මන්දිරයේ ඇති
ab4baa4769	උඹගෙ අදහසට මං කැමතියි.
ab4c98d801	පලි ගැනීමට මාන බලමින් සිටීම
ab4ca8f449	ඔය සින්දු දෙකම මම අහන්නෙ තනියම ඉන්නවනම් විතරයි.
ab4d2e6ea9	විශේෂයෙන් බලපෑ පින්කමක් තියෙනවා.
ab4d8764cf	මෙයින් යම් පමණක ගැටලුකාරි සමාජ සම්බන්ධතා ඇතිවන්නේ
ab4d9c69d8	අනේ අනේ මේ දෙන්නට
ab4dd3eb67	එදිනම පස්වරු වේලාව
ab4e57d5be	ඒගොල්ලො හිතන්නේ
ab4e703072	සපයන්න ඕනේ.
ab4f53769c	පියවර ගැනීම සඳහා
ab507b5d21	අපූරුවට දඟ කරන මුහුදු රළ පෙළට වඩා
ab50add05e	උදේ ඉඳන් හිට්ස් හයි ජැක් කරලා මගේ දණහිස් දෙකත් රිදෙනවා
ab515f0609	කලාකරුවෝ හුඟ දෙනෙක් ඉඳලා තියෙනවා කළුබෝවිල.
ab516436c9	කාගෙත් ප්‍රසාදයට හේතු විය
ab51977956	බුද්ධානුස්සති බෝධි පූජාවයි.
ab519f208a	ත්‍රිපිටකය පාඩම් කරගෙන යනවා කියන දේ
ab51d25e61	අනික යකෝ මේ රටේ දේශපාලනය
ab51ec3a8a	ඩැනී මැතිසන් ව බේරගන්න යන ගමනේදී
ab52889aa2	තිරේ පලල් උනාම
ab52cc7bbb	සිංහලයෝ ආවේ විජයගෙන් නම්
ab5312e31a	හැමදාම වගේ අදත්
ab5340a0fd	යකෝ අනික් රටවල් වල උන් නිසා තමයි
ab537e8b2b	එනම් භූමි ප්‍රදේශයක්
ab53a5ff2e	පළ කෙරෙන විද්වත් මත පිළිබඳව
ab53bbbaed	american
ab53e00d06	උග්‍ර අතට පත්වෙමින්
ab53e2919b	වසරේ අපේ තවත් ඉලක්කයක් ඉටු වු දිනයක්‘
ab5417ecb5	භාවනාවෙහි ප්‍රතිඵල හෙවත් ආනිශංස පිළිබඳව
ab544eb346	හැමදෙනා දිහාම බලන්නේ
ab5456d826	උතුරු මැදපළාතේ සිදු කළ පර්යේෂණ
ab5489a217	මෙම තත්ත්වයේ ඇති භයානක බව
ab54a73e0a	උන්වහන්සේගේ ජීවිතයට ආලෝකයක් වූවාට සැක නැත.
ab54a9537b	තක්කාලි මිල වැඩිවූ විට
ab553adcf8	මේවා අප කථා කරන්නේ
ab55489dab	දඬුවම් කරාද?
ab55a84ec6	ඔබ පවසන පරිදිම
ab56026778	බය නැතිව කියන්න පුළුවන්.
ab569747e3	පාසලේ දී
ab56bfff33	රූප ශබ්ද ආදි සියලු අරමුණුවලින් ලැබෙන ආස්වාදය නිසා
ab56caabb7	ඒ ටිකත් අදාල කර ගන්න හිතුනෙ.
ab56f2ac8b	බොරු කටකතා විතරයි
ab57073f8f	ලක් වෙන්න වෙනවා
ab570ee177	අප අපරාධයේ හවුල්කරුවන් වන
ab579c3aa0	ඒත් හැම මඟුලටම විරුද්ධ වෙන
ab585c6b54	ස්තුතියි සහෝ දවසට ගෑළපෙන
ab58a834fa	මම ඔබෙන් සමු ගන්නවා.
ab58c98dfc	රක්ෂිත වනාන්තර වෙතට යොමු වීම
ab58dc4fb2	රෝග කාරක හේතු වළක්වාලීම
ab58ece04c	එක නයිෂ්ටික බෝම්බයයි
ab5957eaf2	ශ්‍රී ලාංකිකයන්ට සම්මා දෘෂ්ඨියේ ආලෝකය වැටුණේය.
ab598cba9b	උඩු මහලින් හට ගත් ගින්න
ab59df3ad6	ඥාතියකු වෙනුවෙන් මුදල් වැය කිරීමට සිදුවිය හැකි දවසකි
ab5a218d51	සෑහෙන්න ලොකු බලාපොරොත්තුවක්.
ab5a62df65	උඹට මොනාද ඕනෑ කියා සුද්දා අහනවා
ab5acd1de7	එවැනි තත්වයක් තිබෙන බව පිළිගන්නා
ab5aef4d6a	සිත් පිත් ඇති දරුවකුට හැකිවේද?
ab5b1487ac	ඔහු ඥානවන්තයෙක් නිසයි.
ab5b303926	අපි අළුත් වෙන්න ඕන
ab5b9bc91c	ධර්මධර විනයධර උගත් හිමිවරුන් එක්තැනවී
ab5beb0513	සියලු පාපයනට යොමු වේ.
ab5c609d7c	මා විශේෂයෙන් මේ පිළිබඳව
ab5d456800	කෝ මට කියන්න දෙයක්
ab5dd25c07	ශාන්තිය උදා කරගත හැකිය.
ab5de53fc2	සටන තිබුනෙ
ab5eac49f0	මර්ධනය කිරීමට ජනතා විමුක්ති පෙරමුණ
ab5ec10d9f	එදා භික්‍ෂූහු බුදුරදුන්ගෙන්
ab5eee767a	සිටින බව පෙනී යනවා
ab60996af1	ට වෛද්‍යවරු පියවර ගත්හ.
ab60da6367	ඒත් සාමූහික ශක්තිය
ab61cabd83	මේ විදියට එකම එක දෙයක්
ab61f073bc	තුවාලේ තියෙන එකාටයි වේදනාව තියෙන්නේ
ab61f36c0f	ඉතින් අබාධිත දරුවෝ ඉපදෙන දෙමව්පියන්ට
ab62750682	ගෙවිලා නැති කරන්න තරම් කාලයක් තමයි
ab63196edd	සමාජයේ පවතිනුයේ කර්මය හේතුවෙනි.
ab6352dc5e	කුසිනාරාවැසි මල්ල රජදරුවන් වෙත දූතයෙකු පිටත් කරවීය
ab6375fa05	ඔබෙත් මේ රටේ ජනතාවගේ වාසනාවටයි
ab6377f045	එම සෑම ශාකයකම
ab6410bc92	මාවත් නම්මාගන්න පුළුවන්
ab64448b0d	යාල උද්‍යානයේ මෙන් කාර් හෝ වෑන් රථ
ab64d30264	එක්තරා විකාරයක්.
ab6539f4d9	එහෙත් සංශෝධනයෙන්
ab6572297c	හිර වෙන්නයි.
ab65b093eb	මේ උපාසකතුමා එක් උපායක් යෙදුවා.
ab65c11b07	එජාපයේ අර්බුදයක් තියෙනවනේ
ab662ddaf5	එසේ සිත පහදවා ගැනීම
ab663994f8	සිදු වී ඇත්තේ අට ලෝ දහමටයි.
ab67e05b29	උදේ බුදුන් වැඳලා වැඩට යද්දි
ab688d36d6	මට කියන්න.
ab68a62a87	හ්ම්! මම විනිශ්චය කරන්නෙ නෑ.
ab68ada946	දේව නම් සෙන්පතියෙකු විසිනි
ab68cd8b6b	අවිවාහක ඔබට විවාහ සැප හිමිවන
ab6904e605	පැවතිය යුතුය.
ab695c3e7b	දේශනා කරන ලද සත්‍ය දහම වන්නේ.
ab697f234d	මක්නිසාද යත්,
ab6b2d1624	පිදුරු ගොඩක් ගසා
ab6b32c19c	මෙම ප්‍රතිපදාවෙන් බිඳී යන මානසික බන්ධන
ab6b961a7d	එක් පාර්ශවයක් අසතුටු වීම ස්වභාවිකය
ab6c063891	මට හිතුණා.
ab6c210b42	අලුත් ළමයි ගන්න
ab6c52ba6f	මේ භාවනා ක්‍රමය නිති ප්‍රගුණ කරනවා.
ab6d0ec30b	අවබෝධ කරගත හැකි වේ.
ab6d3772ed	හිත හැදෙන්න දාගන්න හිතාගෙන ඉන්නෙ.
ab6def317b	එය වෙනස්ම ආකාරයේ බීච් පාටියක්
ab6ea2b9bc	එසේ වූ පමණින් තම බිරින්දෑවරුන්
ab6f7ab69b	මේක බලලා අපි අපි ගැනම ටිකක් කල්පනා කරල
ab6fbae000	බං අපි නාකි වෙනවා ගෙදට්ට
ab70245713	නිසඳසකට ප්‍රබන්ධ කරන ලදී
ab7035a461	ඒ සමගින් නැවත හමුවෙමු
ab7076869f	ගුණදාස අමරසේකරට අනුව
ab71a06632	වැඩකරපු ගෑනු කෙනෙකුට දුන්නා.
