ce00133978	ස්තුති සුභා
ce10b1d04f	යන දෙගිඩියාවෙන් ඉන්නෙ.
ce10c4b1dd	ආරම්භයේදී ආදරවන්තයන් දෙදෙනෙක් යම් දෙයකට බහින් බස් වීමක් හේතුවෙන් ඔවුන් යන්න ගිය ගමන නොගිහින් ඉන්නවා.
ce10f1b053	මවු බිසොව කිරි දුන්නේ
ce11010b51	අප රටේ ප්‍රධානම ආහාරය වන
ce116ae973	මන්ද
ce117b028d	ඒ ළමයින්ගෙ අවංක අදහස් වෙන්න ඇති.
ce118c796b	අපේ රටට අවශ්‍ය තිරිඟු
ce11fdf9e4	අපි රූගත කරලා අවසන් කළා
ce126b798b	පණ රැක ගත්තේ අත්තනගල්ලේ පිහිටෙනි.
ce12d7e836	මැදියම් රාත්‍රියකටත් වඩා අන්ධකාරය
ce135df5ee	ඉතා සුළු කාලයක් වත් ජීවත් වීම
ce150710ec	ටැබූවත් මතක් වුනා කියහන්කො එක පාරටම
ce155d4610	අභ්‍යන්තර ගැටළු තියාගෙන තමයි
ce157b7f19	පව පින ඇති බව ඔප්පු කර පෙන්වන්න.
ce158da047	ලේ බිංදු මෙන් ගලා ගිය
ce15a6ffde	මීට දින දෙකකට පෙර
ce16afd792	pachwork bags
ce16b99769	ලබන සතියේ නඩේ ගුරාට ගොඩවෙලා බලන්න.
ce16ca99bb	එවැනි නීති විරෝධී උසාවි ගැන වාර්තා වෙයි.
ce179aeab0	මඩුවට පැමිණ රජුගේ රෝගය
ce1833333f	අනුන් වෙත දේශනා කිරීම
ce1869723c	රැජිණව ආරක්ෂා කරගෙන හිටියත්
ce18752da8	එම පැහැය
ce187bf7e6	එතකොට ස්වාක්ඛාත සන්දිට්ඨික අකාලික කියන කරුණු තුන
ce18886671	කටු සටහනක් තැබීම වරදක් නම් මිත්‍රවරුනි සමාවන්න
ce18b3b0c2	ඒ සඳහා මුහුණ දීමේ හැකියාව ලැබෙයි.
ce18bc16b6	අම්මයි තාත්තයි දෙන්නම හොඳයි කියනවා වගේ.
ce19224ddd	මේ නිසයි අලියා පෙරහරට සම්බන්ධ කරගෙන තිබෙන්නේ
ce19b10050	බඳවා ගනු ලැබූ එකසිය විසිහය දෙනෙකු
ce19c12d40	ගැහැණිය මිනිසාට පිහියෙන් ඇණ සිරකර තබයි
ce19fbf0d1	අපි පටන් ගත්තු මේ වැඩේ
ce1a305d48	යම් දවසක ලෝකෙන් ආගම් සියල්ල නැති වුනොත්
ce1a5946c2	කතන්දර මහත්තයෝ
ce1a847914	එහෙම හරියන්නේ නෑ
ce1a997a3f	බිය ශෝකය හැඬීම වැලපීම ආදිය
ce1abac316	තුෂාරි අපේ ඔෆිස් එකට එනකොට
ce1ae04666	ඔබ හෝ මා වුවත් සෑම විටම
ce1ae79e83	ඉකුත් හත් වැනිදා දිනය තුළය.
ce1aecfdcd	අධ්‍යාපනය යන්න සේම
ce1b03e5c0	මෙතන දාන එකනම්
ce1b845f69	ගුණාත්මක බවින් වැඩි නිර්මාණයක්
ce1b8ce7bc	අණ්ඩකෝෂ මිදී ගල්ගැහෙන එක.
ce1baae3a6	අම්මපා හදවත පැලෙනවා.
ce1be7beec	එකසිය පනස් නවයක් ඇතුළත්ව තිබේ
ce1c065af9	දියණියන් අඹුවන් ලෙස තියා ගෙන සිටින පිරිමි
ce1c1a22bb	කාන්තාවන්ගේ් දෝෂයද
ce1d73905b	අනිත් ෆිල්ම් එක තමයි
ce1da192dc	මෙතන ඉදලා මේ පාර කොටස ගැනත් පොඩි හැදින්වීමක් දෙන්නම්කො.
ce1db19417	එම ගම්වැසියන් කියූ කතාවක්
ce1df68d48	ආපු හැටියෙම හිනාව නැතුව ගියා.
ce1e1eca9f	පුදමයක් නෙමෙයි.
ce1e3806ee	ඇත්ත වශයෙන්ම ආහාර සුරක්‍ෂිතතා පනතක් අවශ්‍ය වන්නේ ඒ අඩුව පිරවීම සඳහාය.
ce1e416d6f	කියන තැන තමයි මම ඉන්නෙ.
ce1e541074	පහේ ජාති හොයා ගැනීම කොහොමද කියලනං
ce1e5b266b	වගකිවයුතු අයත් ප්‍රකාශ කලහම
