41001ae0cd	විනය ප්‍රඥප්ති අත්‍යවශ්‍යය.
412c163551	ලිහිල්වෙන්න කැඩෙන්න හිතෙන කියන පතන විදිහට යි.
412d745f78	සම්පූර්ණ කළ ආයුධ පුහුණුව
412d997ef9	රටේ වෙනස් වීම
412e2c3778	අද වන විටත් කිසිම තොරතුරක් නැත.
412e791bb2	අපට කන්න අඳින්න අරගෙන
412e85986b	ඔවුන් තුළ ඇතිවන්නේ
412ea79494	අනිකාට අයිති ඉතා වටිනා දියමන්තියක් විකුනා පෝසත් වීමයි
412eb6aaa5	බෞද්ධ අබෞද්ධ සියලු දෙනා
412f8aca36	ඉස්සර කරපු කතා එක්ක බැලුවාම දැන්නම් ඔහුගේ පරිණත බවක් තියෙනවා
412fd53df0	මට ගුහාව ගැන කතාව කිව්වේ
412fe23e8d	මේ වගේ රටට අපහාස කරලා
4130b7e15c	අම්මා හැරුණාම අනෙක් කිසිම කෙනෙක්
4130bdd4c5	බුදු ගුණ ගැන කල්පනා නොකර
4130d8b47b	වඩා විස්තරාත්මක වශයෙන්
4131636cc3	එයින් නැඟුනේ මනුෂ්‍ය කෙඳිරිල්ලක්
41317d76c7	එයට අවසරය ලබා දීම ප්‍රතික්ෂේප කර තිබුණි
41330e6c17	තෙලිතුඩෙහි තවරාගත්
4133bb3c29	බත් කන්නවත් එන්නේ නෑ.
41343ac233	නිකුත් වී
413509bf53	ප්‍රතිපත්තිමය තීන්දුවක් ගන්නේ
4135311531	වෙන්ඩ පුළුවන්.
41355b53d9	මට නං තියෙන්නෙ
4136ecd93e	බුද්ධ භාෂිතය අනුව
41375f9b97	දානෙ වළඳනවාමයි
41378d165a	ගුවන් යානය සුන්බුන් ගොඩක් ලෙස
4138169596	බිනරපුර පොහෝ දිනයෙහි වැදගත්කම පිළිබඳව
4138173ceb	ත්‍රස්තවාදී ගැටුම් අවසන්ව
41386ce873	පක්ෂයේ ප්‍රබලයින් රැසක්
4138716b24	උපතේ ශනි බලවත්
4138a42c01	කිසියම් ගැටලුකාරී තත්ත්වයක් නිරවුල් කර ගැනීමට
413902f675	බොදු බල සේනා වැනි සංවිධාන
41395249a7	උන්වහන්සේ තමන් වහන්සේගේ සිත
4139540471	මෙය අති ප්‍රසිද්ධ අග්‍රබෝධි විහාරයට නුදුරින් පිහිටා ඇත.
4139f527ea	ඊට පස්සේ බුදුරජාණන් වහන්සේ අර අධිෂ්ඨානය අත්හැරියා
413a26a93d	මනුෂ්‍යයන්ට වගේම දෙවියන්ටත්
413a522e6e	එයා මා වෙනස් කළා.
413a629e21	මේ කියන ඒවා කියන්නේ.
413ae5b6ef	යටිහිත අකරණ වැඩක්.
413b9fde69	නමුත් දළදාව කෙරෙහි
413c93c0fb	පේ්‍රම සබඳතා හා විවාහ දිවිය කෙරෙන්
413df86013	මේ ගාථාව වඩාත් සුදුසු වනුයේ
413f303d65	යකඩ දම්වැල් සවිකොට
413f4bf21e	අයිතිය පිලි ගනීද?
413f52789d	කාටවත් නොදැනෙන සේ විනාශ කරදමයි
4140da2749	එක්තරා ගම්මානයක්
414143a570	ඉල්ලන්න
4141533966	ගතයුතු පාඩම් පමණක් ගෙන
4141850797	වැව් බැම්ම කැඞී ගියා
4141898a78	සැබෑම කළ්‍යාණ මිත්‍රයා හඳුනාගන්න
4141d13742	එහෙත් අද සිදුව ඇත්තේ
41430f1411	මරණය ගැන.
414313ac4e	මෙම ප්‍රකට ව්‍යාපරිකයාට මේ දිනවල රටේ ප්‍රධාන අර්බුදයක් වී ඇති ප්‍රශ්ණයක් සම්බන්ධයෙන්ද චෝදනා එල්ල වෙමින් තිබේ.
41436cefc9	අපි අපට ගැළපෙමින්
41438c582a	උන්වහන්සේ බොරු කරනවා
414447e8ae	මේ ජන ගී ක්‍රමානුකූලව සැකසී
4144b61cdd	පරලොව ජීවිත සුගතිය කරා යන්නේත්
41451b0cf4	වස් එළැඹෙති.
41452984ac	අපි මේ වැව් දෙකේම
414589dadb	ගායකයෙකු නාම යෝජනා භාර දී තිබේ.
414668838f	nishantha bandara
4146932023	ඒත් නැවත එන්න
41476b64ae	තෙරුවන් සරණ ගිය ශ්‍රැතවත් ආර්ය ශ්‍රාවකයන්ට
41487ca99f	ආගන්තුක ශ්‍රමණයන් වහන්සේ ගේ
4148e0b464	එනම් කෘෂි අංශයේ ඵලදායිතාව
41490787b3	භාරතයේ පැවැති සමාජය
41492e989f	ඇමරිකාව පිටසක්වල ජීවීන් කියන විසබීජෙ
41493d9909	එදා පැවැති වන්දනා ගමන් සම්ප්‍රදාය අනුව
414953979e	මැරීඩ් කපල් වලට ලව් එක
414976ddf0	දෙවියන්ගේ ආශිර්වාදය ලැබූ අයුරුද දැක්වේ.
41499eb54f	සාලයට ගොස් මුහුණ බැලීමට ඇති
4149bf201b	විශාලම හිටි පිළිම නිර්මාණය වෙනවා.
414a4049cf	ඒවා වයසක අම්මලාට ලබා දී
414a66bb75	ඒවා සුදු පැහැයට හුරු
414aacf7f8	sri lanka school girl
414af14420	බුදුරජාණන් වහන්සේ ප්‍රමුඛ භික්ෂූන් වහන්සේට
414b6258ae	එකසිය පනස් තුන් දෙනෙකුම චීන ජාතිකයන්.
414c7da9cb	මම අකමැතියි.
414ce0f6a4	ඇතමුන් නිසි අවබෝධයකින් හා සැබෑම ජාතික හැගීමකින්
414e604585	සිදුවුනු නීති විරෝධී ඝාතන
414e66c812	හැමදාම අපි ඔබත් එක්ක ඉන්නවා.
414ebdcdbe	ජංගම දුරකථන සමාගමක් මිලදී ගැනීමට
414f2facb0	හිත කිලිටු වන දේවල්
415038966d	උසස් ප්‍රතිඵල අත්කර ගත හැකි වේ
415046ba22	අන්න ඒ වගේ කුහරයක හිර කරලා
41508a7274	එවැනි ලිංගික තේරීම්
415132320c	මේ පිළිබඳව පැමිණිලි කර ඇත
41513cb1f4	උබලාගේත් බඩගෝස්තරයම නොවෙයිද?
415191c447	එම දීර්ඝ විස්තරය ඉතා සංක්‍ෂිප්තව
41526384e2	අපිට හැබෑවටම සැනසීමක් ඇති
415292b20b	නිකං මොකද්ද වගේ.
4152ce185c	ගලා ගිය උණු ලේ වලින් සේදුවා
4153543679	උසස් තත්වයකට ගේන්න තිබුණා නේද?
4153b58f57	බ්‍රහ්මයන් ඔබ වහන්සේලාට නම් දැකිය හැකි වන්නේ ය
4153c37aab	ඇති කරනු ලබන බලපෑම විය.
415432de79	උන් වහන්සේ මේ ලිපිය සැකසීම සඳහා
4154549944	නඩේ ගුරා කණ්ඩායම හැම විටම
41546b0a4c	ඔහු තමයි ඩේවිඩ් ව බේරගත්ත පුද්ගලයා කියලා
415482bcf2	සිත තුළින් ප්‍රහීණ කිරීමට නම්
415496ccff	හැබැයි ඒ සංවේදිකම තියෙන්නේ
4154c57a4c	උඹලට මේ රටේ ඉන්න දුන්න එක
4155232729	එහෙම තියෙද්දී මෙහෙම කියන එක නාකයි
415568ddfe	යන කරුණු දෙකම ගැබ් වෙලා තියෙනවා
41559c666a	නමුත් ඊයෙ බණ අසද්දී
4156357b37	පූජා වශයෙන් හෝ අනුග්‍රහ වශයෙන් හෝ
415697f42a	සැලකිය හැකි මිනිසෙක් හමු වෙයි.
4156a6bcb9	සුද්ද කරන්න දඟලන්න එපා
4156f524a6	අභිසමය සංයුත්තයට අයත්
4157b0dc27	ඥානයම ධනයක් වන බැවිනි.
4157b0f83e	අද විද්‍යුත් මුද්‍රිත මාධ්‍ය තාක්ෂණය දියුණු වෙලා
415943ad4f	සමස්ත රට පුරා
41595104c8	දැනුමැත්තෙක් විය
4159981f17	අතීතකාමී පදවැල් ඔහේ වැමෑරීමය
41599d4df8	මේ මැදිහත් වෙලා තිබෙන්නේ.
4159d19461	දැන දැන ම පේරා ඉල්ලපු එවුන්.
4159dc2d80	මේ ශාසනය තුළ හික්මෙන පුද්ගලයා පමණයි.
415a4b8d75	බුදුරජාණන් වහන්සේ
415aa53b68	බැරි වෙන තත්වෙට පත්වේගන එනකොට
415b12f797	හොයාගත්තෙත් උඹ වගේ එකෙක් වෙන්න ඇති
415b79b6d7	මුහුණු පොත හරහා මට මගේ ප්‍රථම ප්‍රේමය හමු උනා
415b853d99	නමුත් ඔහුගේ පාසල් දිවියේ
415b89285a	ලංකාවෙ දේශපාලනය කළේ
415ba92a2f	ඔබේ මනාපය ඒ විදිහටම පල කරන්න.
415c8d6ea8	කතාන්දර කීම සාධාරණ නොවේ.
415ce357a3	කිඳුරා සක් දෙවි රඳුගේ පිහිටෙන්
415d38a300	තෝරා ගන්නේ.
415d4fcb2f	ඉස්සර ඕක මුලින්ම ලංකාවෙ පෙන්නපු කාලේ
415e059870	එක ඔය අයම හිත ගන්නකො
415ea86159	මේ නගරය මුලු ලෝකෙන්ම
415efe225e	sri lanka business pages
415f7215d0	කිසිවකුට බියෙන් දැයි ඔබට සිතෙනවාද?
415fc2d303	සම්මානයට පාත්‍රවන බව දැන ගත්තා
415fcee01d	පෙරහැර නිමා වෙත්ම
4160166424	එදා රජ දවස
41603d9457	ඉතිහාසයෙහි සඳහන් වේ.
416040101e	එම ආගන්තුක උත්තමයා
416057a7a0	මට හිතෙන්නේ කකා මතු කරාපු මේ කාරණාව
4160b72a93	බ්‍රහ්ම විහරණ ගුණධර්මයෙන් පරිපූර්ණවීම
4161696492	බෞද්ධ නොවන කෙනෙකු වුවද
4161779d87	ඒකනායක මහතාට ලබාදුන්
4161dfa7a8	එකක් තියෙනවාද නැද්ද
41629b1553	මාස දහයක් දැන් අවසන් වී ඇත.
4162d03d5e	එහෙත් ඔවුන් කියන්නේ
41633bfda6	එය නතර කරන්න
416383db91	ඔබේ දායකත්වය දෙනවා.
416396f250	මානව වර්ගයා ස්වකීය සම්ප්‍රදාය බිඳිමින්
4163d868ae	එහෙයින් තවත් ජීවිත පරිත්‍යාගයන්
4163f92748	එකී තැනැත්තන්ට පින් දීමක් නොකෙරේ නම්
4164381fb1	ධනයත් දෙකම අහිමිවීම ගැන
4164c0e867	ලොකු ගල්ගෙඩියක් අරගෙන අර වඳුරාගේ ඔළුවට ගැහුවා.
4164d7a797	සමාධි උපදවා ගන්නවා
41650b7f57	ආධුනික ශිල්පීන්ට මෙය උපකාරී වේ.
4165b6dfca	මට ඔබ ගැන කුකුසක් උපදී.
4166b0724d	වටහාගත හැකියි.
4166b24386	එතකොට බලන්න හිතේ ස්වභාවය මොකක්ද කියල.
4166b6a242	කරන්නට බැහැ.
4166d5907e	උන් වහන්සේ මේ ලිපිය සැකසීම සඳහා
41678c3acb	අර සැබෑ ලෝකයේ තියෙන දේවල්
4168d512b7	බොදුනු ඔබට
41696f315e	පත්තර කලාවේ නියැලී සිටි ඩලස් අලහප්පෙරුමය.
416a39b8fe	එම ගැටලුවේ ස්වභාවය අනුව
416aa675cc	බොහෝ විහාර පොත්ගුල්ද
416ab836cf	මම එද කොන්සර්ට් එක
416af1fb71	උන්වහන්සේලා ආපහු වැඩම කරලා
416b05eb6c	එම ප්‍රමාණයද නැත්තටම නැතිවී
416b35981f	මෙහිදී සිදුවන්නට ඇත්තේ
416bec91c4	අද තියන තත්වේ හැටියට
416c29a556	නොයෙක් රාජකාරි නිසා ඒක අතපසු උනා
416c709bc8	අවස්ථාව උදාවේ
416d74e833	බොහෝ දුර යන්න බැරි එම නිසයි
416d77088e	පිරිත් පැන් ගැන සූත්‍ර වල සඳහන් නොවේ.
416db83fa5	බටතොට මහවත්ත කන්ද කනිටු විදුහලෙන්
416dfe8039	තේරුම් ගන්නේ තමන්ට ඕනෑ දෙයයි.
416dfeb32a	නඩුකාරවරයාගේ ඇස් පෙනුනත් සාක්ෂි මත නඩු තීන්දු ගන්න සිදු වෙනව
416e147ee5	මේ වචන පිට වෙනවාත් සමඟ
416e293b42	අනේ ඔන්න
416ed681d5	ලෝකයේ පැවැත්ම නැතිකර ගන්න නම්
416fd1ccb9	උත්තරීතරම අධිරාජයා තමයි ධර්මාශෝක මහාධිරාජයා.
416fede6ed	skype camera talk
41708c5baf	එම ලොරි බස් රථය කොළඹ සිට මාතරට ධාවනය කෙරිණි
4170a50483	අපේ ජනාගේ කුමන්ත්‍රණ කියලා?
4170ab0ab8	ඇගේ ගීත කවදත් අළුත් ඒවා පරණ වෙන්නේ නැහැ
4170add564	අදට හරියන්නෙ නැති සිංදුවක්
4171813c06	පෙන්වා දිය හැකිය
4171bede5f	ගූගල් පාරක් දාන්න.
417206d8e5	මල් පහන් පූජා කරලා
41726e48ca	සම්ප්‍රදාය විය යුත්තේ එයයි.
4172ba2891	ඒත් මං කැමතියි
4172cbde5f	අනිත් දේ අධ්‍යක්ෂවරයා පිළිබඳ
417347258b	එසේ යන අතරතුර
4173a8ca38	අනික ලංකාවෙ හැම ‍සේවා දායකයෙක්ගෙම
4173faed9d	අදාළ සිදුවීම දැකීමෙන් පසුව
41741582d4	මෙයින් වැඩෙන්නේ කුසල පක්‍ෂය නොව අකුසල පක්‍ෂයයි.
4174c78a3a	යුරෝපීය පඬිවරයන් අභිවාදනය කරන අප රට
4174ce2aac	බුදු රදුන් විසින්
417515e0a9	ඇගේ උත්සාහය මෙම සිදුවීම් සමාජය තුළ කතාබහකට ගෙන ඒම වුව ද
4175e0df19	මෙහෙම මුලින්ම නෙළුම් මල් පිපෙන විල වන්නේ
4175f54704	දකුණට මාරුවූ වම් අතේ සෙවණැල්ල
417664fe90	මාතලේ නගරාධිපතිවරයාත් පවසන්නේ
4176e495ef	නිවාස ඉදිකරනු ලැබ ඇත
41775cc926	seomoz
417765c25b	මෙසේ දැක්වේ.
41780115db	පසුගිය අවුරුදු තුනේදී පක්‍ෂය හදන්න මොනවද කළේ
4178038b87	ඒකේ ඉන්න දැනගන්න ඕන
41781b106a	අවබෝධ කොටගැනීමට අවැසි නම්
4178c42329	යන ප්‍රශ්නය පවතී
4178ca477e	ඉතිරික මුදල ශ්‍රී ලංකා ආණ්ඩුව දැරිය යුතු වේ
417978a8a1	කුස්වල නායක හාමුදුරුවෝ පවසති.
417993fae4	ඒක විචාරය
4179ff34e8	එහෙයින් සෑහෙන තරම් රූමත්
417ad816d2	මහාචාර්ය කොටගම වාචිස්සර නාහිමියන්ගේ අපවත් වීමෙන් පසු
417b30006f	නිර්මාණ ශිල්පීන්ට හැකිව තිබෙනවා
417b712bad	ස්තුතියි මචං බොහොම ස්තූතියි
417be99d7f	මම හරිම ආසම එකක්.
417debda01	රජකමට නියම අයිතිය ලැබෙන්නේ
417e3447c6	දේවල් වෙනස් කරන්නට
417e4b33a8	මතක ඇති නොවැ.
417e551a37	තියන උපදෙස් ටිකත් කරලා බැලුවා
417e6ba4c6	ඒවා ඊනියා බටහිර මානව හිමිකම් පඤ්ඤාවරුන්ගේ
417eadacc5	අධිකරණයෙන් ඉදිරියේදී ලබාදෙන තීරණයට
417eb1bdee	උතුරේ ක්‍රියාන්විතයේ රාජකාරි කළා.
417f4c866c	ඉදිරියටත් මේ වගේ දේවල් කරන්න
417f9f3cb9	ක්‍රෙඩිට් කාඩ් නැතුව වෙන ක්‍රමයක් නැද්ද?
41801f94e4	අපේ රටේ පොදු බස් සේවාව
418112669c	දෙවි දේවතාවන්ගේ පිහිට ලබා ගැනීමට භාරහාර වීම
4181805208	එය එසෙනම් මාර්ගපලලාබි සමන්තබද්‍ර හිමිගෙ
418183cb49	සාමාන්‍ය ලෝකයේ බැඳීමක් ගත් කළ
4181987ca5	ඒත් සමහර දවස්වලට
41819aaa34	අපමණ දාරක ස්නේහයෙනි.
41820ce9e4	ආගමේ ජාතිකවාදී මුහුණුවරක් ගැනීම
4182147d21	move
41824273b9	මීළඟ පෝය දෙසැම්බර් 06 වැනි දා බ්‍රහස්පතින්දා ය.
41825d29f2	ඒ වේලාවෙහි මේ ආටානාටිය පිරිත කීයේය.
41826b344e	ඒත් එකේ
418271ca27	ඒ බටහිර විද්‍යාත්මක ක්‍රමයෙන්ද
41833ca05b	එහෙත් අප පා ගමනින් එතැනට යන විට
4183f88cd0	ඒ සැකය සීයට සීයක්ම තහවුරු වෙනවා
41840d8c84	මෙත්සරණී කීවේ හැඟුම්බරවය.
418453404b	අභිරහසක් තියෙනවා කියලා මම හිතනවා.
41851712d6	සිංහල මිනිසුන් කියපු කතාවක්.
4186354fae	අර හොල්මන් කතාවත් දැම්මා නම්
41873717bf	මේ පිළිබඳව කථාබස් කරමින් සිටියා.
418742bdc7	ප්‍රමාණ රහිත කොට දිශා වශයෙන්
4187a693ff	බළන්ගොඩ ගොරොක්ගහමඩ පල්ලියේ දී බව
4187aa5b63	ඉතින් බුදු දහම ගැන මෙසේ මත පල කිරීම
4187b10acc	හැබැයි කරුණාකරලා ඡන්දය ඉල්ලන්නම් ලෑස්ති වෙන්න එපා.
4188006ee0	අන්තිමට වෙන්නේ ලංකාවේ සිංහලයොයි දෙමල මිනිස්සුයි
418812e61e	සුබ පතන්න ඕනේ.
4188af8b1a	ගෙන එන්නයි සූදානම
41891eca08	ඒ පිරිස සතුටට පත්වෙති
4189ad92c5	ඔය පසුගාමී අදහස් අයින් කරපන්
418a5ff6de	රද්දොළුගම බෞද්ධ සංගමය මඟින්
418aba32c7	කියවන්න බලනවා.
418abc4096	පටන් ගන්නකොට
418b9c32c1	බුද්ධිමතුන්ට වඩා බෙහෙවින් විශාල බව
418bc43033	ලෝකයේ සැබෑ ස්වභාවය පිළිබඳව දැනගෙන
418c2552bb	ඒ පාරේ
418c474ffc	සිංහයො විතරක් නෙමේ
418c93218e	අනිත් අතට මාතලන් කියන්නා වගේ
418da28166	යකුන් දමනයේදී
418db48f29	එවැනි අවස්ථාවන්හිදී ද
418e2e8f7f	online gaming zone
418e7ec7be	මොකද ඒක වැහෙන්න වුවමනා
418edc80c1	තේරුම් ගන්න බැරුව රැල්ලට බනින අය.
418f49d91d	නාමාවලියක් පරිද්දෙන් මෙම විහාර අස්න සකසා ඇත.
418f6dc3d8	පෙන්නන්න බෑ
418f95d5f9	අනිවාර්යයෙන් ඉගෙන ගන්න ඕනෑ.
4190301398	හවසට එනකොට
419121602f	අන්න ඒ දේ තමයි
4191300a86	අත්වන ඉරණම බුදුරජාණන් වහන්සේ
419174373b	සිය දායක පිරිසගේ දෙලොව දියුණුව පිණිස
419185ecaf	පැංචාගේ ඇඟට දැණුනා
41925c7651	අඩුගානේ මිනිහට පුළුවන් වෙන්න ඕන
4192bddeb6	එහෙම නීති
4192f90281	සිරා මෙන් හැසිරෙන්නට
41936c841e	monika
4193bd59c6	ඉස්තරම් මිටක් ඒ සඳහා යෙදීය
41943d5aab	පැරඩොක්ස්ගෙ කතාව සහතික ඇත්ත.
4194952750	ඉන්දියාව හෝ ඉන්දියාව නොවෙයි
419495c91d	කොහොමද ලබා ගන්නෙ කියලා
4194cf4ce0	පිළිගත යුත්තේ
4196a94a8e	මුතු බෙල්ලා ආපහු සිප්පි කටුවක් වෙලා පැංචාගේ අතට පැන්නා.
41972e3b4a	අර මිහිරි සීනු නාදයේ තියෙන
419792f5da	බෝර ගල්කටස් වර්ගයේ ගිනිඅවියකින් පිරිසට වෙඩිතබා ඇත
4197d36029	ගුණවර්ධන කිසිවක් නොකියා
41986360a5	උදේට වතුර එකක් රත් කරලා
41993c192a	එක්සත් ජාතීන්ගේ නවතම තක්සේරු වාර්තා අනුව
41996ef531	දන්නා සියලූ ශිල්ප දක්වා
4199de1a3d	එනම් එක් සේවකයෙකු ඉහල දමාගැනීම
419a1671e1	ගෝලයාටත් අපාය හිමිය
419b06e5cb	මඟ දෙපස දක්නට ඇති රමණීය දසුන්
419b50e4ce	එය එක් රැයකින් හෝ දෙකකින්
419c02a9fd	මොකද වුනේ කියලා දන්නවද සහන්?
419c5bd2d8	අනතුරුව පරීක්‌ෂණ පෑළියගොඩ අපරාධ කොට්‌ඨාසයට භාර කෙරිණි
419c674bff	ශාන්ති කුමාර් තමයි මේ චිත්‍රපටියේ අධ්‍යක්‍ෂවරයා.
419cd80eff	සත්ත්වයන් බියෙන් මිදීම ද සිදු වෙයි.
419db05c89	ඒක පත්තරේ පළවුණේ නෑ
419dbffdb8	එහෙත් ඉන්පසු කාලයෙහි
419e5a3887	දැනටම ඔප්පු වෙලා.
419e620400	ආවේ ඊයේ පෙරේදා.
419f05977d	hsbc.lk
419ff27829	ශූන්‍ය ලෙසින් හෝ චිත්තමාත්‍ර ලෙසින්
41a002fc76	සබන් හදපු කම්පණි එකක් නේද?
41a078bcae	පෞද්ගලීකරණය වූ අධ්‍යාපනය තුළ ඇත්තේ
41a0a0f0dc	ඊළඟට පිරිවැජියා අහනවා.
41a1855a2d	මේ ගැන දැනුවත් කිරීම කරන්න ඕනෑ
