1000342f18	මොවුන් හතරදෙනාම
10101feade	තිරිවානා ගලක් කැපීමක්
10115918e2	යථා පරිදි තමන් විසින්ම අවබෝධ කරගෙන
10117a6ce8	ඉල්ලගත්තු එකා පොත ආපහු ගෙනත් දෙන්න
1011cbc70e	මෙලොව උපන් සෑම සත්ත්වයකුටම
1012f8368d	උසම ස්ථානය
10131bdacf	උපාලි මේවට කියන්නෙ
10132c26d7	ඒක නිසා මේක
10138f60cb	හැදියාව සහ ගුණගරුක බව යන වටිනාකම්ය
101393c08f	මෙහෙම කියනවා..
1013b2f634	ඔහු මහාචාර්යකමට නුසුදුසුය.
1013dab62e	එබැවින් දරුවන් යහපත් කිරීමට
10140f2f00	ශේෂාද්‍රිට අපි කතා කළා.
1014a19906	ඔබගේ සම්බන්ධීකරණ ‍ලේකම්වරයා
1014c9b1c6	සිද්දවෙන සමහර දේවල්.
1014d762a4	පිළිබඳව ද පෙරළා ප්‍රශ්න කරයි
1014f70ef5	වල්නාශක තුළ අඩංගු බව
1015046323	oya nisa
101549cb51	අඩු ද්වාර වේගයක් හෙවත්
1015556ff5	ඒක තමයි ආසියාවේ ආශ්චර්යය !
1015bcb467	තරමක් හෝ දුබල කළ හැක්කේ
1015e587ca	ඒ ශරීරයේ තැනුම් ඒකකය වූ
101663f9bd	කියලා බලමුකෝ
101673b298	ගීතයක් සේ ගායනා කිරීම
10168096c4	බුද්ධිමත් බව ඇති කරගෙන
1016b6c5f5	හැමෝම කතා වෙන නිසා
1016f2abd8	ඡායාරූප මෙලෙස නිකුත් කෙරුනේ
1017564d95	අනෙක් අයට මේ විදිහට කුණුහරුපෙන් බණින්න පුළුවන්නම්
1017805386	එල්ලා මරා දැමීමට නියමිත සිරකරු
101794324a	පොළොන්නරු රාජධානි සමය තුළ රචනා වී ඇත.
1017bf4284	අමතරව එක එක ප්‍රශ්නවලට ලක්‌ වෙමින්
10185f8325	එනම් කුඩා දරුවකුට කිරිදෙන මව
10186d2c3d	ඒවා රැගෙන විවිධ ආයතනවලට
1018847131	හරියට විචිත්‍රවත් නවකතාවක් කියවනවා වගේ
101889f34f	අප ඉහත කළ
1018b2425b	යුද ගිනි නිවීමෙන් ලැබූ නිදහසෙහි අරුත
1018c4d5d8	ඔන්න ඔහොම සිංහල බෞද්ධයෝ ටිකක් තමයි
1018ddbc55	දෙපාර්ශ්වයම අධිකරණය වෙත කැඳවිය යුතු
101901b45b	ඊට පස්සේ නැගිටලා යන්න පුළුවන්
101aaa0c71	බුදුරජාණන් වහන්සේ එය මෙසේ තවත් පැහැදිලි කර තිබේ.
101ad5e205	බුදු සසුන තියෙන්නේ කවුරු අතේද කියා
101b1cb2e6	බුදු දහමට අනුව ජීවත් වෙන්න
101d795024	ගෝනා ගමන් කරන මාර්ගයේ
101e3c6ac6	ගුණදාස අමරසේකරට අනුව
101e6fe7ca	ජායාරූප ජනමාධ්‍ය කලාවේ ආචාර ධර්ම පිළිබඳ
101f8c2e03	එකක් වැඩ කලා ලෙසටම
101fd21775	දේශනා කරන
10202e8fec	ඔබට සවන් දෙන්නට ලැබෙන්නේ
1020acefc4	අර්ථකථනයක් හැටියටම පමණි
102141d8b9	අප වැඩ කරන්නේ
10218bc600	උතුර නැගෙන හිර සිංහලයට
1021b210be	අටපිරිකර පූජාවක් සිද්ධ කරලා
1021c6188b	දෙන්න ඕනි පිරිවෙන් අධ්‍යාපනය
10222d1012	බාහිරින් මේකෙ තියෙන සරල කතාව
102273d0da	අපි මේ පාරෙන් යද්දී
1022997c6a	මෙම කියුරියෝසිටි රෝවරය
1023384038	මොකද තාත්තා කියන චරිතයට මුදල් කියන සාධකය හින්දම
1023b9fea6	මිනිසාගේ ස්වභාව යි.
1023ecd59d	උංගී ඔඩොක්කුවෙන් පැන දුව ගොස්
1024c83598	විස්කෝතු සෑදීමට
1024f3ef33	දෙකක් මොටෝ
102630a452	අලුත් වැඩට අතගසා
10263f916a	මැර හමුදා වලින් නෙමෙයි
102646c577	තියෙන අවස්ථා කුසලතා
1026e352e9	එතකොට ඔබ සිහියෙන් හිටපු නිසා
1026fae97d	හරිම බිසී කාලයක්
102798b4f3	ඊට අමතරව මේ ගැන සොයා බැලීම
1027cdf4c8	ඒත් සමහර අළුත් සින්දු වල
1027e59be6	එය ලෝක උරුමයක්
1027f23747	මෙලොවට බිහිවන ඕනෑම කෙනෙක් අතින්
1028f5a223	මේ රටේ විශ්ව විද්‍යාල පද්ධතිය
1029643dbb	පෙළපාලි යාමට ඉඩදිය නොහැකි බව පවසා ඇත
10297dfc46	එතරම් අවධානයට ලක් නොවුනා
102a6b07a0	අප අපේ අයිතීන් වෙනුවෙන්
102ac2dde5	නිමි රජු රැගත් රථය පැමිණියේ
102b7a39dc	bat man games
102bb9bdad	නාකියා දැන්වත් කට පියාගෙන ගෙදරට වෙලා ඉදපන්
102ccf5c53	පුද්ගලයා මරණාසන්න මොහතට පත්වේ
102d011e41	ගෝලීය උණුසුම ද
102d29dc9b	නැතහොත් බැම්මෙන් පිටත යන අර්ථය යි
102d91c29c	ඉතිං ඒ වගේ මගේ මව්බසෙන් කරාපු උපසි‍රැසියකට
102e0f4c0a	මලු මාලා පැළඳීම්,
102e11d050	එකී දේපළ විකිණීම තුලින්
102f4095f6	විසඳු සේක.
102f5cdae3	අපේ පොදු ගමන් සේවයෙන්
102f9bdc5e	වැඩසටහනක් ඉතුරු කරල නෑ
102fa47a88	අල්ලන්ඩ වෙනවා සිකුරුයි අපේ කට්ටියට.
102fadc6a9	දානය යනු දීමය.
102fc0f25d	උපතක් කරා අරගෙන යන එකයි.
102ffcab27	ම හිමි වේ.
10303b4f8a	යහළුවනේ අපි කතාව නවත්තලා
1030702755	පුද්ගල මනසෙහි නිරන්තර ස්වභාවය නම්
1030daf612	සද්පුරුෂ ආශ්‍රයයි.
103113bf3e	අපේම අනාගත පරම්පරාවද?
10311e402b	හේතුවක් විය.
10319fd685	ඒත් ඒ අතරින්
10321cb3a5	කැරළි මර්දන ඒකකයේ නිලධාරීන් හත් දෙනකු
10322dcf49	අපෙන් උපසි‍රැසියක් ලබාගන්න බලා ඉන්න
10335d1257	ශ්‍රී බුද්ධදත්ත මාවත,
1033a283c2	කැසිනෝ හල් හිමියකුට ආරක්ෂාව සැලසුවේද යන්න
1033fdb09c	සාමාන්‍ය ‍පොලිස් කොස්තාපල් කෙනෙක් විදිහට
10344821bb	වසර දෙදහස් පන්සියයකටත් වඩා ඈතට
1034502a1e	මේ බැංකු මංකොල්ල තියෙන
103480953a	ගොවිතැන යාන්ත්‍රීකරණය වීම
10349b56c0	සංවිධානයේ අවසානයයි
1034ec1a7d	දිව්‍ය ලෝක ගැන දේශනා කොට වදාළා.
1035b127ad	මෙය දුක නැති කිරීමෙන් ලබන්නා වු විමුක්තියයි.
1036189cf5	බටහිර යුරෝපයේ සමහර රටවල්වල
103645cd33	අයින්ස්ටයින් කිව්ව වගේ පට්ට දේවල් කියන්න
1037d6dd86	baby boy photos
10394e061e	අපේ සමාගම සතුව
103954ebf7	හැබැයි විධායක ජනාධිපති ධුරය අහෝසි කළා
103989713d	තාල දෙකකින් අපි දෙගොල්ලන්ටම
10398a5225	පද හමාර කිරීමෙන්
1039f3c86e	කොහේ හරි හොද කන්දක් නගින්න.
1039f642eb	කියන ගාථාවල අර්ථද
103a59b80d	අපි ආපු ගමන කොයිතරම් දුරද කියල.
103a5c1a23	කෑම කෑවද කියල අහන එක නම්
103a7b36d1	පෝෂණය කරන ලද
103acd20db	office space in sri lanka
103af40b87	ඔබේ ජීවිතය අයාලේ යන්න දෙන්න එපා.
103b517ec3	එහි වැඩිදියුණු කිරීම
103baa8d0d	මෙම යන්ත්‍රයට අගනා සහතිකයක් ලැබ දුන්නේය
103bcb6a92	නමුත් එහෙම වීමක් නැහැ.
103c137f7e	සෙබැස්තියන් කියන සිතියම් වෙළෙන්දා
103c297f37	එදා සිට අද දක්වා
103c60eaae	කල වැද්දාගේ හමුදා ජිවිතයේ ලබූ
103c9881ec	මෙම ආයතනය මෙම වසර තුළ
103ca3f67e	එම ශ්‍රේණියේම සිසුවකු
103ca94f6b	අඩුපාඩු පෙන්නලා දෙන්න කියලා ඉල්ලනවා.
103cd153ef	මේ පිළිබඳ මොනතරම් විස්තර
103ce60ea1	කිසිසේත්ම පිළිගන්නේ නැහැ.
103d266fd3	මෙවැනි අඥානයෙකි.
103d580972	ඇය එම තත්ත්වයට පත් කළ සමාජ ක්‍රමයයි
103dbc37d7	යුතුව දෙව්ලොව උපන්නා.
103dcd59ba	ඉතිහාසය සාහිත්‍ය සංගීතය
103e2d99f8	කටයුතු කරන අද දින
103ec040c6	උසස් ප්‍රතිඵල ලබාදෙන අයුරු
103ee849e6	සිංහයා කන්නේ තණකොළ කිය
103f76529e	ඉන්දියාවට කතාකරලා
103fb77c9e	දෙවන අනුඛණ්ඩයට කරදරවලින් නම් අඩුවක් නැහැ.
10404ba29f	අපි මේ පාරෙන් යද්දී
1040c966ae	බුබ්බුලාකාර
10413ed469	ආර්ය අෂ්ටාංගික මාර්ගයේ ගමන් කිරීම නිසා
104216290c	තමන්ගේ ළමයෙකුට වෙනත් මිනිසුන් ඉදිරියේ බනිනවද?
104223eb90	ඉතා පුළුල් ලෙස විවරණය කළ යුතු වුවත්
1042408d82	new jersey lottery
1042689e1c	අල්ලපියවුකො
104294b4e6	ගුණදහම් දෙක මොනවාද?
1042a519a7	බුදුරජාණන් වහන්සේ නිවන් අවබෝධ කර ගැනීමට
1042a94984	dilum
1042f4a4a6	ඕං ඉතිං පේනව​නේ
104352e20b	අප ඉගෙන ගනිමු
1044e76075	අතීතය කෙසේ වෙතත්
104638e6fc	මේ එක එක ඇඳුම් වෙනුවෙන් නොවේ.
104643bd09	ලෙඩෙකුට, ආබාධයෙකුට, බිළිඳකු වඩාගත් කාන්තාවකට
1046d54aa0	ප්‍රදේශය හඳුනා ගැනීම පහසුය
10471b2568	alphabet
10487916eb	ඔය කියන ආට නාටිය වත්
10494fddb7	මිනිසුන් ඔහුගෙන් බලාපොරොත්තු වන්නේ ඇයි?
10495635b1	උස්මහත් කර සරසවියට එවූ
1049c39878	ගෙදර පිටිපස්සෙ වලං මැස්සක තිබුන ලොකු මුට්ටියක් අරගෙන ආවලු
104a130c49	මෙහි මුල් ගාථාවේ දැක්වෙන අන්දමට
104b66f1ff	මතවාදයක් ඉදිරිපත් කිරීමකි.
104ba02dc2	විග්‍රහයක් මෙහි සඳහන් වෙනවා
104be406c5	ප්‍රමිතිය පිළිබඳ මම වගකියනවා.
104c5b511c	මෙම වැටලීම සිදුකර තිබේ.
104d72d7fb	මේක සම්පූර්ණ කරපු එක ලොකු දෙයක්.
104d9347a8	අවසන් මොහොතේදී
104d9f090d	අද අපේ රට ලබා ඇති දියුණුව
104e044adf	අපරදිග සංගීතය හෙවත් බටහිර සංගීතයයි.
104e88db84	කර්මාන්ත ශාලාව රැක ගැනීමට කටයුතු කිරීමය
104f0f31b7	අනවශ්‍ය වියදම් අඩුකරගෙන
104fb7abc3	අපේ නෝනා
104fbe82df	කවදාවත් එහෙම කොටුකරලා තියන්න පුළුවන් .
104fd64e49	කල හැකි දේවල් බොහෝය.
104fdd1e81	නැවතිලා අහගෙන ඉඳලා තියෙනවා.
104fe25414	ස්ථිර පදනමක් අනුව
104fe2961a	මේක නම් පුදුම විදිහෙ
104fff7960	එකී තනතුරුවලට පත් කළ වග
10505bfc90	මම නම් හිතන්නේ
1050610eb9	american chat room
10509d690b	එසමයෙහි ඒ සල් රුක් දෙක නොකල්හී
1050d38355	ඔය ඉන්නේ අගේට
1050fc1a75	ඒ නිසා ඕනේ නැහැ.
10511d9093	එම ගිලන් රථයට පිටුපසින්
10513a4a98	දිවියා එයි කියන බයට
1051725172	වැඩම කරනු ලබන්නේ
10517aa8b0	වස විස රසායන දියර ඉසීමෙන්
105195270b	අපිට කරන්න පුළුවන්
105228f825	කැපුම් තුවාල සහිතව ප්‍රතිකාර සඳහා රෝහල්ගතව ඇත.
10526c24e2	සිතුම් පැතුම් ඇති
1052cd6125	උඹලගෙ ගම් වලටත් කලින් තිබුන
10530b6102	භික්‍ෂුණී ශාසනය ශ්‍රී ලංකාද්වීපයෙහි
1053277125	අද දෙන්න පුළුවන් කමන් නැත.
105333ce31	එම දැරියන් දෙදෙනා ඝාතනය කිරීම
105338c7d3	නිතරම මහනුවර මල්වතු විහාරය ඇසුරු කර ඇත.
10534af450	සැකකරුවන් තිදෙනා අත්අඩංගුවට ගෙන ඇත
105528d245	එතකොට පය ඔසවද්දි
105555ad22	එහෙමයි කියමු
1055643e3e	අපේක්‍ෂාවෙන් හිටියොත් ඒක මෝඩකමක්
1055839aa5	මේ පින උපකාරී වෙනවා.
1055d1cbd3	ලේඛනගත කොට ඇති ග්‍රන්ථවල
1056d04281	ප්‍රතිපදාවට පිළිපන් සේක.
1056e0b46d	පුංචිරාළ මාමා විසිනි.
1056e0ec04	අර බෞද්ධ උරුමය උඩ
10574b38fd	කියන එකත් මතක නෑ
10578defe6	ඉතින් මේ ගමේ කෙල්ලෙක්
1057b38746	දකුණු කොරියාවේ දර්ශන තල වල
105819013e	සංයුක්ත නිකායේ දේවතා සංයුක්තයේ
1058c75e3e	එය වළකා ගත හැක්කේ
105905da49	අද දින ඉටු කර ගැනීමට හැකිවේ.
105a7d2b11	පාක්ෂිකයෙක් උනාම තියෙන වැරැද්ද.
105a90fcea	titanic film
105b66faf4	ආගමික කටයුතු සඳහා ඕනෑකමකින්
105bfdfddb	වැදගත් කියා හිතුණු නිසයි.
105c08f429	මේ අසිරිමත් අවස්ථාව දැක ගැනීමට
105c1a0650	icing cake baby frock pattern
105ca60dbd	කිව්වත් වරදක් නෑ
105ce2d837	පෙනෙන්නේ නැත.
105d279065	නොබලා ඉන්නත් බෑ
105dc4b671	කණයි ශබ්දයයි එකට තියෙනවා වගේ.
105e357882	ගුවන්තොටුපලට එන්න පිටත් වෙන්න හදද්දී
105e4cb44c	මිශ්‍රවන රචකයෙකි.
105f05dec2	ප්‍රඥා සම්පන්න පිළිතුරු නිසා ම ය.
105f2ceb94	ඔබලාගෙ අදහස් අනුව
105f6a929d	උන් කිසි ලැජ්ජාවක් නැතුව කිව්ව
105f9e87ce	සිංහලෙන්මයි කිව්වේ හලෝ
105fdfe8e1	වැවිලි සංස්ථාව සතුව පවතී
105ff23841	ඒක හුරු නිසා
10602c851d	ඥාතීන් පත්කර ගැනීම තහනම් කිරීම.
106055f9db	තැන්ක්ස් චමි සහො සින්හල සබ් වලට
10605acefc	හිත සතු‍ටු වෙන්ඩ අදහසක් තිබ්බනම්
1060ef29c7	අවජාතකයිනි ඔබ මරා දැමිය යුත්තේ
1060f12e76	බැහැර කළ යුතු දේ බැහැර කිරීම
10614cfc0b	එක දිගටම වාහනේ ඇතුලේ ගිය නිසා.
10616eb482	පිරිසුදු වැසුම් වලින් ආවරණය කළ යුතුය.
106175ad4f	අලුත් දෙයක් ගැන ලස්සන සටහනක්
10618deeda	ඇත්ත වශයෙන් කිවහොත්
1062b2e699	භෞතික සංවර්ධනයක් විතරක් ඔවුන් එතනදි
106368c9fd	ලෝභයෙන් ආවේශ වූ නිසාය.
1063f97ba9	එකල මිනිසුන්ගේ ආයුෂ වසර විසිදහසක්ව තිබුණා
10649d4315	අසාධ්‍ය තත්ත්වයෙන් පසු වුවද
1064cd5afa	එසේනම් එතෑන තියෙන්නේ
106627df05	මේ විශිෂ්ට චිත්‍රපටය ලබා දීම ගැන.
1066740274	බොහෝ ආගම්වලට පටහැනියි.
10671f5e2f	සසරේ මත්ද්‍රව්‍ය පාවිච්චි කළ කෙනාට
1067d82b15	උන්ද අද මටත් කලින්
10680c0eca	පිටිපස්සෙ කාමරේට ගියා
1068117528	සීමා වී ඇත.
1068174df5	විශාලතම රෝබෝ යන්ත්‍රය ලෙස හැඳින්වූවාට වරදක් නැත.
1068557ee1	මෙය වන්නට ඇතැයි අනුමාන කළ හැකිය.
1068e42f15	මාස කීපයකට පසු
1068e4ffa8	lungi navel
106947e56d	අම්පාර ඇතුළු නැගෙනහිර ප්‍රදේශවල ගොවිතැන් කරන්නට
106a016087	විවිධ කරදර බාධක පැමිණ තියෙනවා.
106a22c180	වෙනසක්ද ඇති කළ යුතු වෙනවා.
106b3da9b8	හැබැයි ලංකාවේ සාලි කුනාටු තියෙන පැතිවල විතරක්
106b9d4e1b	ශ්‍රී ලංකාවේ මහත් ආන්දෝලනයට තුඩු දුන් කාරණයක්.
106c0875ff	ක්‍රෙසමිලීන්වල නියෝජ්‍ය ප්‍රධානියාගේ දුව සමග ය.
106cbe5e95	මේ දෙන්නට ක්‍රියාදාම චිත්‍රපට කාණ්ඩයේ
106d022e57	එහි අවසාන ප්‍රතිඵලය වෙන්නේ
106d60cce5	එම නිසා නුවණැති කෙනා
106dc2293e	පරීක්‍ෂාකර බලන්න.
106dc6eb99	අන්තිමය නිල තොප්පික් දැක්කනම්
106e54417c	ruwan hettiarachchi
106e682513	නියමයි මචං සිංහල සබ් වලට ස්තූතියි.
106f3d8ba9	ශ්‍රාවකයාගේ බලාපොරොත්තුව චතුරාර්ය සත්‍යය අවබෝධ කිරීම
106f830c86	කලකට ඉස්සර
106fa2d628	පොඩි එකෙක් මේ ඔක්කෝම ටික
106febb88c	ශාස්තෘවරයෙක් තවත් නොමැත.
1070770411	මේ වී ඇට ප්‍රමාණය ගන්න
1070c10b1a	නිශ්චිත ව සඳහන් කළ නොහේ.
1070c54b99	ඇමතිවරයා කියා සිටින්නේ
1070eb860c	එම නිසා ඒ සූත්‍ර දේශනා දහය
10715aeea5	ඔහු එය වෙනුවෙන් පෙනී සිටියේය
10715fe917	එනම් පරිගණක ක්‍රිඩාවෙ විරුද්ධවාදියා
107167e34e	සැබවින්ම ඒ චිත්තභානු ඇතුළු පිරිසගේ
107189d998	සාහිත්‍ය සම්මාන ලාභීහු සඳහා
1071a610b8	සාමාන්‍ය ‍පොලිස් කොස්තාපල් කෙනෙක් විදිහට
1071bd891d	බැරිවෙන්න පුළුවන්.
1071e170eb	තම අනන්‍යතාවය නොපෙන්වන අයෙක් සිටීම
10725f43b4	දකින ලෝකය තුල
1072f126d6	පාලි භාෂාව
1073729708	පෘතග්ජනයෙකුට යක්‍ෂ ලෝකය
1073b9c629	විශේෂ අවධානය යොමු කර ඇත.
1073c6f408	වාචසික සංවරය නම් වේ.
1074358db3	ඔය ගෝතම කියන්නෙ
107485dc1e	ඉතාමත් සිත් ගන්නා සුළුයි
10757157d7	සිංහල වංශකතා සාහිත්‍යයක් ද
1075a6de0c	ශ්‍රී ලාංකේය සමාජයේ
1075b3a75f	ඉතින් දෙවෙනි කතා මාලාව බලලා ඉවර කරන්න
1075b9c340	ඒත් අපිටනම්
1075efb6c6	මගේ පුතා හැම විටම මට කියලා තිබුණා
10765409be	අලාබ නම්
1076ac0db5	මේකගෙ ඔළුව ගලක වත් වැදුනද
1076b65ffd	එක දවසක් මෑන් ඒ ගෙදර ඉන්න වෙලාවෙ
1076d6b94d	ඒක මුළු විශ්වයටම වලංගුයි.
107715373d	හැසිරීමද කල යුත්තේ.
10772975f5	හැඟෙන්නේ කවර හෙයින්ද?
1077854051	අද වන විටත් සියයට අනූපහක් පමණම සිටින්නේ
107796700b	අගය කිරීමට බොහොම ස්තුති
10779dabbd	ඇයගේ කුසලතාවයට මා ගන්නේ නැහැ.
1077f03aee	අනෙක් අතට පාතාලය තුල
10781b9bd3	පුළුල් දැනුමක් ලබා ගැනීමට
107839634d	ආර්ය සත්‍යය අවබෝධ වීම පිණිස කල්පනා කරනවා.
10784669cc	ඇතැමෙක් විශ්වාස කරන්න පුළුවන්
107869a801	විභාගයට මුහුණ දුන්නේ.
107873c485	එය බිඳීමට
1078788920	princess
1078d9554b	බෝලයක්වත් බැට් එකක්වත් අතින් අල්ලලා නැහැ.
10792ea67d	මෙවැනි මුරගලක්
1079c8f72b	පැරණි, ස්ථූප ලෙන් විහාර බෝධි සත්ව පිළිම ආදිය දක්නට ලැබේ.
1079e27aea	ඔබ අදහස් කරන්නේ කුමක්ද?
107a975800	ඒත් එදා කාලගුණය
107ad03373	අප හැමදාම
107bcb02ec	හුඟ කාලයකට පසුවයි.
107c5d08db	ඉස්සර දැම්ම සෙල්ලම් දාන්න
107cd707ee	අපේ ගමට පාරක් නැත්නම්
107d36b904	ඉතිං රචිත ඉරේෂ් සෙහොයුරාට ස්තූතිවන්ත වෙනවා
107df6fc41	ආහාර පාන ගැනීම සම්බන්ධයෙන්
107dfc4f2e	එදාවැනිදා හවස අපි තලවතුගොඩ අපේ ගෙදරට එද්දී
107e4e7e24	පිච්ච, රෝස, සේපාලිකා ආදි විවිධ සුවඳින් යුක්ත මල් වර්ග
107e5ac68e	එනම් ආශාවයි.
107ed77440	ලෝකෝත්තර සැපත උදාකර ගැනීමට
107efe85dc	සකස් කර ගැනීමයි.
107f62d92d	නොහැකි වී ඇත්තේ
107f99a012	පොලිතීසියකු බවට පත්කරනු ලැබීමෙන් මරාදමනු ලැබූ
107fbc0faf	කල්පනා කරන්නේ නෑ.
107ff93550	බැතිමතුන්ගේ ප්‍රයෝජනය සඳහා
10803e15df	උතුරු නැගෙනහිර යුද්ධය කාලේ බඳවාගෙන
1080645d25	මේ පිළිබඳ සිහිනුවණින් මෙනෙහි කරන අයට
108088dd73	බොහෝ දුක් විඳීමට හේතු වුණ
1081862e79	එම දේශනා භික්‍ෂූන්ට
1081ad51c9	අද මම හොයාගත්තා.
108206b611	රුහුණු පුරවරයට ඉමහත් ආශිර්වාදයක් වූ
10834faad1	උපකාර කරගත් වෘක්ෂ හඳුන්වන්නේ ද
1083b41a14	අග තනතුරු ලාභී සිව්වණක්
1083c90e36	සමස්ත ජනතාව වෙනුවෙන්
1083f6bee0	ලංකාවෙ කොටි කෙල්ලෙක් තමයි
108410ed69	ඒ සැනෙන් නිසි පිළිතුරු දෙමි.
10845ed9b5	මළාට පස්සෙ
1084f47450	එතකොට සමහර විට අවුරුදු තිස්පහේදී
1085181518	බෙහෙවින් අඩුවී ඇත
10853b1f20	එය භික්‍ෂූන් වහන්සේ හෝ ලබන්නාගේ පැත්තට තිබිය යුතු වනවා.
10862d96de	එකොළොස් වැනි ඡේදය, මෙසේ ය.
10864ce850	ලැබුණු මහඟු අවස්ථාවක්.
10865878e7	එල්ලූම් ගහ ඕනේ
10868cb76e	ගුරුවර ගුරුවරියන්
1086fa6a41	rahathan wahanse
108798ea7d	එවිට ඔවුන්ගේ මිසදිටු මතිමතාන්තර
108803a551	නෙවෙයි තිබුණේ.
108807af0e	නීත්‍යානුකූල විධියට අන්තඃපුර පවත්වන්න
108836b44a	මේ කරුණු වලින් පැහැදිලිවේ.
1088a78f5a	මං මීට අවුරුදු අටකට කලින්
1088b9d268	ඒනිසාම මුලින්ම
1088e2fb24	මේ නිසා ඒ දෙස බල බලා සිටීමට හැර
1089499a27	ඉතින් ඒ වගේ දෙයක් හතුරෙකුටවත් වෙන්න එපා
108980ed60	එකක් වෙන්න එපැයි.
1089cf2f3b	මාලිගාවේ පෙරහරට පමණක්
1089fd8842	තව දුරටත් කරන්නේ
108a4e4e15	එහි නූපා නම් කතා නායිකාව
108a9e2b97	මඩුකන්ද වූ බවට මතයක් පවතී
108af62dfc	නොයාම ඒ අතර විශේෂයි.
108b2a211c	සුප්‍රබුද්ධ උපතින්ම කුෂ්ඨ රෝගියෙකි.
108bad08f7	එම යෝජනාව පරාජයට පත් වුවත්
108bc06223	ආගම දහමට වඩාත් නැඹුරුවූ පිරිසක් වූහ
108c6bfbe7	ඇතිවෙමින් පවතින බවයි සටහන් වන්නේ.
108ccc318d	හික්මෙන හැටි හා සංවරයයි.
108d5720b3	උන් දවසින් වැඩි කාලයක් ගෙවන්නේ
108da4e496	රාජ්‍ය අනුග්‍රහ සහිතව
