060084ec4f	ඇති වරද මොකක්ද?
060e1f541f	ඊට අනුගත වන නිසාත් ය.
060e9316ae	එයින් භයානකම මානසික ආබාධය
060f003bea	වනජීවි නිලධාරින් ස්ථානගතව
060f3f1f64	යළි එය ගොඩගන්නට ඔහුට බලකර සිටිනුයේ
060f98c4df	දේශපාලන න්‍යාය ධර්මයක් වශයෙන්
0610a8e039	එයට වායු ගෝලීය උණුසුම ඉහළ යෑම
06118fdbd9	වැසිකිළි කැසිකිළි කරලා යනවා.
0611fffe91	එම තොරතුරු දැන්ගත් තිස්ස
0612377b9f	ඒ ගැන කණගාටුවෙමි.
06126d3470	දායක වූයේ කෘෂිකර්මයයි
0612824ea8	හැකියාවක් ඇත්තේ නැත.
0612bcf377	girl
0612c201a1	මේක ලිව්වේ
0612e3ff96	රටවල් පමණක් නොවේ.
061306462d	අප ඉහතින් මාතෘකා කළ ගාථාව අඩංගු වන්නේ
0613b51afc	සිංහල ගුරුවරයකු වන උපුල් ශාන්ත සන්නස්ගල
0613fad796	බුද්ධිය දියුණු කරන්න පුළුවන් කෙනෙකුට විතරයි.
0614015fc9	යවන මේ කාඩ් කෙළිය
0614083b29	ඒ අවට කැලෑවලත්
06157149de	tours in sri lanka bathiya
0615c769ee	මේවා බොහොමයක් ස්තූප හා ආරාමයට ගොඩනගන ලද
0615fcf04b	මේ දළදා පෙරහරට මූලිකව කටයුතු කළ රජතුමා කවුද?
0616110400	සැබෑ ශ්‍රාවකයෝ බුදු සසුනේදී පමණයි
06176335cd	ඉන් අනතුරුව ඒ දැරියන් සමාජයට
061765dbf6	මේ දෙන්න යනවා තමන්ගේ කුලිය ලබා ගන්න
061800378d	හයවෙනි වසර ගත වෙන්නේ කොහොමද කියලා තමා
061865ffd1	එසේත් නැත්නම් ලෝක ජනගහනය
0618a568e0	මොකක්ද පුණ්ණාවනි
061915c30d	එතුමාට එක් අවස්ථාවක දී අපූරු සිතිවිල්ලක් පහළ විය.
06199d7eb1	ඇතුලත්ව ඇත.
0619cb3aac	fruit ninja online play
0619ea8e57	ඔබ බලු මස් නොකෑමට හේතුව
061a244d31	හැමදාම තක්කඩින්ට රැවටෙනව.
061ad99758	අතින් වියදම් කරලා
061bec0db5	උග්‍ර තපස් වරයෙකු ලෙසට සැලකෙන
061c3ac950	ගමන් යන බව දුටු පෙරකී භික්ෂු ව
061c6ba543	එපමණක් නොව ධර්මය හා සංඝයාටද
061c9f07a4	ආදරයෙන් කල් ගෙවූ බව ද
061d6a3a82	ඇය ජනප්‍රිය චරිතයක් නිසාවත්
061e09a2b9	දහයක් යුගල වශයෙන් සකස් කොට තිබෙනවා
061eab4d07	එයාලගෙ අතට ගන්න හදන්නේ
061f1ac496	ළං වෙන කොට
061f3d4e7f	මීට පෙර පළකල ලිපිය
061fbdd052	මොට්ට බොල් අදහස් තමයි.
061fc80e25	ඉතිරි ටිකත් දෙමු
061fe42f2a	අලි බලා ගැනීම
06208cd3d4	cnn world news
0620b2585f	දිරි ගන්වනවා
0620b5440c	එමෙන්ම වෘත්තීයමය ක්‍රියා තුළදී
0620b9bc3b	පර්යේෂකයන් කොරියාවේ ජීව විද්‍යා සඟරාවකට ලියා ඇත
0621294a4d	බුදුන් දෙසූ දහමයි
0621594110	අලුත් චිත්‍රපටිවලට විතරක් සබ් දෙන්න ගියොත්
062199ce08	එදත් අදත්
0621b0b6e8	අන් සියලූ දෙනා මෙන්ම
0621dc0fcc	ඇසට පෙනෙන දේවල් දන්දීමටයි.
062264937d	ඒකත් දැන් ඒ හැටි ලැබෙන්නෙ නෑ
06226cb130	ඒ කෙල්ල පස්සේ ගියා නම්
06230d9dca	මීළඟ පෝය මැයි මස 13 වනදා බ්‍රහස්පතින්දාය.
062368d5d9	බොහෝ අවස්ථාවන්හි සිදුවන්නේ
0623737e2a	මේ වගේ කතා ලබා නොදුන්නා නම්
0623768b95	මෙම නම් අතර දැක්වෙන
0623844e8d	ගල් කුට්ටි ගෙන යාම
0623a310ac	ලංකාව ඇතුළේ සිදුවන්නේ.
0623d276d5	එහි ගිනිදළුත් මැදින් දිවයන දෙමළ ගැහැනියගේ දසුන
0623eb8e08	හැකි වුණේ.
06242f6827	මෙයින් ටික කලකට පසු
0624491f0a	ඒ ධර්මය තිබෙන්නේ ඔබ සඳහා ය
0625021257	මේ මන්ත්‍රීවරු ජනාධිපතිතුමාවත් නොසලකන
0625654fd7	ඇත්තටම කවුද කියා බලන්න සිතී
062565766b	ඔයාලට සෙට් වෙනවා.
0625798b85	උප සමාජයේ සාමාජිකයින් ගේ
0625abee64	ඔන්චිල්ලා තොටිලි කොයින්දෝ දුකා හරිම අපූරුයි.
06267cc293	ප්‍රසංග නිසා
0626d6567a	මං කවදා හරි පාතාලේ එකෙක් වේවි කියල.
0627023e8b	ඔය සිස්ටම් එකකරල තියෙන්නෙ බූ‍රුවෝද දන්නෙ නෑ.
06270b5c24	එහිදී මහනාහිමිවරුන් එම ප්‍රකාශය
06271cc766	ඒක නිසා මේ ඔක්කොම
06276e77a6	ළමුන්ට නිවැරදි අධ්‍යාපනයක්
0629388510	වයින් ග්ලාස්
0629f10eff	පල්ලියේ කෙටවීම් අහන්නේ නැතිව ඉන්නකෝ
062a182aad	ආදරණීය ජීවිතේ බලාපොරොත්තු සුන් වූ අවස්ථා තියෙනවා.
062a8993b7	අනෙකුත් කාර්ය මණ්‌ඩලය ඉන් ඉවත් කෙරිණි.
062ae1ca00	බුදු හාමුදුරුවො වැඩසිටි කුටියට කියන්නෙත්
062b07a56b	කොහොමද ජීවියට මුහුණ දෙන්නේ
062b1dbda0	එතන තමයි විඳීම
062bdee203	රවුමක් ගහලා යයි.
062c2d9ffa	එහිදී විවේකය
062c4775e7	ඔවුන්ගේ ශෝකයද ප්‍රකාශ කර තිබුණි
062c4d81a2	පහුගිය කාලේ අර එක නාලිකාවකින්
062c725f64	metal detectors reviews 2011
062ca002cd	මොකද මම රංගනයට පුදුම තරම් ආදරේ කරන කෙනෙක්.
062cd5220d	කණ්ඩායම වෙනුවෙන් ලොකු සේවයක් කරනවා.
062dad02d1	රජය ගන්නා
062db4cc41	පොම්පයක් ගෙනෙන්ටයි කියලා.
062dfab6f3	නැවත උපදින්නෙ නෑ කියලා.
062dfd6739	විනීත වචන මාලාවකිනුයි
062e10670f	අවශ්‍ය කරන අධිකරණයේ ස්වාධීනත්වය
062eeb1115	ඇතැම් කලාත්මක නිර්මාණ
062f6c19c1	ආරංචි වුණා.
062f7efd6d	ප්‍රජාතන්ත්‍රවාදි පාලනය ශක්තිමත් වේ.
062fe54adc	car racing games
0630a68861	එන්න එන්න මේකෙත්
0631336a9f	නිමිත්තෙන් සහතිකපත්‍රයක් ලබාගන්නා අවස්ථාවයි.
06316c7c25	ඔබ විසින්ම පසෙකට වී සිදුකරගන්න
0631b16f41	වෙනදාත් ග්‍රීස් ගත්තේ හැඳුනුම්පත පෙන්නලාදැයි
0631c86d66	අද කාලයේ පළ වන කෘති හා ලිපි දෙස බලන විට
0632a3200d	මුලදී නුහුරු ගතියක් දැනේවි.
0632dc0b65	පොදුවේ සමස්තයට ම භුක්ති විඳිය හැකි වීම ද වේ.
0632f1e62a	මොකද ඔවුන්ට තමයි පුළුවන් වෙන්නේ
063367c02e	පණිවුඩයක් යැවීමට
06336bf058	අවිශ්වසනීය තත්වයට පත් කිරීමයි.
0633812956	සාමාජිකයෙක් වීමේ සරල සම්භාවිතාවක් පවතී
0634a1c8f0	ශ්‍රාවකයා ඉතා බුද්ධිමත්ව නුවණින් විමසයි
0634f69ebc	එයින් එදිනෙදා කටයුතු මනාව
06355a9a2b	අසාධාරණයක් නැතුව මිනිස්සුන්ට
0636a328ab	අතීතයේ එසේ පෙමින් බැඳුණු අපේ තරුණ තරුණියන්
0636d13ff8	මිහිඳු මහ රහතන් වහන්සේ
06373b6d37	මිථ්‍යාදෘෂ්ඨි ග්‍රහණයෙන් මිදී
06373f714f	ඒ ධර්මය ස්වාක්ඛාත වන සේක.
0637643fd8	එවන් ජාලයක් ගැන ආයතනය
0637db6572	දහවල් එකොලහ හමාරට පමණ
06383cf144	ඔබවහන්සේට අගෞරව කිරීමේ අදහසක්
063858df01	එකම පවුලක් මෙන්
063878185c	ගමේ විද්‍යාපීඨය බවටද පත්විය
0638a1c644	මේ මිනී මැරුම් කොතරම් කුරිරුද?
063927d9fa	කෙනෙකුට ගෞතම බුද්ධ ශාසනය මුණගැසුනට පස්සේ
06393293e7	අපිට ඕනෙ විදියට වැඩේ කරගන්න පුළුවන්.
063957c9dd	මොකද බොහොමයක් දෙනා කැමති නළුවෙක් තමයි
0639ace6ad	අනික මම කැමතිම විෂයක් ගැන තමා
0639c3d1a8	මෙය සම්මත කරගැනීමට හැකිවන බව ද ඔහු පවසා සිටියේ ය.
0639de046d	ඒවායේ හිටියේ
063a2d6228	අනෙකුත් ගීත වලත්ගොනු භාගත කර
063a557f53	තෑන්ක් යූ මචෝ ජැකී අයියා
063a9829c4	අපි හතර දෙනාම
063b0b52fa	ඉතින් දවසින් දවස මෙයින්
063c8a54d1	සුඛාස්වාදය ලබන බව
063d82d053	ඉහතින් කී සියල්ල අපේ භෞතික ජීවිතයට
063d924a04	එබඳු කල්ප සියයකටම
063d937d93	ඊට පසුව එතන හිටපු හෙදිය
063daeaad1	රජතුමාගේ රාජධානියට අයත් විවිධ කොට්ඨාස පාලනය කරන
063dd30e31	බේරා ගැනීමේ අනුකම්පාවෙන්මයි.
063dea3a13	මේ ඡායාරූප ශිල්පියාට
063e1c18e5	ජලවිදුලි ඒකකයක මිල
063e7ef48d	ඒකට ගමේ ග්‍රාමසේවක රාළහාමි
063eb286f4	විඤ්ඤාණ උපාදානස්කන්ධය
063eb4ba24	ඊට පස්සෙ මම ඒ ගැන හොයලා බලද්දි
063ec0592d	ලෝක ස්වභාවය අමතක කර ජීවත්වීමේ ක්‍රමයක්
06408b1b88	නතර වෙයි.
0640bd8018	මං හින්ද ලේ කිපුණ නං.
0640d7fd5f	සිටීමට අකමැත්තෙන් වුවත් අදහස් කරගෙන සිටිමි
0642daf607	මෙම ත්‍රිරෝද රථය පදවා ඇත්තේ දැරියගේ පියාය.
0643cb228b	මෙන්න වැඩක්
064400f6c5	පුරා මාසයක්
064416a349	එවිට තවත් දේවතාවෙක්
06441befc3	අපේ සහකාරියන් සමග එක්වුණාම
06442043a4	මේ දේශනාව ගැන ආරංචි වූ භික්ෂූහු විසිදෙන සැටදෙන
06449880d6	පිළිගැනීමට තරම් ඔවුන් විවෘත නැති වීම
06457ba250	බලන්ගොඩ පොලිසිය සැකකරයි
064580ba9f	අධිරාජ්‍යවාදී පාලන සමයේදී
0646a6903e	නොලැබුණු බවට චෝදනා ඇත
064845fdfc	මානව හිමිකම් කඩන්නේ
06486049c2	බව මගේ හිත කියයි.
06486453ed	මේ සූත්‍රයෙන් අපට අවධාරණය කරන්නේ
064930367a	ඒ වගේ ඒවා අතාරින්නේ නෑ
06493a2fc6	විනාශ වෙලා ගිය ජාතියක් හැටියට
06496259f0	අපේ ගොඩක් මාක්ස්වාදියෝ
0649eb244f	අදාළ ස්ථාන පිරිසුදු කිරීම
064a9c9c5b	මැන්ඩෙලා වැනි ශ්‍රේෂ්ඨයෙකුගේ
064ac864c7	අපේ ජනතා මුදලින්
064b221b65	මමත් මගේ පුතාත් වැඩිදුර ප්‍රතිකාර සඳහා
064b6cea40	එහි වූ තියුණු එළිය
064bd7a791	රචිත සූත්‍රයද බුද්ධ ධර්මයට එකතු කළහ
064be11ffa	මෙහි සඳහන් නුග ගස යක්‍ෂයකුට අයත් වූ භවනකි
064c0a8535	හඳ බහින්නේ ඇයි අම්මේ.
064c7e4822	එතුමා කොහොම හරි ‍පොඩියට හරි ගෙයක් හදලා දෙයි
064d247033	ඒත් තමන් එක්ක
064d5d9af6	තම නවකතාව කිව හැකි හොඳම ශෛලිය
064d5e5870	ඔවැනි බාහිර දේවල් සොයමින්
064d5e80a9	මෙම අග්‍රතම මහිමය
064e37cc6b	ඔවුනට රැවටෙන බව ද කියති
064e8aaab9	නිකුත කළ නිවේදනයේ දැක්වේ
064e9efa0e	තේරුම් ය.
064eb5a76e	අ‍ව‍සා‍න ‍කැ‍ම‍ති පත්‍රයේ ‍වි‍දි‍ය‍ට
064eb7062c	මා කොතන හිටියත්
064ec731d7	නොදන්නා බොහෝ දේ ඇති බව
064ee54c85	youtube downloader and converter professional v 4 51 preacti
064f2fd44c	ඒක නිකං හරියට
064f956260	අනතුරුව විපර්යාසයට පත්වෙන නීති වලින්
064fe9c46a	අපි ඒකම කරන්න ගියොත්
064ffab0c3	වැඩි වෙලා මිස අඩු වෙලා නම් නෑ.
0650037ca4	ජය ගත යුත්තේ සත්‍යයෙනි.
06501a6f5a	භෞතික විද්‍යාවට බියක්ද දක්වයි
065020e662	නමුත් තියෙන හදිස්සියට දැම්ම වෙන්න පුළුවන්.
06503037dd	මිනිහෙක්ට කවියක් හැටියට ගොඩනඟා ගන්න පුළුවන්.
065058b607	ඔබල පත් කරගත්
06507d48df	සහෝදරයෙක් පියෙක් ලෙස ගැඹුරින් සිතා බලන්න.
0651a475c0	අභ්‍යවකාශ යානයක් ගුවන් ගත කළ
0651cb4a3b	ඒවත් සලකලා බලලා සහ
0651ed9b46	ඒවාත් තබාගෙනම එක් ගොනුවකුත්
065230ae1b	හිඟන්නා විමලාගෙන් මුදල් ඉල්ලා ගැනීමටද පුරුදු වූවේය
065290f81a	නමුත් කියන්නේ වෙන වෙන හේතු
0652b66360	අපේ එවුනුත්
0652bb627e	ගලපා තිබේ.
0653551569	එයා ඔෆිස් එකේ දි පොඩි විහිළුවකටත්
0654dd6fe6	නැවතත් ටෙලි නිර්මාණයක
0655173db0	ඇතුළට පිටත අවුල්ව ගිය
06551ea787	sinhalese
06555ea673	හොඳට විමසලා බලලා කරනවානම්
06567f6f25	ගාමිණී මුදලාලි අපිව අඳුනා ගත්තා.
0656a21aab	මධ්‍යදරනී මුහුදට රුසියාවට එන්න තියෙන
0656a6f856	අනික අයියා දුන්න කියන්නෙ
065708362e	එංගලන්තයේ ළමා කටයුතු භාර කොමසාරිස්
065739bd4a	පොතේ තිබුනෙත් එහෙමලු.
06574c595e	fruits
0658562b3f	බහුතරයක් මිනිස්සු
0658d0e658	එනම් බටහිර විද්‍යාව එකම සහ පරම සත්‍යබව
0659acb172	අදහස් නම් හරිම කැතැයි.
065a180fb3	එතුමා මේ රට පංච මහා බල කේන්ද්‍රයක් බවට පත් කරනවා
065a945ed9	උවමනා ඕනෑම වෙලාවක
065b0ca81a	ඔය ඔක්කොම වෙන අතරතුරේ තමයි
065b12de18	අපේ කැමැත්තක් නැත.
065b2d5295	අප ගේ ශාස්තෘන් වහන්සේව
065bac9579	අද මම ඒ වගේම අනෙක් සහෝදරයොත් මෙතන රැස් වෙලා ඉන්නේ.
065c761cf6	යම් අධිෂ්ඨානයක් මං කළාද
065cad8ac7	ලබාගැනීම උදෙසා
065d826fd8	අන්තඃපුර කුමාරිකාවන් ඇතාගේ පිටේ නගින්නට එනකොට
065d8d26db	මේකත් බලලම ඉන්නකෝ.
065da00457	ඔහුගේ මාධ්‍ය ලේකම් වෙන්න
065e57eff8	මෙම දහම තමන්ගේ ගැල විජ්ජාවට
065eca1665	මෙසේ පොඩි පොඩි තොරතුරු
065eeb73b2	බාන වේගෙට බලාගන්න තමා
065eec6911	බැංකුවේ පරිගණක ජාලය
065fb06f0e	පවත්වාගෙන යාමක් විතරද?
06601343f9	කිරිපිටි මිල සංශෝධනය වීම
066074f0b9	ඉතින් සිංහල කියවන්න බෑ.
0660d06db3	තියෙන ගිණි ගොඩක නෙමෙයි
0660e1348d	යන ජාතියක්.
0661cb8224	ජලය නිතරම ඇළේ පුරවා තැබීමට කි්‍රයා කිරීම
0661ee8b92	අනික රාහු කේතු කියලා
0662aa983d	කොල්ලා කියපු සින්දුව කියන්න පුළුවන්
0662e10ca0	අන්න එතකොට එයාට ජීවිතයට
06631d4880	මට ඔවුන්ට පුළුවන් දෙයක් කරන්නැයි
06635665c7	උතුරේ තරුණ තරුණියන් සියයක්
066374ec32	අර කවිය ලියපු අම්මා
0663f4fcb1	මම භික්ෂූන්ගේ සිල්වත් බව ප්‍රශ්න කරන්නේ නැහැ
06641a77af	අපි ග්‍රාමාරක්ෂකයො හමුදාව පොලිසිය එක්ක
0664475d0e	මෙම චිත්‍රකතා සිතුවම් දැක්ම
066560ca7c	මිනිස් ලොව ඉපදීමට නියමිත සත්වයො
0665babe0b	අන්න එතනින් පටං ගමු
0665c15ad6	වැරදි බව නේද මේ මුළු ආසනික්
0665c19ba8	අපි තවදුරටත්
0665d21073	පින් කර ගන්නට මනුස්ස ලෝකයටම ආ යුතුයි කියා.
06660a3aa8	ඒත් මම අභියෝගය
066612e8c2	සෑහෙන්න ප්ලෑන් ගහනවා.
0666819f34	ඔබලා පුංචි කාලෙ ඉඳලම
066691a944	මාරයා සෝවාන් වුනා වගේ වැඩක්.
06669d8662	එහෙයින් මේ සොයාගැනීම් අතර
06674ca1cc	අන්තිමට ඒ දෙක යාකලාම
0667650528	ඇත්තෙන්ම මේ වර්ධනය මහජනතාවගේ ඇඟට දැනෙන එකක්ද?
0667e1db4c	ඒ ලිපිය ලිව්වේ.
066842f556	වෙළෙඳ ව්‍යාපාර කටයුතුවල ද
0668c447dd	කරානය ප්‍රතික්ෂේප කරන්නේ.
0668f52d9a	නරකය, හොඳ නැත කියන තර්කයක් මෙතතින් කියවෙන්නේ නැහැ.
06693f54e1	ඇසුරු කළා නම්
0669d2ba4b	එල්ලා මරා දැමීමට නියමිත සිරකරු
066a0f0a5b	සිංහල පද යොදා නිර්මාණය කෙරුණු ගීත ඔහු ගායනා ක‍ළේය
066a30db86	සුබ අලුත් අවුරුද්දක් වේවා කියල පතනවා
066a8453b0	සිත තිබුණත් නැති ගානට කටයුතු කරන අය
066a87d9f1	මේ තොරතුරු වලට
066bc134f0	සම්මා වායාම සම්මා සති හා
066c1e4a4a	අද් සිටින බොහෝ භික්ෂූන් පවා
066c49b086	පිපාසාව සංසිඳ වූ පිංතාලිය සංකේතවත් කළේ
066c61de25	යම් අයෙකු වේදනාවෙන් පෙළෙද්දී
066cbeef09	නගරබද වෙසෙන එක්තරා පවුලක්
066d0a2592	අතරෙද නැතිනම් නිට්ටඹුවයි වරකපොලයි අතරෙද?
066d13ce36	ඒවාට නිසා දේවල් ගැන නේද
066d9fded3	ඔය අයියල දෙන්න ගැන
066e07d0fe	බුදුරජාණන් වහන්සේ වෙත පැමිණ මෙසේ කීවේය
066e14fee2	ඔබට ජය !
066e2c3631	මා විමසූයේ එවන් නීතියක් ඇත්තේ කොහේද යන්නයි
066e8d5e07	පින් රැස්කිරීමේ අවස්ථාව උදාවෙනවා.
066ea2e4d3	මෛත්‍රී භාවනාව සහ ආනාපානසති භාවනාව ආදි භාවනාවක යෙදීමෙන්
066f190157	එම පල්ලියේදී
066f3d8682	කෙතරම් සැහැල්ලු බවක්
066fc8601a	වැද්දාගේ ග්‍රහණයට හසුවූවාක් මෙන්
066fea28e0	නව ක්‍රමවේදයකින් වැඩි දියුණු වන්නේය.
06700a1953	වියදම් වූ මුදල
067020eebc	ආරංචි උනේ දැනුයි
06709894f8	එම ආගන්තුක උත්තමයා
06714360ff	අතුරුදන් වූ යානය සොයා
0671bc8bc5	ඒක කොන්ඩේ කැපීම වගේ
06728019c9	අපරාධ පරීක්‍ෂණ දෙපාර්තමේන්තුව ඉල්ලා සිටියි
0672a76b75	හැතැම්මදු රින් නෙමේනේ.
0672c63c55	බර වැඩි වුනාවත්ද?
0672cee688	මම ගරු කරන මගේ දෙවන පිතෘවරයා ඔහුයි
0672dd998c	එයාගෙ සතුටටත් වඩා වටිනවා කියලා.
0673638974	ගොඩනගාගන්නට මා කැමැත්තෙමි.
0673a021ca	එසේ ඉගෙන ගත් මිනිසුන්ට
0673bf8b92	නමුත් එම වැඩසටහන අවසන් වූයේ
0673c12129	මේකේ දෙවැන්න
0673f349da	බලය බෙදා හැරීමේ විසඳුමකට පමණක්
0674181dc5	වත්තේ ඇති සොහොනක් දෙස
067421726e	අකාලික දහමක් බව
06750269f4	මේ කෙල්ලගේ විරුද්ධත්වයක් තිබිලා නෑනේ.
067535c41b	මෙහිදී කොණ්ඩඤ්ඤ තාපසයාණෝද
0675c5e0d2	වරින් වර පැමිණි විදේශ ආක්‍රමණවලින්
0676d671c7	මහාචාර්යතුමාට හීනි කැපිල්ලක් දාගෙන
06770da1ed	දේශනා කොට ඇත.
0677589c36	මේකනම් අනිවා බලන්න ඕන
067783b378	වැටෙන්න තියෙන ඉඩකඩ
06779fce71	එන්නෙ තුන්වෙනි කොටස
0677b24dc3	අලියා ආසියාවේ හා අප්‍රිකාවේ සිටින
0678076ead	පොඩ්ඩක් බලන්න
06780940dd	එහෙම ලැබුණු අවස්ථා
067822bef8	ධර්මය පරිශීලනයෙන් පමණක්
067858b1cd	බුදුගුණ මෙනෙහි කරනවා.
06796bf618	එවැනි කටයුතු පවා හැකිතාක් අවම කරගෙන
0679ca849e	මොකද දන්නවද
067a044713	එවිට සම්භාවනීය පුද්ගලයන්
067a218fb3	එකෙක් කට්ටිය ඉන්න තැනට ඇවිල්ල ඇහුව
067a2ae879	නැත්තෙමත් නෑ
067a33248a	බුදුන් වහන්සේ පිළිබද දැක්වෙන ප්‍රබල සාධකයකි.
067a7bc481	මාලියාගේ ඇටිටියුඩ් එක නිසා
067b0c627d	ස්වාමීන් වහන්සේ නමක්
067b3052b3	ගොඩක් සතුටට කාරණයක්.
067b5d43a1	මට පහරදුන්නත් දික්කසාද වෙන්න බෑනෙ
067b7d0f9a	එහි ඉතා උස් පිළ නිසාය
067b85668f	එහි පැමිණෙන වන්දනාකරුවන්
067b8cc918	එතකොට රහතන් වහන්සේලා අතර රහතන් වහන්සේලාගේ පරිසරය තුළ
067bdf9bf6	අරහත් ඵලය බොහෝදුර නොවේවා
067bfc57d7	දරුණු වෙනවාද කියලා.
067c063e84	හැම වෙලාවෙම අලුත්ම මෘදුකාංග බාවිතා කිරිමට
067c1ffc4d	එවන් යථාවබෝධයක්
067c9d51a8	ඉතින් මම කලින් කීවානේ මේකේ දෙවැනි කොටස
067d35598e	එමෙන්ම පියතුමන් ද තිදොරින් නිවුණු
067e1ff8c7	office rent in colombo
067ea3e704	ඉතාම වැදගත් අදහසක්
067f603441	යුද්ධය තරම්ම සංකීර්ණ හා දරුණු නොවන්නේද?
067ff80279	නාලක ගමට වැඩම කොට
06802c3dc5	එවැනි චින්තන හා පිළිවෙත්
068037c2b1	ඉතින් තමන්ට ඒ බිස්නස් එක පටන් ගන්න
06807946e1	ජනතා විමුක්ති පෙරමුණ නමින් ක්‍රියාත්මක වන්නේ පසුවය.
068087bff2	ජාතිවාදයට නැඹුරු කරන්නේ පාලකයන් බවයි
0680fceebd	ඇන්ජලෝගේ අත ගත් මනාලිය වූයේ හේෂානි සිල්වායි.
0681c5eecf	ගුණවර්ධන කිසිවක් නොකියා
068222e467	දොස් කිව යුතු නැහැ.
0682697f32	මවුපියන් පෝෂණය කිරීමයි.
0682a8b5a9	කොච්චර හොදද අප්පා
0682caef98	මාධ්‍යයට මනස්ගාත දොඩවන්නෝ
0682d26ca3	අපි ඔයත් එක්ක ඉන්නවා හැමදාමත්.
0682dc4a3a	දන්නේ නැද්ද දේයියනේ
06834eb595	මලියදේව මහ රහතන් වහන්සේ
068353e63e	බෙරයේ ඇස හෙවත් තට්ටුව
06839360a8	ඇයි කියලා අහනවා.
0684eacc24	ඒජන්ට් කෙනෙක් ඉන්නවා
068501714a	සුවපත් කිරීම මිස
06854f32dc	වින්ඩෝස්වල ගුණ වනමින්
0685bb84a1	මෙම පුහුණුව හෙදියන්ට දුන්නොත් එය වෙනස් වෙයි.
0685e9f84f	තමයි කිව්වේ
0685fa8829	මචෝ දිගටම කරගෙන යන්න.
068667648c	සාපේ්ශව විග්‍රහ කර ඇති ආකාරය
0686e88587	අරකී සම්ප්‍රදායීක ජනමාධ්‍ය වටා
0687067bf3	අලින්ගේ සීමාව අවසානය සටහන් වෙන්නේ
068788aa52	මේ පිවිතුරු සම්බුදු දහම වඩා හිඳුවා
0687b2ddac	දැනුයි බාගන්නෙ
0687d13ecf	සැතපුම් හතක් උස
0687eb94ad	දිරිමත් කිරීම මේ හැම දෙයක්ම
06882e7030	ඔහුට දුන් පින් පෙත් නොලැබෙන්නේ ය.
0688c18581	බුදුබව ලබාගැනීමට හේතු වූ
068946f7d8	ඔබ නොදන්නා දේවල් ගැන
068955c2d1	හඳුනාගැනීම වඩාත් සාධාරණයි.
0689849c33	බුදුවරුනට වුව ද
0689c8b46e	මේ අත්දැකීම් අපිත් එක්ක ‍බෙදා ගත්තාට.
068a3ab70d	මෙහි අදහස රාජ්‍ය පාලකයකු ජනතාවට දන්දීම නොවේ
068b466d66	කුඩේ කුඩු වෙලා.
068bcc4789	එන අමුත්තන්ට ආහාර මත්පැන් අලෙවි කරන්න.
068c1b49b9	ඔබ සිංහල ක්‍රිස්තියානි නම්
068c48acd5	ඕක නවත්තන්න බැහැ.
068d4814ca	බස් රථ හැට අටකට ලැබිය යුතු
068d88852b	මම වැඩියෙන්ම ආශා කරන කතාවක්
068d8d7346	සෞඛ්‍ය අමාත්‍යාංශය තීරණය කර ඇතැයි වාර්තා වෙයි
068d9427c4	වාතාවරණයක් යෙදෙන බව පෙන්නුම් කෙරේ.
068da6ada5	බටහිර විද්‍යාව විතරක් නෙවෙයි එකම දැනුම් පද්ධතිය
068dc8b860	කොපි බාගෙන ඉදලද කියලා
