48001ea8fb	නමුත් එය ජාවාරම්කාරයින්
481affa90e	ඔය කොහොම වුණත්
481b4517e5	වෙන දුරකථනයකින් පණිවුඩයක් යැව්වා
481c87d42d	නිරතුරුව තිරිසන් ලෝකය දැවෙමින් පවතිනවා.
481cb5f316	බෞද්ධ දර්ශනය ගැන දන්න සැදැහැවත් බෞද්ධයින්
481cbc0e64	එම අවස්ථාවේදී ද ගැටුමක් ඇතිවීමට ගිය අතර
481cef99bd	මෝහයෙන් වෙලී සිටින බහුතරයක් අතරට
481d2554c3	හදන උන්ට තමයි මම බනින්නේ
481d6ba327	වැලිවේරිය රෝමානු කතෝලික සුසාන භූමියට ගමන් කළේය
481d70425c	සිදු කරන අතර
481d99747f	දුරකථනය අලෙවියෙන් පසු
481e79b281	කිසිම අයුරකින් එය උත්පේ්‍රරණය
481ea165f1	නියමයි යාලුවා
481f654738	සහෝදරයෝ දෙදෙනෙක් වටා.
48201509f1	බොහොම ස්තුතියි සහෝ
482087fb5c	අකුරු නොදනිතත් උන්
4820e37ad0	මරණය නම්
4821f77047	බුදුපියාණන් ගම් නියම්ගම් සැරිසරා
482229dc76	පෙන්වා දීම
48225927e0	තරුණ කැලක්
4822cdac2e	රාහුල පොඩි හාමුදුරුවන්ටයි.
4824387f62	මෙහිදී ගෝධික හිමියෝ
48247be585	ගීතයටත් මම හරිම ආසයි
4824ca9eee	කටයුතු කරති.
4824f1dd07	අනිත් අය මොනවා කතා කළත්
4825927a75	ළඟට වෙලා ඉන්නවා
4826003b5e	පාප් වහන්සේ නමක් සිදුකොට ඇත්තේ
48266cec9d	නළලට අත තබා තෙරුන්ගේ
482681f1b7	එතනදි ඇතැම් පිරිස් කියලා තියෙනවා
4826b15907	එහෙත් එතුමාගේ වාසනාවට
482711d296	එවිට ඒ බිය තැතිගැනීම හෝ
48281af3bb	nokia 2700
4828f52f88	බුදු බැතිය වර්ධනය කර
4829368c10	කිසිම කම්මැලිකමක් නැතුව බලන්න පුලුවන් චිත්‍රපටියක්
4829acb27d	එනම් මිහිඳු මහරහතන් වහන්සේ පාළි භාෂාවෙන්
482a15eb17	එය සාර්ථක කර ගත හැක්කේ
482a54ffcd	අප නිවසට ඇතුළු වී
482a5c49f6	පවුල හා සදාචාරය සුරැකීම උදෙසා
482a5f71a5	samani
482ade4d73	කළ යුතුමය.
482ae94ff4	ඔවුන්ට ද සුපිරි සතුරෙකු ලැබෙයි
482ba56a39	නිසි පරිදි හැසිරවීම මෙහිදී මූලිකයි
482c824aba	එබැවින් වංශකථාවන්හි දිස්වෙන
482cb6b40e	කසිප්පු සිරියා ඇප ලබා පැමිණීම
482d38e3a5	කතා බස්‌ කරන්න ඕනෑ.
482d74d089	අලුතින් පත් කරන
482d74e002	එහෙම නොවුනා නම්
482dc835e0	එයිනුත් පසුව ඒ තනිකම නැතිවෙන්න
482e464b09	ඒත් බුද්ධාගම රකින්නේ
482e4aaa59	පිරිසිඳුවී මේ වන්දනා නඩ
482f2e8148	ආර්ථිකය සතුටුදායක වන අතර
482f4859a9	ඒ අමා නිවන් සුව
482fc94e2d	භෞතික කරුණු මත
483093563f	කළු ජාතිකයොනේ.
48314a0f23	ගිහිල්ලා පිළිම වහන්සේ ඉස්සරහා
483198e02f	කර්ම විපාක අනුව ආයෙමත්
483217d164	ඉවත් කර අවශ්‍ය දේ ප්‍රමිතියකට අනුව
48322c8813	මෙසේ දැක්විය හැකිය.
483277a8c1	අඩුම ගානේ ඔය සතුට විදින්න.
4832fb80db	ආපසු ඉක්මනින්ම එන්න
48333ef861	කේන්තිකාර පිරිමි දොළහට පුළුවන් වෙනවා.
4833aecb2e	ඔය දැනුම තියාගෙන මෙහෙ හිටියොත්
4833d303da	දුක් පිණිස සිදුවේයැයි අවවාද දුන්නා
4833e4ee15	මොණරවිල ග්‍රාමයේ
4834b3382d	අපේ රට පත්වෙලා
4834d568e9	orchids
483500cda2	ඒ දේ සම්පූර්ණ කරගන්න
4835652b38	මීට අමතරව ද හැඩයන් වර්ග කිහිපයක් දක්නට ඇත.
48356f66dd	කුරුබිලි මාවත ආකාශ ගව්ව යැයි කියනු ලැබේ.
4836b5be82	බුද්ධ රශ්මිය දරා ගත නොහැකි ව
4836d41171	එයා දකිනවා අනිත්‍ය වූ සමාධියක්
4837e6a3ff	අර දාලා තියෙන මාතෘකාව නිසාම
48385fbab0	ආරූඪ වෙච්ච අමනුෂ්‍යයන් ටිකක් අඩුවෙයි
4839190fa6	එක දවසක් හස්බන්ඩ් කෙනෙකුයි වයිෆ් කෙනෙකුයි තර්ක කරනවලු
483953adb3	තියෙන ප්‍රභලම අභියෝගය තමා රාම්බාබු.
4839b1a3a7	ගමට රටට යා හැකිය.
4839d93c8d	ඉතින් මේ පැල්ම වහන්න
483a8d5c49	ඇසපිය නොහෙලා බලාසිටියේය.
483afdc8e7	ගොඩක් අය
483b2285c9	hit left one minute
483ba085ea	පස් වෙන පුද්ගලයින් සහිත රටක්
483c386a74	මඟ පෙන්වීම ලැබිණි.
483c69efdf	ගෝත්‍රික ලක්ෂණ රඳවාගෙන ඉන්න සමාජය
483d1532d6	බොහෝ යටහත් පහත්ව ලං වුණා.
483da2d2f1	මේ ලෝකයට පහළ වෙලා තිබෙන්නේ.
483e3b142b	නිකුත් වන ග්‍රන්ථවල
483ea4a3cc	රැස් කරගන්නා පව් හේතුවෙන්
483eeef3b0	තව සිවු පිළිසිඹියා පත්
483f339dfd	එයාගේ කලින් හිටපු කොල්ලව මරපු පලිය ගන්නනේ
483fa23444	එකමුතුකම ඇතිවනුයේ
483fd95762	එයට ඔබගේ පිළිතුර
48401cf044	බුදුහාමුදුරුවො ඒ වගේ පාපක්‍රියා එපාය කියන නිසා
484040ee09	එනිසා ලොකු මහත්වරුන්
4840437d5f	නම් නැති වී ගියාවේ
4840bcf143	භෞතික වශයෙන් ආරක්‍ෂා කිරීමට
48413de961	බොරු සිදුවීම් මවා පාමින්
48418144e4	අතු පතර විහිදි ගිය
4841905d83	වත් පිළිවෙත් කරති.
4841bcb9e7	දුටුගැමුණුලා වගේ ජාතිවාදය කර ගහගෙන යනවා කියන්නෙ
4841e02a66	blog sites
4842461053	ඇත්තක් බව නම් දන්නවා.
484356794d	අඹ හා ඥාති ප්‍රශ්නයෙනි.
484383c5ad	එක්සත් ජාතික පක්ෂ නොවන රජයක් තියෙනකොට
4843989805	එක්සත් ජාතින්ගේ සංඛ්‍යා ලේඛනවලින් පෙන්වාදී ඇත
48439bcd78	මේ ආණ්‌ඩුවේ සිටින ප්‍රබල චරිතයකි.
4843b96b0d	රූපය සමඟ ගුණය අත්වැල් බැඳ ගත් විට
48446060c7	පෙර වස් විසූ, වස් ආරක්ෂා කරගත් අනතුරුව
4844783372	viber
484488bef5	අසිතට රිමාන්ඞ් භාරයට පත්වීමට සිදුවිය
4845092a67	අපි වාහනය නවත්වලා ඇහුවා
48452ee8f9	ඔයා ට ඉක්මන් සුවය පතනවා
4845504068	විදුලිය ගාස්තු වැඩි කිරීම
4845789237	ඔටුන්න හිමි කුමරා
4845afc60c	පළවෙනි සින්දුව මං අහන්න කැමතිම
484657311e	ඔය රබර් බැලුමට
4846eb92a3	එයා මට කිව්වා
48478eafcd	හිටපු ප්‍රින්සිපල් ටීචර් කෙනෙක් නම්
4847f0aebf	දැන් වඳ වෙලා ගිහින්
4847f7ac1d	හොයා ගන්න බැරි වුණා.
48483d2a2f	එම තීරණය ගන්නා ලද්දේ
48488cc7d4	එවිට වැඩ බලන මහෙස්ත්‍රාත්වරයාට සිදුවන්නේ
48491e3c94	සටන තිබුනෙ
484a2c33e7	ලොකුහාමුදුරුවන් ද ඝාතනය වෙනු ලබයි
484b7f13b6	ඇත්තටම ආඩම්බරයි මමත් මේ පවුලේ එකෙක් වීම ගැන
484bb8ea83	පළමුව ඉහිල් වේ.
484bcb594e	සිතට වෙලා තියෙන්නේ.
484be80aa7	එක් කොට ගැනීමත්
484bf8ad43	එයාලට බේරගන්න බැරි උනා..
484c72162e	මිරිස් වැටියකට වන්දි ගෙවමින්
484c81713a	එය නිරූපණය මෙන්ම
484cabb202	අප පිළිගන්නා ත්‍රිපිටකය පාලිය
484ccb6d67	මෙහි ඇතැම් ශාස්ත්‍ර පීඨ
484d85c7d2	ඒක කියන්න තමා හැදුෙව් ඇයි?
484e1210b2	අපේ ඉපැරණි සෞභාග්‍යමත් අතීතයක්
484e3e804a	වසරේ හොඳම අලෙවිය
484eb2f085	එම ග්‍රන්ථියේ පිළිකා සෑදීමේ අවදානම
484ebb77f9	දළදා මාලිගාවේ දියවඩන නිලමේ
484edda6be	නමානයෙන් පෙලෙනවා ද?
484f19f90c	අන්තිමට ඔක්කොම කුණු බේරුවල් බොක්කට වගෙ
484f229f4b	ස්නායු ආවේග සම්ප්‍රේෂණය කරන සම්ප්‍රේෂක අක්‍රිය කිරීම
484f990fd8	අපි කොච්චර අකමැති වුණත්
484f9aaf8d	එය අන් කිසිවක් නොව අවිචල්‍ය භාෂාවයි
484fc676a6	එහෙත් නිකරුණේ පුස්කමින් පවතියි
484fee93ec	තව කොච්චර දේවල් තියෙනවද ස්තුතියි සටහනට .
485010a48d	මෙම මහා ගැටුම
48504bff24	අදහස් පලකරනවානම්
4850908302	දෙරටේ හමුදා නායකත්වය
4850b58f25	එක්තරා විදියට එහි වන උපසංස්කෘතිය හා බැදුණු වටපිටාවක් මත
485157df94	සාරිකාගේ මහත්තයා ගෙදර
48519644e5	මා කියන්නේ දොරමඩලාව මුළුමනින්ම
485210f65f	බලන්න කෝ අපේ මුම්බායි පොලීසියේ ලොක්ක
48522040d9	විනිශ්චය කරන්න.
485228f0a0	gossip lanka news
48528fa9bc	පුද්ගල ශ්‍රේෂ්ඨත්වය උදාවන අන්දම පැහැදිලිවේ.
485302b8ab	පොඩ්ඩ්ක් හිතලා මොලේ ඇතිව වැඩ කරපල්ලා.
48539d560d	බලල ඉවර වෙලාත්
4853a1892a	එමෙන්ම අපගේ් ජීවිතය
4853eea515	පස්සේ බාගන්නවා
48541ef6d2	එය සදා කල් සැමරිය යුතු බව
48543b7678	අප කතා කරන්නේ
48546bec2b	අපි නිකන් බලාගෙන හිටියොත්
4854b3cefd	සත්‍යය දැන ගන්න උදව් කරන විදියට
4854f5fa62	සයිබර් අවකාශය සදහා කරන්නේ අනර්තයකි.
48557fcb50	පැරැණි බෞද්ධ අධ්‍යාපනයේ සමස්ත ක්‍රියාවලිය අනුව
4855fa62ad	තිස්සට කුප්පි ලාම්පුවේ දුබල ආලෝකයෙන්
485631d2d0	sl photos
4856e0737d	එක එක්කෙනා තමන්ගේ නුවණට අනුව ධර්මය තේරුම් ගන්නවා
48580dcfb8	අලුත් ටෙලි නිර්මාණයක් සඳහා
4858af4f3b	gossip lanka news english
4858c56c62	දැයට කිරුළ වැඩසටහන ආරම්භ කළේ.
4858d5cd09	සම්භාව්‍ය නව කලා ආරේ
4859256740	අරගෙන දෙන්නම්.
48593fad39	අමුතු වෙනසක් නං වෙන්නෙ නෑ
4859459ef4	මන් තවත් මේවගෙ ලස්සන කතාවක් අරගෙන ලගදිම එන්නම්
48596875ef	සේවය ද අගය කරමින්
4859788d4f	අන්‍යයන්ගේ පිහිට නොපතනු යනුවෙන්
48598aec11	ඒක කාර්යක්ෂමතාවයට අදාල වෙන්නෙ නෑ
4859d69df7	ඉදිරියට අපට මල් පොකුරු
4859e064d1	වෙර දැරීමට වඩා උතුම් බව.
485a3a01d2	කිසියම් පදනමක් මත තමයි.
485b173428	සිංහල අකුරු දර්ශණය වන්නේ නැහැ.
485b76c1f7	ෂූටින්වලට එන්න කියලා
485bc8ee04	ඉතින් අපි ඒකට ඒ වෙනුවෙන්
485be268b9	භික්‍ෂූන් වහන්සේ රජු ඇතුළු සියලු රටවැසියාට
485c03192e	ඒ නීති වලට පිළිගැනීමක් සමාජයේ නැත්නම්.
485c8f6a68	අන්න ඒ වගේ අවංක මිනිහෙක් අතට
485cab2cb1	කඨින චීවර මාසය එළඹීමත් සමඟය.
485ce1b900	ගංගාරාමය යන විහාර දෙකම එකම යුගයකට අයත් වේ
485d377619	සසරෙ ආපු ගමනේ
485d3bb48d	අලස් සර් ළමයින්ට අතින් පයින් නොගැහුවට
485d4948b0	රජයට පාඩු සිදු වෙයි
485de001aa	අවාසනාව කරපින්නා ගෙන ජීවිතය ගෙවන
485e06354a	එව්වොත් මට ගෙදර දනගහ ගෙන තමයි
485e50ecc7	ආමෙන් කියා ප්‍රේමයෙන් සිටීමට පියවර ගැනීම
485e80f81f	අප්පච්චියේ කතන්දරත් දන්න ජාති
485e9eb6dd	තීරණය ඇය වෙනුවෙන්ද ක්‍රියාත්මක කරන්නේය
485f5c0e78	රැකියා අපේක්ෂිත අයටද යහපත්ය.
48600fb150	මරණින් මතු සුගතිගාමි වෙයි.
4860700382	එබැවින් ඕනෑම කාලයකදී
486091830c	ඉබේටම ගොයම් ගසක් පැලව
4860c09648	sri lanka hotels colombo
4860c9e342	අදත් නොසැලී පවතින
486200db40	අඳිනව නැත්තං නෑ තමයි
4862051b6b	ඉගෙන ගන්න ඕන පන්සිල්
48626b7630	අය තමන් ආපු බස්රථය වනෝද්‍යානය අසල නවතා
4862d804bb	කෙසේ නමුත් එවැනි දේ
4863222765	සාමාන්‍ය බිරිඳක් විදියට ද දකින්න කැමැති?
48649b3cfa	ඔබ ප්‍රතිවිරුද්ධ පාඨක අදහස්
4864fffc87	භාරතය දේව වාදයේ නිජබිම වෙයි.
486534bf30	පළවෙනි දවසෙම චිත්‍රපටියේ මුලු ආදායම
4865d9fc4d	නමුත් කැමති කැමති කෙනාට
486675d038	එතකොට බන්ධුල සෙනෙවියා තව එක ඊතලයක් විද්දා
48668a04a2	අංගුත්තර නිකායේ මෙත්තානිංස සූත්‍රයේදී
4866abf920	මහා සෑයේ මංගල ගඩොල
4867570aa4	ඔන්න ඉතින් මං අද
4867d30e59	වංශකතා දීර්ඝ ලෙස වර්ණනා කරයි.
486818dc70	උඹගේ කොමෙන්ට් එක.
4868878029	මොකදවගේ අය චිත්‍රපටිය ලඟින් ගියත් කට්ටිය බලන නිසා.
4869d87c12	madura dictionary free download
486b1f3689	අර සෙරෙප්පු නම් වැඩි සනීපයක්
486b8b8aa3	පසුබසින අවස්ථාවන් තිබෙනවා
486b97cbbd	අප කවුරුත් නොසිතන දෙයක් වෙනවා
486c16c14a	මට ඔයත් එක්ක හිටපු හැම දවසක්ම
486c3f99ac	ඒත් ඔහු සමීපයට යාමට හෝ
486ca9a0a6	දැන් කාපට් කරගෙන තියෙන්නෙ.
486d0518e7	එතනින් පටන් ගන්න
486d4e495b	සත්‍ය නොවන හිතලුවක් බව කියාවි
486d556205	මේ මඟින් පුනර්භවය කර්ම විපාක ආදී
486f3e6152	බෝධි සත්වයා යනු
486f83b31e	ඔහු ප්‍රසිද්ධියේම හෙළා දැක්කේය.
486f97f096	එයා කිව්වා භාග්‍යා
486faf083c	මේ පිළිබඳ සාකච්ඡා නොකර සිටීම
4870efc1c7	අධ්‍යාපනය ලැබීමේ අවස්ථාව
48719bff61	සිසුන්ගේ කියවීමටත් සාකච්ඡාවටත් බඳුන් විය
4871a925cf	එතකොට සංඝ කියල අදහස් කළේ පැවිදි ශ්‍රාවකයන්
4871eab923	මොකද පිලිපීනය කියන්නේ
487224ea40	වගෙයි හැසිරෙන්නෙ.
4872767f6b	එක්නෙකට කිසිදු සම්බන්ධයක් නැති සිදුවීම් දෙකක් වශයෙන්
48729613e5	එතකොටයි දකින්නේ මැරුණ මිනිස්සුන්ව කන කණ්ඩායමක්
4872a2a8a6	හොඳම කමෙන්ට් කරුවන් ලෙස
4872a5196c	ඔහුවත් බොරුවට ඇල්ලුවද දන්නේ නැහැ.
4872a8cef0	ඒත් තාමත්
4873a119b3	ඊට අමතරව කොරල් නැරඹීමට පැමිණෙන සංචාරකයන් රැගත්
4873e77e70	ඉංග්‍රීසි බැරිය
48748726ea	වෙන දෙයක් කළාද?
4875c2b237	තමතමන්ගේ වැඩවල නිරතව සිටිති.
4876834384	අසත්පුරුෂයෙක් වුණාට පස්සේ
4876b9fe48	අන්තර් ජාතික සිනමාපට දර්ශකයෙ .ක් තරම්
4877d52e4c	ඒත් එයා හිතලා කියපු
4877ef0b75	අධ්‍යාපනයෙන් උසස් ප්‍රතිඵල අත්කර ගත හැකි වනුයේ
48785fe6a3	පින්වත් රජතුමනි
4878624abf	එම අවවාදය අනුව පිළිපදින පුද්ගලයා
48794ede32	ඉන්දියාවේ හෝලි නමින් මීට සමාන උළෙලක් ඇත්තේය
48796563c1	මෙහිදී සිදුවන්නේ
4879ef6501	උන්වහන්සේ වැඩිදුරටත් පැවසූහ
487a7f5ee1	මොනා වුනත් මේ තුන් දෙනා එකතු වෙලා
487ab6504a	සියල්ලන්ටම දැනගන්න
487ab85f08	එම සේවාවට පාවිච්චි කළ
487ab8eee5	මෙහිදී බුදුන්වහන්සේ විසින් වස් විසීමට
487c27541c	otherwise time and cost also can creep separately.
487d6c38cc	ඒත් අද වෛද්‍යවරු
487d9f721a	ඒ මිනිසුන් මැරීමේ අදහසට විරුද්ධවයි
487e15b293	එහි සඳහන් කර ඇත.
487e35cff7	ඇමැතිවරයාට හිනා ගිය හැටි
487ef4d225	එහෙම බැරිනම්
487f0129de	අත්හැරීම ත්‍යාගය සම්පත්තියක් වශයෙන් මම දනිමි
487f3d804b	බැරි එකෙක් ඉන්නවා.
487ff2a557	අවසානයේ බූරුවන් ගේනවා කියූ රවී
4881035a6c	එබැවින් පුද්ගලයකුට
48813e1d00	ඒවා ප්‍රධාන වශයෙන්
488194c1ef	srilanka night party
4882353e7d	ඒක නිසාම
4882553133	dogs and babies
4882ae17c0	අනිත් අයට මඩ ගහන බවක්
4882f06eb8	නො පෙන්වීමි
488302cb3b	adobe flash player free download
48844e2e3c	රජතුමා කැමැති විය.
48851bf174	කවි සංග්‍රහයක් එළිදැක්වීමට අපි අදහස් කරමු
48853b4e6a	ගඩොල් සකස් කරගන්නට
4885aef41c	නමුත් මොවුන් කරනේ එම පැමිණිලි වසා දැමීමයි.
4886023938	අමතක වෙනවානම් කොලයක ලියාන පල
48862553cc	මෙනිසා ඔවුන් කියන්නේ මෙය මෝටර් රථයක් නොවන බවයි.
4886397477	එහෙත් එම ශෝකය තුනීවූයේ
488649592c	ඔබතුමාගේ මහන්සියට
488711bb80	උතුම් කාන්තා රත්නයක් ලෙස
48871ac4be	එකෙන් තමයි මම තේරුම් ගත්තේ
488777bb10	මේ සඳහා අවශ්‍ය වෙනවා.
4887c48b66	එය හට ගන්නේ
488839918b	අසත්‍යයක් කීම ය.
4888794c9b	මේ ප්‍රවෘත්තිය ටීවී එකේ ගියපු වෙලාවේ දැකපු තව නාඩගමක් ගැන කියන්න ඕනි.
48888f5408	පොඩි උන් කොහේ නිදාගන්නද
48891861a4	ඉන්දියාවේ ජනගහනයට වඩා හරක් නැහැ.
48895fbe9a	බිම්පණුවෝ කියන්නේ කොන්ද පණ නැති පහත් සත්තු ජාතියක්
488971f83f	සකල නිමැවුම් කට අරින කල්හි
488a4f2a40	නිර්මාණය වී ඇත.
488aeaa067	උතුරේ ඇති සාමකාමී වටපිටාව
488b363104	මෙය තහවුරු වී තිබෙනවා.
488cc86ca9	සමාජයෙන් පෝෂණය වෙයි
488cd88fb5	එක පීඩකයෙකුගෙන් තව පීඩකයෙකුට
488d2c5f4c	පොදුවේ සමස්තයට ම භුක්ති විඳිය හැකි වීම ද වේ.
488dba353c	එනම් ලැබීම් ගෙවීම් සටහන් කිරීමත්
488e62fe15	එයි යටි පැත්ත
488e7ffb55	මේ අතරින් හමුවී තිබෙනවා.
488ed2be52	අවුරුදු තුනක් විතර පාරේ මේ හරියේ
488ef79889	කලබල වෙන්න එපා
488f232078	මම නවය වසරෙ වගේ ඉන්න කාලෙ.
488f82c66a	අධ්‍යාත්මික වශයෙන් කිසියම් හෝ පරිවර්තනයක් ඇතිවීමට පෙර
489030dbcb	බයිස්කෝප් එකේ දෙන ඒවා.
4891223cac	ඒකට මෙහේ
4892d765aa	ඔහුට උගන්වන්න.
48934a038a	මෙම පඬිවරයා ඡන්දයෙන් අගතියට යෑම
489422e10b	මට කරදර කරන්නේ.
48947c6e9a	ලග හිටියොත් ඒකකරල දාන්න.
4896055aa0	මුලින්ම රඟපෑමට ඇවිත් ඇක්ෂන් කියන කොටම හරියට එය කළාද?
489712aada	නිශ්චිත නිගමනයකට පැමිණ නැති
48977eac03	රැගෙන යනු ලබන්නකි.
4897903dfd	එම අතීතය හෙළිදරව් නොකිරීමට
48979e0f5a	ජන සතුව විසින් ඇති කර තිබූ විප්ලවය
4897f13a19	කටු කන බලු රැල රෙද්දෙ එල්ලිලා බාධා කරනවනෙ
48983bbaab	තිබිය යුතු විශේෂ ගුණාංග
48987a2b6e	ජනකායක් ඔවුන්ගේ වාසස්ථානවලින් දැනටමත්
48993303e4	එබඳු ස්ථාන
4899bffbd5	අනික් පැත්තෙන් ලකුණු දා ගැනීමක්
4899ecc1d7	උපරිම කොමඩියක්
4899f83d69	වැලි කොට්ටයක් ගෙන යනවාට වඩා
489a083b23	එවන් මවාපාන ලද චරිත හමු නොවන බවත්ය.
489aa2c696	ඇතිවන්නේම නැතිතරම්
489ac8a074	උපාධිධාරීන්ට රජයේ රස්සා දෙන්න ඕන
489aeec8e9	භාවනාවට පෙර
489afee2f1	කතාව බලලම දැනගන්න යාළුවනේ
489b1cf353	කමක් නෑ
489b88aaad	පොර ටෝක් විචාර දාන්නේ
489ba1da34	ඉන් අනතුරව පොලිසිය හා උද්ගෝෂකයන්
489beb0278	නමුත් අභියෝග ජයගත යුතුයි කියලයි
489c0e7082	ඔන්න හසෝ
