75001c4b05	අරන් දුන්නෙ.
7556388e7b	ආශ්වාස ප්‍රශ්වාස දියුණු කරන්න තියෙන්නෙ.
7556acd048	කොටන්න දෙයක් නැති වෙනවා
7556b35720	මා නැවත කිව යුතුයි.
7556c07885	ඒකනේ කතන්දර ලියන්න පටන් ගත්තේ
75570b35f9	තුන් දෙනෙක් විසි දැලකින් මාළු අල්ලනවා
75575d8100	ජනිත කරන්නට ඇත.
7557bcea13	එහෙම ඉපදෙන්න
7558952ef9	ප්‍රථම සංගායනාවේ දී
75591dcfb8	ශාසන ඉතිහාසයෙන් පෙනී යයි.
755927ad8e	නත්තල් සීයගෙ රහස් සියල්ල
75596ea97f	මම දහම් පාසල් යන කාලයේදී
75597a47d7	එහෙම පණ දීලා බේරගත්තු රටක්
7559972e70	අලියත් ඉවරයි අපිත් ඉවරයි.
7559e6b0a8	දෙවියන්ට ඒ ගුණ ධර්ම ලැබුණේ
7559f3c984	විකාල භෝජන සික පදය ගැන සඳහන් වේ.
755a61b475	දඹුල්ල ආර්ථික මධ්‍යස්ථානය අසල
755a83211f	අවට ගම්වාසීහු පවසති
755aecb25d	අන් අයත් සමඟ බෙදා ගත්තාට පින්.
755b844eaa	කල් වරමින් සිටියේ
755c53cc47	කාය දණ්ඩ පදනම් කොට ඇති බව
755cff633b	අයියේ මේකට කියන්න තියෙන්නේත්
755d6f929c	ධර්මය සුරක්‍ෂිත වීමට මහෝපකාරී විය.
755d9d9212	කොටස් දෙකම එකට.
755da3b650	ඔය මළ ඉලව්
755daefd6c	කොපමණ භූමි ප්‍රමාණයක් වගා කළ යුතුද?
755e1a327e	එය මෙහි නොකියන්නේ
755ebafdf9	එයිනුත් වූ සෙතක්‌ නැති
755ecd9519	එතැන් සිට කට්ටියම දඩයම් කිරීම ආරම්භ කරනවා
755ed3db48	සිතන්නට දෙයක් ඇත.
755f0e3aef	ගොඩක් නම්බුකාරයි.
755f89dbd7	උත්තේජන ලබා දීමේ භාරධූර වගකීම
755ff0bea4	නිර්භීත නොවීය.
7560119705	ඔන්න ඔය අතරේ
75608fa5e2	ඔබට මෙම මාසය පුරාවට
7560bff310	ගෞරවය පෙරදැරිවයි.
7560e8d84c	ජනපි්‍රයත්වයට පත්වූ නිළියක්
75611e3e10	වෙනුවෙන් අපි කුමක්‌ කරමුද?
75611ec92d	සියලු සූත්‍ර විමර්ශනාත්මකව පිරික්සීමෙන්
756142dd2a	පොළොන්නරුවේ සත්මහල් ප්‍රාසාදයද ඊට උදාහරණයකි.
7561dad21d	තවම අවසන් වෙලා නැහැ නෙව
7561f980e7	විචාරය කියලා වචනයක් පටලවගෙන තියෙන්නේ.
75621a0f9e	beauty beach
75636ae968	ලංකා ශිලාලේඛන සංග්‍රහයේ සඳහන් ය.
7563c19729	කොහොමත් මුගෙ කටේ කිරි කියා ය.
7563e99042	එවැන්නක් සිදු කිරීම
7563f1824d	එකම නිර්මාණයකට දෙන්නම දායකවෙන්න හිතුවේ විශ්වාසය අඩු නිසාද?
7564b16681	නැවත එලියට එන ක්ලෙයා
7564c594d2	මේ සාඩම්බර පූජනීය උරුමයන්හි
7564eb899e	මල් මාලා සහ වටිනා සුවඳ විලවුන්
7565039a11	මේක යහපත් අදහසින් යුතුව
756505e4f9	ගොඩක් තියෙනවා
756670f760	මට මෙහෙම ප්‍රශ්නයක් වුණා
7566a99070	නවකතාවක් පවා ලියවුනා.
7566c5c89a	සටන් ජවනිකාවක් නම් වරදින්නේ නැහැ මේක්.
7566ed1d27	මේවා හානියක් බව
7566fa7cfc	දොළොස් මහේ පහන කියල කියන්නේ
756713c684	ලෝකයේ පිබිදෙමින් එන
7567567556	පත්තර වල උන්ටත් ඉතින් දාන්න
7567988192	මම කොළඹ නගරයේ මෙන්ම රටවල් ගණනාවක
7567ca115b	ඔහුට ලැබී තිබුණේ ය.
7568514db6	පොල් පැලය දෙසට බව පැහැදිලිය.
756852d782	මේ සියලු පූජා තැන්පත් කරන්න
75687466c3	ඉබේම නැතිවෙනවා.
7568a65ffe	හැබැයි ඔය දියුනුව කියන දේ
7568f582b7	ඊයේ දහවල් වනතුරුත්
7569898c3b	teen girls
7569fefbef	වැඩිහිටියන්ට පහසුවෙන් මගහැරවිය නොහැකියි.
756a5bc20a	ඌව මන් හක්කේ තියල.
756af290d4	එම ග්‍රන්ථ ගතානුගතික ස්වරූපයකින්
756b373c76	පාලි භාෂාව
756bc6f622	මේක ලොකු සංවාදාත්මක තැනක්
756c1e3e8f	එදා මේ රක්ෂිතයට අයත් විය
756c707dd0	කම්පන තරංග නිසා
756caea6a7	ආයුෂ්මත් ආනන්දයන් වහන්සේ ඇමතූ සේක.
756d42b71a	නමුත් ආයි ආයි කියවද්දි
756d9fa7ed	උඹලා සල්ලි දාපල්ලා
756de9ddc2	ගියපාර කොටසත් සම්බන්ධ කරගනිමින්.
756df8e0e6	අප කම්පනය කරන අකුරු
756e9170bd	ඒකෙ කී බෝඩ් එක තමයි විජේසේකර
756eb66782	ගවයාගේ ගොම පිඬ
756edbceed	එනම් අදට ද එහි ඇති වචන
75708cda25	අපිට දැන් තේරිලා තියෙන්නේ
757169bc95	මෙය කදිම ස්ථානයකි.
7571c14788	ගමනක යෙදිල ඉන්නවනං
75724c47d6	අද කථාවට එකතු වෙනවා.
75729c8814	තැනකින් ඔය ඇත්තන්ට
7572a2da89	කොළඹ පැවැතියේ වැහි මන්දාරමයි.
7572e167b0	ප්‍රේක්ෂකයන් අතරට එක් වුණා
7572fa24b3	මා ද කළයුත්තේ එයමය යි මම සිතමි.
757380ffc0	සියලු ධර්මවල මූලික දහම අප්‍රමාදය යි.
757433a657	ඔය උඩින්
75744a1106	නුතන සාහිත්‍ය ක්ෂත්‍රයේ පමණක් නොව
7574f2c71b	cement
7575817e3a	බොහෝ නූගතුන්ගේ සාමාන්‍ය සිරිතකි
757632e4c1	එම ඉල්ලීමද ප්‍රතික්‍ෂේප කළ අතර
7576735388	කවරෙකු විසින් දැයි විමසීය.
7576b8c490	සැදැහැවත් පින්වතුන් උදෙසා ක්‍රියාත්මක වන
7576faf602	විවිධ ප්‍රකාශ කොට ඇති බව
7577792c4a	දසසිල් පුරා භාවනා වඩා
7577b0f30f	අනිත් ඒව නං මට ශුවර් වගේම තමයි
7577ccb72d	බොහෝ සූත්‍ර ධර්ම දේශනා කොට ඇත්තේ
7577fb4116	තම රැකියා කටයුතු අතපසුවීමේ
75780f5736	ලාංකිකයො හැටියට.
75785adf8e	නිමා කරන්න පුළුවන්.
7578b24c7a	අන්තිමට මොකද උනේ
7579281395	එතකොට එකෙක් හරි එනවා
757a48f1f8	අර්ධව ලියු අදහස මෙතනින් නවතමි.
757a6be22d	මතකයේ තිබෙන ගුණ නිසයි
757a9f2983	හැමදාම බලේ ඉන්න හදන
757aed6e00	මේ නළුවාට ක්‍රීඩාගාරයට ගොස්
757af3ba34	ඉතින් කියන්න ඕන නැහැනෙ.
757b13f9df	බුදු හාමුදුරුවෝ දෙසු ක්‍රියා කල ආකාරය අනුව
757b47d08e	එකළ සත්දිනක
757b579826	වටිනාකම රුපියල් ලක්ෂයක්
757bc01c36	රස කතාවක් තියෙනවා.
757be8c242	ක්‍රමයක් වීමයි.
757bf8c103	තමාගේ අදහස ඉෂ්ට කරගැනීම පිණිසම
757c5593f6	ගැහැණුන්ගේ සිය වස යැයි හඳුන්වනු ලැබේ
757c996b7e	සෝවාන් ඵලයට පත් කොට
757d0a34d7	මෙම ගන්ධාර බුදු පිළිම
757e36264a	වර්තමානයේ එම ඓතිහාසික භූමිය
757e4387a6	සිඅයිඩි හරි එන්.අයි.බි හරි නියමට
757e620721	නියපොත්තෙන් කඩා දැමීමට සූදානම්
757e936e23	ඔහුගෙන් පලිගන්න
757ea0ddad	multimedia software logo
757efba6c6	ජයවේවා.බොහෝම ස්තූතියි! පට්ට.
757f122a94	චතුර බුද්ධික ගේ හඬයි ඒ.
757f86417d	ආදරය විනෝදය වේදනාව අපූරුවට දකින්න පුළුවන්.
757f8c624b	ස්ත්‍රිය සම්බන්ධයෙන් ද
757fe2b35d	මොහු රක්ෂිත භාරයට පත් වුණාට පස්සේ ඉඳලා
75800a9793	අනෙක් අතට ඕනෑම කරුණක් සම්බන්ධයෙන්
75803c145d	ඒ දෙන්නට කිසිම වාසනාවක් තිබුණේ නෑ.
75818388ea	සිල් සමාදන් වුනා.
75826210e9	කවියේ තිබෙන විශේෂත්වයත් ඒකයි.
7582fa7509	ආගමික චින්තනය හා ප්‍රතිපදාවන්
7583faa7db	tattoo cats
7584179df9	එදිනෙදා මනුෂ්‍ය ජීවිතය හා
75842c5925	එසේ සිරුරින් බැහැර විය යුතුය.
75843d7ab7	තියෙන ඒ උපසංස්කෘතිය විනාශ වෙන එකයි.
758487ab12	ඉස්සෙල්ලා හිටිය කනට වඩා පස්සේ ආපු අඟ ලොකුයිලු
7584cf4125	බාගෙන නම් ගොඩක් කල්
7584faf2a0	මේවා ගැන කිසිදු සොයාබැලීමක් නැතිව
758539fdad	මෙම අවස්ථාවේදීය.
758542a6b3	එතුමගෙ නියම ස්වරූපය.
758542ef4f	අනියත හැඟීමක් මා තුළ ඇති විය.
75855a2886	සල්ලි තියෙද්දිම
75856eac40	ඒත් “පරණ වුණත් රජ බඩුවක්”
7585904392	හැබැයි වෙනදා බලනවා වගේ
7585c327f9	ඔන්න මගෙන් තරු
7585f0c250	එම අතීතය හෙළිදරව් නොකිරීමට
7586170c0b	රජය තියෙන්නේ
758629efdd	අහසේ යන ගොළුබෙල්ලාට අත වනන්ට
75862fadc8	උපාධිධාරී ගුරු පත්වීම් ඉල්ලා
7586afdba8	creative adds
75880c68a0	රුහුණු ප්‍රදේශය පාලනය කළ
7589c19753	ඇනකොන්ඩා යුවළගේ පැටව් බිහි වීම නිසා
758a7e97f1	චෛත්‍යය ආලෝක කරනව.
758ad2a191	තිර පිටපතේ මේ දර්ශන
758ae45cb6	lakvision
758b44aff1	එහෙම බයක් නැතිව ඇති.
758c01b59b	අපේ වැඩේ කරගෙන යමු
758c75a576	ඉන් එකකට ප්‍රභාකරන් නැග
758ccdc170	ෆුට්බෝල් වලට ප්‍රසිද්ධ ළමයෙක්
758d9107ec	මුලින්ම මම කියන්නේ රැකියාව ගැන ආසාවක් තියෙන්න ඕන.
758e8e2c71	බුරුම ඉතිහාසයද ලියා ඇත.
758e99bb29	එයා දැන් වැලිමඩ පැත්තේ
758ea78521	විමර්ශනයෙහි යෙදෙන්නට
758ee21706	තිස් වසරක් පැවති යුද්ධයෙන්
758f1c77a2	මනස අනිත් වෙලාවට තියෙන සාමාන්‍ය තත්වයට වඩා වෙනස්
758f33c349	කෝප්පය තංගුස් පොටෙන් ගැට ගහගෙන
75910020c1	අපේ රටෙත් පුවත්පත් සඟරාවල හා රූපවාහිනියේ
759120d24f	මේ සෑම පැතුමක් ම ඉටුවේ දැයි සැක සහිතය.
7591e5f678	ආගම් ප්‍රචාරය කිරිමෙයි
7592146dd5	ඔය යුද පෙන්නන්න අරන් යන එක
7592596833	සංගායනා භූමියේම පිහිටුවන ලද මුද්‍රණාලයෙහි
7592649271	මරණ බව කීවේය.
7592b3fa56	එම කවිය කියවලා තිබුණා
7592ee6c5a	එය ශරීරයේ සෑම රෝම කූපයක් පාසා
759337d482	දැනුම පමණක් ලබා නොදීමයි.
759355bb49	අවාසනාවකට මේ කාලේ රාත්‍රියේ
759364c7e9	එකක් ද දන්නෙත් නෑ.
7593715b9a	ඔහු සඳහන් කරයි
7593b90f0c	ලාවට රිදෙන්න
7593e1063d	අනෙකාගේ ආගමට එන ලෙස බලපෑම් කිරීම.
7594108919	එම වස් ආරාධනාව
75943fd1ee	බ්ලොග් එකක්
759489c7db	යහපත් ආරංචියක් ලබාගත හැකි දවසකි
7595a99a97	මෑතකදී මෙම භූමියේ කරන ලද කැණීම්වලදී
7595ae8baf	සාහිත්‍ය පිළිබඳ මීට වඩා
7595e13a9f	මචෝ උගෙ ඒවා.
75960d26be	මා කියා ඇත්තේ
7597526717	ශාසනය විනාශ කරනවා කියලා
75980ffb57	යුද්ධය අවසන් කිරීමෙන් පසු එහි ශක්තිය ආර්ථිකයට එකතු විය.
7599088a99	තම සිතට වංචා කළ හැකි නොවේ.
