66001432c6	දමිත් ගුණවර්ධන කියපු කතාවමයි.
66198866b7	හවස් වෙනකොට ඇඟිලි පුරුක් කැක්කුම් අල්ලනවා.
6619eeef8b	ඔන්න වැඩේ සර්ව සම්පූර්ණයි
661a19c1e8	අනේ මහත්තයා
661a21f88e	ඔයා දැනගෙන උන්නානම්
661a2cd23c	නිර්මාණය ඉදිරිපත් කරන්නෙ.
661b1e425e	මහින්ද රාජපක්ෂ මහතා කම්කරු ප්‍රඥප්තිය ගෙන එමින්
661b289ee6	අනේ ඇත්තටම මටම ලැජ්ජයි
661c10efb0	අපි දන්නවා කියලා පෙන්වන්නයි.
661c9af0aa	ලක්‍ෂණත්ය.
661d15456c	මහනුවර යුගයේ ලියැවුණු ඉතිහාස මූලාශ්‍රවල පවතී.
661d1c8fb7	දේශපාලන බලය නැතුව කිසිම දෙයක් කරගන්න බෑ
661d810da2	අන්වීක්ෂයකින් බැලූ විට
661e0d5299	තම හිතවතකුට සිවුරක් පොරවා
661e3377ae	දේ තිබෙනා බව දැනගැනීමට එහි යායුතුවේ.
661eead6e0	උඹ කතෝලික ක්‍රිස්තියානි හරි මුස්ලිම් හරි කියපන් අපිට මොකද?
661f42688c	සෘජු සහ වක්‍ර යන ආකාර දෙකටම
661f7ed05a	tv channels for free
661fd1ce7c	කොන්දේසි විරහිතව දරුවන්ට ආදරය කරන්නට
662193732d	windows xp pro sp3 install
6621ec8554	ජීව්ත කාලෙටම ප්‍රතිඵල දෙන ජාතියෙ
66229aded3	ඔවුහු සිය ලිපිය මගින්
66240cc313	යථා තත්ත්වය නම්
662443d62a	බලන්න ලස්සනයි
6624a89825	වෙන නමකින් ඇස් දෙක යොමු කරන් ඉන්න ඕන
6626485e1f	යාළුවනේ තවත් නිමාණයක් එක්ක
662710e964	අල්පේච්ඡව ජීවත් වෙනවා
6627183d7a	ඒකෙන් කෑලි අරන් මූට්ටු කරලා
662745287e	එම තර්කය
662789a799	ඉතිං කියවල මට හිතෙන දෙයක් කමෙන්ට් කරල යනව
66283b2814	මාතෘ භූමියේ ගරුත්වය වෙනුවෙන්
6628633620	මෙම නියෝගය නිකුත් කර ඇත
66292fc6ef	විශේෂිත ගල් වර්ගයක් අතුරා
66293ce75c	මේ පිළිබඳව පරීක්‍ෂණ පවත්වාගෙන යයි.
6629d75e9d	ප්‍රධාන මාධ්‍යවලින් කතා නොවෙන
662a71e558	අම්බට්ඨකෝල නම් ජනපදයෙහි එක්තරා
662a867005	එරට සිටින නැටුමට වැයුමට දක්‍ෂ අපේ දු දරුවන්
662b461fad	එලෙස කල්පනා කරමින්
662b704888	අඛන්ඩව විශිෂ්ට චිත්‍රපටිවල
662b7a0ef8	අදාල පැමිණිල්ල
662bcd559e	නිදහස් මානවවාදයේ සියලුම අංග
662c4786b5	පිරිනැමීමට කටයුතු සලස්වන බව සඳහන් වේ.
662c4f2782	මෙසේ හැසිරෙන භික්‍ෂූන්
662c639b7a	උඹ නොදන්නවට
662c6cf825	mother
662c8d81ae	ලබන පෝදා පළකෙරෙන ලිපිය පිළිබඳව ද
662d5fb96a	වල්නාශක තුළ අඩංගු බව
662da5f470	ඒක ඕනෑම තත්ත්වයකදි
662e252728	sinhala stories full
662e2cd502	නමුත් ඒ කතාව විසින්ම
662f330006	උඹට ඕන තරම්
662f959235	මොකක්ද මේ අභිරහස් පිපිරුම
662fe0d8a0	අනිත් වචන එක්ක
6630282f38	දිස්ත්‍රික් ප්‍රාදේශීය ලේකම් කාර්යාල වලට
66312e0b46	ඉන්දියාවේ මුම්බායිහි පිහිටි පීසා අවන්හලක
6631c0e8bb	කියන එක නම් මං දන්නෙ නෑ.
6631fb618e	අනිත් කොටසේත් උපසිරසි අරගෙනම එන්නම්
66322dfae7	සංනිවේදනයෙහිලා ලැදි කොටසකි.
663489f729	stories
66348aacde	වෙස්ගන්නා හෙයින් හඳුනාගන්නට අසීරුයි.
6634d036aa	නිසි ඇගයීමක් අදාළ නිර්මාණ වලට ලැබෙ
6634de2755	තවත් විටෙක සුනාමියක් වී
6635317cad	මෙසේ කර්නල් පදවි පිරිනැමුණා
6635743035	ඒක මූලිකව පරණ තෙස්තමේන්තුවෙ.
66357d3fb6	ඇගේ මව ඉන්දියානු ජාතික කාන්තාවක්
66360f4ad8	අනුර බණ්ඩාරනායකත් හිටියා.
66364950ea	පලි ගැනීමට මාන බලමින් සිටීම
66371400a4	එය සිදු විය හැකිය.
663794d483	බුදුරදුන් කාව්‍ය ශාස්ත්‍රය භික්‍ෂූන්ට තහනම් කරති.
6637a755e4	වගකිවයුතු අයත් ප්‍රකාශ කලහම
6637a798e7	හැබැයි කොටි මර්දනය කරපු එක
6637dac099	ලෝකෙ කොහෙත් වැඩි පිරිසක්
663878497f	ජොබක් සෙට් කරලා දෙන්න බැරිද ?
6639636446	මධුර හින්දි ගීත සියල්ලටම පාහේ
6639714c75	කුහකත්වයෙන් ක්‍රියා කිරීම වළක්වාලනු පිණිස
6639828fe3	ඉබේම තිබුන තැනින් එහාට වෙලා
6639d46b2a	බෞද්ධ භික්ෂූන් සහ ගිහියන්ගේ වත්පිළිවෙත් සහ
663a2b6ffd	විශේෂිත වූ වාසි ඇත.
663a3eb7cc	අවම වශයෙන් උපහාසයට හෝ හාස්‍යයට ලක් කරන්න එපා.
663a630d26	බුදුරදුන් මේ අන්දමට සොබා දහමට සිත ඇල වූ නිසාම
663a729d39	කඨින චීවරය පිළිබඳ
663a7c8b71	එවිට අර්ධ ගෝලාකාර හැඩැති පළිඟුවක් සේ
663a8ba09a	කන එක නම්
663b754674	පහසු කාර්යයක් නොවන බව
663b99542f	ශුද්‍ර ලෙස
663c8e6530	skill games of barbie
663d5e2a89	මම යම්කිසි දෙයක් ඇසින්ද දැක්කා නම්
663e238c3d	නමුත් අපේ මිනිසුන්ගෙ බහුතරය
663eaa9068	මේ ප්‍රකාශයෙන් හැඟෙන්නේ
663ed7893d	මම ඇයට දෙමි
663efc58bf	අද ජාතික වගකීමෙන් යුතුව නව ලෝකේ ඉදිරිපිට ඉන්නාවූ
663f331843	අර්ධ ශුෂ්ක වනගහනයක් මැදින්
663f4f0b84	ගෘහ පාලනය ආහාරපාන සකසන අංශය වගේ
663f5b9781	මහා සෑය නම් විය.
663f77a755	අනිවාර්යයෙන්ම අහනවා.
66401e092f	පැරණිම අර්ථයෙන්
66402fdb65	ඔබ දැන් හිතනවද ඒ ගත්ත තීරණය
664035acd0	චෝදනා එල්ල වෙයි
66406bcaa5	ඒකට නීතිදාන්න
664101f1be	ආරම්භ කරනු ලබන්නේ
664121cdfc	ඔබ කොතෙකුත්
6641bc72d6	රජතුමා උන්වහන්සේලාව මාළිගයට වඩම්මවා ගත්තා.
6641d7451f	ඇතැම් කරුණු ද, මහායානයේ ප්‍රභවයට,
66428ee398	මොකද සක්කාය දිට්ඨිය හැම තිස්සේම කරන්නේ
6642be62ea	එදායින් පස්සෙ
6642df4755	දරුවාට ද වේදනා දැනේ.
664339fc86	elegant birthday cakes for kids
66436fbc92	ඉතාම වැදගත් බවයි
664393e03e	නුසුදුසු තැන්හි ඒවා භාවිතා කිරීම
66449b56df	එම විතර්කය ටික ටික බලවත් වුනා.
6644c0b41e	අල්ලස් කොමිසම ද ඉදිරි පියවර කුමක්
6644ea6690	ලෝකෝත්තර මාර්ග සිත් 04 යි.
6645a91dfd	එක් දිනක් බොරු අසනීපයක් මවාගෙන
664601b69c	මටත් මැරෙන දවස හොයාගන්න තිබුනානම් මරු
664851035f	සාම්පූර් බලාගාරයට අත්සන් කළ ගිවිසුම අනුව
6648d655a3	මෙම පවුරු සම්පූර්ණයෙන්ම සකසා තිබෙන්නේ කබොක් ගල් උපයෝගී කොට ගැනීමෙනි.
664900ff43	මේ කොටසේදී බලා ගැනීමට හැකිවේවී.
6649237893	උන්වහන්සේගේ දේශනා තුළ
6649aa0398	අධ්‍යාපනය හැදෑරූ බවත් සැලයි.
6649c2881c	අපේ සීය ගැන
664a14a0ac	ඒක ජීවීතය පුරාවට
664a20f45e	හාල් කෑලි කියල සමහර වෙලාවට කියන්නෙත්
664a6e12e4	ගරු අධිකරණයේ අවධානයට යොමු කරනවා.
664aa72112	ශ්‍රී පාද උපසංස්කෘතිය.
664b0d05ec	එනම් කිරිමව්වරුන්ට පිරිමින්ගේ වෙස්ගන්වා
664b4e8b72	සජිත මල්ලී අනුමාන කරයි.
664baee197	මෙහිදී ඉදිරිපත් කෙරෙනු ඇතැයි සැලකේ.
664be0a7cb	මුලු පන්තියටම ඇහෙන්න මෙන්න මෙහෙම කියනවා
664beffb5d	ඒත් ගෙදර ගහක
664c4b0207	ඒ කෙරෙහි බැඳෙන්නෙ නැතිව යනවා.
664c671a90	ලොව පහළ වූ ආගමික හා දාර්ශනික නායකයන් අතර
664c92e124	බොහෝ දුරට ස්වාභාවික ලක්‍ෂණවලින් යුක්ත විය.
664ce6040b	internet money
664d24ee19	මුස්ලිම් ජාතිකයන් තුවාල ලබන අතර
664d3c50e1	ශ්‍රද්ධාව පිහිටුවා ගන්නවා.
664d6c353f	අගවිනිසුරු ශිරානී බණ්ඩාරනායකව පන්නා දැමීම සඳහා
664d984f26	කලක් තිස්සේ එකට කරන
664d9f2cdb	අපි නිදා ගන්න ගියා.
664e473db8	දඹදිව වන්දනාවේ පැමිණෙන අසරණ බැතිමතුන්
664ea66573	ප්‍රශ්නය මියන්මාර් රජයෙන් මේ වන විට දළදා මාළිගාවට දළ ඇතුන් දෙදෙනකු පරිත්‍යාග කැර තිබෙනවා නේද?
664ece1a51	කොයිතරම් වැදගත්ද?
664f251326	මංගල දිනයේ ඇය රැගෙන එන ලෙස
664f4a82d1	උදව් කල හැකි වැඩ පිලිවෙලක් ලෑස්ති කරලා
664f668301	රන්මැණිකා අනුරාධපුර ප්‍රදේශයේ මෙම මධ්‍යස්ථානය පවත්වාගෙන ගියා
6650f665ff	මමත් කාර් බලන්න ගියේ.
6651dff6e3	අර කුඩා ළමයට කුමක් වෙයිද කියල
665203a80c	එතකොට පිටස්තර කොන්ත්‍රාත්කරුවන් ඇවිල්ලා
66521cd2ab	අයියයි මමයි එක ගමේ ඈයෝ
6652504036	අහසෙහි වැඩ සිටි බුදුන් වහන්සේ ධර්මය දේශනා කළහ.
66526df02a	එකවර අධිකරණයෙහි විභාග විය
66527d76f3	සෝම හමුදුරුවොන්ට දුන්නේ දේ
66536a08e9	වේයි අනිවාර්යෙන්ම
66536e9a98	කටයුතු කරන බවක් පෙනේ.
6653a57ece	අන්න ජෝඩුවම රට දාලා ගිහින්
6653f36eee	දිනපතා එම අපරාධ රැල්ල
6654158c58	sri lankan airline careers
6654507e3a	ඒත් උඹලා ඒකෙ තියෙන ඒව
665471a177	බැංකුවලට එපිටින් කවර ක්‍රමයකට රටට ඇතුළු වුවද
6654e1f738	ආටෝප ලට පට අතරේ
66553745bc	කෙටිකතාව හා නවකතාව
6655d54973	අන්තිමට වෙන්නේ වැරදිකරු වන්නය
66566a4f8a	එකේත්ටික ගලවල දොර විතරක් තිය ගමු කියලද?
665714805f	ඇතැම් මාධ්‍ය වාර්තා කරන පරිදි ඔහු නීතියට කට්ටි පනිමින් සිටි පුද්ගලයෙකි.
66573d87bb	මේකෙන් දෙන දෙයක් අරන්
6657cbaec5	සියදිවි නසා ගන්න.
66581528a2	ඉගෙනීම් කටයුතුවලට යහපත් දෑ රැසක් සිදුවන්නේය
6658317c0c	ඔබවහන්සේට යම් බදු ගෙවීමක්
6658386b87	අන්‍ය වස්තූන් ගේ
66584bb141	උපන් වෙලාවෙන් මැරෙන වෙලාව
6658721e23	මෙහිදී බස්රියේ රියැදුරු කොන්දොස්තර මහත්වරුන්ද
66595eac19	හැමෝටම එක ජම්පරේ අන්දන්න
665b6588b0	දකින්න ඇතිනේ
665b6cdfe5	ශිෂ්ඨසම්පන්න උනානම් කොච්චර හොදද?
665bc1f5d9	ඔයාට වගේ බෑ කියලා.
665be0d2d1	එකපාරටම සොරෙකුගේ අතට යනවානේ
665bf25e8c	අම්මා නැති අඩුව.
665c07dcd3	birth day cake
665c70c7e3	මෙදා පාර කිසිම විවාහ උත්සවයට පෙර සාද වගේ දේවල් නැහැ.
665ceaff02	ඒත් දොස්තර කෙනෙක්
665d424539	භයානක ලෙස ඇඟිළි ගැසීම් ද
665d7a8aae	එතන හිටිය නර්ස් අක්කාත්
665e347ca4	හැමදාමත් සතුටින් සෙනෙහසින් ඉන්න පුළුවන් වෙන්න
665f1b5aad	බය කියන බයිලාව අත ඇරල
665f7fe873	තරුණ තරුණියන්ට දැන් වරප්‍රසාද හිමිවී තිබෙනවා.
666099ac47	එය අනාගත ඔබේ දරුවනට
66609f754b	මෙතන නෙවෙයි
66614dce2f	ඉතින් එහෙනම් අපි මේවා දන්නේ නැත්නම්
66615365cd	තෑග්ගත් හුගක් වටිනවා.
6661ba666f	මෙම කෘතිය දීපවංශය වන්නට ඇතැයි
66626271cb	මෝටර් රිය පසු පසින් දුවගෙන ගියහ.
66630cd467	වසර ගණනක් තිස්සේ
66631d7829	සමහර වචන කියවද්දි.
666327a886	තමා රජතුමා වුවද බුදුරජාණන් වහන්සේ
66634ad56c	ආගමක, දර්ශනයක, ශික්‍ෂණයක, ප්‍රතිපදාවක
666466e67e	රෝහණ පොතුලියද්ද විසින්
6664a44c81	අපි හොඳට මතක තියාගන්න ඕන
6664ed06f2	ගැටලුව මදක් නිරවුල් කරගැනීමට උත්සාහ කරමු
666501b796	මුල් ඇදහීම අතහැරියේ නැහැ.
666537ef8a	සිංහල ඇතුළු අනිත් දකුණ ආසියානු
66654be905	එවන් ඵල ප්‍රායෝගිකවම ලද හැකි වේ.
66654dd688	ඒත් අපේ තාත්තා මට
666561235d	උද්‍යානයේ තිබෙන බුදු පිළිමයට
6665d4297f	ලැබුවා වූ මනුෂ්‍යත්වය
66665e7862	අපේ නැහැයට ද දැනෙන්නාක් මෙනි.
6667a57f39	මාත් අහල තියෙනවා.
6667b1a646	එලිසබෙතානු සිත්තරු ධනය බලය හා වංශවත්භාවය පිලිබිඹු කෙරෙන
6667ffe177	කොළඹ මහා මාර්ගයේ
66680936a3	ඉන්දියාවෙ මොන ආණ්ඩුවක් ආවත්
66681703fa	මද දුරක් ගමන් කරන විට
666825233b	අපට නැති වුණේ ඒ පුද්ගලික උවමනාව කෑදරකම නිසාය.
66688d7e19	ඒකට මගේ උපරිම උත්සාහය හා
6669ef5c05	ඒත් මෙන්න ඔහුගෙ කලිසමේ
666a325370	යුද්ධයක් සිදුවූ බව
666ad3e6fe	ළමා කාලයේදී ඉතා උනන්දුනේ
666b08485e	ඉත සිතින් අගයමි
666b7b2d98	මනුෂ්‍ය ශරීරය වාහකයක් කර ගැනීමට
666b7c4649	ධම්මපාල විදුහල ඇතුළු විදුහල් කිහිපයකම ගුරු සේවය කළහ
666c086b3a	හින්දි හේවා දැන් පහු බැහැල වගේ
666c0fc693	රජරට ජන නළු කැල
666c5e3189	එක්කෝ මට හොඳටම පිස්සු
666cb3eb61	වාසය කරන බවයි.
666cd1c833	සොයමින් සොයමින් ගෙවා දැමූ නිමේෂයන් හි එකතුවකි
666d84ea5f	ලෝක පූජිත වීමට නියමිතය.
666da79f05	රාහුගේ පිහිටීම එතරම් ශුභ නැත
666df67bea	අති දැවැන්ත සම්මතයකින් පසු
666df90b07	විශාල පිරිසක් තවම ඉන්නවා.
666e2ecae6	සාමය ඕන නම්
666e6aaf95	මෙහිදී මෙම ප්‍රශ්නයට
666e78b4ed	නන්ද ස්වාමීන් වහන්සේ පුදුමයෙන් වගේ බලාගෙන හිටියා.
666f0e6b76	එසේ දෙසනු ලබන ඒ ධර්මය ශ්‍රවණය කොට
666f4c7e6a	වෙනදාට වඩා ලස්සන මානෙල් මලක් පිපී තිබෙන අයුරු
666f67f63f	new year 2013
66702fe5bd	හැබැයි ඒක නොකියා කලා නම්
667098a6d5	මීට අවුරුදු අටකට පෙරාතුව සිදුවුණු ඒ බියකරු සිදුවීම
6670e55c67	ඔච්චර ලංකාවෙ අත්තනගල්ලෙ අලවල කියන ප්‍රදේශයේ
66715c8264	යම් වයස් සීමාවකදී
6671d1d0d1	මීළඟට ප්‍රධාන පිළිම වහන්සේට දකුණු පසින් පිරිනිවන් මුද්‍රාවෙන් සැතපෙන පිළිම වහන්සේය.
66726d3a96	විතදෝසය
667278381b	මේක මීට වඩා හැඟීමකින් කියයි
6672ad20c0	උබ දන්නවා කියලද ගොනෝ හිතන්නේ.
6672ea9d73	විවිධ අවස්ථාවල ලක්වුණා.
66739c810c	හැබැයි අද වනවිට සිද්ධ වී තිබෙන්නේ
6673bc4621	ගෞතම පුත්‍රනම් රජුම විය හැක
66748deac4	මම එයාලව බලන්න යනවා.
6674a8d620	සෑම තන්හිම රෝපණය කළේය.
6675939fca	තැලිසීමියා ඒඩ්ස් ආදී රෝගවලටද
6675c4a3fd	ඇත්තක් තියනවනෙ මල්ලි.
6675ce5236	එවැනි දැනුම බෙදා හදා ගැනීමට අවස්ථාවක්
66769aee93	එවිට බුදුරජාණන් වහන්සේ වදාළේ
6676bef5e0	මොකද මෙහි විකිරණශීලී උපකරණ
66772cfa85	අයිඑම් එෆ් එකේ
6677e27d81	පුජ කරන්නේ සිංහලයාගේ ඇති මනුස්සකම
66781adb73	ඒ ඒක ගිල්ලවන්ඩ බැරි නැවක් කියලා
66783557f5	රවුම් පාත්තරයක් අතින් ගෙන
667860611b	කාන්තාව හසු වී සිටි බවයි.
66786e4842	ආණ්ඩුව විසින් ගනු ලැබ ඇති පියවර කවරේද
6678912ed6	ගෙනාව මේ සුපිරිම කතා මාලාව
6679d35e13	පොලීසියෙන් තමා
6679e73bab	එනම් ආශාවන්
667a2298df	ප්‍රතිකාර කළා.
667ad29b23	අයගේ හිමිකම් හා අයිතිය ආරක්ෂාවීම පිලිබඳ
667ad30297	මොකද තමා තරම් අනිත් එවුන්ට බෑ කියන හැඟීම තියන නිසා
667b47950b	සමහර දේශපාලන බ්ලොග් ලියන
667b4ba1e7	බොහොම සත්ව කරුණාව තියෙන
667bbe2797	ගායකයාණන්ගේ ගීතාවලියට අමතරව
667c4a2be5	අපි ගොඩක් දේ
667cafdf90	වෙඩි තැබීමට ඉඩ කඩ පවතින බවයි
667cd71b24	මෑතකදී ඉදි කරන ලද
667d50142a	අන්තර්ජාලයට පවා මුදාහැරලා තිබුන නිසා.
667d577ce3	අධිරාජ්‍යවාදයට එරෙහිව
667e3aca27	දැන් දිග හුස්මක් හෙලනවා කියල.
667ebf5c02	අසරණ වෙන දරුවන් ගැන
667f1d08b4	lankatv
667f5a6420	විරුල් ඒකා කොම්පුටර් එකත් එකක් තරයි.
667f813f98	බ්‍රහ්ම ලෝකයේ තිබෙන සැප
667fdca4d6	ඔය ගානටම බඩු ගන්න
6680618ce0	න්‍යායාත්මක උපකරණ ලංකාවට එන්නේ
66806e860f	හාට් ඇටෑක් එකක් අවිල්ල එතනම මලාලු
6680f5d616	මෙයින් කෝපයට පත් රජු
6681244e8f	මේවා සාම්ප්‍රදායික දෙමළ ප්‍රදේශ
6681a9834e	උන්වහන්සේ සැබැවින්ම
6681d933e4	ලියවැල් මෝස්තර දක්නට ලැබේ.
6681f29a52	තාමත් ලංකාවේ හෙදියන්ට
6682668b0b	සිද්ධාර්ථ කුමාරෝත්පත්තිය සිදුවී ඇත
6682a62d5e	එහෙත්වෙනි ව්‍යවස්ථා සංශෝධනයට එරෙහි
66832db2e5	අභිනව මහානායක මාහිමියන් වහන්සේගේ චරිතයෙහි
668361fbad	විමල්ට තියෙනවා.
6683a89c21	එයින් මගියාගේ කාලය නාස්තිවීමත්
6683aa1b7d	මෙයාගෙ තනිය මැකෙන්නෙ.
6683f0a3d1	දෙදෙනා ම දෘඪතර ලෙස
6684baba6a	හඬ නගන්නෙමු.
6684dd7a89	මේකේ තියනවා
668507915d	නව්‍ය ඇසක් යොමු කරයි.
6685498f55	හරියට කියල නෑ වගේ.
66855625cc	අපි එක්ක ඉන්න
6685634ff8	උඹගේ ලිපිය සමස්තයක් වශයෙන් පිළිගත හැකිය
6685b0ac9a	සිහින පෙනීම ද සිදුවෙයි.
668692edb6	එදා විතරක් නෙවෙයි
6686a2ce01	ඇති සියල්ල විනාශ කොට
6686e22da0	හැබැයි සමහර අය ලියල තියන ඒව
66875df790	අපගේ උගත්, බුද්ධිමත්, සිල්වත් මහතෙරුණුවරුන් විසිනි.
6687758440	නිකුත් කිරීම සඳහාම පමණයි.
668782d937	හරියට මුඩුබිම් පනත කලේ
6687ad4117	නරඹන එක තමා හොඳ
668813b37d	කියලත් මම විශ්වාස කරනවා
6688222576	හසිතාටත් බොහොම ස්තූතියි.
66882456d9	කෘෂි උපකරණ බෙදා දීමක් ද සිදු කෙරේ.
6688dd1b66	අවිධිමත් ක්‍රමයට පරිසරය තුලින් සහ ස්වභාවික ක්‍රමයට
6688f5cc49	එබැවින් මෙම ශික්ෂාපදයෙන්
668926e9d7	එබැවින් තරහ නොයන බව කීමට වඩා
6689292f49	රජයත් ජනතාවත් යා කෙරී ඇති විශ්වාසය
6689435b74	සමාජය තනමින් පුද්ගලයාත්
668963c3dc	එතුමිය කියනවා මෙහෙම ප්‍රශ්නයක් වෙලා
66897e559d	අගය කළයුතුයි.
6689e3581f	එහෙම හොඳ නැත්නම්
668a67138f	ඉන්දීය ශ්‍රේෂ්ඨාධිකරණය පිළිගෙන තිබේ
668ae841ff	උදේ අපි සමහර කොල්ලන්ව ගෙනිච්චේ කරේ තියාගෙන
668afc5423	ජීවත්ව සිටින දූදරු ඥාතීන්
668b165729	ඇගිලි තුනක් උස්සල පෙන්නුම් කළා
668b22c6fd	භූතාත්මය සතුටු කිරිමෙන්
668bd2e861	යම් කෙනෙක් වේද
668bdd3cb7	උගේ සිරුර පුරා කුහුඹියන් පිරී සිටි
668bea0590	මේ නිර්මාණය වන තොරණ
668c4410db	පටු කෝවකට ඇතුළු කිරීම පමණි.
668c8dcdc8	මේ වගේ තවත් හොඳ එකක් අරන් එනකම්
668cd911f5	අද ඔබත් සමග බෙදා ගන්නේ.
668cdb32f2	දේශපාලනය වුණත් හොඳට කරන්න පුළුවන්
668d73d27e	හමු වුණාද?
668db4cb95	සර්වඥතා ඥානයෙන් අවබෝධ කරගෙන
668e599368	විශේෂ වගකීමක් තියෙනවා
668e63911e	උන් දන්නෙත් නෑ
668eaebcac	ඔහු සකල සත්වයන් වෙත
668eba9b71	මෙහිලා ඉතාම වැදගත් වනවා.
668f1ff041	අද කැනහිලුන් ඒවා ගන්නේ
668f706fd5	අතින් ගත් තායිලන්ත කොඩි ප්‍රදර්ශනය කරමින්
668fd55c90	මේ අසිරිමත් පීඨිකාව
668fe2bd98	රටේ ප්‍රශ්න ඇතිවෙන්නෙ කියලා.
668ffd006f	එය නිර්වාණ පිළිවෙත නොවන බව
66901cf935	ශ්‍රී ලංකා වෘතීය මනෝ චිකිත්සන උපදේශක
66901f071e	අප කරන්නේ
66910a8aff	තප්පුව ගහපු එකාගෙන්ද සිංහල වෙස් මවා ගත්තේ
66917deb74	දෙන්න හිතුවේ.
6691a633b0	එන්න එන්න වාඩිවෙන්න
