34000e64a7	හුඟක් පටු තැනකින්.
34191510de	අම්මේ ඔබ අපට ආඩම්බරයෙකි.
3419d07fd2	ඊනියා ගුරුත්වාකර්ශනයක් නිසා නෙමෙයි.
341a2d7a73	අපේක්ෂකයන් පිළිබඳව තොරතුරු තමන්ට ලබාදෙන
341a3afc57	අයගෙන් නගරය ‍බේරගන්නයි
341a3ff48b	child cleaning the kitchen images
341a64ea7e	මුල, මැද, අග යහපත්වූ ධර්මය
341ad42ed1	බියට පත් සහ කලබල වූ මිනිසුන්ගෙන් අපේක්‍ෂා කළ හැක්කේ
341b118501	ගල් කණු කීපයක් පමණක් අදත් දක්නට තිබේ.
341b14ce2b	මීට අමතරව පොදු බස් සේවාව පිළිබඳව ජනතාව අතර ඇති වන විශ්වාසය හා ගමනාන්තය දක්වා වූ පහසුවයි.
341b308f0d	කිතු හඩ
341b47e59a	අද බෙහෙත් කියල සලකන දේ
341be1ef63	ඒක අපි දෙන්නම
341c0bd8eb	ඔහු බ්‍රහ්ම කායික දෙවියන් අතර උපදිනවා.
341c6f2387	අනුන්ගේ පෙළඹවීමෙනි
341c96c0de	නිර්මාණයක් ලෙස මනමේ කුමරු හා කුමරියගේ
341ca6bc12	දේවල් වෙනස් විය යුතු බව
341cb73c83	ඒත් අලුත් දෙයක් හෝ
341cf8c89c	ඉතිං ඊට පහසුයි කෙනෙක් හදාපු සිංහල සබ්
341d7c6095	ඇත්තෙන්ම අපේ අම්මා කෙල්ල කාලේ වගේම
341e876e79	ලක්දිව ඇරඹුණු අධ්‍යාපන ක්‍රමය
341eb4b80b	ඒවයෙ ස්වර එකම වගේ වෙනව නේද?
341ebc1dfb	ආදී ඔහුගේ ගීත ඊට සැපයිය හැති හොද නිදසුන්ය.
341f4ac949	"හරියනඒවාට අනාගතයේදී අදාල මාධ්‍ය තුලින් """
3420093765	සාමාන්‍යයෙන් හින්දි ෆිල්ම් අඩුවෙන් බැලුවත්
34202a99f3	තබා තිබේ
34203376d5	එහි කිසිදු ළමයෙකු සිංහල නොදනී
34206e4ca1	නඩු අහල වැරදි කාරයෝ වෙන එවුන්ව එල්ලන එක
3420c87e66	අපේ රම්ගෙ වැඩක් නෙහ් එල එල
3420f18530	සොයමින් කාලය කති
34218377f7	දරුණු ලෙස පහර දුන් බවද
3421bd24b9	ඒක ඉස්සෙල්ලා ම දේශනා කළ යුත්තේ ත් බුදුරජාණන් වහන්සේ ම යි
3421d0a184	මේ අයුරින් දින කීපයකදී
3422ad20ff	විෂය අනුව වර්ගකොට තිබේ
342335512d	එත් මම දකින විධියට නම්
342339e2e9	දෙවිවරුන්ට ධර්මය දේශනා කරන ආකාරය
342368e233	ඈත පුරාණයේ සිටම
342390285f	wedding rings
3423dd6d6f	එම උත්සවයට
342428c73e	එහෙම උණොත් බේරගන්න උඹව
342452219c	අපි යම්කිසි නර්තනයක් රැගෙන
3424abf90f	ජීවන ගමනේදී විස්තර කළ හැක්කේ කෙසේද?
3424e3f19d	මෙම මුහුද ගොඩ ගැලීම
3424f95734	භාරත ලක්ෂ්මන් ප්‍රේමචන්ද්‍ර වෙබ් අඩවිය විවෘත කිරිම
34252438eb	එම දර්ශනයෙන් සතුටට පත්වූ
34258beb8d	මොකද මේකේ ප්‍රධානම මාතෘකාවක් තමයි මකරු කියන්නේ.
3425c81ba2	මීටත් වඩා ශෝචනීය එකකි
3427355ad5	තවත් නොදුටු මිනිහෙක් ඉන්නට ඇති.
34274ac540	මල් අතින් ගත්
34280bb1f6	මධ්‍යදරනී මුහුදට රුසියාවට එන්න තියෙන
34282cc693	යමකු සිල්වත් වේද, රාගය දුරු කළේද
342849d159	මූණු පොතේ 'පොත් රාක්ක' බලලා
3428d3c355	කෘතිමව නිපදවීමට පසුතල නිර්මාණකරුවකු
3428f8922a	බුදුරජාණන් වහන්සේ මෙහිදී වදාළ මේ වේපචිත්ති අසුරයා
34295c7d66	නිවුස් ක්ලිප් එහෙම බලන්න යන්න එපා.
34297d7e8d	මෙවර පෙරහර මංගල්‍යය අලංකාර වෙයි.
34299e77dc	ගමන් කරයි.
342a334164	මම රම්බෝ කතා මාලාවේ
342ae7652a	විශ්වාසදායකව පණිවුඩ හුවමාරු කර ගැනීමට ය.
342b0e7ede	රුසියාව ප්‍රකාශයක් කරමින්
342d120a4d	ගිහි පැවදි කාටත් දුක පොදුයි
342d30ec9e	චිත්‍රණය කරන්නේ මෙසේය
342d4ac8cc	ප්‍රදේශය භාර උසස් පොලිස් නිලධාරියෙකු
342d897cc3	අප්‍රමාණ ධනය විනාශ කරන ලදී.
342df9eb92	ඔය විදියට දවල් එක විතර
342e79bcb0	එහිදී තම ශිල්පීය දක්ෂතාවයන්
342ef6ca09	අපි දැකල නැති වුනත්
342f13e34f	royal college
342f145455	ඒ ගැන ශෝකයට හෝ කෝපයට නොපැමිණිය යුතු ය.
342f3a2099	දඹදිව වන්දනාවේ යාමට පෙළැඹීමට
342fabe87b	මහාවංශය සඳහන් කරන පරිදි
342fc44a12	රුවන්මැලි මහා සෑය භෂ්මාවශේෂ තැන්පත් කර ඇති ස්මාරකයට
342fd02a3f	ඔහුගේ නවාතැන වූ
342ffd38c5	මිනිසුන් විනාශ කරනු පිණිස
343022bd84	ඒත් දිනසිරිගෙ කාලෙ
3430c5aa3d	upeaksha sawarnamali
3430cbcc34	අපේ ආගම්වල වෙනස කමක් තිබුනට
3430dbb0dc	කරමින් යනවා
34322f0eeb	හැබැයි වයසින් මෝරා යත්ම
34324457b7	සාක්ෂරතාවයවත් නැහැ
343251dbc9	අප මැණියන් හොදින් දනි.
34330364e8	සමහරු විවිධ චෝදනා කරනවා.
34338bb161	සංචාරක වෙළෙන්දා තමන්ගෙ අශ්වයාවත් ඒ ගොඩට දානවා.
34339ad4dd	වර්ථමානයේ කටයුතු කරනවා
3433d24a1e	එම තනතුරැවලින් ඒ අයට අවශ්‍ය ෙද්ම
3434085a35	මුහුදු පතුල යට මුලින්ම මතක් වුනු ගමන් ඒක ගැන ලියන්න ඕනා කියලා හිතුනා.
343436ced8	විවිධ අභියෝග මතුවී ඇති සමයක
3434c93101	ඇය සතු කැමරාවෙන් ශාලාව ඡායාරූපකර තිබේ
3435f575bb	මම මේ චිත්‍රපටයට සිංහල උපසිරැසි අරගෙන ආවා.
3436326e36	අගමැති ධුර අපේක්ෂකයා ලෙස
34364d0108	හැබැයි එහෙම වුණයි කියලා
3436743086	ගැනීමට දෙන්න පුලුවන්නම්
34373e2ec0	අප ගෙදර දොර සුරතලුන් වන
34377b0405	ඇතුළු සියලු දේ
34379ab3e0	අනේ ඇනෝ ඔයිට වඩා අපහාස
3437c8c9c7	අප පරිහරණය කරන ඇතැම් මුදල් නෝට්ටුවකද
3438095386	පිළිකුලක් ඇති වීම නිතැතින්ම සිදු වේ
343828579e	උපරිමයෙන් යොදාගත් උත්තමයෙකි.
34382f8058	කාලය ගත කිරීමේ පරමාර්ථයෙන් නෙමෙයි.
34384ebcc0	කෑම සොයාගෙන යනවා.
3438a082c3	පූර්වාදර්ශයකටත් වඩා පරමාදර්ශයක් වනු ඇත
3438a5fab8	දැනට මහලූ සතෙකි.
3438d5fa3f	ඉදිරියටත් මේවගේ දේවල් වෙන්න පුළුවන් කියා තිබෙනවා.
34394dc90b	ජන සංගීතය ඇසුරින් ගොඩනැගී ඇති බව කිව යුතුය.
3439c846ff	ධනුෂ්ක අයියේ ඉතුරු ටිකත් ඉක්මනටම
343a39af13	ප්‍රතික්ෂේප වන්නේ මෙතැනින්ය
343a8ee68a	නිත්‍ය සාමාජිකයෙක් වෙන්න පුළුවන්.
343b34930c	management decision making
343b6fbad7	ඇතිවන ප්‍රතිඵලය
343b87e194	මන්තාවතී නගරයට පැමිණේ
343c086ca3	අපිනම් හින්දි බලන්නෙ නෑ
343ca6ee7c	ඒකත් එක්කම නින්දට ගිය
343cb6e53c	එකසේ යහපත් ය.
343cc57f3f	ඉන් පසු අප දෙනෙත් ඇරගෙන
343cdc5075	එම භූමිය
343d1c86be	ඒක හොඳට තේරුම් ගනිමින්
343d41c0de	එය ඔබගේ මරණාසන්න මොහොතේදී ද
343d473ef8	ස්ත්‍රියක විසින් සිය පුතුගේ
343d6999b2	මේ සබ් එකට ස්තූතියක් කරලා යන්න
343d8a7b8c	සඳහා වූවකි.
343d9c6691	ආයේ ඔන්න සුපිරි එකක් දීලා.
343ebb82c5	කාන්තාවක් ඉල්ලා සිටීම
343ecaeda7	නිෂ්පාදනය කර තිබුණි.
343f23f6f7	ඇතිවිය හැකි දවසකි.
343f443ee7	අපි කවදාවත් පළමු කතා සමය දීලා
343f659967	සීගිරිය අවට පරිසරය
343fda3229	බුදුරජාණන් වහන්සේ ඉදිරිපත් නොකරති.
343ff2567a	මළගිය අය අරමුණු කර
344056225e	ගෑණු කෙනෙක් ආවා මං උන්නු තැනට
34406354c2	උතුරු හා නැගෙනහිර පළාත් වලට
344081724e	පක්‍ෂයක් නැත
344125c190	ගිය සතියේ කොටස
34412ba6f7	විසින් සිදු කරනු ලබයි.
3441dca5ae	ඔන්න ඕකනේ
344223e812	වග කියන්න ඕනේ නම් දේස පාලුවෝ.
344232983f	එම මතය කියන බොහෝ උදවිය
344264f27a	පෘථීවියේ මෙන් නොව
3442bcb724	පසුගිය පෝස්ට් කිහිපය පුරාවටම
3442c7b0c8	එයාගෙ ඥාති පුතෙක්
344304eff5	මම හිතන්නේ කතන්දර ගිහින් තියෙන්නේ
34433ac2e3	මේ වචන අහපු පුණ්ණාව
3443c40cc8	එනිසා මේ නිස්සරණ සැපය
34447576a8	දූ ඩිංගට මේක උගන්නලද
34448d2c62	ඒත් මං ඒ වචනේ භාවිතා කරේ
344491b573	ඒක බුදුරජාණන් වහන්සේ නමකගේ.
3444f6c30f	බ්ලොග් නිසා සින්ඩියත් සින්ඩිය නිසා
344502fd7d	තිළිණ කර යවා ඇත.
3445a69c89	ශ්‍රී බුද්ධදත්ත ප්‍රතිමාව, ආදී
3445b36027	සුනඛයන්ටත් වඩා අන්තයි.
3445f90878	බැරි උනු නිසා වෙන්න ඇති.
34469e620a	එබැවින් එවැනි චරිත
3447989cc4	butterfly clip art
34480bffad	හොයාගන්න ලොවෙත් නෑ
3448a3f434	එවන් සතෙක් මරාගෙන කෑමට
3448c17fc7	ඉතා දුකසේ අසීරුවෙන් මුදල් සොයාගෙන
3448d4f18c	සම්බුද්ධ පරිනිර්වාණයෙන් පසුවය.
3449c54b38	බුදුන් වහන්සේ දිනක්
344a6c454e	ඔයාට මේ වැඩේ වැඩි කාලයක් කරගෙන යන්න බැරිවෙයි.
344b2e2c85	සැක පහල වේ.
344b3698f0	නිමලතිස්ස හිමියන්ට පිහියෙන් ඇන
344b644f24	සත්‍යයක් තියෙන්නට ඕනෙමයි.
344b6f43ab	වහාම නීතිය කි්‍රයාත්මක කරන ලෙස ය.
344c0c6c73	නිවැරැදි උච්චාරණය
344ca6957f	නියම ෆිල්ම් එකක් කියලා.
344ceaab2a	මෙම අවස්ථාවට මහනුවර දිස්ත්‍රික් ලේකම් ගාමිණී සෙනවිරත්න මහතා ඇතුළු
344cf91cc4	එම ආරංචි මාර්ග
344cffa17d	තෘෂ්ණාව හේතු කොට ගෙන
344decce8b	එහෙත් නව නීති සංශෝධනය අනුව
344e9d71a0	අද ලැබුවා වගේ තමයි ඉතින්
344f1a5e21	චිරාගත සම්ප්‍රදායයි.
344f9582a3	අද පිස්සෝ මේ සරසවි භූමියේ බඩ පිනුම් ගහනවා
344fc4aae9	රැඳෙන්න නිදුක් නීරෝගී වාසනා සම්පත්තියම
34500d9ba1	තම රටේ නම
3450b1b60f	පාවිච්චි කරන්න වෙනවාමම
345148a77d	ඒත් අලුත් වතුර සමගත්
34516e211a	විජ්ජුම්බර අන්ධානුකරණ කොම්පැණියේ
345205e8a5	කුමන කටයුතුද කරමින් හිටියේ?
3452254e9f	ඉතින් මම බොහොම කැමතියි ඔයාලට
34524fdf85	අපේ කොටස් පස් වෙනවනේ
34525267fa	විකාර පිස්සු වැඩක් කියලා.
345269a230	ශ්‍රී දළදා මාලිගාවේ වාර්ෂිකව සිදුකෙරෙන මංගල්‍යයන් අතරින්
345289b644	ඔක්කෝටම තියෙන ලොකුම අමාරුව
3452c165e8	එයාව සර්කස් කණ්ඩායමකට විකුණන්න.
3452c3ae1c	මා බයවෙලා නැහැ
34533646a6	එය ලේඛකයාට අවශ්‍ය පරිදි
3453bf6520	ලංකාවේ කොතනක සිටියත්
345427e658	ඒක වාදයට විතරයි
3454b660b4	අව් රශිමිය දැඩි දහවල් කාලයේ
3454f98898	ද වැනැසුව මනාය.
34551102c3	මේ කව්රුත් නෙමෙයි
34553d4b8d	අපට හැඟෙයි
345547f4f1	පසුගිය කාලයේදී
34557023b2	මෙතෙකැයි කිව නොහැකි පාඩුවක් නිසා
3455736f94	බෞද්ධ අපගේ යුතුකම වන්නේය.
3455b8e1d6	මේ පින්කම ඇති නිවන් දකින්න කියලා.
3455f39f3b	නිත්‍ය, නොවෙනස් ආත්මයක් ඇත යන පිළිගැනීමයි.
345644be97	තල්ලු කරන්න ආයෙ ආයෙත්
3456579c69	ඔවුන් වටහාගත යුතුය.
3456771431	වෛද්‍ය සහතික ලබා ගැනීමට පෙළැඹී සිටිති.
3456de5004	සල් ගසක් ගැනය.
345711f105	ප්‍රතිසංස්කරණය කළ දාගැබේ
34575abe11	තනි ගඩොලින් කළ ගෘහයෙහි වැඩවසන සේක
345778e1f4	මීට පෙර විවාහ වූ පුද්ගලයෙකු බවද වාර්තාවේ.
34577d922e	මේනිසාම මෙකී මානව රූපය නාග කුමාරයා වශයෙන්
3457d28656	එන්න බෑ කියන එකයි.
34586ef47c	උපන්නේ මේ තව්තිසා දෙව් ලොවෙහි ය.
3459083ce2	වාරිමාර්ග ක්‍රමවල ඇති විද්‍යාත්මක දැනුම
34592fac94	tamil news
34596bf68d	මේ අනුවණයා අනුන්ට සේවය කිරීමට වඩා
3459d05190	මොකද වෙනස්වීම කියන එක
345a37d313	බොහෝ කාලයක් ජීවත්වෙති.
345b29d86b	එකල විසූ ශ්‍රී ලාංකික ජනයා
345b6492c7	shop n save
345b738530	ඒත් මෙතුමගෙ පුතාට මොකද උනේ කියල දන්නවද?
345c3aa90c	එකල පඬිරට ආර්යචක්‍රවර්ති රජතුමා
345c48fd56	බුදුරජාණන් වහන්සේගේ ශ්‍රාවක සංඝයා හරියට දැක්ක නම්
345c4d089a	උඹ ගැන
345c95db5b	නමුත් ප්‍රිය සගයාණෙනි
345d04af27	of world in sri lanka
345e014adc	ඒක නිසා අනිවාරෙන්ම
345ec80594	දෙවියන් සතුටු කරන්න නම්
345ed726ca	niyatha jaya
345f208c13	අප අවම වශයෙන් සිටි
345f3316a3	සවන් දී ඇති බව පැහැදිලිය.
345f849122	ජාතියේත් ශාසනයේත් මුර දේවතාවුන් වහන්සේලා වූහ
346009c6c0	ඇතුලත් කරගන්නා අයගේ නම් ලැයිස්තුව
346046ea37	එබඳු පිළිසරණක් අපේක්ෂාවෙන්
34605e81e2	දකුණේ සමස්ත කතෝලික ජනතාව කටයුතු කළේ
3460ce4716	ගහ නැවත ප්‍රතිසංස්කරණය කරන්න හිතු
3461454e74	අලංකෘත මල් උයනක් ද නිම වීමෙන්
3461ef8cb1	පාඩම් කියාදෙන්න වුවමනා වුණේ නැහැ
3462868ab8	එරෙහිව නීතිමය පියවරක් ගත්තාද?
3462944ea7	මේ භාණ්ඩ සොයාගෙන ඇත
3462ad2580	තෙවන රැස බලවත් ශනි මෙන්ම
34637f9158	garden architecture
3463e92e25	අර කොල්ලා ඇවිත් ඇහුවා
3464cc47ee	කටයුතු කෙරෙහි බුදු දහමෙහි හා
3464cfbba3	ඇය එම ඇමතුම දෙන්නේ ඇයව යම් පුද්ගලයෙක් පැහැරගෙන යන බව පවසමින්.
346532e4e1	ඉතාමත් වයස්ගත පුද්ගලයින්
346567a647	එදින උපසම්පදා භික්‍ෂූන් දැක වැඳ පුදා
3465cd6d77	ඒකෙ තියෙන විශේෂ ලී පාලම නිසයි.
3466e4c6ee	මොහු ගාල්ල ප්‍රදේශයේ වැඩකරන කාලයේ මොහු කරපු සේවය අගයලා
34672719ce	ඒක දිග වැඩි නිසා
3467c6f37e	පිරිත් පොත් ලියල විකුණුවේ නැහැ.
34682822a5	ගොඩාක් ස්තුතියි
34685537c9	පැරණි දිනපොතක් කියවන්න ලැබීමෙන්
34693c0ec6	බිඳවැටුණු ප්‍රේමයක් පස්සේ
3469968310	කියලනම් හිතන්නවත් බෑ
346a4263b4	ඔහුගේ නිර්මාණ වටිනාකමින් අඩු නොවේ
346a8a668a	how to install windows 8 with bootable usb
346ac037f5	යම් පුද්ගලයකුට තම සිත තුළ
346b501892	නමානයෙන් පෙලෙනවා ද?
346b625cb4	ඒක දන්නේ
346d326f8a	නිරත සිසු සිසුවියන්ට යහපත් දවසකි.
346d5415a5	තම ආරක්ෂාව උදෙසා.
346d8528fd	මුල් පොත ඇසුරින්
346e5d5edf	එබැවින් පව් පලදීම සිදුවන්නේ
346e7fe2be	එම චායාව මොහොතක් කහ කුරුල්ලා දෙස බලා සිටිමින්
346e85bd41	දේශපාලන සංස්කෘතිය තුළ
346f0639ae	software
346f342fde	ඒ මොන කාලයේද
34701571fb	එතකොට පැහැදිලිවම
34705ad42c	නකුල පියාගේ නිවෙසට වැඩම කළ සේක
3470bdb5f3	පැපොල් එහෙමත් යහමින් කරේ පටවගෙන
3470c7cd29	අයිතීන් ඉල්ලා වැඩි පඩි ඉල්ලා උද්ඝෝශනය කරනවා
3470e5aa64	සමනල අඩවියේ මිහිඳු මාහිමියන් වැඩම කිරීමට පෙරදීත්
34712c7858	තව විශේෂ දෙයක් කියන්න ඕනා.
34717f3334	ඉස්කෝලෙ යන්න බැරි බව මට දැනුනා.
3471989fa4	ඒත් සිංහල සබ් එකක් එක්ක
3471fe6a48	සමහර දේ සංශෝදනය කලා
3472355fb0	මේ නැති උන දරුවෝ ටික
34741660a8	අපි වෙසෙන මේ කොදෙව්ව
3474b05b81	තුලා අද දින ඔබේ ආර්ථිකය
3474bc9c21	එබඳු ආකාරයේ මකර තොරණක් අපට හමුවේ.
3474bd6a08	මට මතක හැටියට
3474f11a5e	තේරෙන විදිහට ලිවුවේ ඒකයි.
34751cf93e	සිංහල වෙද්දු හොය හොයා පස්සෙන් යනවා
3475b981b4	ඒවායේ බොහෝ විට තිරගත කරන්නේ
3475c61a9b	තල්පත්වල ලියා
3475d9971a	මෙහි එක් පසෙක සෙල් තලාවක් මත
34776c2328	සෑම නිවසකින්ම එකක් බැගින්
34779fca58	එම නෞකා අට නිසා
3477c1aeae	අර ගෑනු කෙනා අත්භූත අන්දමින්
3477ce815f	අවංකවම ඔයාගේ උප සිරස වලට නම්
3477fa1610	ප්‍රදර්ශනයවත් එකට එකතු වෙලා කරන්න මේ ගැට්ටොන්ට බැරි වුණා
347833203d	අප කල්පනා කළ යුත්තේ
34789279f8	ඒත් හෝම්ස් මේ ගැන හිතන්නේ
3478978c47	යසෝධරා කුමරිය පෙරුම් පුරා
34789b4dc9	අද කාන්තාවන් විලාසිතා කරන්නේ
3478b10684	අරන් දෙවන්න.
34798f2170	පිටුපසින් එල්ලෙන වල්ගය
34799cae95	එම වාර්තාද
3479d819cd	මේ හැමඑකක්ම පිටකොටුවෙන් අඩු මිලකට ගන්න පුලුවන්
347a5b5350	බෙල්ල කරකැවීම
347a64ce6f	මේ කවර දෑත් කෙරෙන්
347af58486	ඔබ රංගන ශිල්පීන් ශිල්පිනියන්ව
347b22185d	ශාක පමණ පවතින අතර
347b58f50b	අද රට ලොවකට සුවය සැදීමට
347b8ace78	බේරා ගැනීම තමයි හරිම අමාරු.
347ba1ffc3	ඔබගේ කරුණට අනුව
347ba478a3	විශාලත ම අර්බුදයෙන්
347bf680dc	එක් දළදා වහන්සේ නමක් ගන්ධාර පුරයෙහි පිදුම් ලබත්
347c2b31be	ගැමුණු කුමරුගේ සේනාවට එක්ව
347c6059ce	තමන් දන්නවා යැයි සිතාගෙන කිය කියා යන්නෙකි
347cb3e07f	එයට බුදු දහමෙන් අවධාරණය කැරෙන
347ce73fda	ඒක පිළිපදින අයට.
347d807935	වැඩිකල් නොගොස් විවාහ වෙන්න.
347ded5e7a	එමගින්ම ඔබට හිතා ගන්න පුළුවන්
347e4bf5c3	මෙය වටහා ගැනීම වඩාත් තහවුරු වේ
347e6f4d73	හැබැයි මේවා බලන අනිත් අය ඉන්න නිසා
347e6fddfe	බව කියැවෙන්නේ ය
347e7990ea	මාත් බාගෙන තියෙන්නේ
347fa38f97	මේ බලතල ආවොත් ඒකෙන් රට හදන්න පුළුවන්.
34804a3ab0	වළාකුළු යි අහසේපියාඹන නිල් කුරුල්ලොයි අතරින්
3480872ff6	දකුණු පළාත් සභා මැතිවරණය සඳහා
348358939d	පස්යොදුන් කෝරලයේ සිට ඇති කෙටිම මාර්ගය බව කියැවෙයි.
3483707a22	උසස් කලාත්මක බවින් යුතු වීද යන්න සැක සහිතය.
348385cece	ඉතින් ඒක වටේ නොයා
3483889143	සිතුවිලි අවදි කෙරුමෙහි
34848ecdfc	මේක දකිනකොට වෙලාවකට හිතෙනව
34854850ec	ඉන්න තමයි කැමති.
3485ebcefe	එම සමාජයේ යහපැවැත්ම පිළිබඳ ව තක්සේරු කළ හැකි බව සැබැවි.
34867b076a	අමාත්‍යවරයා මේ අදහස් පළ කළේ
3486defc91	සැන්ඩ්‍රා විසින් සනත්ගෙන්
3487005d89	වීදුරුවක් ගෙන විස්කි බෝතලයකින් ස්වල්පයක්
348756108b	අනේපිඬු සිටුතුමාගේ සිත ගියේ
3487b00275	බුදුරජාණන් වහන්සේ ප්‍රමුඛ භික්ෂූන් වහන්සේට
3487be7045	ඊළඟ චිත්‍රපටයේ විස්තර සමගින්
34880c13aa	එදාම රාත්‍රී දෙන්නත් එක්ක ගෙදර යනවා
3489861089	එරටේ රැඳී සිටින්නට සිදුවෙයි
3489f058e3	ගැබ් කොට ගත් කලා කෘතියක්
348b05f79e	දී කිරි කෑ මුදියන්සේලාගේ කියලා
348b9bcfab	මේවා ලබා ගැනීම උදෙසා
348bef39f7	ඔයා සුපිරි කොල්ලෙක් ඈ.
348c2459cc	ලැබෙනු ඇත.
348c6441b3	අපි තවමත් ඒ නීතිය භාවිතා කරන්නෙමු.
348c66f648	බැසිල්ට කැප්පෙටිපොළ හමුවේ
348c6967d1	ඒත් ඒකට එක් මෙහෙයුමක් සාර්ථකව
348db939e3	මෙම කුමන රැකියාව කළත් ඔහු රැකියා සොයා ගියේ කුසගින්න දරා ගැනීමට බැරිවන විටදී පමණි.
348dc3bf19	හිතට එකඟව උඹට ඒක නැහැයි කියන්න පුලුවන්නම්
348dc788e6	ආලෝකමත් කිරීම සිදුකළේ නිර්ලෝභීවමයි.
348e015a0d	එම ඖෂධ ආනයනකරුවෝ
348e2d9947	යහපත පිණිස පවතියි
348eb66038	ජාතිය බැබළවීම
348edd31cb	ගෝලීය බලවතුන්ගේ යටිතල පහසුකම්
