3c28612ce7	ඒවා ඉදිරියේ සාක්ෂි දුන්
3c4a528154	හැබැයි එව්වට ලංකාවේ වගේ
3c4abe7077	සියලු වෙහෙර විහාර වනසා දැමූ ඔවුහු
3c4c01333d	ඔහු සිල්වතෙකි,
3c4c5bacc8	එම තොරතුරු සූත්‍ර දේශනාවල
3c4c5e7c3d	නොබැලුවට කමක් නැහැ.
3c4d24da8f	මේ දවස්වල හැමෝම ඕකමයි කතාව
3c4d46ba6b	ගෞරව දැක්වීමයි.
3c4d4961d8	ඔබ බලා‍පොරොත්තු නොවූ ආකාරයේ
3c4d9eedac	ඔන්න අපි කැමතියි
3c4e894058	පහළතම සමාජ සම්බන්ධතා ක්ෂේත්‍රය
3c4eb60df1	විනාශය සම්බන්ධයෙන් ඔහෙල දක්වපු දායකත්වය
3c4ee891a4	හිඳින්නේ කොහොම
3c4ee9c83e	ජයෙන් ජය වේවා සුභ නව වසරක්
3c4f2484c0	කස්තුරි සුවඳ ඔබයි මමයි.
3c4f26e863	ඒත් මහත්තයා මගේ පස්සෙන්ම
3c4fa80649	මේකෙදී වෙන්නේ
3c50285ce5	ආගම ගැන නොදන්න උඹ
3c508dc4ba	නිර්මාණය කර තිබේ.
3c510d381e	පැහැදිලිව නම් වශයෙන්
3c5110568a	මැදිරිගිරියේ ගොඩනැගිලි
3c51e5a3b2	අතිශය කුතුහලයට පත් මම
3c51f8e16e	ගමට සහ ගමේ පෙම්වතාට මුහුණ දෙන්න බැරිකමට
3c53389eed	ගමට අරක්කු ඇතුළු දුරාචාර හඳුන්වා දෙන්නේ ඔහුයි.
3c5338de35	මෙම ක්‍රියාව නිසා උතුම් දේවල් වලට තියෙන ගරුත්වය නැති වෙලා යන එකයි වෙන්නේ.
3c5461bacf	ඔබ හුන්නස්ගිරිය තරණය කල පුද්ගලයෙක් ලෙස
3c54c57858	බෝක්කු හදන්නයි
3c54eb5bd6	පවා සිදුවීමයි
3c55646731	ඉතාමත් ලස්සන උපමාවක් වදාළා.
3c5576d315	දොළහම බැලන්ස් වෙන්න පටන් ගත්ත.
3c55b0de91	අද එළි දකින බොහෝ නිර්මාණවල මේ ජීව ගුණය නැහැ
3c5607acb2	මේ සටහනට එකතුකලාට.
3c569b265a	ඇගේ තුන් මස දානය දවසේ හේමමාලි නමින් කවිපොතක්ද නිකුත් කෙරුණි.
3c56c40742	සතලිස් දහසක පිරිවර සමඟයි.
3c56c871b1	සපතේරු උන්නැහේ මිත්‍රයා
3c573df44f	ජීවිත තර්ජන වලට පවා ලක් වෙයි
3c574ca48b	ජාත්‍යන්තර කටයුතුවලදී පැවතිය යුතු
3c57dbbbda	ෆාදර් ෆෙරෝස්ගේ කාර්යාල කාමරය ඉදිරියේ ය.
3c57ecc504	අනුරාධපුර ශුද්ධ භූමිය හරහා ගලායන
3c57f4a5eb	බාගෙ නෙවෙයි සම්පූර්ණ එකයි
3c5827aa8f	ධර්මය වනාහී
3c58b8f75c	සිත අපිරිසිදු කරන දෙයින්
3c58c88d76	ඒවා බොහොම අපූරු විදිහට
3c599e5cf6	ඊට පස්සේ නිදහස කියල හිතුවෙ සිවුරු හැරයාමයි
3c599f9402	ji jin hee as king
3c59a33652	එක් තැන්ව තබා ගැනීමට උත්සාහ කිරීමයි.
3c5a2faed1	ඔය එකක්වත් නෙවෙයි
3c5a4f4ec8	මෙහි සෙල්ලිප්යක් පිහිටුවා ඇත.
3c5b1ac37f	රන්මැණිකා මහත්මිය අප සමග වැඩිදුරටත් පැවසුවාය
3c5b38c6b9	හිමි විය යුත්තේ වෙන කාටවත් නොවේ
3c5b41f116	හාමුදුරුවන්ගෙන් අහනව
3c5b4f4582	srilankan army news
3c5b53f07f	සංයමය හදා ගනිං
3c5c89a2f7	තාමත් ඉතින් මම මේ අද ආවෙ
3c5d262ceb	සාමාන්‍යයෙන් තම බිරිඳ භාවිත කරන
3c5d3eb8b6	ඔය වගේ කථා
3c5d99852b	එයාගේම රූම් මේට් කැමරා එක
3c5dc23585	බලවත් බාධකයක් බව ද
3c5ddf7c70	භාවනා
3c5e1fd8da	ඒවා තිබුනේ කොහෙද?
3c5e25eb0b	ඔයා අමාරුවෙන් හරි එතනට ගියොත්
3c5e3f2667	ඒකට තමයි
3c5f21b388	වචනෙකින් හරි අගය කිරීමක් කරන්න
3c5f47d5c6	outdoor products mist 8 0 hydration pack
3c5fb30603	එහෙම නැතිනම් තමුන්නාන්සේ සාකච්ඡා කළේ
3c5ff5052e	අනෙක්වා අමතක කිරීම නිසායි
3c60134e2b	අර්ධ ජීවී වෛරසය යනු මිනිසෙකි.
3c603861bd	මේ අනුව සිත තැන්පත් කරගැනීමට
3c6070ff4e	බාහිර ආටෝපවලට අකැමැතිව
3c608c5da6	රංගනයෙන් ඈත් වුණාම
3c60a71cb4	බ්‍රිතාන්‍ය යුද හමුදා බලය යෙදවීමයි
3c60ffef19	ඒවාට ඇදී යන තමන්
3c61d11f9d	ඔබ කැමති අයෙකුට
3c620f6969	අත් අඩංගුවට ගත් රන් කැබැලි වල බර
3c623e0569	මේ ධර්මය අවබෝධ කරන්න වාසනාව තියෙන්න ඕන
3c6254f737	මෙරටට පැමිණ ඇති සංචාරකයින්
3c62a74f2d	අමෙරිකානු සමාගම් ගණනාවක්
3c62ba3ce4	සාමාන්‍යයෙන් “දුම්බර මිටියාවත” කියන්නේ
3c6327eb1e	ඔබගේ පරිත්‍යාගයයි.
3c643886e2	හදාගත්තු සංකල්පයක්.
3c64f9a930	අපට කන්න අඳින්න අරගෙන
3c65ad1163	රතු වල්ගකාරයා
3c65b16559	තෑග්ක් ලෙස
3c65cb8710	මෙම පඬිවරයා ඡන්දයෙන් අගතියට යෑම
3c66921b59	මෙයට හේතුව නොදන්නා තැනැත්තා
3c6699ef6c	කුසගින්නේ මියැදීමට ය.
3c66f3a2ca	දක්නට ලැබුනේ සාමකාමී වාතාවරණයකි
3c6829abb4	එක් නිෂ්පාදනයක් සහිත ව්‍යාපාරයක්
3c6852c21d	rose gif
3c687bcf44	මෙන්න ඔබට ලැබෙන විරල අවස්ථාවක්.
3c68d2a575	අප ඊලගට ගමන් කලේ ජල තටාකය වෙතයි
3c692e9f98	අධ්‍යාපනයට ලැබෙන ආධාර උපකාර මදි කියලා කියනවා
3c694ec056	ඇප උපස්ථාන කිරීම
3c69ab6c67	උඩ තට්ටුවේ වහන්න බැරි වුණ දොර
3c69f296d3	නාසා විද්‍යාඥයෝ පවසති
3c6a37a825	ඉතිරි ටිකත් මේ විදිහට ම දීල
3c6a75c438	බැනුම් අහන්නෙත් අම්මලාමයි.
3c6ac2e649	උඹල පුදුම මිනිස්සු
3c6ae62b1c	සියලු චාරිත්‍ර සිදු කරනු ලබයි
3c6b1b6bfd	එහෙම දේවල් සුන්දර දේවල්
3c6b6c22af	පන්නිපිටිය ගමගේ ජයලත් නමැත්තකුට ය.
3c6ba1c153	සීසෑමේදී සී වැල හා කෙවිට අවශ්‍ය වන බව
3c6bd578b3	බුදුන් සමයේ දන්දීමට වත්කම් නැතිව,
3c6bda8f69	කලා ඔය ගැන උදෑසන ගැන ආදරේ ගැන කවි ලියලා තිබුනා.
3c6beba6ff	බිහි වෙලා නැත්තේ.
3c6c4284a0	අපිව පාවිච්චි කරලා ජනප්‍රිය වෙන්න හැදුවාට
3c6c42b86c	ජීවමාන බුදු කෙනෙකුන් වෙතින්
3c6caf0825	ඇය පුවත්පතකට පවසා තිබුනේ
3c6d0b917f	ඝාතනය වූ බව.
3c6d482124	එසේ මනස පමණක් වැඩ කරන බව
3c6d52070f	ඔන්න දවසක් රාලහාමි
3c6d6af0ff	මෙවැනි දේවල්ද ලෝකයේ නොවිය නොහැකි බව
3c6da12bdf	එම මරණවල වගකීම
3c6e2172b0	ශරීරයෙහි ගිනි හෝ, විස හෝ, සැත් හෝ නොවදියි.
3c6e2284d5	ආණ්ඩුව නීතිය සාධාරණය ජනතා අයිතිවාසිකම් විනාශ කරන බවට
3c6e7d7aa7	උත්සාහ දරමින් සිටින බව වාර්තා වේ.
3c6e998427	සිංහල ජන සමාජය තුළින් බවය.
3c6eb8f9fa	අපි යන අතරේ
3c6f151701	අපේ සීයලා ගේ කාලේ
3c6f472640	සිංහල අලුත් අවුරුද්ද එළඹීමත් සමඟ
3c6f758d02	මේ කට්ටිය වැඩේට බැහැලා ඉන්න ඇත්තේ.
3c6fed4c7b	බුදුරජාණන් වහන්සේ දන්නවා ඇති.
3c708b9c57	ඒක පුහු මතයක්.
3c70e8234e	අන්තිමේ එකේ එක මදි හින්දා
3c7111f178	අකමැති නම්
3c71458de9	එතකොට මෙයා දකුණේ අර්බුද ඇතිවෙයි කියලා හිතන
3c71c9af09	පිස්සා නියමෙට වැඩේ දීලා නේ
3c722da8d8	අමුඩයක් අදින්න දෙන්න බෑනේ
3c72f9c17f	අන්තිමට ගමම පැනලා
3c7332276c	එසේ අත්අඩංගුවට ගත නොහැක
3c738439b6	යතුරු පැදිය දුරකථන කණුවක වැදී ඇති අතර
3c740df83a	කොමෙන්ටුවක් දැක්ක ගමන් තමන් වැනි
3c74626f87	තුච්ඡ දේශපාලන අතපෙවීම් නිසා
3c74d6c275	සම්පූර්ණ කිරීමයි.
3c74e6f5d3	එතැන් සිට අද දක්වාම
3c7560d36f	hutch
3c760174a6	ත්‍රිපිටක සජ්ඣායනාව කෙසේ කළ යුතු ද
3c767ef3a1	මේවගෙ තැන්වලදි මුනගසුනාම තමයි
3c76eae1dd	බැලුවම අපිටත් වඩා හිඟන්නෝ
3c77408239	ජෝතිපාලගෙ කොපි කිරීමෙයි
3c7870ff81	ඔය කතන්දර ලංකාවෙ මිනිස්සුන්ට
3c79690b4b	අන්තර් අවබෝධය ගොඩනංවන්නක් ලෙස
3c796cd29c	අපි මොකටෙයි ඔහෙලට හිනා වෙන්නෙ
3c79a55716	ඉගෙන ගෙන යන විට මට හිතුණා
3c79cc484b	ඉදිරිපත් කිරීමේ කෙළ පැමිණි අය මේ අයයි.
3c79dc1890	ගුවන් යානය සුන්බුන් ගොඩක් ලෙස
3c79eab916	එබැවින් විවිධ ඖෂධ වර්ග සංයෝගයේදී
3c7a006219	නිකෙලෙස් අය
3c7a3c192e	අර්ථ සහිත වූ
3c7ab4d896	වුවමනා වන්නේ නැත.
3c7adb716d	අනිත් අයට අමතක උනත්
3c7af6e35d	තාමත් ලංකාවේ හෙදියන්ට
3c7b0550d0	පෞද්ගලික බැංකුවකි.
3c7b22cc73	භාවනාව අවශ්‍යයි කියලයි.
3c7b6395d9	නිවැරැදි කරගත යුතුය.
3c7b9b3a19	එය එයාට ලැබුණ බලයෙන්
3c7bb2da1f	පිනට දහමට නැඹුරුව කටයුතු කරන්නේ නම්
3c7bf3076f	මේකා භාෂාව දන්නවනම්
3c7c5e3bc1	කුමාර් හා දිමුතු කවුරුන් විසින් හෝ සැබැවින්ම පැහැර ගත්තා නම් එය වැරදිය.
3c7cfa969f	අමතරව තව එකක් තියෙනවා
3c7d0354d6	මාත් ඉන්න බැරිවට අහ ගත්තා
3c7e487233	තමන් කරන දෙය උසස් දෙයක්
3c7e577537	ugc.ac.lk
3c7e6d57bc	friv games
3c7f7fb593	love letter kavithai
3c7fafd9f5	හැබැයි තාම ලැයිස්තුවට
3c7ff483e9	වත්මන් තරුණ පරපුරට පැහැදිලිව
3c800cdd56	ඒවගේම උපන්දිනයට අපිට දීපු සංග්‍රහයටත්
3c80a2d535	ඒවා ග්‍රහයන්ට දැම්මට මුලින්ම තිබුනේ
3c80d9b397	ඔබගේ ජාතිය කුමක්ද කියා
3c80dedeb0	මිහිඳු මාහිමියන් දෙවන පෑතිස් රජුට යොමු කළ
3c811840ea	එවිට ඒ කෙසේ කළ යුතු දැයි
3c8123ce2b	විලියම් ගොපල්ලව අග්‍රාණ්ඩුකාරතුමාගේ ප්‍රධානත්වයෙන් පැවැත් වුණා.
3c8188f596	එකට උඹට කරන්න පුලුවන් දෙයක් නැහැ
3c81e80a3d	මේ අවාසනාවන්ත තත්ත්වයෙන්
3c81eb643d	වෙනයම් භාෂා නම් අවශ්‍ය නැත
3c825911ce	ක්ෂණික ව ආ හැඟීම්වල ප්‍රකාශන වශයෙන්
3c82920140	අනුමානයක් නොවේ.
3c82e17d42	උසස් රැකියා තත්ත්වයන්
3c830b3f29	හරි දැන් ඒ කතාව නවත්තලා
3c833e4f49	මට මුකුත් මතක නෑනෙ
3c838be109	තැත්කිරීමේ වරදට
3c839ad319	කතරගම දෙවියන් වෙනුවෙන්
3c83b83cfb	පාප මිත්‍රයන් ද සුලභව දැක ගත හැකි ය.
3c83bfe479	ගැනයි දුක.
3c83e004a6	බුදුරජාණන් වහන්සේගේ තරම් විශිෂ්ට ප්‍රඥාවකින් හෙබි
3c843ca1f2	ඔය කතාව කිවුවනම් තමයි හොඳ?
3c84fcef6b	ඉතිං සෑම් ඉහල ලකුණු හිමිකරගෙන
3c85556711	ප්‍රගතියක් දක්නට නොලැබෙන අතර
3c8563e47c	අද ද එහි ක්‍රියා කරනවා.
3c85948036	ඔබට රූපවාහිනී දුරකථන උණුවතුර වැනි පහසුකම් ලැබෙනවා.
3c85e55907	ඉක්බිති වේදේහීපුත්‍ර අජාසත් මගධ රජු
3c85f573f8	මේව අනාවරනය කලාට
3c8616bfad	බාන්න දානවා.
3c868db037	i phone 5
3c86c7f1ab	එවිට හාමුදුරුවන් ලඟින්ම සිටි සිටින රෝගියා
3c871be168	මම ලබා දෙන්න තීරණය කළා
3c878fd34f	බයිස්කෝප් අඩවිය
3c87e87e47	ඔය එහෙන් මෙහෙන් වංගෙඩියක් හොයාගන්න ඇති
3c87f1e4c9	මූලිකව කැලිෆෝනියානු නීති පද්ධතිය යටතේ
3c880c62a8	මං ලිපියකුත් බාගෙට
3c8840673d	කියනවා කියලද ඔයා කියන්නේ?
3c88bcbf26	ඒත් මගේ දරුවන්ට ස්වාමිපුරුෂයාට
3c88e28f54	මෙම සම්මානය මවෙත පුදන්නේද?
3c88f5ff39	නමුත් ඒ කාන්තාව
3c892f19bc	සැනසීම ලබා දෙන දැනුම් පද්ධතියක්
3c89803ecc	මම වැහි අන්දකාරෙ බල බලත්
3c89a5825e	ආගම් භක්තියට පස්ස උස්සන්ඩ බැරිනං
3c89fb46a7	සිතන්නේ සහ කල්පනාවේ යෙදෙන්නේ ඉතා සරලවය.
3c8a29e98a	ඒක පිළිපදින අයට.
3c8b4fa841	මිලදී නොගත් එවැනි ග්‍රන්ථ
3c8b75aa67	සැපවත් ලෙස ජීවිතය පවත්වාගෙන යා හැක්කේ
3c8b90c76a	රතු පැහැයට එක්වේ
3c8bb4552a	එය අනෙකා ගැන දුක හිතෙන දේවල් ලියනවා
3c8cad6f5d	ඉන්දියාවේ ගීතවලට සිංහල පද යොදා ගායනා
3c8ce54ff7	ඒත් බලන්න උනේ නැහැ
3c8d400b48	මොකද ඔහු තනියම අතීතයට ගියාට
3c8d4f027f	මෙම සිද්ධියෙන් පසු
3c8dff4830	ඒක එහෙමනම්
3c8e0613be	බුදුන් වහන්සේට කරන හොඳම ගෞරවය
3c8edba85b	ලෝක කුසලානයටත් සහභාගී උනානං හොඳයි.
3c8f256d35	මිනිස් සිරුරෙහි යහපැවැත්ම
3c8f918e10	අදාල චිත්‍රපටයේ ප්‍රධාන නිළිය වන්නේ අමීෂා වන අතර
3c8ff14f56	විස්තර විභාග නොදක්වමු.
3c9098fa29	අති දුර්ලභ සිද්ධියකි.
3c90b0697f	සැකෙවින් විස්තර කරති
3c90d29fa6	මෙය නූතන හඳපානාවිල්ලුවේ ඇති නටබුන් වූ වැවයි.
3c911cfcb8	ස්වදේශික නාවි වරුන්
3c9208ee44	අපිට අන්තිමට ඉතුරු වෙන්නේ.
3c92d16bed	බෝධීන් වහන්සේ නොපෙනී ගියහ.
3c9315fc77	අවාසි දේ බැහැර කරනවා.
3c9365859a	අන්තිමට වෙන්නේ
3c93b18d75	චතුරාර්ය සත්‍ය යනු කුමක්ද
3c941cc629	මුර භටයෝ කියති
3c94d88a85	sri lankan police uniform
3c94eb2374	තමන්ගෙ දරුවා වෙනුවෙන් වුණත් ඇයට ලැබෙන්න සීමිත කාලයක්
3c9544be03	තාක්ෂණික මෙවලම් වෙනස් කරන්නෙ කොයි විදියට ද?
3c9550cc46	එත් ඒ ළමයි හැසිරෙන්නේ අමුතු විදිහට
3c95bcbb76	මේ දේශ පාලුවන්ගේ සාපය.
3c961ec1f6	සවන් දෙන්නේ
3c963c07c6	වර්තමානය සමඟ ඈඳා ගනිමින් කරන
3c96e292b8	දේව නම් සෙන්පතියෙකු විසිනි
3c976dab2e	මේ මෑතක් වන තුරුම
3c981fd8bd	මොකද ටොයිලට් එකක ලියලතියෙන
3c9915fbea	ලංකාවේ ස්ථාන ගණනාවක
3c9934ae28	සිංහ ආදායම් මාර්ග
3c99687d16	එහෙව් අපි
3c997a31ef	දරුවාට යට ඇදුමට පහතින් කළිසම ඇද
3c99f5ad9e	මේ රංගන ශිල්පීන් තමයි.
3c9a30966f	රැකියා දෙලක්ෂයක් ඇති වෙතියි අපේක්ෂා කරයි.
3c9a5397d4	එන ත්‍රිල් එකක්.
3c9a98e499	මෙවන් මුග්ධ අදහස් වපුරා
3c9b363c20	මෙම ගිලන්පස පූජාවන් භාරගත් පින්වතුන්ද සිටී.
3c9cce16dc	අමුතුවෙන් සම්මසනය කිරීමට නාම රූප නැත.
3c9cd79158	හොඳ මතක ශක්තියක් ඇති
3c9cf0a4ce	වෙලාව තිබ්බා නම්
3c9cf3e0df	ස්ත්‍රිය දෙස ද
3c9d317d6f	video
3c9d394c3c	අපිට ඉහලින් කවුරුවත් නෑ කියල.
3c9d632df5	අඟහරු වල මින්ස්සු ඉන්නවද
3c9d7b78e4	එදා මෙදා තුර දළදා වහන්සේ වෙනුවෙන්
3c9e04fe38	අප රටේ පත්වීමට අවහිරයක් නැත.
3c9e6df7e9	ඇතැමුන් තමාට නියමිත පරිසරයට ඔරොත්තු දීම සඳහා අන් අයට වඩා සුදුසු වීම මෙහි අරුතයි.
3c9f6f0fd3	අපි විරුද්ධ වෙන්න ඕනේ.
3c9fc9cbde	එවේලේම දිව්‍ය ලෝකෙ.
3c9fef4146	දොරටු විවර වන්නේද එවිටය.
3c9ffe6bef	චාලි රඟපෑ සියලු චිත්‍රපට ගැන විස්තර සොයා ගත්තා
3ca077e3f6	ඔහුගේ මතකය සිහිගැන්වීම
3ca11d6d93	එය නීච රාජ්‍යයක් බවට පරිවර්තනය වෙමින් සිටිනවා
3ca1839cf9	ඔබ සරණාගතයෙකු ලෙස හඳුනාගත්තොත්
3ca2194cd4	උපාධ්‍යයන් වහන්සේ
3ca28e9186	ඒකේ වැරැද්ද.
3ca2a61349	වැඩි අවධානයක් යොමුවන දවසකි.
3ca2a6666f	එය ගොහොරු සහිත ප්‍රදේශයක ඉදි කිරීමයි.
3ca2e0a5a0	අද පෙරටුගාමින් සහ ජවිපෙ එම දිනය සමරන්නේ
3ca3d2253d	වදාළ බුදුරජාණන් වහන්සේ ය
3ca3e4c661	ගවයන් විකිණිමට පෙළඹෙනවා විය හැකිය.
3ca416445d	උදෑසනින්ම ඡන්දය දුන් බවයි
3ca4439192	ගලෙහි ඇතුලට කොටා තියෙනවා
3ca4461499	මොකද සුනාමිය කියන්නෙ
3ca46820aa	යම් සිද්ධියක් සිදු නොවේය
3ca486248f	හැබැයි ගෙදර අම්මයි තාත්තයි රංඩුවෙන්නේ සිංහලෙන්.
3ca528a65f	ප්‍රථම ධ්‍යානය ඉපිදවීය.
3ca5b24705	ජාතික සමගිය හදන්න කටයුතු කරන්නේ නැහැ.
3ca6601198	යන පද දුටු විට
3ca674724b	පිලිබදව පවසා සිටියා.
3ca67dd852	නවකතාව ගැන පසු කලෙක හැව ඇරියේය.
3ca6e04efd	සහතුති එහෙනම් වෙනස?
3ca6f3e9ea	එළ කිරි සහෝ
3ca736442e	ජීවි‌තේටම අපිට ලැ‌බෙන්‌නේ නෑ කියලා
3ca78bc72c	ඒත් තනි වචනයක් කියලා
3ca81245f7	රට පාලනය කරන රජවරුන්ට මෙම නම ලැබුණා.
3ca83272e6	එක දෙයක් පිළිගන්න ඕන
3ca89a6551	ආසාවෙන් චිත්‍රපටයේ බලන්න පුළුවන්.
3ca89f6e50	කියන චෝදනාව යටතේ හිරේ දාන්න බැරි නෑ
3ca8a25f80	ගේ හදන්න ලැබුණු ගඩොල් සිමෙන්ති වැලි ආදියයි.
3ca8a72ed8	අනෙක් අතට නලින් ද සිල්වා ගුරුතුමා
3ca93a6492	මේ මගේ පුද්ගලික අදහස්..
3ca980e9e7	ලොවට දන් දෙමු
3ca9f1c7a4	පාසල ද
3caa05d66a	මොකක් හරි වැරදීමක් නිසා එකට ආවෙ නෑ.
3caa06bf3e	නමුත් ඒ එක් අපරාධකාරයකුටවත්
3caa70c4b4	එල්.ටී.ටී.ඊ.යට අයත් භාණ්ඩ ප්‍රවාහන නෞකාවක් විකිණීමට
3caa9de088	අධ්‍යාපනය අධ්‍යාපන කටයුතු සඳහා දක්වන උනන්දුව
3caacd0d0d	තොරතුරු තාක්ෂණයේ දියුණුවත් සමඟම
3cab36ffaa	ඒත් ඒකට ලොකු බාධාවක්‌ වෙලා
3cab3f4f9b	එනම් බෝධි, සමථ, දමන,තරණ සහ
3cab500ab6	එම අදහස් ආරෝපණය කළේ එනිසාවෙනි.
3cab788b37	එහෙම ලේකම්වරුන්
3cab7ea53c	හැමෝම තමුන් වෙනුවෙන් කතාකරනවා
3cab82099d	අවසර ගත්තද
3cab962dcc	අටුවා සාහිත්‍යයෙන් ලබා ගත හැකිය.
3caba413a4	වෙද පප්පා පිටරටින් ආපු
3cac3ebb2f	උන්වහන්සේ මෙන්න මේ විදිහට
3cac8bb6d2	විරූ ලෙස ඔවුන්ට වියෝ වන්නට සිදුවිය.
3cacaa453a	ආගමික සංස්කෘතිය විසින් කර ඇති
3cacbf24e8	සියල්ල පෙර කරන ලද කර්ම
3cad5d9878	බව ද ඇය කීවාය.
3cad7f1341	අපි ඔබට කියා දුන්න
3cad936c8a	මේක දකින තුන්වැන්නෙක් අවසානයේදි
