010009989d	හෝටල්වල ගිනි මැල හදනවා.
010c444a50	උදා සහෝට සහ විකී සහෝට ගොඩාක්ම ස්තුතියි
010c77d8bf	නිපදවද්දි ඒ සියල්ල
010c8eae8f	ඔය අතරේ මාත්
010cc6f87f	බස් මගියාටත් පරිපාලන ආයතනයටත් වාසිදායක වෙනවා.
010cd4b85d	එයාගේ පිටේ තියෙන තටු කපලා දානවා
010d1f6d1e	අපවත් වූ බවක් දන්නේ නම්
010d50b8ee	මෙකටත් අත උස්සයිනෙ.
010e049313	පැවරිලා තියෙන කාර්යභාරය අනුව
010e25f597	එලෙස යවන්නේ තේ පෙට්ටි තුළ
010e30a270	අකුරු වල වැරදි තිබුනොත්
010f164a94	පහසුකම් විතරයි.
010f2534b6	ඇය ජීවිතයේ අනිමිත බව කදිමට පසක් කරගත් කාන්තාවක් බව කිවහොත් නිවැරදිය.
01100685d7	හොඳ මතක ශක්තියක් ඇති
0110febcb2	කැසිනෝ අයින් කරලා තියෙනවා කියලා.
0111281d5d	එයට හේතුව දියර කිරි වෙළඳපළක්
0111bd9e3c	පෙන්වා දී තියෙනවා.
01122c8fe4	videos mp4
01122d58b6	සාතේ කියල මනුස්සයෙක්
011296b10e	මොකද වික්ටර්ගේ ගායනය
0112ad7448	භාවිතා කිරීමෙන්
0112ebcc16	ජිවත් වෙන එකෙක් නොවෙයි.
011372e583	ඉටුවිය හැකි දවසකි.
01137a9547	එය මා මුලින් කී
01139d95cc	විවේචනය කලා.
0113a40caa	මොකටද යන්නේ
0113ad99de	ලෝකයට පහළ වෙන්නේ
0113afa281	දැන් විවෘත වී ඇත
0113b93a47	එතුමා චුයින්ගම් එකක්‌ හපමින් සිටියා
0113d8e325	රජාට රට හදන්ඩ
011405b081	අරුත් සම්පාදනය සිදුවේ.
01143dd93a	ජීවන අරගලය බරසාරව
011510f433	එකදු මලක්වත් එහි පිපෙන්නේ නැහැ.
0115dc035d	සැබෑ අයවැයට පිටින්
011647b21e	වෙන් කිරීමට කීට් උත්සාහ දරා නොමැත
01166f322f	නිසා වෙන්න ඇති.
0117042e5a	ඕක මතක තියාගන්න හරි අමාරු වේවි
011740edd9	කිරියාමා නාහිමියන් විසින් සපයනු ලබන අතර
01193a95d0	ලිනක්ස් වලට බනින්නත් එපා.
0119428ee8	සැකකරු ගාල්ල රෝහලට ඇතුලත් කොට ඇතැයි
011a00f152	හැබැයි ලැබෙන කාර් එක නම්
011a49036b	බෞද්ධයා සතුව පවතිනවා යයි
011a54edec	උබට කියන්න එකක් අමතක උනා.
011b080fb1	මරණ දඬුවම ක්‍රියාත්මක නොවේ
011b0e0984	නමුත් ඇය
011b2e4808	කථා කරන ලදී.
011b9efd0a	උඹනම් නිකන් හාල් මැස්සෙක්
011bf06e5a	ඉකුත් වසරේ පැවැති
011c010c90	එත් ඒක එහෙම නෙමේ
011c1ffe5d	එනම් ඉඩම් ‍පොලිස් මුදල්
011ca971b7	පැකිලෙන්න එපා.
011cf25d6b	මේ ගීද නොමද පිටුබලයෙකි.
011d004d26	ඔවුන් ලකුණු හඹා ගොස් ජයග්‍රහණය කරන්න දක්ෂයි.
011d3ff94e	උඹ සිංහල වචන කීපයක් දැනගත්තෙ මරියකඩේ කුඩු විකුණලද?
011d9dcdf6	දුගති භයෙන්
011e02107d	ආනන්ද මෛත්‍රෙය හාමුදුරුවන් වහන්සේ
011e19d305	අපේ ගොඩක් අයට තියෙන්නේ
011e1cf577	youtube watch
011e5f5d6c	උණ පඳුරක සිරවී ඇති
011e658fff	සාහිත්‍ය කියවීම සඳහා
011eaaa52c	මෙම ක්‍රමය සාර්ථක ලෙසට යෙදවීමට අවස්ථා තිබේ.
011eed10a7	කෙනෙකුගේ හිත් අවුල් කරන්නේ.
011f3c343a	ගායකයන් ගායිකාවන් සිංදු කිව්වේ
011f6f61c3	ඒත් ඒ වෙනකොට
011fa986a0	වඩා මනාප ඇය විසින් ලබාගන්නා ලදි
011fae4415	තමන් අතින් වැරදීම් සිදුව ඇති බව පිළිගැනීම
01202124ca	මේවා විද්‍යාගාර තුල පෙලගසා පාලනය කරන හැටි සොයාගෙන ඇත.
0120550ea6	මතු දක්වන ආකාරයෙන් අලංකාර කරවන ලද්දාහු ය.
0120ac364d	එක්තරා අන්දමකට ඒක පාර්ශ්වික වූ
0120b651a3	අත්පත්වන ඉරණම කුමක් විය හැකිද?
0120f39d2a	කියලා ප්‍රචාර යවනවා.
01212008a5	ආවරණය නිසා
012196c34f	සේවකයෙකු මගින් අගමැතිවරයාට
0121aef21a	ශික්ෂණයෙන් යුතු අය වූහ.
012242eadc	ඉතාමත් දුක සේ තමයි
0122b7aa29	රිචඩ්ව හැර යන්නෙ
01238184c5	බුද්ධ ප්‍රතිමාව
012392cb46	ලොකු ලොකු ව්‍යාපාරිකයින්.
0123a60b89	story
0123aff8f9	එවැනි ගැහැනියක් කෙනෙකුට වෙඩි තබා
0123d19a09	ඉවත් කළ යුතු වූයේ ය
0124732a9f	ඔහු ගේ කතාව හරි යැයි
0124872fe5	මේ ආකාරයට තථාගතයන් වහන්සේ
0124b273b4	තමන්ට තැනක් හොයන එකයි.
01250ba463	යම් යම් ගැටලු ඇති වෙනවා.
01253c2ef9	කෙනෙකුගේ ස්වභාවය නේද ඒක?
0125acf64c	මීළඟ පෝය සැප්තැම්බර් 15 වැනි දා සෙනසුරාදාය.
01264ec680	ඊට පස්සේ මොකද වුණේ
01269af7cf	අනික මේ තහනම දාල තියෙන්නේ
01269e596d	මේ කරුණු නොදන්නා ඇතැම් අය
0126dc9472	ගොස් තිබේ.
0127ad7ac8	හෙල්ලෙන්න එවලාවක් නැහැ.
0127b8c858	එතකොට ලේඛකයාම නේද
012870b3b3	හුගක් කටකතා හැදුනා.
0128a03693	ඉගෙන ගන්න කාලයක් ආවා.
0128a33e94	සාල වෘක්ෂයන්ගෙන් ද දිය පහළ වී
0128faf3b1	ගාමිණී හත්තොටුවේගම මහතාගේ අදහස වූවේ
012906bee8	ඉතින් ඒකෙන් තමයි මුදල්
01298ba0cc	ඇය තම ‍රැකියාව හැටියට ආපනශාලාවක සේවය කලත්
0129d105a3	මිනිසුන්ට රෝගය බෝවී ඇති බව
012a46ca41	අපෝ පිරිමි අයට නම්
012a4f7526	ඔය කාලෙ ගායක ගායිකාවො
012a545426	ශ්‍රාවක සංඝයාට පූජා කරන දානයයි.
012a6fcc02	ඔයා එළියට බැහැලා බලන්න
012b6c3274	බුද්ධත්වයට පත්වන්නේද
012b806345	පත්වෙන හේතු මොනවාද කියලත්
012c01759c	එය සැප, දුක් හා මධ්‍යස්ථ වශයෙන්
012c01ed5a	මේ ගණයට අයත් වේ.
012c3eff16	බෞද්ධ සංස්කෘත කෘතියක් වන
012c684845	එකල මේ ආරණ්‍යයේ වැඩ විසූ
012d55ad5f	උඹට පිස්සුද බං.
012e2b4f75	නියෝජිතයන් තෝරා පත් කර ගැනීමේ ඡන්දයට
012e2c0872	මේක මම හිතන්නේ ඔහුගේ තුන් වැනි චිත්‍රපටිය
012e6c5bd7	ප්‍රදේශවල විතරයි.
012e6dd242	මා හට තවමත් නොහැකිය
012eb4e67a	දියුණු කිරීමෙන් පමණක්
012ef61b09	සිදුවන්නේ විධිමත් ආකාරයටය
012f0470fb	නියත විවරණ ලබා ගත්හ.
012f619838	සියලු කෙලෙස් දුරු කළා.
012fb3ed1d	ලෙස්ටර්ගෙ චිත්‍රපටයට කාන්ති ගුණතුංග තෝරාගෙන
0130751224	හොද කන් දෙකකුත් ඕනේ වෙනවා
0130785373	දැඩි විමසුමකින්
0130de953f	ඇතැම් වෙලාවට මෙත් සිත පතුරුවන්න මහන්සි ගත්තත් වෛර සිතම මතුවෙන්න පුළුවනි.
013292ee02	අළුත්ම කතන්දර බ්ලොග් එකක් පටන් ගන්න බැරියැ
013296fd7c	මෙයින් සිතීමට පුළුවන.
0132975110	කියලා කියන්න පුලුවන්.
013328b79e	මෙලොව ඤාතීන්ට පිහිට පිණිස වේ.
0133bf9827	කුකුළන් මැරීමද නතර කළ යුතු ය.
0133dc38db	මම පෙට් එකට ගියේ.
01345f05f9	මා අසා තිබෙනවා
01355cfb0e	පිණ්ඩපාතය නොලබාම
01357750f1	තුඹ නං මේ වෙනකොට
0135920b36	එකල්හී සුනීධ වස්සකාර මගධ මහඇමතිවරු
0135ac84d9	lankadepa
0135c35147	කාර්යාල වලින් පැනීම් ගැන ඇත්ත කතා කිහිපයක්
0135ec45e9	එය සැලකුම් ලැබුව
0136024384	එක් දේශපාලකයෙකු
013687b8b6	සිහියෙන් අත පය හකුලනවා.
01369582ff	කඩේ හරි යවන්න බැරිය
01369d4dfe	ආහාරපානාදියෙන් පෝෂණය කළේ කරුණාභරිතවය.
0136d5112e	එළ එළ ජය වේවා!.
0137ccd813	ද්‍රවිඩ ජනතාවගේ ප්‍රශ්න අපට දැන ගන්නට ලැබිනි.
01385a7ece	අප තුළ බුද්ධානුස්සතිය ඇතිකරවන වස්තු පමණි.
0138f043cc	තාත්තා තමයි ගොඩක් කැමැති වුණේ
0139c514dc	අපේ නැති වෙලා යන කලා අංගයන්
013a07bb83	ඒවා දැකීමෙන්
013a5ce14b	දැන් උද්ධමනය ගණනය කරන්නේ ඒ අනුවය
013a71d305	අනුබෝධ ඤාණය හා ප්‍රතිවේධ ඤාණය
013b00f8e0	ලිපිවල පෙන්නල දුන්න..
013b9ee989	එසේ නොවන්නේ නම්
013bb907b5	වරද පෙන්වලා දුන්නම
013bd73548	ඉතින් දුප්පත් කෙනෙක්ට බණක් බාර අරගෙන කරන්න බැහැ
013c260456	වස විස රසායන දියර ඉසීමෙන්
013cb2b5eb	ඉන් වැඩි අස්වැන්නක් අපේක්ෂා කරයි.
013cd8d965	එච්චරම අවුලක් වෙන්නෙ නෑ.
013db4b270	අනූපමේය මෙහෙවරකි.
013dc7edd2	අනික ඉතින් උඹලට කියලත්
013dcfc42e	අපේ අය අනිවාර්යෙන්ම
013e1aaeb5	වත්මන් ප්‍රධාන අමාත්‍ය ශෂින්ද්‍ර රාජපක්ෂය
013eb8e7aa	ඈතකට ගිහින් විකුණන්න
013ee26a87	මොවුහු සුව කළ නොහැකි
013f4fee8b	bike games play now
0141d7e697	ඇයට එරෙහිව සමාජ මතය ගොඩනංවයි
014204267a	වඩා බලවත් පාර්ශවයේ අයිතියයි.
0142e04b53	එබැවින් වෙසමුණි රජු
014500600d	ආයුධ පන්නා දුන් විශේෂකාර්ය බලකායේ පිරිස
014524c093	අවුරුදු පනහකට කලිං හිටියාට වඩා
01452da853	මට අදාළ නොවුණත්
0146d0fa71	බෞද්ධ ප්‍රතිපත්තීන් මත සැකැසුණු
014868974e	ගත කිරීමයි.
0148ba750a	එබැවින් තිරය වැසී ගියද
0148ce2e75	ආයේ කවදාවත් වෙන් නොවන්න.
0148dcb8b6	ජාතික කොඩියෙන් හෙළුව වහගෙන තමයි ඉන්නෙ.
01492bfb61	මේක ප්‍රංශ චිත්‍රපටයක් නිසා වෙන්න ඇති
01493f7a40	ඔබගේ රුධිර වර්ගය පවා
0149b32cae	නිකෙලෙස් අය
014a5201d8	අපෙන් වෙන් වී යද්දී
014ae6973f	මෙහි මුහුණුවර වෙනස්
014aedb24b	හැබැයි ඉස්සරහට තියපු පය
014b248d38	පියා ඈතක සිටිනවා නම්
014b3f97f9	එහි රැදී සිටින පුද්ගලය
014b7b69de	ගිලානෝපස්ථානය
014b972f41	අනතුරුව රහතන් වහන්සේලා ප්‍රමුඛ කොට
014bb319d0	විමසීමද වැදගත් වනු ඇත.
014bf9496b	car sale in sri lanka
014c3db517	free download of edup wireless lan card driver
014cec0f21	ඉතාම වැදගත් බව
014cedaf0c	i love my mother
014cf5a1c3	මේ ගමන යායුතුය
014d3b4bd5	අලුතින් බැඳෙන කණ්ඩායමට
014d62f305	මෙවැනි සිද්ධීන් නවතාලිය නොහැකියි.
014eb44674	එතකොට මේ හරහා සිදු වන්නේ
014f18b9a7	එතනදි අපි මූලික ව්‍යවස්ථාවන් තුළ තිබුණු
014fa5b075	එවැනි චිරාගත විනය චාරිත්‍රයක් ලෙස
014fad8891	නිර්ධන පංතිය අතර සම්බන්ධය
015023b8fb	බෙංගාල බොක්කේ අභ්‍යවකාශ මධ්‍යස්ථානයෙන්
01509f296d	sell vehicle
015171f47e	චතුරාර්ය සත්‍යය යනු කුමක්දැයි ඉතා පැහැදිලිව දේශනා කළහ.
015185360e	පොළොවේ තිබ්බොත්
0151bfb455	ඊට වඩා ටිකක් වැඩි දවසුත් තියනවා
0151e0657c	අපේ යුතුකම.
01521b5b2a	දඩයක්කාරයාගේ කුල තුළ
01525d6edf	සියලූම වතු පිහිටා ඇත්තේ
0152902134	ඉහල ඉඳන් පහලට වෙනකන් එක එක සයිස් එකේ කුට්ටි වලින්
01535bf0eb	සසර ගමන කෙටි කර ගන්න
0153f00724	මැලේසියාවේ අගමැතිතුමන් ද සහභාගී වීම
01542c3647	එවැනි අවුරුද්දක් ගෙවී ගොස්
01547cd475	පවතින පාලකයා රකින්න.
015494157e	ජීවිතාවබෝධය ඇති කරගන්නට.
01549a3790	රිෆ්ලෙක්ට් වෙනවද?
0154a10420	උණුසුම් දෑත් වලට මැදි කරගත්තා.
0154c579e2	ගව පාලනය එකිනෙකට වෙන් කිරීම
0155249dc7	පුහු ආටෝප වැඩ වලට විතරයි
015547d334	ඇමරිකාව සොයාගත් විට
01559c747b	රාජාධිරාජසිංහ රජතුමා තම ශරීර ප්‍රමාණය අනුව තනවා
0155b9c1e4	ස්තුතියි හැදුවා තිසර
015605eb6e	එළිය නිවලා
0156bdedbe	පොත් කියවලා තියෙන හින්දා
0156eb6f7b	යතුර භාරගත්තෙ?
01572cf448	ඒ යකඩ කූරු මිටියෙන් තලනවා
0157a2495b	හිටපු ප්‍රින්සිපල් ටීචර් කෙනෙක් නම්
0157e3ad35	ගොවිතැනට පමණක් නොව
01582882e8	සිය කැමැත්තෙන් නොව
015876ea08	අර කියාපු අතුරු කථා ඇත්තටම
0158baf8a9	පහසුවෙන් සැලෙන්නේ, හෝ කම්පා වන්නේ නැත.
01599b333d	අපි ඔය මානක් ඇති බව
0159f1caa4	කලාත්මක හැඟීමකින් නෙවෙයි.
015a5b2876	ඔබට අවංක වීර්යයක්
015ab85ff8	ගොඩනැගිලි හිමියා විසින් දැරිය යුතු බව
015acde94e	සම්පත් බැංකුවේ සභාපතිවරයාද වෙයි.
015ad38a75	බ්ලොග් බලන අපි ගැනත් හිතලා
015ad863dc	ඉතිං අපිට කරන්න වෙන්නෙ අපිට සුදුසු ඉලක්කයට වෙඩිතැබීම
015b47b748	ඒකත් එක්ක
015c0d08ff	ඔබ සියලු දෙනාම ඇවිදින විට
015d563920	ඒ ඉඩමේ හිමිකරු
015dcf0c9e	"ඇඳුම් ගැලපෙන්නෙ නෑ"" තිලකා හිනා උනා."
015dd653b9	තිගැස්මට පත්වූ කැරෝ පිහිටක් සෙවීමට
015de0db05	ඡන්දස් වල මූලාරම්භය පිළිබඳ කථාව
015e1ede1c	කියව කියව යන්නේ නැ.
015ec52b27	මම අද තමයි දැන ගත්තේ
015eed524c	ප්‍රතික්ෂේප කිරීමයි
015ef5a8d9	මුදලේ හිමිකරුවා සොයා ගැනීමට වසර තුනක් යනතුරුත් ඕස්ට්‍රේලියා පොලිසියට නොහැකි විය.
015f827f2f	බුරුල් කොට අතහරින්ට සැරසෙත්ම
015fe72ff7	ආදරය කරපු වසර අටක කාලයේ අතරතුර අපි දුරස් වුණා.
015ffea1cc	එකමත් එක රටක දේශද්‍රෝහී පිටුවහලකු
0160212f3b	අවසානයේ තමන් කලදේ අනුව විපාක ලැබේවි.
0160be5897	ඒක මුවහත් කර ගැනීම.
016117c6f5	අම්මලා විදියට
016126fb76	නමුත් මේ පුංචි ගාථාව තුළ
01617c6624	එන්න අවුරුදු ගානක් ගත වුනේ
016236befa	එහෙත් එය නිවරදිව
0162983929	අන්න ඒ කෙනාට කියනවා
0162e101fb	මෙහි මුල් කලාපයේ හැඳින්වීමේ දී
0162fc1f47	දෙවියන්ට විරුද්ධව.
01642ca3bf	ගුණධර්ම පුහුණු කරනවා
01646f1e91	එය මොනරුන් දෙදෙනෙකු හා මුවෙකු දක්වා අඩු කළේ ය.
0164972c2c	හොඳ දේවලුත් තියනවා
0164ba852c	ඉඩ හළ මැනව හිරු හට
0164d19ef9	එම සහතිකය
0164d33f89	ඉගෙනීමට ද දක්ෂ තම පුතා සුවපත් කැර ගැනීමට
0164ef1539	පත්තර පිටුවක්
01650f0831	අද උතුම් වෙසක් උත්සවය පෙන්වා
016517a84b	ක්‍රියාවට නංවයි
0165ae6f70	ඕනා අරක්කුයි පරක්කුයි
0165f6842f	බුදුරජාණන් වහන්සේ දේශනා කරලා තියෙනවා.
01671b6ac8	අනිත් වෙලාවට වතුර බොන ආකාරයට
01676e6f39	කරනු ලැබුවේ මිනීමැරුම් සිදුවූ ස්ථානයට ආසන්න
01676ea611	හින්දු ආගම හා එහි ඉතිහාසය
01682c9522	සාධු සිරිත් විරිත්
0168b75338	වැටීමට නොදී රැකගැනීමේ ආනිසංශ
0169089473	සියලූ මූල බිඳ හෙළීමට
01691510c5	එළ ඈ
01694acff7	බලය පිළිබද ඇතිවන අරගලය
01694d4a31	ඒ පුරුද්දට වෙන්න ඕනේ.
0169c0b320	ඇය ප්‍රමාදය.
016ace1b4b	ඉටුවිය යුතුයි.
016afbd314	අපට උත්තර දෙන්න අමාරු වුවත්
016b880971	එහෙත් ඒ ගෙන් පිටතට පැන
016beccb79	නැවත නැවත අහල ලියන්නෙ.
016cbe1664	වසර සියයක් පමණ වූ කළ
016ccb0b80	වැඩක් නැහැ.
016e0fcdf1	පුහුණුවීම් කටයුතු කරනවා නොඅනුමානයි.
016fb6f0e8	වෙනත් බොලිවුඩ් කතා වලට බෑ.
016fc0ebb8	පොළොන්නරුවේ ගල් විහාරයේ හිඳි පිළිමය මෙවැන්නකි.
016fea1d30	දීලා තියෙන කොපිවල
0170271f27	මෙම ක්‍රියාවන්ගෙන් බොහොමයක් සිදුකරන ලද්දේ තාක්ෂණික වශයෙන් දියුණු වූ ජාතීන් විසිනි.
01704ab48a	ඒ වෙනුවට සල්ලි දීලා
0170c3a78e	මෘදු බව නොගැලපේ
017115a515	මං මාර ජොලියක් ගත්තා.
01714f8134	අනුමාන වශයෙන් හෝ වයස පැවසීමට
01715d1b2a	පුදසිරිත් ඇදහිලි විශ්වාසාදිය
01727de640	ඔය අස්සෙන් හීනියට
0172cb38df	පුදසිරිත් ඇදහිලි විශ්වාසාදිය
01738f99bf	ක්‍රියාකිරීමේ ඇති හැකියාවයි.
0173bc66e7	අම්බලමක් ස්ථානගතව පැවතීයේද
0173d618cd	යටින් ගලායනුයේ බෙලිහුල් ඔයයි.
01745da42f	අපේ තාත්තා අපිව ජීවත් කරවන්න
0175c5d6e4	ජනමාධ්‍ය ආයතනයක් තමා සතුව තිබිය යුතු බව
01763b1a31	විමසිලිමත්ව බලන විට,
0176606d36	උන්ගේ ආගම ඇදහුවට
017660a38e	සිත පිරිසිදු වෙන්නෙත්
0176b88016	තමන් ගමන් කළ වාහන අතහැරලා
01770eebc2	බෞද්ධයා බෝධීන් වහන්සේට පුද පූජා වන්දන මාන පවත්වනුයේ
01776859bb	එල ආ !
01781bfd71	ඔබ සියලු දෙනාට ජයවේවා බොහොම ස්තුතියි .
0178eb431f	ඔබට අවැසි වන්නෙ
0179ccbca6	ඌව මර්ධනය කරන්න
0179ebc437	වර්ෂයේ දෙසැම්බර්ට පෙර
0179fef412	මොකද ඒ කා‍ලේ නිතරම මේ සිංදු අහන්න පුළුවන් උනා
017a06e6a9	මයික්‍රෝවේව් උදුනට දමා
017a5fa24f	ඇහැලේපොළ කුමාරිහාමි ඝාතනය වී
017ab0b62a	මෙම චාරිත්‍රය සඳහා වන
017b06b209	ඒ පරණ කතන්දර කියවමින් ඉන්න.
017b416246	ඉදිරිපත් කරන්නාවු අයයි.
017be6243b	ඇයි මේ විදුහල්පතිවරු කඩාපැනල
017d25fefa	අවසානයේ බූරුවන් ගේනවා කියූ රවී
017d51a240	අටුවාවෙන් ඇරපු රෝලක්..
017ea21828	ගින්දර හා සමාන කරලා.
017ed512c1	animal planet
017eda686d	අශෝක හඳගම මෙහි තබන
017f02257a	සමහර විට තම වසමේ ග්‍රාම නිලධාරීවරයා
017f568f16	මෙච්චර කල් හිටපු නැති යාළුවො
017f58dd6f	මේ හුලංකීරිය දේවල් වලට
017f598c2b	ආණ්ඩුවට එහෙම ශක්තියක් නෑ.
017f71ae39	අදහසක් පවසන්නට සිතමි
017faab782	මුහුදු ගමන පටන් ගන්නවා.
01803252c8	කවන්ධයක් බව
018180fc3f	ඒවායේ ලුණු රස ටිකක් අඩු තමා
0181d13a95	මෙහිදී ප්‍රථම උපසම්පදා විනය කර්මය සිදු කරන ලද්දේ
0181fe5c2c	තැපැල්පත් පිස්සුවේ අවසානය
0182b12a5c	රාගයෙන්, ආශාවෙන් ගිනිගෙන දැවෙන සරාගී ලෝකයේ
0182faa308	මිය ගොස් සිටින විජේවර්ධන මහතාට
018325ba5d	ඔක්කොම දාල තිබුණෙ ඔය ඇල්ලට තමයි.
0183308207	නමුත් මෙතන පහර ගහන්නෙ ඒ හිමිවරුන්ටත් එක්ක.
0183524a7f	වටින ලිපියක්
018356a41a	මහා ලොකු ගතයුත්කන් නෑ.
0183955cd7	මෙම අවස්ථාව පිනාට දුකක් වුවත්
0183e15c30	ලෝකේ ඉන්න දක්ෂම කන්ඩායම.
018425d968	ඔබේ ෆේස්බුක් ගිණුම
01854feae1	ධර්මනුකුලව ජිවත් වූ පමණින්
0185577eba	හැඟීම් නැති මිනිස්සු
01866e2520	ආණ්ඩු පක්ෂයේ අය
01869bced3	එබැවින් තමන් සරණ කොට
0187315049	වෛද්‍යවරුන්ගේ මතයයි.
0188a16db2	විශාල සමාජ මෙහෙවරක් ද සිදුකොට ඇත.
0188e6df41	එම සිද්ධිය නිසා
0188f6cfb3	රාගානුසය හා පටිඝානුසය, අනාගාමී ඵලයට පත් වීමෙන්
018a082388	අවස්ථා වලදී අභ්‍යාවකාශ මධ්‍යස්ථානය
018a399cc3	මැතිවරණයක් එන්න එපැයි!
018a586d28	මා ආලෝකයට එමින්
018a6ab6f7	අහිංසක මවකගේ පියෙකුගේ
018a6de227	ලෙඩ දුක් සතුරන්ටද සාප කිරීමට අමතක නොකළාය
018a6e40b5	පරීක්ෂණ වලට අනුව
018ac81887	මුළුමනින්ම විනාශ කර දැමුවේත්
018b119108	දේසප්‍රේමී විදිහට ඉන්න දේෂද්‍රරොහියො!
018b2b1df9	එමෙන්ම එබඳු විමසුමක්
018b52ff3f	උසස් අධ්‍යාපන කටයුතු වලට හිරවුණු නිසා
018bf8f33c	උං වත් ඇත්ත කියයි කියල
018cabf50c	එම පැහැය
018d109469	ඒ සඳහා චීවර කැපීම කඨින විරෝධි ක්‍රියාවකි.
018d62e229	පාට පාට විශාල ගල් මල් වලින්.
018dfaeaf7	ඇයි සිංහළ මහජාතියට විතරක් කුඩම්මාගේ සැළකිළි?
018e33356b	ශ්‍රාවකයාගේ ගෞරව සම්ප්‍රයුක්ත අවධානයටත්
018e4b64db	හිතා ගත්තා ලියන්න ඕනෑ කියලා
018f000776	එයාට පණිවිඩයක් ලැබුනා චාල්ස් කුමාරයත්
018f17a7d5	මේ නිසා බොහෝ දිනවල
018f204294	මේකේ කතාව යන්නේ
018f2f44c9	මෙම විවරණයට අනුව
018fdd11da	එල එල උතුරු පලාත් සභාව හැර සියලුම පලාත් සභා
018fe8e765	නමුත් අද ලංකාව තුළ පවතින තත්වය පිළිබ‍දව
019032dabd	නිසියාකාරව ළමයින්ට ඉගැන්විය නොහැකි වුණොත්
0190e5c32f	ගාන්න දුන්නේ නැහැ ෆිල්ම්වලට අරෙන්න.
0191532770	ඔන්න ටීච අහනව
0191f84abd	ඒක නිසා කපුගේ
0191fb63aa	වෙනස් නොවන සුළු දෙය
01929dc0fe	යනුවෙන් හැඟ වේ.
01934f1c60	මෙහි ඇති සත්‍ය වටහා ගන්නට අමාරුයි
0193769a5d	හිතන්නේ නැහැ මම මේකට.
019411ee10	පුලුවන් විදියට ඉවරයක් කරලා දානවා.
01945f07e9	රටේ ප්‍රජාතන්ත්‍රවාදය අනුව
019473ee56	ඔබ විසින් දිගින් දිගටම සිදුකරන්නේ යැයි
0194f3317d	එයින් උපයා ගත් ධනයෙන් යුක්ත බව
0194f8f208	ඔගස්ටස් සීසර් නමින්
01956a0926	එම සිද්ධිය මූලිකත්වයේ තබාගෙන
0195ce1970	සුවිශේෂී සිදුවීම් ගණනාවක් ඇත
0196045e6b	දිගින් දිගටම ප්‍රබුද්ධ ගීත නිර්මාණ කාර්යයේ යෙදුනාහ
01961512f4	දුක තුනී කරගන්න පුළුවන්
019622172b	ලැබුනා නම් ඔය ජීවිතය
01962ee05f	නමක් නැති චානම් ලියන එකෝ.
01966bf731	ස්තූතියි ඇත්තෙන්ම
0196c000fc	ඉදිරියට අපට මල් පොකුරු
0197105e35	විවිධ තරාතිරමේ මිනිසුන්
0197bf9244	බුදුරජාණන් වහන්සේ එම සූත්‍රය
0198200ebf	මේ ශ්‍රේෂ්ඨ ආචාර්යවරයාගෙන් වෙන් නොවී
