330072b85d	dress
330e4b9a0a	මහ පිනක් ලැබීම අනිවාර්යය.
330f225922	nuwara
330f48e0ab	කුදලාගෙන නාවොත්
330f624ac6	පෙරමුණ ගත් ගැමි ජනයා
33100e2bee	කෝච්චි රියදුරෙක් අදත් ගුටි කයි
331025d67c	peoples bank customer
3310731706	රජයේ හමුදාවත් එක්ක යන එකයි.
3310747d58	සාමාන්‍ය ළමයෙකුගේ මනෝභාවයන්ගෙන් වෙනස් වන බව අපි දන්නෙමු
3310f44455	victoria secret 2012
3310fb7833	එමෙන්ම ව්‍යාපාරයක් සඳහා පැවති
3311314c4b	ඇති වන ආශාව
3311582af6	මේ නිසාමදෝ අපේ රටේත්
3311629931	දෙපාර්තමේන්තුව සඳහන් කරයි
3312453ec3	එහෙම්ම ම සිංහලට දාන්න බෑ
33127204e7	ආහාර සුරක්ෂිතතාව ඇති කළා.
3313479893	මෙහි සරල තේරුම වන්නේ
331366f69e	මේ ආදී වශයෙන්
331382a2f4	චන්ද්‍රතිලක මහතා
3313bd06f6	අනුග්‍රහ බුද්ධියෙන් දෙන්නා වූ
33140200b9	ආදරබර දෙමාපියන් ආදරබර ඥාතීන් අප පවුල් තුළ ඕනෑ තරම් ඇත.
33140f3211	ජීවය ඇතිවූ ආකාරය කිව හැකිද?
33147cb445	අගක් මුලක් සොයාගත නොහැකි විය.
3314fc9779	මෙම ක්‍රමයෙන් බැලූ කළ
331513b50d	මේ විදිහට අපව දැනුවත් කරනවාට
33161f1248	සිහියට නගා ගනිමින්
3316327eec	මරනීය සාධකයන් ගොඩනැගීම
331661155b	හැමදෙනාම
3316b353db	දකුණු ප්‍රදේශය පුරා විසිරී තිබූ
3316cca7d3	new
3316e1aee3	ඊට අමතරව කතරගම ප්‍රදේශයෙන් හමුවු සෙල්ලිපි
3316f7ffac	i miss you
3317ac0f05	දෙවැනි රළ පහර උකුල දක්වා
3317e1c0e0	පානදුරාවාදයට මූලික වූයේ
33181cd03f	නිදන් හොරු ඊට කලින් පනිති
3318afcc27	පවුලේ සාමාජිකයන්
3318b242c4	ඉන්දියන් විදේශ ඇමති ලංකාවට
3318e4a7b9	translate
331908affe	සෑම කථාංගයක්ම එකිනෙට වෙනස්
3319b078df	පිහිටුවන්නට මෙතෙක් පමා වූයේ ඇයි?
331a3cabe7	එයා ගියේ කොහෙට
331a8ac7c1	ලොව පුරා සිටින සෑම මනුෂ්‍යයන්
331a9d8420	ගීතය අසන විට
331ac78552	නිතරම උගේ නෙත්
331b3eb687	අවසානයේ අපි දුටුවේ
331b5487ea	වාතය මෘදු පටක තුළ කම්පනයක් ඇතිකිරීම
331b875b84	අනිකුත් ආගමිකයින්ගේද පරම්පරාවල් තුල
331d9769f4	ආයු කල්පය යි.
331de423c1	පියංගන වන සෙනසුන අද අවරගිරට හසුවී
331e2a67ff	මොකෝ රාජ්.
331e4b0037	ඒවා රාත්‍රියේ ස්වයංක්‍රීයව ක්‍රියාත්මක වන අතර
331e658d76	අපේ ගැමි සමාජය
331e866c3d	බොහොම ස්තුතියි උපසිරසියට
331ecb22dd	ඉතින් දිගටම ගමනෙ
331efa3c42	අනෙක් අතට නලින් ද සිල්වා ගුරුතුමා
331f5bb781	එවැවින් සමකාලීන ජීවිතය
331f70a3a4	පොරෝගම ස්වාමීන් වහන්සේ
331ff20ef9	කළාදැයි කියා අප නොදන්නෙමු
33201c498b	sim recovery pro
3320ae5e3c	ඒත් මොන නළුවා ආවත්
3320da5b01	ඒත් අකිල
3320ff1a8b	වසරක් පුරා සපුරන
33211de66c	සමාන කළ නොහැක්කේ ම ය.
33219a0991	එක් කලෙක භාග්‍යවතුන් වහන්සේ
3321ba50ab	අධ්‍යාපන කටයුතුවල උසස් ප්‍රගතියක් පෙන්නුම් කරයි.
3321ec6542	තමන්ට කළ නොහැකි
3321f4419b	ඔබ යන්න ආනන්දයෙනි
3321fb785d	lovely couple
332255f59a	ලෝකයේ ඇති උතුම් වටිනා දෙය හැටියට පෙනී යයි.
33226a96cc	panda
3322a33d9f	ඊට විරුද්ධව නීති දැම්මේ.
33231438d7	අනික මේ බුදුන් දේශනා කළා කියල
3323789fce	මුවින් ගිලිහී ඇත්තේ මේ අයුරිනි.
3323dd0352	එතකොට මුස්ලිම් ආගමික සහජිවනය
33241989d6	නිර්මල බුද්ධ ධර්මය සෙව්වා.
33249cedbb	අපි කියන්නේ නෑ
3324a3cc00	සැක ඇති නොකරගන්න.
3324e69b36	බුදුරදුන් වෙත කැඳවා ගෙන ආහ.
3324ecf0d4	බුරුල් කොට අතහරින්ට සැරසෙත්ම
3324f9f1d3	going away dresses
3325158623	වගා කරලා නෙමෙයිද ගන්නේ?
3325cb490d	මහා අමුතු අමුතු දේවල් සිද්ධ වෙනවා
33264b720a	මොන ඉන්ද්‍රියකටද?
3326638f35	ඇතැම් විට අයුක්තියට එරෙහිව නැගී සිටීමට තරම් බලයක් අප සතුව නොතිබිය හැකිය.
33267a309a	එබැවින් ඇය ඇදහූ ආගම
33268067e3	ඒකෙ අග තමයි
33268fa7d6	පෙන්නන්න බැරි කම තමා එතන තියෙන්නේ.
3326e6ab09	lanka accident
33274a8e19	ගෙනහැර පෑ නොහැකිය
33274c8539	එය ඉටුකිරීමට යාමේදී හමුවන
3327544f5c	බැරි වූ විට සැලකීම උතුම් මංගල කරුණකි.
332779dccd	උඹ මෙතන කොටන්න දාන නමෙන්ම තේරුම් ගන්න පුළුවන්
33283fb8dc	මෙතන බහුතරයක් දෙනා
33285d526c	මේ අසිරිමත් වු ආනිශංස
3328a62ece	උපස්ථායක ස්ත්‍රීන් රැගෙන ආ මල්
3329634301	දහමෙහි මීට වඩා ගැඹුරු තැන්
3329b2d293	අල්ලිරාණි මන්දිරයේ කැනීම් කරලා
332a0b83df	අශ්වයා කුලප්පු වෙලා
332a38263c	එය බොහෝ කතා වස්තුවලින්
332c58075e	තුසිත දෙව්ලොව මහා බෝසතාණන් වහන්සේ
332c860b14	ඇද ගැනීමේ බලය තීරණය වෙන්නෙ වස්තුවේ ස්කන්ධය නිසා.
332ca5746e	පිනවන්න පුළුවන් හැකියාවක් තියෙන කෙනෙක්ව.
332d3f6c59	පියනන්ද හාමුදුරුවෝ
332d746e60	සාමාන්‍ය හාමුදුවරු ගැන
332dea6ef5	මෙයට අවුරුදු දෙදහස් ගණනකට පෙර
332e170d2a	තව වසර කිහිපයක්වත් ‍රැකගන්න
332e212659	සෑහෙන්න හිතන්න වෙනවා!
332e3f6258	දිනාගෙන සිටිනවා.
332f823234	විවිධ ගැටලු ගැන කියලා.
332f83e760	අවුරුදු සිරිත් සිදු කරයි.
332fb3ee91	දඹදිව වන්දනාවේ පැමිණෙන අසරණ බැතිමතුන්
332fe0cebc	අපේ සල්ලි වලින්
333050c2fe	සේසත් ආදිය යොදා ගැනීම
33307717d2	අන්න ඒක තමා
3330dd430a	මේ පිළිබඳ පරීක්ෂණ
3330f4bb8b	වස්තුවක් පමණක් නොවේ
33313deaab	කණාමැදිරි එලි පස්සේ අපව දුවවන්න?
333165500d	ඒත් මට
3332286d5d	දේශපාලනයට පැමිණ බලයෙන් ඇස් අන්ධ වූ
33335b5c48	මායාදුන්නේ රජතුමා තම රාජධානිය ගොඩනඟා ඇත්තේ
33337b89c6	මකර කට වලින්
3333afd4b3	සැලසුම් කර ඇත
333426d62a	කැමති කෙනෙක්.
33347d4ae0	ජනවාරි අන්තිම බලන්න යන්න
3334a39714	දොස්තරලා ගැන නම් කියල වැඩක් නෑ.
3335217a34	වැඩි අවධානයක් යොමු කරවන ලෙස
3335b4a2e6	ඔයා තවම පොඩීනේ
3335bc3982	jobs in sri lanka
3335cdf4cd	විවිධ දුෂ්කරතාවන්ට අතරමගදී මුහුණ දෙමින්
3335f7132a	ඊට කලින් වෙන කතා පොත් තමයි බැලුවේ
3335f7ef75	පිරිත් පැන් යනු
33365a9166	නොරහසකි
33369e288f	අවුරුදු දෙකටම ඒ අය
33377a27b4	අධ්‍යාපනයේ යෙදෙන තුලා ලග්න හිමියන්ගේ අධ්‍යාපන කටයුතු
3337ccd2ca	ඇඟ හදාගන්නේ කියලා.
33384793d9	ඇයි උලමෝ එපා කියද්දී නිකං දෙන්නේ
3338821185	අල්ලලා හිටින්න පුළුවන් නම්
3338bdec57	සීමා කරගත යුතු වෙනවා.
3338f0a7cc	ආරංචිය උණුසුම් ලෙස
3339850d67	සුපුරුදු ලෙසම මේ පරීක්ෂණයට
33398569fe	ඒත් සමහර මුස්‌ලිම් කාන්තාවන්
333a1d5f5c	එහෙයින් බොහෝ දෙනා
333a90e57a	කෘමි නාශක මෙන්ම රසායනික පොහොර ද යෙදිය යුතුය.
333b732abd	තම දරුවන්ට යෝග්‍ය විවාහයක් කරදීම
333bd0ae53	තමන්ට ඇප කැප විය හැකි බවයි.
333cd1d014	එය හා සම සම වන්නටයි.
333de14ade	fire games to play
333e486db3	උසස් අධ්‍යාපන ආයතනවල පාඨමාලා
333e794eb1	පරලොව විනාශයත් ඇතිකර ගනියි.
333ec285bf	මේ සිද්ධිය ඛුද්දක නිකායේ
333ece763d	දම් දෙසූ සේක.
333f31fd32	යක්‍ෂ ගෝත්‍රයට අයත් වූ තැනැත්තියකි.
3340144894	අද දකින චිත්‍රය නෙමෙයි හෙට දකින්නේ
334042ba98	කැමරා සවිකිරීමෙන් ඇති වාසි මොනවාද?
33407edf40	මට මතක නෑ
33415027ce	තොරතුරු මධ්‍යස්ථානයක් ද ලෙස භාවිතයට ගැනිණි
3341594085	යෞවනයන්ගේ ඇප කැප වීමෙනි.
3341ab169d	හැඩකාර පෙනුම නිසාම
3341ba9b1a	අපි අන්තර්ජාලයේ ගූගල් ජීමේල් ආදියෙන් වගේම
334244fbb1	එයාට මොකද වෙන්නෙ
3342542c7f	national lottery board result
3342ca9e3a	දෙමසක සිට බවද එහි දක්වා තිබේ
3343790c6f	කුසගින්න ආදියෙන්
3343ce2baf	අපි කරපිංචා කෑල්ලක් දෙකක් විසික් කරලත් දෙනවා
3343dee025	දුන් දෙය ගැන විපරම් කරන්නේ
3343df5b62	මාගේ සාර්ථකත්වය පිටුපස සිටි
334406ca12	මේ වසරේ මුල් මාස හය තුළ
334446dc01	කිස් දිනක බල්ලන් විසින් නම් නොකරන බැවින්
3344722785	ඒක නිසා අමතක වේද දන්නෙත් නෑ
3344b8c783	කරන්නයි බලන්නේ
3344e9efbd	අසමබර අග්නිය ඇති දාට
33454a8460	ඇමෙරිකාව පාකිස්තානයට අවි ආයුධ ලබාදුන්නහොත්
33462b14d1	ආහාර සහ සහකරුවන් සොයමින් ගමන් කරන වල් අලීන්
33469416c0	මේ කොපියේ තත්වය වගෙම
3346eebaae	නීති පැනවිය යුතු ද?
33474fa0be	ජිසාන් සිට හැත්තෑවක් පමණ දුරින් පිහිටා තිබේ.
334777bfed	ඒත් ඒ අතරේ මිනිස්සුන්ටහිරිහැර කරන
33489f6445	කොළ රහිත විශාල ගසක් මත සිටියාය.
3348cc604b	එක්තරා දවසක අපේ අම්මා
3348e91d57	බොහෝ දෙනා වඩාත් ප්‍රිය කළ බවයි.
334a73bb56	නියමිතව ඇත.
334a8b8567	මම ලංකාවේ ගෑනු කටහඬකින්
334ac50e64	එහෙත් ඒ ජීවිතය ඔහුට අත්දැකීම් බහුල ව
334ad393ab	හිතවත් රොයිලි
334b90546f	වසර දස දහස් ගණනකින් සිදුවිය හැකි ඒවා
334c0c025b	සුදුසු චිත්‍රපටයක් පරිවර්තනය කිරීම
334cc4cc1f	ප්‍රවෘත්ති ඉදිරිපත් කරන්න නෙවේ.
334cf8cc04	සිදුවන විමර්ශන ක්‍රියාවලියක් නැති තරම්ය.
334cf9aaca	පක්ෂපාතයි මේ අලුත් නීතියට.
334d13a136	යාළුවනේ ඔයාලට වාසනාවන්ත ජීවිතයක් පතමි
334d561279	එදිනට පොලොවේ වසන අධර්මිශ්ටයින්
334d9305a1	සමාජයේ සුබ සිද්ධිය උදෙසා
334e36222b	මේකෙන් සමස්ත ක්‍ෂේත්‍රයම කඩා වැටෙන්න පුළුවන්.
334e43dcd3	මාර්ක් සක්බර්ග්ගෙන් ඔවුන්ගේ ඉදිරි අනාගත බලාපොරොත්තුව
334e5ec85f	සිදු විය හැකි ය
334e633c9a	මෙහෙම කියා සිටියා.
334ebf0244	අරුමයක් නොවේ.
334f9648b0	ආසියාවේ ආශ්චර්ය සඳහා යන ගමනේදී
334f9f57da	කෙතරම් ඛේද ජනක ද?
335157e79e	හොඳම දවස තමයි අපිට ලැබුණේ.
33519147fe	එලෙස කල්පනා කරමින්
335246ac23	ප්‍රතිපදාවන්හි නියැලුණා
335259b4ed	දැනට ජීවත්ව ඉන්න
33528a4d51	මථුරා බෞද්ධ කලාව තුළ
33539696a6	පුදුම නිවුනු හැඟීමකින් ලියන බ්ලොගක් විදිහටයි.
3353b9e8ed	මාරු‍ වෙන්න ඕනෙ කියල හිතුන.
3353dd426f	හැකියාවක් පවතී.
3353e696f8	උබට ඒකට අයිතියක් තියෙනවා
33541d7842	හොද ක් වගෙ සබට තුති ඔබට ජය.
33541ef676	මෙසේ නමින් කථා කිරීමට
3354c67970	අහිංසක මිනිසුන් ඝාතනය කරමින්
3354cfc6eb	විවේචනාත්මක චින්තනයක් ඇති කිරීම වැළැක්වීම සඳහා
3355b60730	කපු මහතා සතුටු වීමද
3355bb4316	අගමැතිවරයා කිසිදු ප්‍රතිචාරයක් දක්වා නැත.
3355f1f020	පවු‍ලේ කට්ටියත් එක්ක
3356301679	පිළිගන්නේ නැහැ
33565c5e05	dress up games for girls wedding
3356976c85	හැමෝම කරන්නෙ එකම දේ.
33575433ee	තුන්වැන්නා නිවැරදි පාට කියූ හැටි නම්
3357915fd1	අප සිංහල ජනතාව සමග
3357f1bb7e	මේ පිළිබඳව තීරණයක් ගන්න ඕනෑ
33586b7682	පීතෘමූලිකත්වයට නැඹුරු අපේ සමාජයේ
33587b6ae7	බුදුන් දවස
3358957fd8	ආඩම්බර හිතුණා.
3358c87f6a	අතීතය කෙසේ වෙතත්
3359015073	මොකද ඒක
3359b8d975	අසීරුවන බව පෙන්නුම් කරයි
3359d0d332	මීළඟට අපට විකල්ප බලශක්ති මගින් විදුලිය නිපදවීමට තිබෙන හොඳම අවස්ථාවකි භූ තාපය යොදා ගැනීම.
335a6c43d6	මැසිවිලි හැමතින් ඇසේ
335ba84ec0	ඒවාද මෙහෙණින් වහන්සේලාට පූජා කළ බව
335c339300	කාන්තාව සමඟ එතැන සිටි පුද්ගලයා
335ca36434	කුසෙහි ආරක්ෂාව පිණිස ද වෙයි.
335d2985dc	ජාතක පොත, වෙස්සන්තර ජාතකය වැනි පොත්
335da67f0a	කොහු කොහු වෙනවලුනෙ
335db98f63	අද පවතින සිංහල ජාතියට
335e0d73a7	අවාසියනම් බෙහෙත් නියමිත වේලාවට
335e4e8334	එහෙයින් ලෝක විනාශය සිදුවේයැයි යන
335e64c678	පිරිත් පැන් යනු
335e937ffa	සොෆියාව හොයන්නේ.
335eb1ac41	girl beautiful face mobile wallpaper
335eb4e249	පුංචි මිනිස්‌සු හොයලා දෙන සල්ලි වැය කරන එකයි.
335ef3d96b	ප්‍රශ්න පත්‍ර කට්ටල කිහිපයක්
335f1a3ef4	ගිනිගෙන දැවෙන්නේ ය.
335f2dc593	ගැහැණියකට ආලය කිරීමේ එකම හේතු සාධකය
335f783df4	ලෝකයට අයිති වන්නේ
335fac0308	ඒත් අන්තිමට මට වුණේ
335fe6cdf6	උක්ත සහතිකය ලබාදීමේදී
3360b3d76b	එහි ව්‍යාප්තියක් අද තරම්වත් නොතිබිණ
336106b0ad	බුද්ධිමත් තරුණ පරපුරක් අපේ රටට නැතිවීම පමණයි.
33611c056b	මීළඟට අපි ඔබට ඉගෙන ගන්න සලස්වන්නේ මූලික භාවනා ක්‍රම දෙක ගැනයි.
33612cf313	උදාහරණ එක්ක මට පෙන්වනවට.
33612cfbc5	සුළුවෙන් හරි
33614e5534	එවැන්නක් සමාජයෙහි දැකිය හැකි
33615a18d8	හැමදාම බොරුවට නටන්න බැහැ.
3361d4861d	එතකොට බලන්න
33624308ef	තෝරා පත් කර ගත් අපේක්ෂකයන්ගේ
3362da403f	එහෙත් ඔවුන් අතර විසඳාගත නොහැකි ප්‍රශ්නයක් මතු විය
3363861887	ඒ හා බෙහෙවින් කතාබහට ලක්ව තිබෙන
336444e141	අප සමඟ පැවසුවේ ප්‍රදේශවාසියෙකි.
33647c5933	දෙමළ මිනිස්සු
3364811e11	ඔය ක්‍රමය අනිත් පළාත්වල
3364b3d806	සමාජයක් ගොඩ නගන්න
3364bdc58c	ඔහු මොග්ගල්ලාන නමින් ප්‍රසිද්ධ විය.
3364d09965	වාසනාවන්ත දේ සිදු වෙනවා.
336510e10b	එක සමාන වැදගත්කමක් පමණක්
33655b1c76	ඉතින් මූනෙන් විතරක් නෙවෙයි
336560ccae	තමන්ගේ පියා සෝකයෙන් මුදවනවා වගේ්
3365b2eff4	එය තහවුරු කෙරෙන
3365ed750d	පුද්ගලයන් අධ්‍යාත්මික පාරිශුද්ධ භාවය කරා යොමුකරන
3366317960	බුදුරදුන් ශාසනය පිළිබඳව සඳහන් කිරීමේදී
3366362089	ඉහලින්ම වර්ණනා කලා
336637fa83	බුදුරජාණන් වහන්සේ තමන් වහන්සේගෙන් අසන ප්‍රශ්න වර්ග හතරකට
33672bd756	විග්‍රහ කළේ පිළිගැනීමට
3367d09506	kavi bana
3367f786b2	වඩා හොඳ.
33687bcd41	එම පින්තූරය එතැන නැතිවීමට නම්
3369e2d5ea	ඉතාමත් ඉහල තැනක තියෙනවා.
336a69d95a	අභ්‍යන්තරය එසේ නොවේ.
336a9b04dd	නෙලා දක්වා ඇති බව පෙනී යයි
336b1aaa49	ඉන් අනතුරුව ඔවුන් ඉදිරිපත් කරන්නේ අද්භූත තොරතුරුය
336b213bb1	මිහිඳු සමිඳුන් දෙසු සමචිත්ත පරියාය සූත්‍රයේ ඉගැන්වීම්
336bab3bfe	තවත් සුපිරි වැඩක් සමග
336c2bd585	ඉතින් ඔහොම ගෙදරට වෙලා ඉන්න
336d482716	කියන එක.
336d74c696	සිය කවි සමඟ
336da356bc	සළකුණු කළේ බෞද්ධ කොමිෂන් වාර්තාව මඟිනි
336db05f14	වියදම් කරලා බුදුරජාණන් වහන්සේ උදෙසා
336db4d2fe	මමත් පැල් බැඳගෙන අහලා තියෙනවා
336dbfff3b	ගොඩක් දේවල් දැනගත්තා.
336e00e9ae	උනුත් අසරණ කොල්ලොන්ට පිහිටවල
336e4c4ea9	මේ සෑම පූජාවකටම ප්‍රථම
336e7214b0	හැබැයි එයා ගාව
336ebbc6b3	සටන ඉබේම නවතිනවා.
336f112856	nirosha thalagala
336fddb17b	එම නිසා මෙය
336fe9f50f	මා ළඟ අඩුවක් නොමැතිව ඇත.
336feeb419	ඊයේ දාපු එක ගැන පවා මූ දන්නවා.
336ff9cb38	රන්උලූ සහිත දේවාලය තැනීමට ස්ථානයක් පෙන්වාදෙන ලෙස
33700ac559	අපිට එන්න පාර පෙන්නුවේ
3370227e77	හැබැයි ආණ්ඩුවේ ගමන් මාර්ගය
3370399d61	අතීතයේ සිට සිංහල බෞද්ධයා අතර
33705844bd	බලශක්තිය ඉතිරි කර ගැනීම
33708d2fe6	මථූරාවේ ආරම්භ වූ බව
3370cd6174	තව බොරුවක්.
3371086c1f	සංඝ පිළිවෙත් පෙන්නුම් කළ
337112c3b2	අපට පෙන්නලා දෙන්න පුළුවන්.
33726a0e7d	අනූපමේය මෙහෙවරකි.
33728705f7	රැගෙන යනු ලැබූහ.
3372a24db5	රට ගිහින් එනවානම්
3372c243da	කර ගැනීමේ හැකියාව පවතී.
337312bbbf	බැරිවුනොත් ජීවිතාවබෝධය කරා
33735deded	ඉඩදිය යුතු නැහැ.
337462b147	අයහපත් පුද්ගලයා විවිධාකාර
3375a65bf6	ආවෙ කොහොමද කියල.
3375f5eca9	උඹත් ජනාධිපති ප්‍රේමදාස වගෙ
3375fe578d	ඒත් ඉතින් නොදන්නෝ
33763c2725	බලමුකෝ එහෙනම්
3376648ec1	අපේ දේශීය ගීය කොහොමත් රුස්සන්නේ නැහැ
337699fcaa	අපි මෙච්චරකල් හිටගෙන චූ කරන හැටි දැනගෙන හිටියේ නෑ.
33775da533	ඒ ඉඩම් සඳහාක බද්දක් පැනවීම ගැනත්.
33780abfe7	මීට කලින් පලකල ලිපිය.
33781403e5	යථාර්ථවාදයෙන් බැහැර වෙන්නේ නෑ කියලා.
3378ceffad	නමුත් කවියට වඩා
3378e47636	භෞතික වශයෙන් කිසිදු ධනයක්
3378ec58c6	අභියෝගවලට මුහුණ දෙමින් තමන්ගේ ජීවිතය මතින්ම
337944ba57	පසුබහින්නෙ නැති
337955c517	අන්තගාමී සිංහලීය සිනමාවේ
337964e8d1	බාල ගෙඩි බෝම්බ කිහිපයකි.
3379ad1f34	mail
3379e5172b	අපි අපේ පාඩුවේ කරදර නොකර ඉඳිමු.
337aa60d71	තුලා නොසිතූ ආකාරයේ පාඩුවක්
337ab5cf85	උපසිරැසි සැකසීමේදී නාවි වරුන් කතාකරන කොටස්
337abba883	ඉතා කෙටි කාලයකින් ඉදි කළ මේ මන්දිරය
337ada0f88	ජලය හෝ හුලං
337b39ce44	මෙය වරදවා තේරුම් ගෙන
337b4056ed	මානව හිමිකම් කවුන්සලයට සිදු කළ හැක්කේ
337b4cd98a	ඇත්තටම දියුනු වෙලා තියෙන්නේ
337c048a09	එය පැළැඳ ඇය ගමන් කරන විට
337c049e24	මෙතැන සුවිශේෂී ස්ථානයක් බව
337c1de014	ඒක අපි ආශ්වාස ප්‍රශ්වාස කරන කොට
337c1fb9b8	සංශෝධනයට වැඩි කාලයක් ගතවෙනවා
337c2f2e80	කිසි ප්‍රශ්නයක් නැහැ දාලා යන්නම්.
337cdab6ca	දිනය පුරා මල් දන්සැල් ක්‍රියාත්මකව පවතී
337dadfd9b	ඒවා නම් පේන්නේ නෑ.
337e3afdc2	අසරණවූ දරුවා සතියක්
337e505b29	එදා අපගේ තර්කය විය.
337ef4f9d3	කතා ගොඩක් ලියල තියනව නේද?
337f3c07f7	ඊට අමතරව අධ්‍යාපන අමාත්‍යංශයේ ලිපි
337fd4a0cc	සියම්, අමරපුර, රාමඤ්ඤ ආදී නිකායන් බිහි විය.
338030a10d	පළවෙනි එක බලල ඉන්න ඕනෙ
33807bd6cd	සමාජගත කරන්න.
33808f4015	සුළු හා මධ්‍ය පරිමාණ වශයෙන්
3380ba1247	අපේ මහාබබාට ජයවේවා
3380bdd638	අනුමත නොකරන දෙයක් කිරීමට
3381b8b98b	ඇය මිහිදන් කළ වළ
33829f16cd	පිරිත් පොත ඇහැට දැක්කේ නෑ.
3382d73dfc	අනෙක් අක්‍ෂර අංක විද්‍යාත්මකව
3382e0a18a	බලාගෙන යනකොට
338300e275	විරුද්ධ වෙන්න එපාය.
338352b603	යකෙක් නෙවෙයි සැබැ දෙවි කෙනෙක් කියලා
3383a80004	සංයුත්ත නිකායේ දුතිය සාරිපුත්ත සූත්‍රයේ දැක්වේ.
338403034e	දේශනා කරන ලද්දක් බව
33842610d2	ත්‍රා‍ස‍ය‍ කු‍තු‍හ‍ල‍ය‍ හා‍ හා‍ස්‍ය‍ පි‍රු‍ණු‍ චි‍ත්‍ර‍ප‍ටි‍ය‍ක්
338433d3a5	department of examinations
3384d74963	ඇමරිකාවෙන් අපිට
33862c26cf	ගිහි විනය නමින් ප්‍රකට
3386d44d4a	මිනිස්සු බය වෙලා ඉන්නෙ
3386dac933	එහි දෝෂයක් ඇති බව
338731d1d9	මොකද කලින් කොටස දෙනකොට
3387718826	උන්වහන්සේ බුද්ධාගම යනුවෙන් දහමක් ලොවට ඉදිරිපත්කළේ නැත
33879ed787	ටයිප් මනසට හරිම වෙහෙසයි
3387fc4a6a	මොනවා වුනත්
33882c3ed7	ඒක මේ.
3388ac9424	එය පිළිපදිමින් ධර්ම ප්‍රචාරයෙහි යෙදුන
338a119c61	අනික තමයි ඉතින් ඉස්සර
338a1dbbee	බොහෝ මිනිසුන් එහි වැටී
338a4e7407	හසු නොවන පරාසයක් තියෙනවා
338a5ea140	වෙන්න පුළුවන්
338a853595	පාසල් නොයන දරුවන් ගණන වැඩිවෙනවා.
338b20b0ca	එසේ වුවහොත් පමණක්ය යන්නයි ඔවුන්ගේ විශ්වාසය.
338c56de21	එච්චර සශ්‍රීකයි කියන්නයි
338cb729f8	උන්වහන්සේ සත්‍ය ධර්මය දේශනා කරනවා
338cd6f95c	කුරුල්ලා ඉදිරියේ පෙනී සිටියේය
338dfeea98	ඒකේ එකක් තියනවා
338ea78bc8	එමෙන්ම ඇගේ මුළු සිරුර පුරාම
338f31d6c3	එමගින් එම අතේම මැද ඇඟිල්ල කැඩී තිබුණි
338f88d906	ටිකක් කල්පනා කොරලා බැලුවාලු
338fb9238f	මෙයින් ප්‍රධාන වෙයි.
338fd31c3b	අද කාළේ වගෙම සිටුවරුයි රජවරුයි
338fde6a4a	පාලි ත්‍රිපිටකයේ හා අටුවාවල
33902a884d	කායික ශක්තිය ද උපයෝගී කර ගැනීම විශේෂිතයි
33909a2aa6	ඔකේ ඇත්ත එලියට එයි
3390b3a669	එවකට විශ්වවිද්‍යාලයට ගොස් උපාධියක් ලබාගෙන
3390cee113	පෙම් යුවළ ගැන
3391822719	හෑසිරෙන්නේ සුදනන් වශයෙනි
3391ad7ef0	හැම දේ දිහාම බැලුවාම
