cd003370a5	ගමන්ම ප්‍රගීත්ට කියන්න තියෙන්නෙ
cd457c97a6	එනිසා ඒ ආර්ය සත්‍ය
cd45f3002b	දැනගන්න ආස කතාන්දරෙ ලස්සනයි අයියෙ
cd46049290	අනතුරුව පොලීසිය විසින් කරන ලද ප්‍රශ්ණ කිරීම්වලදී
cd46c45404	අද අපේ රට ලබා ඇති දියුණුව
cd47184a02	අපරාධකරු බිහිකල සමාජයයි
cd472ac65a	ඔක්කොම රසායනික වල්නාශක දැන් නිදහස් කරන්නද
cd473406f7	වටිනාකම තේරුම් නොගෙන කටයුතු කරති.
cd4769b75f	භෞතික සම්පත් තිබීම
cd4798f753	වෙනම තාලයකට ගීතිකා ගයන
cd47af6f36	අපේ ගෙදර වලට හැදෙනව
cd4896cb2b	හරවා ගැසීම
cd48ba75e8	පුතාව බලන්න?
cd490dc6ec	ඇට් කළා වෙන්නත් පුළුවන්
cd49535a93	දකුණුපළාත් සභා මන්ත්‍රී විජේපාල හෙට්ටිආරච්චි මහතා
cd49d1836d	පොත් කියවලා තියෙන හින්දා
cd4a160264	මුහුදු රැළි අතරේ මංකොල්ලකරුවෝ සැඟවී සිටියහ.
cd4a36c8de	මම ඒක පොඩ්ඩක් වෙනස් කරල
cd4a758177	ඒත් බටහිර හා ඉන්දියාවේ සංගීතය
cd4a7b61cd	අපි දන්නවා ඉකුත් මාසය පුරාවටම
cd4ab09481	නව රැකියා අවස්‌ථා උදාකර ගනී.
cd4b1e720d	ඊට පස්සේ මමත් ඇස්වහ කටවහ දුරු කරලා
cd4b234dd6	මොකක්ද මේ අලුත් කලාව කියලා.
cd4b300fb3	මෙම පුදබිම පිහිටා ඇත්තේ
cd4be7c07a	හරිම ලේසියෙන් රවට්ටන්න පුළුවන් එකක්
cd4c09f21a	නව්‍ය ඇසක් යොමු කරයි.
cd4c19db6d	හෙළ අටුවා පාළි භාෂාවට නැගූ නිසාවෙනි
cd4ccb0b42	වර්තමාන පකිස්තානය ප්‍රදේශය
cd4cdb8c39	අඩුව තිබෙන්නෙ මිනිස්සු හිතන විදිහේ මිසක් විද්‍යාවේ නෙමේ
cd4d69eca3	එවැනි කිසිවක් සිදුව නැත
cd4da16927	අහිංසක මිනිස්සු මේක හින්ද
cd4de9515a	අතිශය සුන්දර සිහිවටනයක්
cd4e1d3c33	ඒ කියනකම් මමත් දන්නේ නෑ.
cd4eece48f	ලෝකයේ යථා ස්වභාවය නම්
cd4f17f912	කැලණි විහාර නව බිතුසිතුවම් තුළ මුසුවන්නේ එබැවිනි.
cd4fb0a571	ලෝකෝත්තර මාර්ග සිත් 04 යි.
cd4fc3d765	picasso
cd50078fd6	කල්පනා කරන්න
cd506ed25c	අර තැඹිලි පාට පුංචි සමනළයන්ට.
cd50cc20aa	ඊට යටිපෙළ අරුතක් එකතු වන්න
cd50fc04cb	මේ වසරේ අඩපණව පැවති ඔබගේ ඉපැයීම් මාර්ග
cd529c54a1	යෙදෙන්නට ඇත.
cd52a2bead	අද අපට සිදුව ඇත්තේ
cd52b06886	පටන් ගැනීමට නිසා
cd52c183c3	බෝසතාණන් වහන්සේ උඩුගං බලා පා කර හැරිය පාත්‍රය,
cd53d01267	මෙහිදී ගන්ධබ්බ යන වචනයෙහිද
cd542cc826	සර්පයා පණ ගසා දමා මා වෙත බඩගෑවේය.
cd5443a4aa	ජාතික උත්සවය වශයෙන්
cd54b4e30c	ත්‍රිපිටකගත ධර්මයත්
cd54c269aa	රජ වුවොත් ක්‍ෂත්‍රිය කුමාරවරු පිරිවරාගෙන හැසිරේ.
cd5567dcc0	girl lanka
cd55d6c581	සතර මහා ධාතූන්ගෙනි.
cd56a3adcd	දේව විශ්වාසයද එබඳුය.
cd56a7ee4c	ගිනි පුපුර නොපෙනුනත් අත පිළිස්සෙයි.
cd56c2bc6e	මැනවින් ඇය තුළ තිබිය යුතුය.
cd576ee5ab	මේ පැත්තේ ඇවිත් ගියා
cd57a95d81	කවුද මෙය කරන්නේ?
cd5806c02e	එය ඉවහල් වේවි.
cd58275d10	එවිට භික්‍ෂූහු පිළිතුරු දෙමින් පවසා සිටියේ
cd582911f6	අපි නෑයොද මන්දා .
cd588529bd	උන් හිතන විදිහ හරි
cd59265792	මග ඇරුනු චිත්‍රපටියක් අරං ඇවිත්
cd5933c08c	නමුත් මේ ලියන්නො කියන්නෙ
cd5964f22a	පෙන්වන්නෙ නෑ.
cd59ba16df	ඔය ටීවී එකේ කියන විදිහට
cd5a7635de	political cartoons of the week
cd5aafdeda	අර ඇනෝ කියන
cd5b0bace6	මේක වර්ග කරලා තියෙන්නේ
cd5b34437e	ආනන්දයෙනි කලින් ම මා විසින් මෙය නොකියන ලද්දේ ද?
cd5b94c248	පරිපූර්ණව අවබෝධ කිරීම.
cd5c05bdf4	වුවමනාවක් තමිල්නාඩු මහ ඇමතිනියට
cd5c45e897	අවධානය යොමු කරගන්න
cd5d2ca1da	පහන් ආලෝකය වූ දොළොස්මහේ පහනයි.
cd5d3991fb	ඒ වෙහෙස වටිනවා කියා සිතෙනවා.
cd5d526a92	බුදුන් වහන්සේගේ ධර්මයෙහි
cd5d69fed9	ඉස්සර මගේ බර තිබුණේ කිලෝ ග්‍රෑම් පනස් නවයයි
cd5e279559	නමුත් එහි පිටුපස
cd5e43192a	බුදුරදුන්ට හෙළිකළේය.
cd5e8535a5	එක්කෝ සත්‍යයි
cd5f4c1481	අතීතයේ රජකළ දැවැන්තයෝ නැවතත් මිහිමත ඇවිදීවිද?
cd5f8dbdaf	මෙම එක්වීම පසුව යුරෝපය එකම කලාපයක්
cd5f96385e	කට්ටියටම බාගෙන බලන්න කියල.නියමයි.
cd5fa25152	මොකද අපි අනික් වැඩත් එක්කම
cd5fcd5378	අර පැය දෙකෙන් සබ් දෙනව කියල
cd60623d69	කල්පවලින් පවා දැක්වෙනවා.
cd609431b9	ජන්තු කියන ගමට පිණ්ඩපාතේ වැඩියා
cd6178c801	මොකද මම වෘත්තියෙන් රංගන ශිල්පිනියක් නිසා.
cd61e1b468	එය දයාව කරුණා ගුණයෙන්
cd627e72fc	ඇය දෙසැම්බර් මාසේ මම දැක්කා
cd634fe346	මටනම් හැගෙන්නේ.
cd6388da44	ඇය රූපවත්.
cd638ee02c	එවගේම හානා කැමැත්තෙන් ඉන්න
cd63fa4ca9	මේ සිදුවීම තමා මුල් වෙන්නෙ.
cd64230876	ඊට සවන් දීම ඇත්තටම ආශ්චර්යයක් නොවේද?
cd64d73073	පොළොන්නරු යුගයේ
cd64f49314	ඇමතුමක් ලබා ගත්තේය.
cd65594c0f	විද්‍යාත්මක දර්ශනයක් වූ බුදුදහම
cd6585bba7	මෙම කරුණු විස්තර වශයෙන්
cd65a74ee9	cardboard house pic for kids
cd66a2422f	හරියටම හරි ගිහිල්ල
cd66ad9f0e	උන් තමා
cd66bfd94a	තම ගෙමිදුලෙහි සතුන් සඳහා පැන් භාජනයක් තැබුවේ ය.
cd66c0cce8	අනුකම්පාවක් ගැබ්ව ඇතැයි තිස්සට හිතුණේය
cd66c26973	ඉතින් ඒ බුදුරජාණන් වහන්සේගේ ශ්‍රාවකයන් වහන්සේලා
cd676bb9ec	මේ උපාසකතුමා එක් උපායක් යෙදුවා.
cd67a7e3d6	අයියෝ ආ නියමයි නියමයි
cd67d0f9c1	නටබුන් සහිත විශාල විහාර
cd68576c82	madusha mayadunne
cd69addd6b	මාත් අදාල නැති කමෙන්ට් එකක් දාන්නම්
cd69b9d273	සිය පෙම්වතියත් සමග රවුමක් යමින් සිටිය
cd69cd48fc	බ්‍රහ්ම පිරිස වෙත එළඹුණු වග විශේෂයෙන් දනිමි.
cd6a21e8d8	පිටසක්වලයෝ වගේ පෙනුනට
cd6a5030e4	ශක්තිය ලැබේවා
cd6a79f09f	එකල සිටි අන්‍ය තීර්ථකයෝද
cd6a936c1f	සුදු ඔයා මට ආදරේද
cd6b181159	මවක් පමණක් නොව
cd6b2041c8	තණකොළ නොකෑ පළියට
cd6b738947	හිටපන් ඩෝ!
cd6c036a13	ඔයාලම බලා ගන්නකෝ
cd6c24d4a7	බොහෝ ආනිසංස ගෙනදෙන,
cd6c5b7207	තුවාල ලැබූ එක්‌ දරුවෙක්
cd6d092351	සිතුවම් දැක්ම නූතනයට වැදගත් වන්නේ
cd6d822f5c	අඩුලුහුඬුකම් සහ අතුරුසිදුරු ගොන්නකින්
cd6da47344	ශුද්ධ මාගධී භාෂාවෙන් තිබූ ධර්ම විනය
cd6dcbd812	අපට වෙන කිසිදු මාධ්‍යකින්
cd6ddd4415	ඒ ශාසනය පවතින්නේත්
cd6e836f19	මෙවැනි සුන්දර නිමවුමක් රටට දායාද කරපු එක ගැන බොහොම ස්තුතියි
cd6f4fd75a	මේ කියන ධර්ම අට
cd6f6d1e07	බොහොම ස්තුතියි විරාජ්
cd6fed0fd9	පෙනෙන්නට තිබෙන්නේ.
cd6ffdfa39	කැසිනෝ අයින් කරලා තියෙනවා කියලා.
cd70069d4f	අපි සංස්කෘතිය කියලා
cd70320266	කතා කොරන්න වෙනවා.
cd70ac48b8	ආරම්භ කරන ලදී.
cd71139d24	සෑහෙන්න ලොකු බලාපොරොත්තුවක්.
cd71504f9e	මේ කරුණු පහකින් යුක්ත
cd71d29479	ඉතින් මට මොකෝ
cd72a6de7c	ඔබ විශ්වාස කරනවද?
cd72baaaab	බුදුරජාණන් වහන්සේ
cd732e71be	සරලව ඉන්නවා
cd73641af5	එය තීරණය වෙන්නේ,
cd736bc6e7	අන්තිමට අහල තිබුන
cd737f0524	ඒත් කථාව අවසානයේ
cd73efbd9a	එසේ හෙයින් ඔහුගේ පක්ෂපාතීත්වයක් ඇත
cd73fed0d3	ඔක්කොම එක හුස්මට කියෙව්වා
cd7411d626	කවර සුවඳක්ද
cd74600b6e	අනාවරනය වෙනවා
cd75ec195b	භාවිතා කිරීමෙන්
cd766bd44f	පිට වෙන දොර දක්වාම
cd7698fd68	අනාගතයේ ඔබ
cd76af9fb0	new york and company
cd76ec52dc	මේ දවසේ දෛනික වැඩපිළිවෙළ නතර කර
cd771812c2	මානව වර්ගයා ස්වකීය සම්ප්‍රදාය බිඳිමින්
cd772f1b1c	ඊට පස්සේ රම්බෝ ආපහු නඟරයට යනකොට
cd7751c083	ප්‍රගුණ කටයුතු මාර්ගය ආර්ය මාර්ගයයි.
cd77b94cb0	මෙම ශිල්පිනියන් දෙදෙනා
cd77e6be68	sri lanka upeksha swarnamali
cd78176680	ඉන්දියාවේ ඉදිවී ඇති සුවිසල් හින්දු දේවමන්දිර
cd788f156f	මුළු හිතින්ම පැන නගින
cd78e568bc	දශරථ ජාතකය මේ සඳහා
cd791d3b79	ඔට්ටු අල්ලන්නන් සමඟ
cd797382db	මෙසේ සඳහන්වෙයි
cd7a1a5cce	යහතින් ගෙදර යනවා.
cd7a212c7e	වැල්ලවායගේ පිපෙන මල් නාට්‍යයේ රඟපානවා
cd7aabf123	බෞද්ධ දර්ශනය කර්ම නමින් හඳුන්වන්නේ
cd7c13b16e	නමුත් ඇය සිය නව පෙම්වතා
cd7c3053ba	කොපමණ භික්‍ෂූන් වහන්සේලා සිටිය යුතු ද?
cd7c46d527	මෙම දෙදෙනාම මීට පෙර විවාහවී සිටි අයවළුන් වන අතර මේ වන විට එම විවාහ ජීවිතයන් නීත්‍යානුකූලව අහවර කරගෙන ඇත.
cd7c6aa923	හම්බන්තොට මත්තල ගුවන් තොටුපල හරහා
cd7c803fc8	අපේ සංස්කෘතික අමාත්‍යාංශයයි රාජ්‍ය නාට්‍ය අනු මණ්ඩලයයි
cd7ca19a41	ඔයා කරන දේ කරන්නකෝ කියලා
cd7cabad6f	මාවිත්තර ගින්න පැතිරේ
cd7cd1cf3b	දිනය පුරා මල් දන්සැල් ක්‍රියාත්මකව පවතී
cd7d1d2752	ඉතා සුබ අනාගතයක්
cd7d4f7ee5	එම අවිද්‍යා සහගත සංඥාව නිසා
cd7db7348a	බොහෝ දෙනෙක් දන්නෙ නැහැ.
cd7e787fb9	දින විස්සක් රෝහලේ සිටියා.
cd7eda3a56	android
cd7f3f8ad7	ධර්මය ආප්තය වශයෙන් සළකා
cd7f86594a	එක්සත් ජනතා නිදහස් සන්‍ධානයේ මන්ත්‍රී අරුන්දික ප්‍රනාන්දු මහතා
cd80284d91	තමන්ගෙ තොප්පිය රතු කියල කිව්වා.
cd813a6b46	ගස් වැල් සල්ලි දුන්නද කියලා.
cd81b54c22	ගුවන් යානා අනතුරක් නිසා
cd821ae81d	ඒ මොහොතෙදි මුළු මහත් විශ්වයම එක්වෙලා
cd8305d500	ඒකයි ඒ කාලේ
cd83500dfa	බහුතරයක් තියෙන්නේ ආකෘති.
cd835fcca2	මා දී ඇති තුන්වැනි පැහැදිලි කිරීම බලන්න.
cd839ad466	අනේ මන්ද
cd83e27dae	ගෑණු ඇනකොන්ඩා පිිරිමි ඇනකොන්ඩා ආහාරයට
cd83f54896	වරෙන්කො බලන්න
cd84cff732	පියගැට පෙළින් උඩුමහලට පිවිසිය හැක්කේ
cd856a7059	චන්ද්‍රතිලක මහතා
cd85999a8f	රුවන්වැලි සෑය හදපු තාක්‍ෂණය
cd8671b94b	පාවීමට පටන් ගත්තා.
cd867af62c	බොහොම අගේ ඇති ලියුමක්.
cd870a4c36	මෙම ක‍ාර්යය තවත් ඉදිරියට
cd873c0548	ඒක අමුතුම චිත්‍රපටියක් බවට පත්වෙනවා
cd8793857a	සුබ පැතුම් වෙලාව තියෙනවනම්
cd879a0987	එතෙන්දි පුංචි වෝරන් වර්තින්ටන් එයා විපරිතයෙක් කියලා
cd885418ea	තේරුම් ගන්න අමාරු එකක්
cd89035737	එය නැතිකර ගත්තේ
cd89ca871f	සමරු ගී රචනයෙහිලා දක්වන්නේ
cd89db0cb5	අචිනි ඉතා හොඳ දැනුවත් කිරීමක්
cd8a0a56bc	එම ලිපියේ සඳහන්ව තිබුණේ
cd8ac6420c	රඟමින් ගත කළ මොහොත
cd8bddad04	ඔබට මේ බදු නිර්මාණ අපවෙත ගෙන එනවාට
cd8c0dc369	දම්සක් පැවැතුම් සූත්‍රය දේශනා කරමින්
cd8c2237d2	ආසාවෙන් කියවීමට අපහසුවක් හෝ
