a600daa7a4	ගණන් නොගෙන ඉන්නවා
a6313c29d8	"ඔබේ අලුත් ""සංසාරාරණ්‍යය අසබඩ"""
a6315a60f9	කාලය මැනීම
a631678319	ශාක්‍ය ජනපදයට අයත්
a6316dc1ea	අද ඊයේ සිදුවන දෙයක් නොවේ
a6319669a4	ඉදිරිපත් කොට ඇත.
a6322ca41a	ඇයගෙන් ලද උවටැන් ආදරය හා උණුසුම
a632ea651f	ඉතින් මට චීස් ද බටර්ද කියල
a633adc5fd	කෙනෙකුට අයහපතක් වෙනවා නම් එය වැරදියි.
a633e23fc0	මගේ ක්‍රිකට් නවත්තන්න කලින්
a63400038c	ඉන් පසු කෙළින්ම ආදාහනාගාර වල
a63416e301	පසුතැවිලි වන දවසකි.
a6343a7820	උන්වහන්සේගේ වචන
a6347f9e31	තියෙන ගිණි ගොඩක නෙමෙයි
a634b93cd6	දේශනා කලේ.
a63515d866	ඉදිරිපත් කරන්නට අදහස් කරන සිදුවීම
a635168e58	ප්‍රමානය සරිලන්න කුකුලන් මාලුන් බොහෝ ගනනක් මැරිය යුතුය
a636d829b1	එම සේවාවට පාවිච්චි කළ
a637046d3b	ගොඩක් මහන්සිවෙලා කළ නිර්මාණයක්
a637e484a7	බැන වැදීමට කිසිවෙකුට බාධාවක් නැත.
a637f1fb1f	බලා‍පොරොත්තු වූ තරමට ප්‍රතිඵල නොලැබේ.
a638023cee	තරුණිය ඔහුට මතක් කර සිටියා ය.
a6381d623d	කමලිනීගේ අපි දුටු සුන්දර සිනහව
a6391ab1f3	උපසිරැසියට බොහෝ ස්තූතියි
a6393020cc	ආදිවාසී නායකයා ගුවනින් ගිය විදේශ සංචාර ගණන දෙකකි.
a63932e203	මඟුල තිබුනද නැද්ද කව්ද දන්නෙ
a63aac5a46	මෙන්න මේවා තමයි නියම වැඩ කියන්නේ.
a63ab2a07a	අවසානය කොහොමද කියලා.
a63b6961cb	මේ කිසිවක් නොදත් ගැමුණු
a63b706abe	සාහිත්‍යයේ ප්‍රවර්ධනය පිළිබඳව
a63bc5f820	එය වැලැක්වීම සඳහා වූ අන්තර්ජාල පෙත්සම
a63bcd7dc1	අපේ බෞද්ධ කාන්තා පරපුරට බොහෝ දේ ඉගෙනගත හැකි ආදර්ශමත් උදාර චරිතයක්.
a63be5383a	මේවා පිළිබඳව අවබෝධයෙන්
a63c112fe6	එමෙන්ම ඉගෙනගත් දෙය
a63d2bf2d4	දැනුවත්ව ජීවිතය පවත්වා ගෙන යාම
a63d4c3b97	අරන් යන පොරවල්ය යනාදී යෙදුම්
a63e9df4e4	නියමයක් නැත.
a63f339593	රජ්ජුරුවෝ ඒ මනුස්සයාටම
a63f4fdb82	මේ දිග ඇනෝ කමෙන්ටුවක් දාලා තියෙන්නේ
a63f91e397	හේතුවාදීන් අඩුගනනේ බටහිර විද්‍යාවේ
a64001157f	ඉතාම සංවේදී
a6404f9629	එවිට නිෂ්පාදකවරයෙක් ලෙස
a6407ed55d	ඒකට මම තෝරගත්තෙ
a640995743	වාසි සැලසෙන අද දින
a640b776b3	එය වළක්වාලිය නොහැකි ධර්මතාවක් බව
a640d7ee52	ඇඹිලිපිටිය ප්‍රාදේශීය සභාවේ
a64148424f	සාහිත්‍ය විචාරකයා විචාරකයකු වීමට මත්තෙන්
a6416a2665	derrick davenport
a6416b2f4a	හිටපු මහ ඇමති
a641e9d0c5	මොකද තිරයේ දමන වචන උපසිරසි ගොනුවේ තිබුනේ නැති නිසා.
a642b0b12c	පරලොව දුගතිය හිමි කොට දෙන බව පෙන්වයි
a642de606c	අඛණ්ඩව මිලදී ගත හැක්කේ
a6430caec5	දෙන්නට මා කැමැත්තෙමි.
a64318bfa0	ජීවත් වන මිසා යන දෙවර්ගයේ
a643323327	දේශපාලනය කරන්න එන්නේ
a643f0f3e1	මළවුන්ගේ ලෝකය
a644195bc6	එතුමා කැමැති අවස්ථාවක
a6442df41a	තාමත් ඉන්ටර්නෙට් නැත්තෙකුට නම්
a644caaad0	අපේ ඉතිහාසය දන්න එකෙක්
a644d08ae4	ආකෘතියක් ඉදිකර තිබේ.
a645500f83	හස්තියාගේ පින්තූරයක් ගන්නට
a6458d8478	අනික තමා මෙවැනි සරල රසවින්දනයක්
a64648ef0f	සටහන් කළානම් හොදයි.
a64667cd53	එතකොට අපට තේරෙනවා
a6467b7a6c	තමා සිටින්නේ කොතැනද යන්නය.
a6468e9608	බුදුරදුන්ගේ ඖරස පුත්‍රයන් වන්නේ
a646d5887f	එබඳු මායාකාරී අමනුෂ්‍ය ස්ත්‍රී රූපයටත්
a64731ee87	ඇයි අපි අපේම ජාතියේ එවුන් එක්ක
a648a7e9c9	භික්‍ෂූන් බුදුරදුන්ට දැන්වූවා.
a648a98edd	මකා දැමූ ගීයක්
a649f008d3	ලංකාවේ ත්‍රිපිටකය ග්‍රන්ථාරූඪ කළ
a64a041b80	කිසිවිටෙක යාමට සිදු නොවිණි.
a64a256cd2	කටයුතු කර තිබෙ යි
a64a3c6f5a	ආදරවන්තයන්ගේ දිනය යනුවෙන්
a64a4edf89	ක්‍රම වලින් ඇත්තටම හොඳ කරපු තැනුත්
a64a6b5b74	upeka nirmani
a64aba2bc0	dolpin
a64ac162e9	හදිසි අනතුරකට මුහුණ දෙන්නේ ද
a64bbcd154	තේරෙන්නේ නැති නිසා
a64c56abfb	අර අපේ කාලේ
a64ce974aa	එපමණක් නොව ඔහුට
a64ceaf9c7	බුදුරදුන්ට හැකි වූයේ
a64d5a4fff	මෙන්න මෙහෙම කතාවක්.
a64da5ba92	සිංහල බෞද්ධ දරුවන්
a64e43fe24	කෙස් කුණප කොටසක්.
a64e57faf9	එම බෝසත්වරු අසීමිත බව
a64e636397	අඩුම තරමින් අතුරුදන් වූ අය වෙනුවෙන්
a64eb41cdc	නියත මිථ්‍යා දෘෂ්ටියට හසුවීම
a64f04dcd3	එක් පසේ බුදුරජාණන් වහන්සේ නමක් දෙසූ ගාථාවකි.
a64f661c4f	මුහුද දිහා බැලුව.
a64f74a952	අද බොහෝ දෙමාපියන්ට
a64f8e1d48	බළලා මැටියෙන් හරි ඤාව් කියනවා කියාය.
a64fb658a8	බොහෝ චිත්‍ර හඳුනාගැනීමට අපහසු තරම් ය.
a64fd41782	උපසිරැසි ගොණුව නියමිත පරිදි පිහිටුවා ගැනීම
a64fe54a31	ඒක ඔය දීලා තියන
a65012dd10	එනම් බද්ධ සීමාව හා
a650496878	මේ සඳහා පුහුණු කරවනු ලබයි
a650a12e48	අවස්ථාවක් දුන්නට පවු සිද්ධ වෙන්නෙ නෑ
a651ac7436	ඒ තරුණයා ස්වාමීන් වහන්සේලා ළඟ
a651f770e7	භික්‍ෂුණියක වස් නොවිසිය යුතු ය.
a652008940	නොහැකි බවද පෙන්වා දුන්නේය.
a652691e06	දෙමළ ජනයා ඉන්දියාවෙන් මෙරටට ගෙන්වාගත් දින පටන්ම
a65317d0d4	සැබෑව වන්නේ මීට සිව් වසකට පෙර
a653247a5e	අනික් එක අපි පිටිපස්සේ පාරෙන්
a6533d77ec	යෙදුම් ඊට වඩා සරලයි කියලා මට හිතෙනවා
a6541c1875	විදුහල්පති ළමයින්ට සත්තමක් ඇරියේය
a654277ac5	හැමෝටම සුභ අලුත් අවුරුද්දක් වේවා
a655011667	මාලනී සෙනෙහෙලතා ෆොන්සේකා නිළිය
a655abc23c	බුදුරජාණන්වහන්සේ ගේ මතය දැන ගනු රිසි වූ
a655f71416	බුදුරජාණන් වහන්සේ ඈතට විහිද යන්නේ
a6563a494f	බුදුරදුන් බුද්ධත්වයෙන්
a656c41d2c	වර්ෂ 1933 දී ආරම්භ කළ
a656d518fb	එතන මැන්ඩෙලා ගේ සටන් සගයෙකුට ඇමතිකමක් දීලා
a656e38a07	අනුග්‍රහය ලබාදේවි කියලා.
a657915882	පුරුදු කරන්න පුළුවන් කියලා ප්‍රකාශ කරලා
a6579f9110	කොල්ල රැවටෙනව.
a658485233	මාත් එක්ක තරහා වෙනවා.
a65899a3f8	අම්මෝ මේ වගේ එකක් මිස් කරනව කියන්නේ
a658cc4fec	එහෙම හිතපු මහත්තය
a659777c76	අහපු ප්‍රශ්න දෙකට
a659898c02	දේශසීමාහි නොසන්සුන්කාරී තත්ත්වයක් ඇතිව තිබිණි
a65a527f8e	අපේ සෙවනැල්ල මෙන් එන්නේ
a65ad79c16	එතකොට බුද්ධිය වුවමනා යැයි කියලා
a65ba0fe37	එයාගෙ දුවට ග්‍රීන් කාඩ් එක ගන්න ඇමෙරිකාවට
a65bdf6161	බුදු දහම සරලව පැහැදිලිකිරීමයි.
a65bf06402	ඇය නිහතමානියි
a65c106e5e	ඒක තාත්තට කියලා
a65c107d74	ඒත් මෙයා ජවිපෙ ඉන්නකොටත්
a65c8fcc3a	ෆිල්ම් එක නම් මැක්සා.
a65ccc54d7	මේවා මෙලෙස වුවද
a65d2226e0	මෙසේ ජීවත් වන මනුෂ්‍යයන්ගෙන්
a65d394468	මෙහිදී ගන්ධබ්බ යන වචනයෙහිද
a65d4adfb2	ගඟ මැදින් ගෙන එයි.
a65e915186	අධ්‍යාපන ක්‍රියාවලියේ යහපැවැත්ම තහවුරු වනු ඇත.
a65f436a22	බුද්ධ දේශනාවේ සඳහන් වනවා.
a65f9c9e41	අවශ්‍ය නම් මෝඩ ඡන්දදාසලාගේ කතිරයටද
a65fbc9dc2	අතහැරීමෙන් ලැබෙන මේ සුන්දර අත්දැකීම
a65fc09535	ඊරිසියා කරන්න එපා
a660241735	ඒකට කටුව ගහන්න
a660e7e8a4	විවිධ ගාථාදිය සම්පාදනය කර සමාජගත කිරීමට
a660fd6fb2	ඉන්න පුලුවන්.
a6616fa1c0	ඓතිහාසික සිදුවීම්
a661a0b6af	ඔබ අප පසු පස්සෙන් එනවා කියල.
a661ef0346	ඉතින් ගොඩාක් ස්තූතියි
a66206804f	සම්පත් සඳහා තාක්ෂණය මදි රටවල්
a6625bb94b	ඇගේ විවාහ උත්සවය ජනවාරි මාසයේ තියෙනවා කියලා ආරංචි වුණ නිසාම
a662d5fe0e	බෙර අක්ෂර ලෙස හැදින්වෙයි
a662eefaa1	ඇය තුළ වසරකට පෙර ඇති වූ කාමුක සිතුවිල්ලක්
a6635cc3fc	යක්ස පැටියෙක්ම නෙමේ.
a663e1d638	මගේ වැරදි පෙන්නලා දෙනවා නම්.
a663e7f446	එක ගලවාගෙන ඇවිත්
a6644db951	වැඩි වශයෙන් මේ නාට්‍ය
a66451a4c3	ඔබේ මුල් ප්‍රතිචාරය
a66613ced6	වෙළඳ ව්‍යාපාරික ක්ෂේත්‍රයේ අභිවෘද්ධිය රඳා පවතින්නේ
a6676bba6c	සිත යොමුවන වග පෙන්නුම් කරයි.
a6691a5d30	ඔය ටීවී එකේ කියන විදිහට
a6691c5bef	රෝහල් ගතවීමට සූදානමින් සිටින බවද
a66999087c	යටි පෙළ අවබෝධ කර ගත්තේ නම්
a66a17fd01	ලියුම්කරු ලද ආශ්වාදය එය යි
a66a656946	කතාව වෙනස් කිරීමටවත් අවසර නෑ
a66ada8c8e	ඉදිරිපත් වූවත්
a66b219059	හිස ඔසවමින් ඇති වග පෙනෙයි
a66b5a41bf	අපූරු ගවේෂකයෝ
a66b612527	එත් මරණය කොයි වෙලේ වැළඳ ගන්න සිදුවෙයිද
a66c96ca7c	සර්පයාව දුටුවේ අපගේ වාසනාවටය
a66d1c5852	ඔය මානයෙන් එළියට එන්න.
a66d412443	මෙන්න මේක නිසා තමයි ජපානය එහෙම කරලා තියෙන්නේ.
a66df212e7	ගහගන්න ඒවට වඩා
a66e1b940a	ඒක වධකාගාරයක් කලා.
a66e261346	ජීවන රටාව ගොඩ නඟා ගැනීම
a66e7b831b	එම පුවත ගල් ටැඹක ලියා
a66e96fc99	micro mini bikini
a66e9c4fa6	දෙවියන් හට භාර වී ඇත
a66ef1838c	බඳවා ගනු ලැබූ එකසිය විසිහය දෙනෙකු
a66f23ece5	එක්ව පවත්වාගෙන ඒමට
a66f3c0577	මෙම දුම්රිය බිම් ගෙවල් මුහුණත් එකිනෙකට වෙනස්ය.
a66f65a76c	මෙම දිනය පසු කරත්ම
a66f79e4c4	මේ රටේ ලක්ෂ සංඛ්‍යාත ජනතාවක් ආවා.
a6707b1ea0	පාරම් බාමින් අන් රටවල් පහත හෙලීම
a670ae5fd4	බොහෝ දෙනා පිරිතට කැමැති වන්නේ
a670d412e5	ඉතිං ඒ තීරණේ ගැන වගකීම
a67129d960	ඔන්න දෙමාපියන්ගේ විශේෂ ඉල්ලීම පිට
a671666336	හිතේ මෙම ලක්ෂණය හඳුනාගත් කෙනා
a671bf8fcf	අදහස් පළ කිරීමට බාධා කරන
a6725bdcf4	අප පාස‍ලේ සහ පන්තියේ විස්තර
a672cf957b	ඒත් මගේ කතාව
a6739cee28	මේ ජීවිතයේ පමණක් නොවේ.
a673d8bd49	තමා කියනදේ කොෂික් තේරුම් ගන්නේ ද
a673d8ed38	ඒත් මෙයාගේ බිරිද
a673f49fbe	ඔන්න ඉස්සෙල්ල
a67443ef11	පැවසුවේ අවංක සිතින්මයි.
a67448e2bb	එයාව දැක්කේ?
a6745550d0	කර්මයන්ගේ විපාක විදීමකින් තොරව
a674e93215	අපි ඉන්න මේ යුරෝපා රටවල
a67537af3c	ඒ ප්‍රශ්නේ කියන්න
a6758bf055	එනිසා බොහෝ දෙනාගේ අවධානයට නතු වූ
a675c4d47f	හොදට බැලුවොත්.
a6762b6567	අනූ පස් හැවිරිදි වියේදී මෙලොවින් සමු ගත්
a67656be9c	උණුසුම් මුහුණුවරක් ගනු ලැබිය.
a676f1b908	උඹලගේ අලුත් බණ අහලා
a677683547	ඇඳුම් පැළඳුම් තිබෙන
a6779b6152	අත්තෙන් අත්තට පනින කුරුල්ලන් සේම
a677b2dc01	සිංහල උපසිරැස් එක්ක බලන්නම වෙනවා
a677c45f62	ඉස්ලාම් ජනතාවට හිමිය
a678172fe3	මහජන දේපළ සම්පත් අයුතු ලෙස යොදා ගනියි.
a6782bc8bd	ඒකට සිතෙන්
a6783e0a11	මේවා නොකියා කොහොමද?
a67880c503	food
a6791e5986	බුදුවරයකුට වත් එකී ධර්මතාව ඉක්මවා ක්‍රියා කළ නොහැකි ය.
a6797a9df6	තමන්ට වුනත්
a679d3f3c2	තෙවැනි විනිසුරු ලෙස කටයුතු කරන
a67a2be810	තමන්ගෙ සැලැස්ම හරියට දන්නෑ.
a67afa4953	අයිති වන්නේ සිතෙන් කෙරෙන පව්වලටයි.
a67b032131	ඔබ මේ කියන කරුණු කාරණා
a67b0c3c3b	ඉංජිනේරු ඩිල්ෂාන් ජයසූරිය මහතා පවසයි
a67b7e8eec	එයා ගේ රස්සාව තමා
a67bbbe009	අනුමාන වශයෙන් හෝ වයස පැවසීමට
a67d203211	ආදරණීය ජීවිතේ බලාපොරොත්තු සුන් වූ අවස්ථා තියෙනවා.
a67d6a0b57	සිය භූගෝලීය සහ ජනගහනමය සාධක ඉක්මවමින්
a67d7b7d19	එය ආකාර හතරකින් සිදු විය යුතු බව
a67d8bec34	එයින් සරණක් ලැබෙනවාද?
a67d9c2c7f	ඒ ප්‍රදේශවල ජනතාව
a67da8bea8	හැම විදියකම චිත්‍රපට කතා බලන අය ඉන්නව
a67dcfb70e	ශ්‍රී ලංකා සංස්කෘතියට එක් විය.
a67dd7d321	මේ ආදරණීය භූමියේ ජීවත්වන
a67ded7b5a	මෙහිදී බොහෝවිට විදුලිබලය අක්‍රිය වී යන බවටත්
a67e2248e3	චතුරාර්ය සත්‍යයයි.
a67f269452	අද කොටසෙදි තවත් අලුත් දෙයක් හොයාගන්න පුලුවන් වෙනවා
a67f340bf9	මුල් කාලයේ මේ සඳහා භාවිතා කර ඇත්තේ
a67f90d70a	සිත් තැවුලක්
a67fba6da2	ගමේ ගොඩේද වෙනත් කාන්තා සම්බන්ධතා ගැන පැතිරී තිබූ කථා
a67ff6e9a1	එය සටහන් නොකරමු
a6805c4e3c	අනුරාධපුරේ වඩිනවා.
a68089d062	එය කෙසේ වෙතත්
a680c4e875	ගෙවල් දොරවල් දාලා ගිහින්
a680cda4ce	මෙකී කාරණා සියල්ලම සිංහල ව්‍යාපාරික ප්‍රජාව විසින් පාලනය කරන ලද කාරණා බව පැහැදිලි ය.
a680eeae62	ඒක කවුරුවත් නොදන්න
a6814e6422	එහෙත් ඔහු ආගමික දේශනාව අත්හැර තිබියදී
a681bfa5bb	අහන ප්‍රශ්නෙට උත්තර නොදී
a68287ac4c	එයින් මා නිගමනය කළේ
a68336c4ca	ආර්ථීක වශයෙන්
a684d381a3	මේක දෙන්න ටිකක් කල් ගියෙ
a685358502	කෙනෙක් විදිහට මම දන්නවා
a6854f7995	ඉස්සරහ එකා රතු
a685b2b76f	මෙතන බහුතරයක් දෙනා
a6860a3ae7	ගොඩක් දෙමළ තරුණයන්ට
a687333431	තාරකා විද්‍යාඥයන් පවසන්නේ
a68751a274	ගොඩක් දෙනෙක්ගේ කඳුළු කතාව තමයි මේක.
a6878c89ab	ශර්මිලාගේ වුවමනාවේ මුල වන්නේ
a6883a917b	තේරුම් යන පරිදිත්
a688d79b67	කිසිම දිනක ඇතුළත් නොවේ.
a688e74d80	කොල්ලකරුවන්ට මිනිසුන් මරන්නට කොල්ලකන්නට දී
a689012328	අනෙක් අය දිහා බලලා තමා
a68a3017df	මම යම්කිසි දෙයක් ඇසින්ද දැක්කා නම්
a68a86ffc3	Bandara
a68a8d0e54	දොර ඇරලා
a68b9731e2	gmails
a68c439f93	අපි පස්සේ දැනුම් දෙන්නම් කියලා
a68c71225a	කරන්න සුද්දන්ට පුළුවන්
a68cd20c72	අධ්‍යාපන ක්‍රියාවලිය යි.
a68d59e83d	එනිසා අසත්පුරුෂ බාලයන් හා ඇසුරු නොකළ යුතුමයි
a68dab075b	ධර්මයෙහි පවතින්නෝය.
a68e021ae1	මෙපරිදි උපස්ථායකයා
a68e324baa	රටේ බුද්ධිමත්ම පිරිසත්
a68e81f106	හැරීගේ මරණින් පසු එයාගේ පුතා ස්ටීව්
a68f32cb5d	එතරම් මුහුණ දී නොතිබු නිසාත් මෙවැනි දෑද
a68f78f6d0	එය මාරු කිරීමට නොමැති බවයි
a68f9019d9	ජනතාවට ද අනතුරු ඇඟවීමේ ක්‍රමයක්
a68f99d089	භික්ෂූන් වැඩ වෙසෙන ස්ථානයක පමණි
a6907530a2	එයට බාධා පමුණුවීම සුදුසු නැහැ
a69081c768	විය යුත්තේ රසවින්දනයයි
a691890dd7	ඉඳිආප්ප දුසිම් දෙකක් කියන්නෙ ගෑවෙන්නවත් මදි
a691a0a37b	galaxy s5 root
a691d89738	එහෙත් ඔහු ආගමික දේශනාව අත්හැර තිබියදී
a691ee1cc0	blog cabin 2014
a691ee43fe	nisadas potha
a692045759	එම නාද මාලාව නොයෙක් පෙරහැරවලදී
a692755bef	මා මෙසේ සඳහන් කළේ
a692d2613c	වෙබ් අඩවි නැරඹීමේ අවස්ථාව සැලසී ඇත
a692e5f54e	බෞද්ධ විමුක්ති මාර්ගයේදී හළ යුතු
a693444e33	එවන් ආලෝකයක්
a693aa725f	අදාල අංශයේ හොඳම වෙබ් අඩවිය තෝරන ලද්දේ
a693eef52a	ඩෝසරයක් වගෙ යන්ත්‍රයක් තිබුණා
a694393c2a	ඔබට එක් එක් රටවල
a6948e21c9	doll cake designs
a694ea405e	make shadow of background
a694f893e8	විකාශය කරන්නලු
a6953da7c3	මිනිහෙක් ඔය තනතුරට පත්කලේ කව්ද?
a6955757f0	ඇගේම කියලා තැනක් හදා ගත්
a695a7ef5c	ජෝසප් අවම වශයෙන් නම් දෙකකින්
a695c897ed	පද රචකයා මෙහිදී උත්සාහ ගෙන ඇත
a695dce622	ගිහින් බැලුවම
a6963a9559	හර්ෂ විජය මහතාට අනුව
a696bb92b2	ගැටළුවක් නෑ ඊට එහා යන්නෙ නැතුව.
a696bf7a0c	සංඝ සමාජය සමීපව කටයුතු කළේ ය.
a6971104c6	මේකෙන් මැරුණා
a697412e5f	සසර ගමනට මහෝපකාරී වනු ඇත.
a697a15924	එය දැනෙන්න පටන් ගත්තා.
a697d86040	එය මුලින්ම පිළිවෙලට තබාගන්නට කටයුතු කර
a697dce4f8	ඔහු අද රාජකාරියට වාර්තා කළ
a69825082a	අපට ඔවුන් කෙරෙහි හට ගන්නේ
