54000c2602	මුල් බුද්ධ දේශනා
540e169cdc	මේ අවුරුද්දේ දිගටම
540f2ad389	නිර්දය විවේචනය වුව
540f3a8fab	සෑහෙන අවබෝධයක් ඇති කරගන්නට පුළුවන්කම තියෙනවා.
540f56d54c	ඉස්සර නම් ගිහිල්ල එනව කියල කිව්ව
5410d25987	උඹේ විචාර තේරුම් ගන්න
5410f8cc6d	ඈත සිට නැවුම් එළියක් විහිදුවා
5411755b01	මහත් ගෞරවාදරයට පාත්‍ර වූ
5411bf945d	ගුවන් හමුදා හෙලිකොප්ටර් යානයකින්
5411c94b72	ඩීන්ට තනියෙන් දඩයමක් කර ගත්ත හැකිද?
5411d109b8	අපි දෙන්න කොහොමද හොදම යාළුවො උනේ
5412800f33	එල්ලල තියෙන
541314b32f	love games for girls and boys
54139f4a56	ඒ ධර්ම මාර්ගයේ ගමන් කරමින් ජීවත්වන්නේ නම්
54141da51b	නෙවෙයි මම ආදරය කළේ.
5414827ea5	එක් දිනක් බොරු අසනීපයක් මවාගෙන
5414caee03	තාක්ෂණික අංගයන්ගෙන් ද
5415161e32	හැබැයි ඔහු දන්නවා
5415331762	ඔබ ඇය ගැන වැටහීමකින් තොරවයි
5415da9222	එයා මුදා හරින්න
5415ee42f4	ඉතිං ඒ අයට අවශ්‍ය වෙලාවට පොඩි නිදහසක් ගන්න
541645164d	බිහිසුණු දර්ශන ගොඩාක් තියනවා
541651f1f9	පශ්චාත් ව්‍යුහවාදය හා පශ්චාත් නූතනවාදය
5417405803	කිරි කර්මාන්තය දියුණු නොවීම අභාග්‍යයක්.
541891e971	එමෙන්ම ඔබට යමක් දැනගෙන
54189b1e31	මේ සියලු විනාශයන්ට මුල් වූයේ පෘතුගීසි පාලනයන් ය.
5418ad1338	අනෙක් අතට ඕනෑම කරුණක් සම්බන්ධයෙන්
5419815a43	තමන් නිදා ගැනීමෙන් කිසිදු ආකාරයක සුගතියක් වන්නේ නැහැ.
541a5161b1	අප දන්නේ නැත.
541aa6a891	ඒක තමයි හොද කියලා
541ac3046a	සිතනවානම් එය මුලාවක්
541ae0a5c6	මේ බෝසත්වරු ද හඳුන්වා දෙන ලදහ.
541b0c89b3	රඳවා ගෙන ඉන්නා
541b34a19a	ලොකු ප්‍රචාරයක් කරනවා
541c18741c	මට චෝදනා කරන්නන්ට වඩා
541ca13c86	එය නම් කුමන හෝ
541cee7f4d	පුද්ගලයාට ලෞකික ගෘහස්ත ජීවිතයේදී
541d254db3	පවසා තිබේ.
541d29476a	youtube watch
541d456927	ඇනකොන්ඩා යුවළට ආහාර පාලනය සිදු කරනු ලැබුවේ අධික වර්ධනය නිසා බව පශු වෛද්‍ය මතයයි.
541dc7b083	මෙබදු වාක්‍යයක් ප්‍රකාශ කළේය.
541e6e39a5	අවදානම් වැඩට යෙදූ මුදලුත්
541e834058	උදාන අසූවක් අන්තර්ගත ය
541eccbc6e	තැන තැන ගසා තිබිණි
541f54e5f9	එනම්, රූප, වේදනා, සඤ්ඤා, සංඛාර හා
541f65346f	ලොකු ගෞරවයක් වගේම ලොකු සහයෝගයක්
541fa024c4	කාටවත් ආඩම්බර වෙන්න තරම් ඉතිහාසයක් නැහැ.
541fa442cf	කසට පෙවූ චීවර නම් වූ වස්ත්‍රයකුයි.
541fe9d29b	එසේ ඉගෙන ගත් මිනිසුන්ට
54203d30c8	එය සිදුවූයේ
542086621a	මෙතනදි ගොඩක් දෙනා දන්නේ නැති දෙයක් තමයි
54208ca243	යොමුවන බවක් දක්නට ලැබේ.
5420cd6b96	එය මතක තබාගත යුතුයි
54212f6b64	හැබැයි ඒ ගොල්ලෝ කරන ඔය තුට්ටු දෙකේ දේශපාලනය
5421e79576	එහෙම උනත් පුංචි සුහද පිලිසදරකින්
5422406134	තව ටිකකින්ද කියා අපි දන්නේ නෑ.
5422805279	අපි හැමෝම හැමදේම ලැබන්න
54228139f2	සෑහෙන විවේචන එල්ල වුනා.
54232ce5d6	අපි එයාට වන්දේ නැති උනාට
542366159c	ඒකෙ ගල්
5423a59a47	අපරාධ නීතිය ක්‍රියාත්මක කිරීමේදී
54248994e1	ඉදිරියේ දී ආදර සම්බන්ධයක් පටන් ගන්නයි
54249843e7	ඊළඟ එකේදි එහෙම නොවෙන්න නම්.
5424c21c83	කැමති නම් මේ කතාව බලල ඉන්න
5425212f31	මේ කවි බස
542569c6de	එවා යම් මතවාදයකට ආවඩයි.
54259c6a53	තේරුම් ගනියි ඒ මොකෝ කියලා.
5425a183af	ඇතැම් විට මේ කුඩා සතුන් ගැන ඔහු තුළ තිබූ ඇල්ම
5426bb7e6f	ඔවුන් ලෝකයේ ප්‍රබල අන්‍ය මාධ්‍යයන් සමගත් අත්වැල් බැඳගන්නවා
542729a7e2	එනම් ආර්ය ශ්‍රාවකයා වනාහි
54275bafb8	එය එක් රැයකින් හෝ දෙකකින්
54277946cd	අඩු ගාණෙ
542779d974	පාලකයා අනිවාර්යයෙන්
542787a6d0	කෙසේද කියා අප සාකච්ඡා කළා.
5427fb199b	බණ පොතේ සඳහන් වේ.
542818c022	අපේ අර අම්බලන්ගොඩ වෙද නෝනට කිව්ව නම්
5428c35363	තමන්ගේ සිතිවිලි අතර
5428c6f2b7	එසේ තථාගත ස්ථූපයේ සිත පහදවා ගෙන
5428f6ea41	අවශ්‍ය තරම් භික්‍ෂූන් වහන්සේ නොමැතිකමයි.
542926d0cb	wedding rings
5429923b4c	බලා‍පොරොත්තු රහිත ආදායම් මාර්ගයක්
542a39079c	ඔයා අතරේ ගිය සතියේ කාන්තාරේ දි
542a441107	කොණ්ඩේ වවලා කරාබු දාලනේ හිටියේ
542ac08aa1	දේශනා කොට වදාරණ ලද්දේ ඒ නිසාමයි.
542b98096b	උත්ථානය නවකථාව මගේ සිහියට නැඟේ.
542cbcd220	ඇත්තටම ඔබලා නිසයි
542cfe3dd6	මේවා සිදුකළ යුත්තේ
542d0ac855	අය කරන මුදලෙන් නම්
542d6bf447	උදෑසන ළමුන් පරික්ෂා කරනවා කියලා
542df88632	ඔය බලතල ඉවත් නොකර
542e384b61	ලෝංහස්ට් වැනි පුරා විද්‍යාඥයෝ ප්‍රධාන තැනක් ගනිති.
542f5e994e	මේ අභියෝගය ජයගැනීම පිණිස
542fdac7dc	එක් අවස්ථාවක එය සිංහල සංස්කෘතිය
5430041e21	ඔබ කන බොන දේවල් රස විඳින දේවල්
54301a54ba	අන්තිම පද දෙක මොනවා කිව්වත්
5430470edf	ප්‍රධානම ප්‍රකාශනවාදී නාට්‍ය
5430a004ce	ඒත් එයා හිටියෙ
5430cb0878	එක්සත් ජාතික පක්ෂයේ
5430ef27a6	මිනිස්‌සු ඉදිරිපත් වෙලා ඉන්නවා.
5430f0dc25	හැමෝම අනිවාර්යෙන්
54313acae3	හැමදාම මේ වගේම
54314b7cc1	බස් නැවතුම්පළක සිටියදී
5431adb69c	මුවින් ගිලිහී ඇත්තේ මේ අයුරිනි.
543204e97f	අපේ සංස්කෘතික අමාත්‍යාංශයයි රාජ්‍ය නාට්‍ය අනු මණ්ඩලයයි
5432104a7a	මාගේ ශීර්ෂ ප්‍රණාමය පුද කරන්න
54328ae15d	එල එල! අපේ යාළුවෙක් හිටියා
543322913e	අනලස්බව, ආකල්ප,රුචි අරුචිකම් හා
543329e5d2	පැවැති අයවැය ඡන්ද විමසීම
54332f0d4a	මොකද ලොකු පොඩි කාගෙත් ඉහලම ජනප්‍රියතාව
5433c80512	බුදුරජාණන් වහන්සේ කෙරෙහි
543403e4b0	ආචාර්ය මන් මෝහන් සිං
543486fd25	දෙපාර්ශ්වයම අධිකරණය වෙත කැඳවිය යුතු
54368e3768	ඔහු වරදකරුවෙකි
5436c329c0	ඉංග්‍රීසි හින්දි දෙමළ චිත්‍රපට
5436c7169c	අමරකෝන් මහතා ඉතාම ආදරෙයෙන්
5436ebed93	සිත පෙළඹෙනු ඇත.
54377933de	මම හැම ලිපියකටම කමෙන්ට් කරනවා.
5437ddfe97	මට නෙමෙයි.
543835a1e8	අපි යන දුම්රියේම කොටසක්
54385ddfaa	ඕනෑම වෙනත් රටක දී
5438fbf8c1	එක්සත් ජාතීන්ගේ සාම සාධක හමුදාවකට අණදීමට
54394e1bd4	බාගෙන බලන්න කියලා ඉල්ලනවා
5439cc88ee	එනම් දැනුම පුද්ගල මට්ටමින් මෙන්ම
5439e9f95b	ඔන්න විකියා සහෝ ලිපිය ලියද්දී
5439ec4761	තමන් මතු නොවී චරිතය මතු කරන එක
543a73ca1b	එක රටකට ගහල නෑ
543a7d3560	දෙපසට අලංකාර ලියවැල බැගින් විහිදේ
543a908482	අපල නැති කරන්න
543a9c35a9	ඒව කජු ඇට වගේ.
543af248d7	මහා බෞද්ධයන් ලෙස නේද පෙනී සිටින්නේ?
543b587a6e	බුදුරජාණන් වහන්සේ දැකීමට මහ පාරේ යන කොට
543be84ea0	තමන්ට යන වියදමට සරිලන පරිදි
543bed7dbd	දරුවෝ ද නිවුණ දරුවෝ වෙති.
543c0160a1	තාත්තා මටත් වඩා
543c1e2e97	උන් වහන්සේ ගෝල රහතුන් සමග
543c6f439a	අඩුපාඩු රැසක් සපුරා ගන්නා අද දින
543cd9ec98	ඔබ මුලින් පෙන්වා දෙන්නේ
543cdd444a	වද දීපු කෙනෙක් අතින්.
543d40b4bb	එවක පේරාදෙණිය විශ්ව විද්‍යාලයේ
543dbcc2a1	එහෙම ඕන නම්
543de71cb9	sinhala 3gp
543e8be3a6	"අපොයි එපා! ඒක එහෙම තිබුණාවේ
543ee4a87d	cc837	තම දක්ෂතා මගින්
543f0f7447	bae1a	වර්ජනය කිරීමට අදිටන් කර ගන්නා
543f978347	589b0	මේ විද්වතුන් ට වැරදිලා
5440a5c04c	30661	සිදුවනු දැකිය හැක.
54414ecf66	9e6d1	මටත් මේ වැඩේ කරන්න හිතුනා.
5441f9c371	ec9a8	හිමිකාරිය වන ස්ත්‍රිය පුරුෂයාගේ
54422ec706	02f82	බුදුරදුන් ඒ සිවුර අත ගා
54425a5787	00349	යුධ අපරාධ කරා නම් ගැලවීමක් නැ
5442d55681	4a724	in sri lanka
54431b503e	a13a8	යතුරුපැදියට ඉන්ධනත් දමාගත්තා.
5443b85e0e	781cf	ඉතින් ඔහොම තමයි රට යන්නෙ
5443e0fb6e	30026	ඒ සඳහා ඉල්ලුම් කරන ලෙස වූ දැන්වීමකට
544483146c	338ff	එහෙම යන අයගේ ඉරණම මොකද්ද කියලා
544484ca37	c6f6b	ඕකට හොඳ උත්තරයක්‌ ගන්න පුළුවන්.
5444b2c863	f8790	අවුරුදු නිවාඩුවට පසු එළැඹි පළමු සතියේ
5444fe2b1e	c26ed	අපට අනුව මාක්ස් විරෝධී වන්නේ
5445780e8c	b06d1	විමල් දිහා නෙත් යොමාගෙන හිටපු
5445915763	3e0de	එයා ජනෙලෙන් එහා පැත්ත බලාගෙන හිටියෙ
54459805bc	09537	එදා මහවැලි සී කලාපයට දෙහිඅත්තකණ්ඩියේ හේනානිගලට නායකත්වය
5446162c63	2b212	බුදුරදුන් ෂඩ් අසාධාරණ ඥානයන්ගෙන්
544630ee69	3dd78	පුළුවන් වුනොත් මාර්කට් එකක් හදාගන්න පුළුවන් වෙයි
5446613388	babec	සිර කුටියේ ඇතුළත
5446f988b4	b7054	ඔය එහෙන් මෙහෙන් වංගෙඩියක් හොයාගන්න ඇති
54471743b8	44e28	පෝස්ට් එකේ
544742b042	db538	නොමදව ලැබේ.
5447b0c5b1	06105	අන්න එතන තමයි විඳීම හටගන්නේ.
5447c2ab05	40e62	මේක ලස්සනයි
5447cd1c2b	2df96	වම් කකුල බිම තබා දකුණු කකුල ඉදිරියට ගන්නා ආකාරයි
5447fabcae	4f3cd	නම් නිතර වෙනස් වන ගතියෙන් යුක්ත වීමය.
5448a3dd13	ae3ff	දක්නට ලැබෙන අතර
5448b6ca3e	ad58a	ඒත් කරන විදියේ
544a0411e7	c04d5	මරණින් පසු සතර අපායේ උපත ලබනවා
544a34a8d6	e42fe	දොරින් වැද්ද ගත්තේ නැත.
544b18bcc4	781ce	එබැවින් බමුණු යන වචනය ඇසූ පමණින්ම
544c202921	72f9d	ඔන්න මම ඉස්සෙල්ලම
544c3c252b	6f51b	ඒ සඳහා අපට
544c7dd050	252fd	බුදුරදුන්ට අන්තරාවක් කරන්නට බැරි වුණා.
544cb2db8d	f71ec	අතට දෙදාස් පන්සීයකුයි හම්බවුනා.
544cead838	21138	ව්‍යසන කරා ගොදුරු වෙලා යන්ට පුළුවන්.
544d3a6634	f71ec	අප මියගියාට පසු
544d52355b	d23af	සිංදුව කෙසේ වෙතත්
544dbf0897	1913e	ඉදිරියේදිත් මේ වගේ සුපිරි චිත්‍රපට වල
544e6881aa	0b586	යම් ආගමක් සත්‍යයි
544e968943	1575e	ඒත් අද බ්ලොග් අවකාශෙ ඉන්න අය
544ea9fa9b	55ab9	funs
544ecb284f	2bc1e	අයිස් ක්‍රීම් කන්න කියලා
544f1d3b92	76999	ඒකේ වැරැද්ද.
544fa222c8	f9391	විෂගෝර සර්පයකු දුටුවිට
545051ffc2	b6388	ring heart shape
5450a6a483	dff99	බෝධිඝරයක බුදුපිළිම තැන්පත් කිරීම
54516fce33	746ff	අන්න ඒවා ඔක්කොම මහ පොළොවට වැටිලා
5451b04841	89130	එය ශ්‍රී ලංකා නීති ඉතිහාසයේ
54520f0a3b	0e86b	වෙන කිසිම අරමුණක් නොතිබුන බව
545236d09d	c6f6b	පොත් ලියපු වික්ටරයව
5453f22916	c1715	බලය බෙදිලා තිබුනේ පංචෝල්‍ය කියන ගම් සභා ක්‍රමයකට
545448faff	74475	ලංකා ඉතිහාස කතාවේ දී කියැවෙන මුහුද
5455067197	0b586	සාත්තු කළ ඔහු
545528154e	655f4	කැළේට ගියා.
54552c507a	d7f61	ඉගනගන්න අකමැති රා‍ජ්‍ය සේවකයන්
5455644daf	9f1f5	ඔබ රංගනයේ යෙදෙන්නේ
545698d27b	9d5b3	බුදුන් වහන්සෙයි කොසොල් රජ්ජුරුවොයි එක්ක
5456ff0734	3bfb3	උන්ට ඕනි වැඩ කරගන්න පුළුවන්.
5457705cea	c04d5	මේක ලියපු මනුස්සයා
5457b36258	5b471	ජීවිතාවබෝධය කරා
54582c5c18	7ec98	මෙය ඉන්දියානු රුපියල් කෝටික්
54583de2d0	a973b	ඒවා තුල තියෙන සුන්දරත්වය.
54588dc273	55ab9	ත්‍රිශික්ෂාවෙන් සමන්විතය.
5458a12390	e35a8	ඒත් මගේ පුතා
5458b8c604	a3a6a	අර පිටගමකට ගිහින් පාර අහන
545965d767	d71b2	මේ අනුව ලක් රජ දරුවන්
545972d219	f9563	රජවරුන් විසින් අනුගමනය කරනු ලැබූ
5459adf42d	babec	එය ඉවත් කිරීම ගැටලුවක්.
545ad6cb37	cc423	මේක නිදහස් අධ්‍යාපනයට
545b18d113	4b5d0	මෑතකදී විශ්‍රාම ගිය නියෝජ්‍ය අධ්‍යක්‍ෂ
545b22c931	40953	පිරිත් දේශනා
545b254412	8827b	ස්වාභාවධර්මය ඔච්චමට මෙන්
545b275106	5a51f	රථ වාහන හැසිරවීමේ යෙදෙනු දක්නට ලැබිණි.
545bdf1aa6	199c3	ඒක අපේ පොඩි කොලූට
545c747931	09ecc	මෙම නම්බු නාමය ලැබුණේ
545d10c7e3	4b5d0	කොන්දේසි හා සුපරික්‍ෂාකාරී නියාමන ක්‍රමවේද යටතේය.
545d33675c	0e353	ණය ගැනීමේ අවශ්‍යතාවයක් නෑ
545d504ff7	4801b	මරණය උරුම කර දුන්නේ ය.
545d88d618	a360d	අදනම් අම්මා මුත්තා කීවත්
545de70cca	94b34	එය හැබෑ කරලා.
545efbb715	c8454	එයා සතුටු වෙනවා
545f149d7f	b9dc2	තමාට අත පෙවිය හැකි
546053f3db	c04d5	මහාවිහාරයේ උපෝසථාගාරය වූ
5460c4358a	a3fac	එම තැනැත්තා හෝ තැනැත්තිය කියා ඇත්තේ
5460c9fc3b	47746	සේදරා ව්‍යසනයට පත්ව ගසාගෙන යන
5461598841	156fe	ඔබේ ජීවිතය ටික ටික සුවපත් වෙන්න පටන් ගන්නවා.
546255f022	8eb5c	බෝධිවෘක්‍ෂයද චෛත්‍ය ගණයට අයත් වේ.
54626aefc1	7b561	ඒක පරිවර්තනයකට වඩා
546290804f	44e28	අපේ පුනරුත්තාපන වැඩසටහන් සිදුකරන තැන්
54629ebb90	655f4	මේ යුධ මෙහෙයුම්
546357cf46	f0b2e	චන්ද්‍රිකා වැඩි වන තරමට
54636f956f	7424f	තවම පුරාවිද්‍යා බලධාරීන්ගේ අවධානය
54642d5e12	92637	පෙන්වීමට විශාල කන් යොදා ගන්නට ඇත
5465232607	21138	සිංහල හින්දු අලුත් අවුරුදු උදාවේදී
5465283b10	fc710	එය හින්දු ආගමේ
5465c39128	d78dd	බෝධිරාජයාණන් වහන්සේ උපෝසථාගාරය,
546640818c	fe011	ගමේ කාටවත්
54664b94c2	03500	උත්සාහ කරනවා ඔබ දුටුවාද?
5467286f54	231ca	එසේ කියන ගමන්
54673d1de1	6e111	skype 6 0 0 120 offline installer
5467750419	023c3	මේ මගේ පුද්ගලික අදහස්..
546779f8d2	3489d	අහවල් එහෙකට නම අහන්න ගියාද
5467c83665	6c5e8	ස්තුතියි සමීර සහෝ
5467e8d527	338ff	වසර දෙදහස් අටසිය හැත්තෑ දෙකක ලිඛිත ඉතිහාසයක් ඇත
5468aa299e	f2931	ධර්මාසනය කරා වැඩම කරවන ලදී.
5468bde82d	b7163	මේක මම බාන්නම් කියලා හිටියේ ඒත් අමතක වුනා.
5468d581d0	6a26f	ඒ පිළිබඳ වෙන
546947cd76	b8a97	එතකොට අපිත් එන්නම් ඕගොල්ලෝ එක්ක
546a42cf4a	92649	කියල නීතියක් දාල නෑනෙ.
546a818c05	be173	අපි සැම සමානයෝ.
546a98ed7b	92649	මේ රජය යටතේ නිවැරදි පරිදි
546ad18b76	356c8	යොවුන් වියේ තරුණ තරුණියන්ගේ ආදරය
546b10b3c8	462e8	බුදුන් වහන්සේගේ ධර්මයේ ඇති
546b54fd7a	346c1	ඒකමතික තීරණයක් විය යුතු බවත් කියා සිටිනවා.
546c17b8c1	9d5b3	film
546c5711c9	92649	අවිචාරවත් තාක්ෂණික අංශයන්ට පමණක් යොමුව තිබේ
546cc56310	e8724	උපන් රටේ ඉන්නේ වැඩි හරියක් උඹල වග කසඩයෝ
546cfb017a	227d7	එබඳු සියලු පුද සිරිත්
546e149c30	438c8	නැවත අනාගතයේ හමුවීමක් නැත
546e262f99	d23af	සමගියේ පාලම් බිඳී ගියේය
546e359a9c	cf582	අනෙක් අතට පික්සල් 1080ක්ද ඇත.
546fdc269c	3a747	වැතිරිලා නං නෑ
54702f176b	be341	ඉහතින් සඳහන් කළ තුන් සිවුර මෙන් ම
5470322188	2ea36	උන්වහන්සේගේ අවිහිංසාවාදී නිර්මල බුදු දහම
54703e775b	b7163	අපේ රටේ ගොඩක් දේශප්‍රේමියො කියන අය
54704932e3	dc5ef	baiscope sinhala
54705b27ce	88c80	ආදරය කිරීම නිසාද?
5470696617	85ebd	ඒකනායක මහතා
5471a4e581	ee9b8	උපාධියක් කරන්නට සති අන්තයේ පන්ති වලට සහභාගි වන්නට තීරණය කළේ
5471a969e0	6b5e6	ඉවසන්න
5471d34b4c	b0095	එමඟින් බුදුදහම නිල වශයෙන් ශ්‍රී ලංකාවට ලැබිණ.
5471ddd595	5a51f	එනයින් ඒ ලිපිය
5471ed25ee	84048	කාලය විසින් නිර්මාණය කරනු ලැබේ.
547203f6fb	e5fb8	y fm
547214d581	f8790	ඔය වධක කතන්දර වලදි
5472889ae7	024f4	අපූරු දේශපාලන ප්‍රපංචයක්
54729eb269	f5954	ඇමරිකාවෙ ගිහිල්ලා
5472d5397b	68b8a	ලෙස ප්‍රශ්න සකසනු ඇත.
5472ecdd5a	2f415	මේ අලුත් චාල්සටන් වල
54735aa475	c26ed	ධර්ම ඤාණය නැතුව ශ්‍රද්ධාවට එන්නත් බෑ
54738a4acd	a7c07	එහෙනම් ඔන්න ඔයාලට බාර කරනවා
54742c267f	a3d94	එදින පෙරවරු පෙහෙවස් සමාදන් වීමෙන්
54746fd0ea	84afe	ඒත් මම කාගෙවත් දේවල්
54747681e6	b796c	එය වටා කිසිදු
5474c07eee	0bd84	පෙනී සිටින පිරිසක් නිසා
54750eac40	f0169	උං
5475195062	97d0a	එම නිසා කාව්‍යකරණය රඳා පවතින්නේ
54753dc1e0	2df96	සාමන්‍ය විදිහේ ගැටවරයෙක්.
5475d8ec71	fe011	දිගින් දිගටම අවධාරණය කරනවා.
547641d8f9	1575e	බොරුකාරයන්, සොරුන්, මිනීමරුවන් කොතැනක සැඟවී සිටියත්,
5476506fc9	5556c	ප්‍රශ්නය පෙරහර සඳහා අවශ්‍ය වියදම් සිදු කරන්නේ දළදා මාලිගාවෙන් ද?
5476c33b98	45feb	එදා යි මම දැනගත්තේ
54773d8c3e	4b1be	වරක් යාල කැලයේ කඳවුරු බැද ගත්තා.
5477adaf5b	d1c44	අප අවසාන වශයෙන්
5477e39b5e	8c9bc	එතකොට ඔබටත් බුදුරජාණන් වහන්සේගේ ශ්‍රාවකයෙක් වශයෙන්
547846208b	7424f	අමරණීය වීම ගැන කතාව
547853e84e	82082	කිලෝමීටර් හයකට වඩා දිගයි.
54798bd9ee	2f415	සිංහ රැකියාව සුපුරුදු පරිදි කරගෙන යාමට
5479c34951	3d027	සාර්ථක බවක් පෙන්නුම් කරයි.
5479cb9923	0eea5	ඔන්න මම
5479d87edd	77895	රොෂාන් කවුද
547ab66197	6996c	ඒත් එක් අයෙකුගේ වචනය විශ්වාස කරමින්
547b4b6d26	45f15	මරණින් පසු පරලොව ඉපදීමක් ඇත.
547bc43365	babec	මුරගල දෙපස වූ කුලුණු දෙක මත
547d2a276b	cb1fe	අප ඉල්ලන්නේ දුවගේ මරණය සම්බන්ධයෙන්
547d5b44d6	cd0b3	එසේ නො වන නිර්මාණ නොකියවා
547d935df0	781ce	අපිට කොටස් දෙකක්ට වෙන් කරගන්න
547de22a99	db538	අනිවාර්යයෙන්ම දිගටම
547e23578c	bafa0	අන්තර් විශ්ව විද්‍යාල ශිෂ්‍ය බල මණ්ඩලය
547f4a4996	fe361	ඔහුව ද්‍රෝහියෙක් විදියට හංවඩු ගහනවා.
5480922323	b7054	දෙමළෙන් එන්නෙ නෑ
548097334b	338ff	සියයටක් ම අලුතින් ඉදිවන පර්යන්තය
5480b67d92	4b1d7	සැප්තැම්බර් මස 22 වැනි දා සෙනසුරාදා
5480cfea04	0bd84	ස්වර්ණවාහිනී කැමරාකාරයා ප්‍රසිද්ධියේ නොකිව්වත්
5480d9ee9b	dc245	corel draw
54810694e7	225dc	එනම්, රූප, වේදනා, සඤ්ඤා, සංඛාර හා
54816d42cd	b06d1	ඒත් අන්තිමේ දී
548179c49c	0a38f	තේ පැළ මැරී යන බවයි
5482ad3b1f	59778	මිනිස් වර්ගයා අතර පහළ වූ
5482d7ee18	17bfd	සිංහල බෞද්ධ සංස්කෘතිය
54830c29dc	23c9f	එසේ සුළු ප්‍රමාණයක් එකතුකල විට
548311a389	ee3d2	ඒකෙ මේ කතා තිබේනම්
54833b0b15	09bf2	විවිධාකාරයෙන් සමාජ ප්‍රගමනය කෙරෙහි
5483c1a4c5	231ca	එය බුදු දහම නම් කොහේ
5483c2ce1c	0e375	මෙම අඩවියට පිවිසෙන ඔබට
5483d2ecf4	791e8	අතුරුගිරිය පොලිසිය විසින්
5484305916	89830	එතැන් සිට නිරතුරුවම
54843beabc	8e991	xp pro sp3 product key generator
5484517d03	462e8	එය මට අනුව සත්තකි
5484715659	37790	වවුනියාවට ඊශාන දිශාවෙන්
54852ceaf2	ed4c3	තමන්ට පිහිට පිණිස පවතිනවා කියන කරුණ
5485384358	7d982	වර්ධනය කර ගැනීම සඳහාය.
54854310a6	c5a59	බලන්න තිබුනා
548551ac42	0c839	ශුභ ඵල ලං කරගත හැකිය
54860776cf	e42fe	උන්ට මේ දේශනය
5486896d76	ba1f0	ඇටත් එක්කල ඒවා ඔක්කොම දිරලා දිරලා ගිහිල්ලා පස්වෙලා යනවා.
548775ce90	c34c2	එහෙම ලෙඩ්ඩු
5487e412ca	77895	කෙළවරක් දැකිය නොහැකි මේ මහා
5487efd5c5	c95d0	මිනිස් ගතිය""."
5487fef971	ඇතිවූවක් නෙමෙයි.
548805b8db	ඔයාගේ සබ දෙනකම් බලන් හිටියේ
54881221b2	ලබාගන්නට පුළුවන් බව.
54886b8849	ප්‍රේමය, ප්‍රසාදය යන මනෝභාවයන්ට වඩා පහත් ස්ථානයක් භක්තියට හිමිවෙයි.
548944c0ec	ඒක අන්තවාදයක් කලේ
54894a38ce	ගුණ සැමරුම වෙනුවෙන් පින්කම් මාලාවක් පැවැත්විණි
54897e474a	කමින් බොමින් සිටි බව සඳහන් වේ
548997337c	අවම සාර්ථකත්වය හෝ ලැබීමට නම්
5489e4602e	මේ සශ්‍රීක රාජ්‍යයේ
548a4212e3	සසරෙහි මුල
548a86f3fc	උසාවියයි හරිම දුර්වලයි
548a86f46e	අශීලාචාරකම්වලට හුරු වෙනවා නේද?
548bb0d8e0	එම අන්තවාදය තුළ
548bbd62f7	සමුළුව අමතන්නෙ කොහොමද කියලා.
548bcce42a	ගත්තා කවුද මේ බුදුකෙනා?
