7d007d8e23	ඇති අපි බහිමු කතාවට.
7d165ce437	උඹට යි පාස් සැත්කමක් එහෙම කරගන්න ඕනේ
7d1679778d	මේ දේට ගොඩාක් ස්තුතියි.
7d168f51a4	ලංකාවේ ජනවාර්ගික අර්බුදය
7d16f99e2b	කවදා හෝ දවසක අප අපේ දරුවන්ටත්
7d172ba015	එම සංවර්ධන සංකල්පයේ
7d1774660b	එම නිසා මේ නම
7d1784b6c4	dialog i35 drivers
7d178f52ac	එය චක්ඛු සම්පස්ස, සොත සම්පස්ස,
7d179e962f	full sail university
7d17af49f3	බුදුරදුන් වෙනුවෙන් පෙනී සිටින වස්තු වෙති.
7d17b4b661	ප්‍රතිකාර වලට යොදා ගන්න පටන් ගන්නේ.
7d184b82df	සාක්ෂියක් නොතබාම නිශාන්ත මරු වැළඳ ගත්තේය.
7d1869c229	මේනු අක්කා බලා ඉන්නවා
7d18c94f02	මේ වගේ පොඩි මුනුමුනුවක් ඇහුනා
7d1930ef14	ලෝක විනාශයක් ගැන නම් නෙමෙයි.
7d19724cb4	ආසාවන් අඩුවෙන කොට
7d19987a89	මේවාට අවශ්‍ය මූල්‍ය හා ද්‍රව්‍යමය ලාභ ද ලැබේ.
7d1a1db9fa	ඊට නිසි ප්‍රතිචාර නොදැක්වීම
7d1a37db23	මේකෙන්.හින්දි ෆිල්ම් දෙමළ ෆිල්ම්වල
7d1ac0cc23	විශේෂයෙන් ආගමික නායකයන්.
7d1af23077	තරමට වැඩිය ලොකු කලිසමක් දැක්කා
7d1b4d9862	එය නොවන බව පැහැදිලියි.
7d1b71067e	ආදරයෙන් සිහිගන්වමි
7d1b95965d	මේ වගේ එකක් කියලා දුන්නට.
7d1bf743db	බුදුදහම සමග බැඳී පවතින
7d1c7f5d46	අපට එවන් දාර්ශනිකයන් අතර ශ්‍රේෂ්ඨතමයා යැයි
7d1cda2e95	කියලත් මම විශ්වාස කරනවා
7d1de2491b	පහළ ගෙදර ඩිංගිරි මැණිකාය.
7d1e073216	මිරිස් වැටියකට වන්දි ගෙවමින්
7d1e1e4db6	ඉහතින් දක්වා තිබෙන්නේ
7d1e897ebe	ඔහු තුළ ඇතිවීම
7d1ebc60e9	එයා පත්වීමක් ලැබිලා
7d1ef17c3f	එහිදී මහ ඇමති වරයා නිවැරදිව තීරණ ගනිමින්
7d1f6a63d9	මේක රෙජිනෝල්ඩ් රෝස් ගේ පුද්ගලික අත්දැකීමක් උඩයි ලියවෙන්නෙ.
7d1f79302b	රටේ සෑම පුරවැසියෙකු සම්බන්ධයෙන්ම
7d1fed2629	මෙම මාසය ලොව පුරා බෞද්ධයෝ
7d20221d7b	බලන්න කලින් කතා දෙක අරගන්නකම්
7d208f24c0	බුදු දහමේ කාරණා තර්කානුකූලව
7d209812cf	ප්‍රතිපදාවක් ලෙස අනුගමනය කළ යුත්තේ
7d20d78721	මෘදුකාංග වලින් එය ක්‍රියාත්මක එයි.
7d2105d82d	මහත් කුතුහලයක් මෙන් ම
7d21311d0e	ඔබ අවබෝධ කරගන්නවා.
7d215568ab	තව කරමු අපරාදේ නෙ
7d2166c731	එකම නැකතක්වත් බැලුවෙ නෑ
7d219185c4	මාපියන් නම් දෙන්නේ
7d22006beb	මිනිස්සුන්ට අපහාස කරන එකේ
7d221a7778	සමාජයේ පැසසුමට ලක්විය හැකි දවසකි.
7d2253f580	කුඩා කල සිට කල්ගෙවීය
7d225560b3	එතුමා අමාත්‍යංශයට පිටින් තිබෙන
7d2278111a	තුවාල වුණ අයට
7d22dd7b15	එමඟින් බුදු රදුන්ට
7d237b10af	එවිට තියෙන තවත් ගැටළුවක් තමයි
7d23b7f93e	ඇලුමිනියම් වලින් නිමවූ ආවරණය
7d23d82420	සැහැල්ලු කුඩා ගුවන් යානයක්
7d242f02a3	පෙර දැක්මක් මෘදුකාංග සංවර්ධනය කරන්නන් වෙත
7d25180223	කිඳුරා සක් දෙවි රඳුගේ පිහිටෙන්
7d2651f730	ඊට පස්සේ කැමති තුන්දෙනෙක්
7d26572cda	අඳින ලද වෘතයේ අවසානය එතනය.
7d26784509	පොඩි කනගාටුවක් මටත් ඇතිවුණා.
7d27018560	'සුනිල් අයියා ගැන විශේෂයක් නොවීය
7d286f478f	ලොකු විශ්වාසයක් පවතී.
7d28bda464	ඒ ඔප්පු කළ හැකි යමක්
7d28d08107	හදවතින්ම ප්‍රාර්ථනා කරනවා දිනිඳු සහෝ
7d2936d86b	මකර තොරණ සම්බන්ධයෙන්
7d2960b4c6	එවැනි අවස්ථාවන්හිදී ද
7d2a0494bd	මහා භාණ්ඩගාරයට යවනවා
7d2a2c31bb	ඇතැම් කෙනෙක් හිතන්න පුළුවන් දරුවා දහම් පාසල් ගියහම විනාශ වෙනවා කියලා.
7d2a7be5b8	ගස්මත වසා සිටින කුරුල්ලන්ද නිසාවෙනි
7d2aa3958e	තෙලිජ්ජවිල ප්‍රදේශයේ පදිංචි දස හැවිරිදි
7d2b062d91	බෞද්ධයාගේ ජීවන ගමන
7d2b334f60	යක්‍ෂයාට පහර දී
7d2b721c95	පහත දැක්වෙන ලිපිනය සටහන් කරන්න.
7d2bb05fd2	ඒ හිටිය අයමයි.
7d2be647d5	නම් ඒවා පිරිහෙනවා.
7d2c512dd5	යමක් තක්සේරු කිරීමේ දී ඇති වෙනස.
7d2c8cc7a1	එයින් දැක්වුනේ
7d2e499a94	එකල ආයුෂ්මත් වූ මහාකාශ්‍යප හිමියෝ
7d2e4ce752	ඉදිරියටත් තවත් සිංහල උපසිරසි
7d2ed7c38b	පස් වසරක් සම්පූර්ණ වූ භික්ෂුවයි.
7d2eda02e5	එසේ වීමට මූලිකම හේතුව වන්
7d2f1006ba	local business centre
7d2fbe7a96	හොඳ එක්කට දාන්න.
7d30057e0d	දකුණේ පීඩිතයාගේ සැබෑ මිතුරෙකි.
7d30359a1d	ඉන්පසු ඔහුගේ නගරයේ ඉන්න ඔහුගේ සොර සහායිකාව
7d30432c15	දල ලෝම සහිත පනුවන්
7d3125e8fd	සම්පූර්ණයෙන්ම අහිමි වෙනව.
7d31ea6def	ශ්‍රී ලංකාවේ දෙමළ ජනතාවට සෙතක්
7d32283458	බුද්ධියෙන් නොව ද්වේශයෙන් ලියන ඒවා දාපංකො ටැමිල්නෙට් එකෙ
7d326aab09	ස්වාධීන රූපවාහි සේවය ආරම්භයට අවශ්‍ය
7d32a68131	හරකෙක් කොයිද
7d32bef435	මෙය වෙනුවෙන් පාරට බහින්න
7d32cdce7c	වෙනත් විදුහලකට මාරු කළේ කියලා?
7d32ea36e9	වැඩපිළිවෙලක් අවශ්‍ය අතර
7d333d6433	තෑන්ක්ස් වේවා! වැඩේ ගොඩක් හොදයි
7d334c1db7	මවට පියාට සැලකීමෙන්
7d3389e341	මෙහි කිසියම් වරදක් ඇත්නම් මට කියන්න.
7d33dc3321	විද්‍යුත් හා මුද්‍රිත මාධ්‍යය මගින් පළවිණ.
7d33e95556	මෙන්න මේ ගැන විතරක්
7d33eb5df3	ඔයා මනමාලයා කියලා හිතලා
7d34443334	අප මේ රටේ ජනතාව වෙනුවෙන් සහ
7d345dc73a	අග්‍ර දායිකාව බවට අගතනතුරු ලැබුනා
7d34868af8	එයාව පන්නගත්තා.
7d34ac6889	යමක් එකතු කරනා ලෙසයි.
7d356e7529	victorias secret fashion 2012 one republic
7d35a78ec2	සා.පෙළ ප්‍රතිඵලවලින් පසු
7d35e157e0	ඉඳුල් තිබෙන අපිරිසිදු අත්වලින්
7d3607a6bd	අභිසමය සංයුත්තයට අයත්
7d36827343	වැඳ එකත්පසෙක වාඩි විය.
7d36f742e5	ස්වභාවික ගලක් යොදාගෙන මහින්දාගමනයද නිමවා තිබේ.
7d37566f93	නැති බව පවසමි.
7d377a4b88	අවිවාදයෙන් පිළිගනු ලබයි.
7d37d6a266	එතැනින් ඔරුගොඩවත්ත හරහා
7d3876deaa	ගෙන ඒමට බලාපොරොතු වෙනවා.
7d38975aaf	දක්ෂ අය තියාගෙන
7d38a63e43	සිරකරු රැගෙන යන්නේ ඉන් පසුවය.
7d38de37d8	උන්ගෙ කොන්ද තියෙන්නේ වෙන වෙන එව්වට
7d38ee7d4c	ඒක බලන්න.
7d39d1308f	සැබැවින්ම බුදුවරුන්ගේ පහළ වීම අතිශයින්ම
7d39de5780	මේ දහම බුද්ධිමතුන්ම සදහා පමණයි.
7d3a01a96f	පසු බැස නොමැත මෙමන්
7d3a26863a	මේකෙන් සිවුරක් මහලා
7d3a35f2a3	මේකෙන් අපව බේරලා දෙන්නේ
7d3a36fa13	මිනිස් පරිණාමයේ පහළ අවධිවලදී
7d3a8ee6a4	එය භාවිතා කරන්නා කරන වැරදි වලට
7d3a91cd05	උන්වහන්සේලාගේ ධර්ම මාර්ගය
7d3aa17e18	යමකුට යමක් කියන්න තියෙනවා නම්
7d3ae474c5	තොල් නා දලු වලට සම නම්
7d3af7bc1c	සිදුවෙන ඒවාත් ඇති ඉතිං ඔය අස්සේ.
7d3b7c1fec	මොකට බයවෙන්නද.
7d3bfb20ef	පාදුක්ක ඉංගිරිය බස්
7d3c3d9638	දියුණු කර ගැනීමට හැකිවන දවසකි.
7d3c63adb1	ඒකෙ බිත්ති වල ලේ පැල්ලම්
7d3ca4b1a0	පිටතට පැමිණි ලසිත් මාලිංග
7d3ce5ccd0	ලබනවැනිදා දක්‌වා රක්‍ෂිත බන්ධනාගාර ගත කෙරිණි
7d3d260fe8	බුදුරජාණන් වහන්සේ බමුණාට
7d3d62f236	සිංහල මතක නැත
7d3dbd8551	දකුණේ පාලකයෝ ඇමරිකාවේ සහාය ඇතිව
7d3dca7081	මහා සංඝරත්නයට අවශ්‍ය දාන මාන
7d3dcb8a4f	මෙහි ලක්‍ෂණය වන්නේ
7d3dccdfdc	ඔයා ගෙ මහ ලොකු කතාවෙ තියෙන දේ
7d3e0624c2	භාවනා කරන්නාක් මෙන්
7d3e30c590	දක්වා දිග කලා
7d3e89bcd8	හැමදෙනෙකුටම ජයෙන් ජය
7d3e9e4736	රහස් උමඟක් ගැන සේවකයාගේ
7d3fab466b	ඉන්දියාවට කඩේ යනඋන්දැලා කෑ ගහනවා
7d40b7df14	ඇත්තටම ඒ තුළින් සාහිත්‍ය විචාරයට විකල්ප ධාරාවක් එකතු කිරීමට ඇය සමත් වුණා.
7d40c05cc8	සෑම සුන්දර මොහොතකම අවසානයක් තිබීම
7d40f0cd63	උඹ වගේ කෙනෙක් මුණගැහීම මගේ වාසනාව
7d4171856f	එය පිළිගන්නවා වගේම
7d417d9e44	අති භයානකයි.
7d41bab44c	මේ නිසයි පාලි යළි අපගේ විෂය මාලාවට
7d4266ec05	ඊට පස්සෙ පිස්සුවෙන් වගේ
7d4294dad7	මම නම් කැමති නැහැ.
7d42d0cee3	දේශපාලුවෝ මිනිස්සුන්ට කිවුවා
7d42ec1baf	මිනිසුන්ට කතා කරන්න ඉගෙන ගත්තොත් හොඳයි.
7d43099296	කාන්තා චරිත අනන්ත ය අප්‍රමාණය
7d43d095e1	උඩ පනින්නේ?
7d447368f7	මනසේ ස්පර්ශය
7d44d34252	ආර්ථිකය ඉතා යහපත්ය.
7d452bc4be	එල කිරි සහ මී පැණි නියමයි
7d453d16a9	එවැනි පසුබිමක් ඇති කරන ප්‍රතිපත්තියක
7d456f7766	ලෝකෙ පුරා විහිදෙන ජාලයක
7d45a138a9	අද ඊට නැත
7d45d63679	අවසාන කරුණ වශයෙන්
7d45edbb02	හඳුනා ගැනීම වැදගත් වෙයි.
7d46151d6b	ගොඩාක් මිස් යූස් කරනවා.
7d4618b6b1	අපේ වයසක අයියට
7d46ecde8d	elephant
7d46ff2117	ඩී.එස්.සේනානායක,
7d48699751	පොහෝ දිනයකදී අටසිල් රැකගෙන
7d48706828	මෙසේ නොකළහොත්
7d497b07d4	වැඩ හිඳින මාලිගාවේ උඩුමහල ය.
7d498cf98e	ඕවට ආස කරන අය කොහෙන්ද මචන්.
7d499f03ac	හිට්ලර් වගේ ඒකාධිපතියන්ව බිහි කලෙත්
7d49b25f98	මේ මානසික සුවය නිසා
7d49d0282b	බොරු කීමෙන් වැළකී සිටීම
7d4a420a3e	ඔය මල විකාර ලියන හින්දා
7d4abfd202	හැමෝගෙන්ම ආදරයෙන් ඉල්ලනව.
7d4b36684e	ඉඟිණිමිටිය ජලාශය දොරටු හය
7d4b6ea193	නක්සලයිට් කුමණ්ත්‍රණ චෝදනාවක් කියල මම අහා තියෙනව.
7d4c6a739f	පිරිනිවන් පානා සේක.
7d4c6d639a	පසුව නියම භික්ෂූන් බවට
7d4c983a2f	අනිත් ටිකත් ඉක්මනටම දීපන්.
7d4c9ba5b6	අක්ක කෙනෙක්ගෙ පොතකින් ඉස්සුව
7d4cfd31fc	මහණෙනි මේ යුද්ධයේදී අසුරයෝ පැරදී
7d4d42dc86	බෞද්ධ දර්ශනය තුළ හමුවන පරමාදර්ශී පුද්ගලයා
7d4d549713	ප්‍රඥාව ඉතාම යහපත් කොට දක්වන ලද්දේය
7d4d8dbdd3	කේන්ද්‍රීය සලකුණ
7d4d8dd861	අනේ භාග්‍යවතුන් වහන්ස
7d4dd0778a	හපොයි
7d4dd2f169	ඇයි ගෑනු කියන්නේ බබ්බු ද?
7d4e2a246e	පොඩි පොඩි ඉඩම් කෑලි.
7d4e6ab5ce	කතාව පටන් ගන්නකොට
7d4e9efd52	එයට එරෙහි මතවාදී
7d4ecf0381	වර්ණනා නොකළ යුතුයි.
7d4edee4f7	බලන කොට දකින්නේ
7d4f955524	පාළු නිවහනක කල්ගත කර ඇත
7d4f95986b	පරිසරයට හානි කළහොත්
7d4f989920	කටයුතු කරන්න.
7d4f98c737	අපි ඒවා නුදුන්නාම
7d4fd648a9	මටත් ඔය වැඩේ කීප සැරයක්ම වෙලා තියෙනවා
7d500ba6e2	යන්න හදන ෂර්ලොක්ට
7d503ae4ed	ලමයකුට ගහන්න ඕන නෑ හදන්න.
7d517e030e	හැබැයි ඉතිං ඒකේ විස්තර
7d51c8178e	එය ව්‍යාපාරයක්
7d523a67bd	එම නිසා පින්වත් මහණෙනි
7d53444b98	චිත්‍රපටය නරඹන්න
7d5399d7e1	අයිතිවාසිකම් ගැන කතා කරන්න කලින්
7d544b9d11	ඔබට වඩා ජ්‍යෙෂ්ඨ අයෙකුට
7d549cf7c1	මේ තැන්වලින් කරන්නේ කොහොමද?
7d5588c2a3	තරුණයකුගේ දුක් ගී රාවයයි
7d55a2d213	අනුමාන කරලායි.
7d55d1322f	ඉස්කෝල කීපයකටම මාරු වෙවී යන්න ලැබුණ
7d5657af19	මේ ජඩ වැඩේ එක්ක.
7d565f37c1	දළුලා හැදෙන්නට හේතු විය.
7d566d3515	එම ප්‍රහාරය සම්බන්ධයෙන්
7d5672449c	පාලමේ මිනිමරුවා ගැන
7d568194ec	ලෝකයේ බොහෝ වැරැදි දේ
7d56bf7d87	ජාතිය බැබළවීම
7d57636f90	ඒත් කල්පනා සොහොයුරියගේ
7d57c6deac	අයි පී එල් වැනි තරගාවලිවලට
7d57ce328b	එක් නවක හෙදියක්
7d5805ee80	බුදුරජාණන් වහන්සේ කෙරෙහි පහදින්න ඕනෙත්
7d5883e7cd	ගෙදර ගියාම ඔෆිස් එකේ ඒවා
7d596d816b	ඔය අතරේ නන්ද කුමාරයා සමඟ
7d59bb893f	ගොඩනංවාගත යුතු ය.
7d59c41013	ප්‍රයෝජනවත් ලෙස යොදවන්න වාසනාව නැහැ.
7d5a4715ae	කට පාඩම් කළ යුතු විය.
7d5a56ba37	අසංක සුභම සුභ අනාගතයකට
7d5a7e145e	එයා අර පිරිසේ වාඩිවෙලා හිටිය
7d5babbe8b	මට නම් වැදගැම්මකට නැත.
7d5bbd1388	අවුලක් නැතිවෙයිද?
7d5c02c412	මුන් මොනවද මේ ලියන්නෙ කියල හිතෙනව වෙලාවකට.
7d5c2ffa6d	දෙල් ගහක් පෙන්නලා
7d5c71b0e7	හැබැයි ඉතිං ඒ අයගේ කම්පනාව
7d5c953696	ඒක ටිකක් කොලොප්පන් වගේ නම්
7d5cebc20c	ගෙන්න ගන්න තමයි උත්සාහය
7d5d0a500d	සබන් බුබුලේ පින්තූරය.
7d5d61db02	ඌට දැනුම අවබෝධයක් නැත
7d5d89f09e	මුළු වත්තම බලා ගෙන හිටියා මම නිසාම්ට ගේම දෙනකොට.
7d5e71b0ee	ඉතා කනගාටුදායක තත්ත්වයකි
7d5f237d28	උඹ මේ ලියල තියෙන්නෙ
7d6049af75	අදාල දර්ශනය රූගත කිරීමට
7d60b7df58	විමසා බැලීමේ අවශ්‍යතාව
7d60d04e76	අයිතිවාසිකම් කියන්න තොපි කව්ද?
7d611cebff	දියණිය විශාඛා සිටු දියණියයි.
7d61234a69	ඇයි මම ඇනෝ කෙනෙක්ට උත්තර දෙන්නේ
7d615db53e	බුදුරදුන් චාපාල චේතියෙහිදී
7d617e820c	එයින් පළමුවැන්න හා අටවැන්න පමණක්
7d62762a2b	ඉන්ද්‍රිය ගෝචර ලෝකය ගැන
7d631bbb12	මොවුන් දෙදෙනා
7d63fee571	ඇයට ගීතයක් ගායනා කිරීමට ආරාධනා කළා
7d64835fb6	ශරීරයට දැඩි දුක් ලබා දීමෙන්
7d64cc2c8b	ඔබ දන්නවාද?
7d64db43ba	එකම මූලයකින් පැවතෙන
7d64dd1b10	ධර්මය ලය මැද පවතී.
7d65d32c54	වෙන විශේෂ දෙයක් කීමට.
7d68ceb568	ආයුර්වේද පංචකර්මය සැබවින්ම ක්‍රමවේදයන් පහකින් සමන්විත ගැඹුරු විද්‍යාවකි.
7d68f13a9e	සම්මා දිට්ඨිය බෞද්ධයන්ට පමණ ද තිබෙන්නේ?
7d6911a126	දුෂ්ටකම් කරනවා.
7d69d91d74	srilanka hotel
7d6a4fcb8f	කියලා දැනගන්න
7d6a6ebfff	තවත් පණිවිඩයක් අපිට දෙනවා.
7d6ab3914b	ඔන්න සමහර වෙලාවට සමහරු කතාකරල
7d6ad4d943	බුදුරජාණන් වහන්සේගේ අනන්ත බුදුගුණ
7d6aecabef	cricket
7d6b99d4e6	අපි මොකටෙයි විලි වහගන්න ඕන කියාලා ඇදුම් අදින්නේ?
7d6ba8efcc	ඔබ වහන්සේගේ දේශනය ඉතා යහපත්ය.
7d6bb779d0	සමාජ සංස්ථාව සුවදායක නොවේ.
7d6d34cfe0	එකම කමෙන්ට් එකක් වත් නෑ.
7d6d6ab0dc	මේකටත් මර්වින් සිල්වා මැදිහත් වෙයි
7d6d75adb4	අඩස්සිගත ජීවිතය
7d6dbd8b6c	මීමුරේ යනවා නම් කියන්න එපා
7d6e7a9dd0	එල මියුරු සහෝ
7d6eb89e18	ඒක නෙමේ
7d6eca6d33	ඉතින් මම බොහොම කැමතියි ඔයාලට
7d6f9bf1a8	එළ කථාව
7d702cce9d	zigo
7d70cc1784	ඇල්කොහොල් ශරීර ගත වීම නිසා
7d7111340a	ඒවා එකින් එක
7d71491261	රචකයෙක් මෙහෙම කතාවක් කිව්වා.
7d716451d5	ලෙසටම හොඳි බෙදලා පස්ට පස්ට !
7d717e69a4	නමුත් ඒවා ආහාරයන් කොටස්
7d7297b74c	දළු නෙලන කප්පාදු කරන තේ ගස්වල
7d729ab3a1	අපේ තාත්ත පිය සේන
7d736d0417	එහිදී පුද්ගලික ආරක්‍ෂාවේ අයිතිය
7d7376dc7a	එසේ කියන ගමන්
7d74b72678	අමරදේව මහත්තයාගේ චිත්‍රපට සංගීතයේ ආරම්භය
7d74c7b627	හෝර්ටන්තැන්න පාමුලින් ආරම්භ වන
7d7510bc61	ගොන් කරත්තයක්.
7d75595f34	නිම කළ නොහැකි උදාරතර වූ
7d757fa27c	එකල්හී භාග්‍යවතුන් වහන්සේ පාටලීගමෙහි උපාසකවරුන් ඇමතූ සේක
7d76811589	උදාහරණයක් විදිහට ශ්‍රී ක්‍රිෂ්ණ කථා පුවත
7d769c967b	මගෙ ප්‍රශ්ණ වලට උත්තර.
7d76b2c4f2	පළමුවන ස්ථානයට පත්වීමයි.
7d76d8b99b	විමුක්තිය සලසා ගත හැකි බව
7d76e70f5f	මෙය අට වැනි සියවසේ
7d77146cfc	එත් එක සිතයි පවතින්න පුළුවන්
7d7752b476	තමයි බුදු දහම පිරිහෙන්නෙ.
7d77d96fec	ඔප්පු කරන්න කියලා
7d7826bc1f	ප්‍රතිවත්තියක් සකසා අසවසන්
7d785c4e96	මෙම වාර්තාවෙන් අවදිකිරීම ගැන
7d78f2e7be	එල එල.
7d7951910a	දෙමළ ජාතික සන්ධානය කියා සිටින්නේ
7d797c5af2	අන්න එතකොට එයා තේරුම් ගන්නවා
7d7990452a	අපිටත් පුළුවන් තොපිලගේ වගේ
7d7993859a	"එහෙමද "" පලමු ගොබිලාගේ"
7d79bc7b29	එතුමන් අනාවරණය කළේය.
7d79cbfd8a	එකට මොකට ඔච්චර කරදර වෙනවද?
7d7a1edf8b	උඩින් ඕඩර් එනකං ඉන්න ඕන නෑ
7d7a3814a8	එම දර්ශනය අනුව
7d7a4c8e72	කොළඹ මාළු වෙළෙඳ පොළට ගෙන ගොස්
7d7b7b4870	යුවරජ් සිං පන්දුකින් ලකුණුක් රැස්කළ
7d7ba0910d	program for round robin scheduling in c
7d7c92bf36	ඉතින් ඒ විදිහට කරුණු සිද්ධ වෙනකොට
7d7c92d461	මොකද අපි නිර්මාණයට අපේ දක්ෂතාව පෙන්වනවා
7d7ce7abab	sri lanka radio
7d7cef26af	එදා එද්දි ගෙනාපු කේජී ටිකක් තාම තියනව
7d7d7610ca	ඔහු නිහතමානීත්වයෙන් පුරවා ගත්තේ ය
7d7dca2f3c	බලවත් ගෞරවයෙන් යුතුව
7d7f3642de	ඒත් පොරොන්දමට බැහැ
7d7f4d9453	රෝග කාරක හේතු වළක්වාලීම
7d7f678f15	ඒක අවලංගු වෙන්නෙ
7d801239eb	අවිනිශ්චිත අගාධයන්ට වැටෙන්නාක් මෙන්
7d808d5287	ඔහුට කොකාකෝලා බෝතලයකට ප්ලාස්ටික් කුරුල්ලෙක්ව දාල දෙනවා
7d80a4bd68	එතැන් පටන් බුදුරජාණන් වහන්සේ ගෙවූ
7d80ce0f64	එවැවින් සමකාලීන ජීවිතය
7d80ec617a	හසන්ත තැන්ක්ස් වේවා හසන්ත
7d8104f11d	how i met your mother
7d812e5306	අද්මිරාල් තවමත් පෙනී සිටින්නේ
7d81370271	චිත්‍රපටය සුපිරිවීරයන්ගෙන් සමන්විත
