bd0066e247	මෙයින් පසුවයි.
bd2251d98c	එතකොට අපේ එකෙක් ඇහුවා
bd226b3820	බිත්ති මැටි වලින් සාදා සුදු හුණු ආලේ්ප කර ඇත.
bd2291c68e	එහෙ ජාතික ගීයට
bd22e99fa2	හැකි සැම උත්සාහයක් ම දරයි.
bd232ff0f7	එහි කථානායකයා අපරාධයක් විනිශ්චය කරන ජූරි සභාවක
bd23c36080	එසේ හඳුන්වනු ලැබීමට
bd24202868	තෙල් මල් පහන් රැගෙන
bd24548504	කාගෙත් සිත් ගන්නට සමත් වූවාය.
bd24be10fc	ඊට කලින් ඒ ජාතියට තියෙන නමට
bd255fab07	ඒවාට සමාන බෝල ගල්
bd25768a40	උඹේ දෙවිය මවල නෑ බං උඹට.
bd25a67364	බළලා මල්ලෙන් එළියට පණින වැදගත් කරුණු
bd25bfcbaf	එතකොට ඊළඟ ජීවිතයේ විනාශය කරා යොදවන්න
bd25e25e10	බුද්ධ ප්‍රතිමාව පිටුපස ඇති
bd2629f055	golden mask gold dredge
bd270d9430	බුදුරජාණන් වහන්සේ පහළ වෙලා
bd27513518	සැම කෙනෙකු සතුවම
bd277e8e49	ඇත්තෙන්ම අපි දන්නේ නැහැ.
bd27b6e4ef	හිතවත් ප්‍රසන්න හැමදාමත් අපව උනන්දුකරන
bd281fff4e	අද බංගලාදේශයේ හා ඇෆ්ගනිස්ථානයේ සිදුවෙන දේ
bd28c61c3a	ශාස්තෘන් වහන්සේ භික්‍ෂු සංඝයා සමග
bd28f28df4	සාධාරණය ඉෂ්ටවේ
bd29a87dc4	ඒක කොහේ තියනවා
bd29abda06	මොකද අපි හැමදාම අහලා තියෙන්නේ
bd29b543de	මෙම වචනය
bd2a500e9e	අපේ එවුන් කියල.
bd2a6f2ecd	ඔතන අවුල තියෙන්නෙ ඉඩකඩම් බෙදල දුන්න විදිය
bd2aa40377	ඉතිං කොහොම කොහොම හරි ගෙදරටත් කෑ ගහලා යන්තම්
bd2abad675	ඉන් උදා වී තිබේ.
bd2adfb903	සමෘද්ධි සහනාධාර ලබා දීම ප්‍රමාද වූවා විය හැකියි
bd2afc853e	මහාචාර්ය සෙනරත් පරණවිතාන මහතා ද
bd2b2f66f3	ඒක ආවායින් පස්සෙ
bd2ba933dc	මිනී මරන චිත්‍රපටිවලට වඩා
bd2bba502b	නිතරම කතන්දර
bd2bfd08f7	අන්න ඒවා ඔක්කොම මහ පොළොවට වැටිලා
bd2c32df59	දළදා වහන්සේ වැඩම කර වනු බවයි.
bd2cad1e0e	අවසානයේදී මම විරඹුගෙදර ‍පොලිස් ස්ථානාධිපති
bd2cb0fa77	movies online
bd2ce399ea	අපි හැමෝටම තියෙනවා.
bd2e551884	අස්කරල ඉවරයි විනය පිරිහුන ගමන්
bd2f1b45af	සත්‍යවාදී වීම, අතිශයින් වැදගත්ය.
bd2f527467	සෑම බෞද්ධයකු ම
bd2f95b70d	කැපී පෙනන අයෙකු බවට පත්වෙයි
bd2fd3a94f	සැරින් සැරේ කැඩෙන පන්සිල්
bd3021f139	එතකොට මෙයාට තේරෙනව
bd3025f9f5	එකල්හි වාසුල දත්ත නම් නාරජතෙමේ
bd30c1ba49	ඒ නිසා විකුණන්න බෑ කියලා.
bd30feccdd	මුළු කිඹුල්වත් පුරයම වෙනස් වුනා.
bd312e4b89	බෝධි පූජාවෙන් ශාන්තිය උදා නොවන බව
bd319da56f	මේ මිනිස් රුව දැකීම නිසා බව
bd31b5a26a	පෙරට ගෙන යාමට සිදුව තිබෙන්නේ
bd32014fff	මේවා හේතු නොවේ යැයි ප්‍රකාශ කළ විට
bd320aef9a	මෙවැනි නොයෙක් ආකාරයේ නිදසුන්
bd3250b396	පුළුල් ඤාණය තාක්‍ෂණික විප්ලවයක් වෙනුවෙන්
bd327d4c05	ස්වාභාවික චන්ද්‍රිකා කියන්නේ
bd328204bc	බෞද්ධ අයිතීන් සුරකිමින්
bd329ee6cd	එහි දැක්වෙන සිංහල වචන සමහරක්
bd334c1327	සමා වෙයල්ලා කොල්ලනේ
bd335406d5	බොහෝ දෙනෙක් කරන්නේ
bd33bf7041	peradaka susumak
bd34b3145e	නිදහස් අධ්‍යාපනය ඉවරයි කියල
bd3508ca61	පූජනීය වස්තුවක් බවට පත් විය.
bd35486ecc	එතකොට ඔහු කියනවා
bd3569fc00	හැකියාවක් නො ලැබේ.
bd368e3866	හැබැයි ඔහුව මරන්න බාරදෙන්න
bd36cffd8f	අනිවාර්යයෙන්ම ඒක අති සුන්දර අත්දැකීමක් වේවි.
bd373ccf2e	මෙම කෘතීන්ගේ ශෛලීන් අනුව
bd37443ecd	ඉතා දියුණු තත්ත්වයක පැවතීම
bd3786bfb6	සඳහන් වෙන්නේ නෑ.
bd37f5cd62	එක තලගොයෙක්
bd3843dd11	ආයෙ සල්ලි දාන්න ඕනෙ
bd385987f1	කටයුතු කර තිබෙනවා.
bd394c3464	අදාළ ගැටළුව දෙස
bd396b5c2b	ස්කයිප් එකේ අවුලක් හින්දා හරිය.
bd39741b2a	එම වගකීම ඉටුකිරීමට
bd39b49c89	මොකක්ද කියලා විකාර කරපු වෙලේ
bd3a2a5622	හැබැයි දැන් මටත් ඒ ගැන සැකයි
bd3af69a3b	අදාළ පැමිණිල්ල කැඳවු අවස්ථාවේ
bd3b750b51	මුලසුන හොබවනු ලබන්නේ මහාචාර්ය සුනන්ද මහේන්ද්‍ර විසිනි.
bd3b8bd312	යමක් අසත්‍ය යැයි කියාත්
bd3bbc2ccf	එහෙමනං ගාලතැන්නෙ කපුමහත්තයත්
bd3be46396	ඔබතුමා ෆිල්ම් එක බලන්නෙත් නැතුව
bd3cbeda7e	යුරෝපයේ විශාලතම සත්වෝද්‍යානය පිහිටි ජර්මනිය වෙත
bd3cd84870	අපි හැමෝම අන්තර්ජාලේ එහා මෙහා සැරිසරන අයනේ?
bd3d73ef50	යම් පුද්ගලයෙකුට සිහිය තිබෙනවා
bd3d774707	අමිල ඇතුළු පිරිස එතැනින්
bd3e437117	අද වෙද්දී ඉතිරිවෙලා තියෙන්නේ.
bd3e7d7950	මේක කොපියක් කියලා
bd3e8317b0	ඉස්සරහට බලමු අනේ
bd3e8c67d8	ඔය ටික පේනකොට
bd3ea986fb	මෙවැනි අවස්ථාවලදී
bd3ee0fbc8	හොඳට සිහිය පිහිටුවා ගැනීමේ හැකියාව
bd3f8a3e2f	අපරාධ පරික්‍ෂණ දෙපාර්තමේන්තුව මගින්
bd3f8d6fb1	මෙත් සිත වෙනුවට
bd4068d865	සැවැත්නුවර වැඩියා නම් අනිවාර්යෙන්ම පූර්වාරාමයට ඇවිල්ලා
bd40a0838f	සිවුරු දාගෙන දැන් කරන්නේ ජරා වැඩ
bd40c16785	මෙන්න මේ විකාර ස්වරූපී ලෝකය කොහොම වෙනස් කළ යුතු ද?
bd40d087e3	ඒවගේම ඔබට ඕනෑම අවස්ථාවක
bd41037419	උඹ ඔහොම හිටියාට
bd41b4ba68	මන්ත්‍රීවරයා පෙන්වා දුන්න
bd41b4bc61	මෙහිදී විස්තර කෙරේ.
bd422a1eea	දේශපාලනයට ආවට පස්සේ
bd426a9d03	කෑ මොර ගසන්නට වූහ.
bd42fe3fef	උන් දවසින් වැඩි කාලයක් ගෙවන්නේ
bd43607416	ලැබුණේ කෙසේදැයි
bd441705cd	වද දෙන කාලකන්නින්ට
bd44440ac2	අපි සමහර වචන පාවච්චි නොකරන්නේ.
bd448ab3a2	ශ්‍රී ලංකාවේ සමස්ථ රජයේ වෛද්‍ය නිලධාරීන්ගේ සංගමේ සභාපතිවරයාය.
bd44b0be7c	පොදුවේ සත්වයා තුළ පවතින කාම ආශය
bd44fbb8fb	කිසියම් සැකයක් ඇතිවූ විටත්
bd4510673c	වෙහෙර විහාර වෙත ඇදෙන බැතිමතුන් සුන්දර දර්ශනයකි.
bd4608cb6a	මගේ ලිවිමේ කුසලතාව එහි ඇති ළිපි හා
bd4614a10c	හේවායා යන්න ඒ සඳහා භාවිතා වුණා
bd463d00b7	කොළඹදී පැවති මාධ්‍ය හමුවක
bd46500b7b	මේක බෙලුවේ නැත්නම් ජීවිතෙන් බාගයක් ඉවරයි.
bd4680673b	upul pereras songs
bd468d147b	එහෙම ඇදගෙන ඇදගෙන
bd468d1608	එක් අතකින් නිධානය තිරගත වූ වසර
bd46f776d4	ඒත් පස්සේ කා‍ලේ අපේ ගෙවල්
bd472f4122	ලියකියවිලි සම්බන්ධව ගැටලුවකට
bd473d7d44	උත්තරාකන්ද් ප්‍රාන්තයේ කඳුකර ප්‍රදේශයන්හි
bd477bc84c	ඒත් මට හිතුණා
bd47b77cbc	ආනන්දයට ගිය අපේ යාලුවෙක්
bd47ed6247	මාරයා ප්‍රශ්න කළේය.
bd4828fb7a	යල කන්නයේදී අතිරේක භෝගවලට යා යුතුයි
bd489fadbe	ගොයම සරුවට වැඩෙන අතර
bd48beb4b1	අමතර සුළු ලාභයක්ද ලැබේ
bd48fd56dc	තවත් විනාශ කරන්නේ ඇයි.
bd494036f2	අපේ උපසිරැසිකරුවන්ට පවා
bd49527a7a	දැඩි තර්ජනයට ලක් විය හැකි ය.
bd49999426	මේ අතර පුරාණ ග්‍රන්ථවල ඇසතු ගස පිළිබඳව
bd49f95d22	බුදු පිළිමයක් නෙත ගැටෙන
bd4b263b36	ඒත් ගෙදර ඉන්න වෙලාවට
bd4b42e9bc	උපේක්ෂා චිත්ත විමුක්තිය වඩයි
bd4b7628ac	නමුත් එය බෞද්ධයන්ගේත්
bd4b85b3d0	ඊයේ මැතිසබේ දැක ගන්නට ලැබුණහ.
bd4bab89c3	ඇය කියා සිටියා.
bd4c3b6ef0	දහමෙහි අභිවෘද්ධියක් බලාපොරොත්තු වෙනවා නම්
bd4c40bf4e	තේරෙනවද මන්ද ඕකේ තියන හීන් ටොක්ක.
bd4ce220c9	නම කියලා.
bd4d07cc6e	මෙසේ ක්‍රමයෙන් මිතුරන් ගණන සමව වැඩිකර ගත්විට
bd4d83024d	ඉකිගගහ කදුලු පෙරාගෙන අඩනවට වඩා අමාරුයි
bd4d9245b1	ඩොලර් පහට වැඩිය
bd4dc0bbe0	තව අන්තර්ජාල සම්බන්ධතා වල මිල ටිකක් අඩුවෙනවනම්
bd4e4eb338	ත්‍රිපිටකය පාලි බසින් සිංහලට පරිවර්තනය
bd4f5a9b83	magazines for kids
bd4f9dc5a6	යමරජු දේවදූතයන් පස් දෙනා පිළිබඳව ම විමසූ නමුත්
bd4fa83f66	එබැවින් උල්පත පාමුල
bd50049be7	මේ සුජාත කුමාරයා
bd504987d5	ඔය සමහරු කිව්වේ
bd509498e0	සුන්දර නිසංසල පරිසරයක අපූරුවට නිර්මාණයවී ඇති මෙහි
bd50d2ab71	සුබ අනාගතයක් පතා
bd50d84ae7	ඉතින් ඔහු කරුවලට කතාකරනවා
bd510781e4	විශාල බිතු සිතුවම් හතරක් දක්නට ලැබෙයි.
bd516311f8	ඔවුන් පළමුව ඒ පුද්ගලයා හෝ ඒ දේ
bd52719861	ගැහැණියක් බව කියැවෙයි
bd527c9454	ඒ අනුව ජිවත් වෙන්නේ නැති නිසා.
bd52ea19dd	ප්‍රාග් වෛදික යුගයේ සිටම
bd5315263c	ඒත් ඉතින් නොබලපු කෙනෙක් හරි
bd533e4102	එයාචාම් විනීත හැදිච්ච ගෑණු ළමයෙක්
bd53592f97	මේ එකක් කියන්නෙ
bd535bed99	විවරණය කළ දේ නොව
bd5364b00c	එමෙන්ම පුද්ගලයා තුළ
bd53c2271f	කලවං වීම සිංහල නවකතාවේ විශිෂ්ටත්වය ගැන
bd53f50b23	වළාකුලු පාවී ඇති ආකාරය
bd549065dd	ඒත් විදුලි හා බලශක්ති ක්ෂේත්‍රයේ
bd551bfa3b	හොඳට ජීවත් වෙනවා.
bd559c03a9	විනාඩි ගණනක් ඇතුළතදී
bd55a8e3cc	වෝර්ඩ් මැරුවනේ
bd5632307c	එම ධාතුන්ගේ විවිධත්වය
bd5654ed2b	අඹ වනය දකින්නට ලැබුණා.
bd56adf57e	මිනිසාගේ ක්‍රියාකලාපයන් නිසා
bd57179ae8	එක වරම මුළු පළාතම දෙවනත් කරමින් අකුණක් පුපුරා ගියේය
bd585c938f	තිරිසන් සතකුගේ පවා
bd58dda227	ඒක බොන ආකාරයේ
bd59423210	අකුසල් කර්මයෝ ය.
bd5a211b6d	වැරැද්දක් නෑ මයෙ හිතේ
bd5a527998	එයා දකිනවා අනිත්‍ය වූ සමාධියක්
bd5ac32ce5	ඒවයින් එකක් තෝරගන්න කිව්වා.
bd5acd3467	අද තියෙන්නේ
bd5b09778f	අප ඔබ සමග සැමදා සිටින බවට
bd5b7f48ed	මොකද මට දවස ගානේ
bd5bc0cbc0	එලී වීසල් නොබෙල් ත්‍යාගය ලබාගන්නා
bd5bfc25af	ඔවුන් අතර හුවමාරු කර ගන්නව
bd5c1b9664	ඒක මාර කතාවක්.
bd5d2ea599	ක්‍රියාත්මක වෙනවනේ කියලා හිතෙයි
bd5d594a92	ඔය දරුවන්ගෙ තාත්තලගෙ
bd5d7d816b	දකින්න කැමති නැති නිසා
bd5d90e2b1	අමාත්‍යවරයා අවංකව කල්පනා කරන දේ
bd5de0afca	විනෝද ජනකය.
bd5df48384	අර කලින් කොටසේ හිටපු තාත්තයි පුතයි ව
bd5e03a3b5	මගේ සිත ආශ්‍රවයන්ගෙන් නිදහස් වුණේ.
bd5e132585	මෙම සියලු පැන විසඳමින්
bd5e587f38	බිය හා විශ්වාසය පදනම් කරගෙන
bd5ea0c81d	හරියට වැඩේ කරන අය
bd5eab1588	වැරද්දක් දැක්කොත් පෙන්නලා දෙන්න
bd5f2eafda	සහතිකයක් කාටවත් දිය නොහැකියි.
bd5fd013db	දැමීමෙන් කාටවත් වෙන හානිය කුමක්ද?
bd5ffd8eff	ඔබ කියන්නේ
bd6017332f	එතනදි මොවුන් පිරිසට
bd6178ea68	සිදු වෙමින් පවතිනවා.
bd61df5547	පිහි තියාගෙන ඉන්න හැමෝට
bd623023e2	ඔහු ජාතිය ගැන එක ගීතයක් කිවුවේ නම්
bd62577ab4	අසා ඇති ප්‍රශ්නය
bd62d5019a	ඉස්සර කාලෙ දුප්පත් මිනිස්සුන්ගෙ ලමයින්
bd62fafc21	ලාංකික සංස්කෘතියේ අනෙක් අංශවලට මෙන්ම
bd6358b24f	කුමන ගෞරවයක් බලාපොරොත්තු වෙනවද යන්නයි.
bd6436a493	මිනිසත් බවක් ලැබීම කලාතුරකින් සිදුවන්නකි.
bd64d4d517	මේකෙ අපට තියෙන ඊළඟ ප්‍රශ්නය
bd64ef379d	සමාජ පීඩනයට එරෙහිව
bd64fa5c79	එය මස්ථකයේ සාංචි චෛත්‍යයේ මෙන්
bd6558c416	මූට බයයි හොදේ.
bd66f1c200	බොහෝදුරට ඉඩ තිබ්බා.
bd670f47a1	මේවායින් බිහි වන්නේ
bd674c9470	ඉතාමත් හිංසාකාරී වේ.
bd6a3a32f4	උපචාර සමාධි තත්ත්වය වඩාත් සුදුසුය යන
bd6a7a8657	ක්‍රමයෙන් ලෝකයෙන් ජීවින් තුරන් වීමෙන්
bd6b3a8b01	කවුරු කවුරුත් උනන්දු විය යුතුය.
bd6b57e18c	yahoo mail.com
bd6b589545	තියෙන්නෙ එකම ප්‍රවෘත්තිනම්
bd6b97d1b8	කර්ම විපාක දෙන්නේ නෑ කියලා.
bd6c160773	ඇතිවීමට හේතු විය.
bd6c1b0d26	ඒත් විවාහ මංගල උත්සවය
bd6c6fde4f	එත් දැන් අතල් ඔළුවට කඩන් වැටෙන එකතමා අවුල
bd6d185404	එහෙම කියල බෑනේ
bd6d316ef0	මානය නමැති කිළිටි දහමින්
bd6e39e152	හැම අතකින්ම
bd6f2a8f39	උඹට නම් නියම සිංහල වචන නේද
bd6fc41bf9	සාම්ප්‍රදායික භාෂා රිද්මය බවට
bd70038988	මුහුදු යාමෙන් වැලකි සිටි අතර
bd702ee9bd	උඩරට රජුන්ගේ සිරුරු දවාලීම සඳහා
bd70718a5d	ගාල්ලේ එක්සත් ජාතික පක්ෂ යාන්ත්‍රණය
bd70a11884	ලියා ලියා ටෙම්පල්ටන් කියලා ගෑනු ලමයෙක්ගෙන්
bd70c13fb3	අපෝ නෑ නෑ රුසියාව කළ වැඩක්නම් නෙමෙයි!
bd713ecb5c	ඔය දෙකටම
bd7146c368	මේ තොරතුරු ප්‍රසිද්ධියේ කියාපෑම නොකරන්නේ
bd71f16dfc	තිදෙනා මර විළාප නඟද්දී
bd71f74c52	ඇමරිකාව අපේ රටෙන් අපනයනය කරන ඇගලුම් නිෂ්පාදන රබර් නිෂ්පාදන වර්ජනය කරොත් මොකද වෙන්නේ?
bd71fcafa2	උපරිමයි පට්ට එළකිරි
bd732343eb	ඔවුන්ගේ නිවෙස් සෝදිසි කර තිබේ.
bd74176704	සෑම දෙනෙකුටම සවන් දෙනවා වගේ
bd74437f69	ඔබ මෙම දිසිරූ ක්‍රීඩාවට
bd74a1bc9f	රජය වෙනුවෙන් සංස්කෘතික කටයුතු දෙපාර්තමේන්තුව
bd74a33174	මේකෙ එක හොයාගන්න බැරිවෙයිද?
bd74a56338	මම හරියට කරනවා කියලා.
bd74bb1824	උපසිරැසි බාගත කරගෙන යන ගමන් අදහසකුත් දක්වාගෙන යන්න
bd74bcef82	මේක ඇතුළෙ රස්නෙ වැඩි වෙනවා.
bd74d234b1	අම්ම අහනව තාත්තාගෙන් .
bd74d57bff	එකතු කරනු ඇත
bd74dbc6d0	ඒ කාන්තාවන් මා ජීවිතේට දැකලා නෑ
bd74e0f3f7	මේ විපර්යාසයන්ට භාජනය වී ඇත.
bd7562a0d9	හොඳම විධිය තමයි
bd75b2caad	තුන් හතර දෙනෙකුට
bd75cf4b6b	ගියා පැය දෙක තුනක්ම
bd75dc373e	එතන ගිහින් බැලුවත් අපේ ඉන්න ටික දෙනාම තමයි
bd75fc0f9c	අරහත් මාර්ග ඵල ඥානය දක්වා ගමන් කරයි.
bd7612459a	ඉතිහාසයට එහෙම කැමතියි වගේ
bd76ad2000	එහෙමනම් බත්වලට කැමති නැතිව
bd7704e204	දේවාලය විනාශ කර ඇත
bd7845c9c6	මෙහිදී ගුරුවරයා විසින් කළයුතුව ඇත්තේ
bd7900dfa4	එය ඉතා සරලවම දඹදිව යනවා
bd7927f7fe	උරාජ් නෙවෙයි බොල
bd792ab138	අවසර ලබාදීමට ද තීරණය කරනු ලැබීය
bd79362c9a	සාමය සුරැකීමේත් ආරක්ෂාව තහවුරු කිරීමේත්
bd798c843c	මෙම සන්දේශයෙන් හඳුනා ගැනීමට ලැබෙයි.
bd79cf73bc	එකක්‌ තියෙනවා
bd79d7d7f3	එක් වරම යන කෝච්ච්යෙන්
bd7b789a48	ඔය කියන අනිත් එක
bd7c1a2a57	ඒත් අර ලියුමේ
bd7c843146	බාහිර භූත කොටස් සමග එකතු වේ
bd7cfd9247	ඒවායේ සැබෑ අර්ථය පිලිබිඹු වෙන විදියට
bd7dbd387d	මෝටර් රිය පසු පසින් දුවගෙන ගියහ.
bd7de6b9a4	එයාල දෙපිට කැපෙන කතා කියනකොට
bd7e0a5728	අපි මේ විදිහට පුණ්‍ය ගංගාවක්
bd7e1ab58b	එසේ නොකිරීම යනු
bd7ed53203	ඔය කියන අන්‍යාගමිකයෝ කොහෙද ඉන්නේ
bd7f4c3516	හඳ දෙස බලන්න.
bd7f855fd1	ගෙනෙන්නේ නැති කොට.
bd7fcf3a7e	සුවචව කල් ගෙවිය යුතු වෙනවා.
bd804a7be2	දකුණු පැත්තේ තිබුණා..
bd80daf7e5	පෙළඹී කරණු ලබන සංග්‍රහයන්
bd810a6876	ආදිය එලිකළා නම් ඉවරයි නේ
bd8142bf18	එහි නාම රූපයන්ගෙන් බැස ගැන්මක් ඇතිවන බව
bd8176fa0b	කලාකරුවෙකුට තිබිය යුතු හොඳම ගුණාංගය
bd81ccfae4	හේ ඉවසීමේ ගුණය ප්‍රගුණ කරන්නෙක් නොවේ.
bd81eae5e4	මෙයින් පැහැදිලි වන්නේ
bd827a166d	හේතු වූයේ කුමක් ද?
bd829540fa	දේශප්‍රේමී ආශ්චර්ය
bd82a7a543	ඒක මගේ මතය.
bd8314109d	lama geetha
