4900150e6c	ඒත් උන්වහන්සේ .
490a1a21c4	සුදුම සුදු නිසා රෝස පාට මමත් එයාට
490aae18c3	එදා රෑ ආරක්ෂිත අගුළු දාලා තිබුන දොරවල්
490c77fee5	රාජකාරී කටයුතු අඩාල වී
490d08e08e	නුඹ මියගියත්
490d3c2949	බුදුදහම ප්‍රතික්‍ෂේප කරන්නේ
490d9f329e	ක්‍රමක්‍රමයෙන් රජතුමාගේ සිත සංසිඳෙන්නට පටන් ගත්තා.
490dd50455	සකස් කොට ඇත.
490e590370	මේ වගේ කතා ලබා නොදුන්නා නම්
490ea54db8	මේ තුළින් මා ඔබට පහදාදීමට සූදානම් වූයේ
490f261405	එකම ශ්‍රී ලාංකික පන්සලකි.
490f42ff0b	යාචකයින් අබිරහස් ලෙසින් මරා දැමීම
490f8e22b4	ඒත් දැනට
4910515e37	කළ යුතු වෙනවා.
4910d38ce3	පිරිත් ස්වරය
4911533ec1	ගෙවී ගිය කාලය තුළ යුද්ධය ජයගත් ශ්‍රී ලංකාව
4911800cc1	ද්විකෝටිකයේ අවස්ථා දෙක ද ඇතුළත් වේ
49119ce2e2	කොටස සංයුත්ත නිකාය නම් වේ.
4911f819fa	එදා අපේ රට මෙන්
491380da4c	නියෝජ්‍ය කතානායකවරයා කටයුතු කර ඇත.
4913a3d9de	වෙන්න ඕන කියලා.
4913a49aeb	හරිහැටි කුස පිරෙන්න
49141e9db8	මහලොකු සම්ප්‍රදායික දැනුමෙන් විතරක්?
49142b5b7e	ipl 2013
49147aab42	මේවා ඉදිකර ඇත්තේ
4915433f5a	එකට කෑවත් බොක්ක වෙනස් කියන්නෙ කටකහනවට නෙමෙයිනේ
491593926c	මෙතෙක් සිතාගැනීමට පවා නොහැකිවූ
49159d3d94	විචිකිච්චාව දුරු වෙමින් ඇති නිසායි.
491626d9a2	මේ තැන්වලයි කණු ගහන්නේ කියලා
4916c98bfc	තෝරා ගැනීම් වලට.
49177b1459	සටන් සටන් කරන්නේ කොහොමද?
4918b614ef	අපේ ජාතීහු
4919318fcb	වැසි පොද වැටෙන පරිදි දිය කැපීමේ මංගල්‍යයකිනි.
491b2277c5	ඔබ ඒවෙනුවෙන්
491b3c2c62	අනික බුදුකෙනෙක් උනහම
491b4c240e	එය සමත් වූ
491b73c0cb	කල හැකි දේවල් බොහෝය.
491c1605a7	බඩ පපුව දාලා ගියා
491c2cc826	අප වැනි අභාග්‍ය සම්පන්න අය
491ca5b9b8	හැබැයි මේ ලෝකය
491d357396	බුදුසිරිතේ තවත් සුවිශේෂ නායකත්ව ලක්‍ෂණයක් නම්
491ddd250a	සුනිලා බරපතල වගකීම් සහිත පියෙක්.
491dfa1a57	පෙර සියල්ල හීනයක් වෙන්නට ඇති බවය.
491e58332c	මොකද අපි කොයි තරම් ඉල්ලුවත්
491ee8e974	එකල්හි ද ධරතී මාතා සලිත වෙමින් සාදු හඬ දුන්නා
491eed791e	ඉස්කෝලෙ යනකොට ලාවට
491f0d4ad6	කැත නැතිව තව පාරක්
491f38ed72	ඒ බව මනාව පැහැදිලි වේ.
491f4a5158	වීඩියෝවට ගැලපෙන්නෙ නෑ.
491f6160ab	අද කාලෙ සිවුර දාගත්තු හැම කෙනාම
491fb21701	යුරෝපේ රටක තියෙන පාරක් වගේ.
491fc0c382	මනසින් උසස් මිනිසුන් වෙන්නේ නැහැ.
491fc38238	අපි දෙගොල්ලන්ටම අවබෝධ කරන්නේ නැතුව
49200b0a90	එමඟින් වැඩිහිටියන්ට පමණක් සුදුසු අසභ්‍ය දෑ
492043346a	ඉතින් එහෙම නෑ කියලා අපි අපිට වින කරගන්නවද?
49206bd041	රහස් උමඟක් ගැන සේවකයාගේ
49207f5220	එය කායික නිරෝගී භාවයට ද
4921b3478b	සාර්ලිස් ද තම බාප්පාගෙන් ලද සිප් නැණ,
4921bd9d2c	ඒකෙන් වැඩි වාසිය ගත්තෙ
4921ffd848	ඊට පස්සේ මේ හොරු බැංකුව අව්ල්කරලා
4922237d34	දැනට අත්හිටුවා ඇතැයි පැවැසේ.
49226dc980	මෙය අප ජනසමාජයට ලබාදෙන්නා වූ ප්‍රබල පණිවිඩයකි.
492355254f	මම සබ් එක එනකම්
4923929aa5	ජනතාවගෙන් කාරුණිකව ඉල්ලා සිටින
4923a14ee4	උඹලා එදාටත් කෑලි කෑලි බෙදිලා
4923b0bc86	වැඩි විස්තර සදහා උක්ත ලිපිය කියවන ලෙස
4923e2d11a	ගල් ගුහාවල ඇතුළත හෝ කටාරම් අසල
4923ed3f79	දේශපාලනය ගැන කතාවක් නෙමෙයි
4923f32ce2	එතුමාට එක් අවස්ථාවක දී අපූරු සිතිවිල්ලක් පහළ විය.
4924c6ed8f	සිල් සුරැකිය යුතු බව වදාළහ.
4925452680	එයාගෙ පින්තූරය ඇඳලා තියෙනවා
4925f79dfc	ඒක ‍මියුසික්වලින් ද
49263877ac	අපරාදෙ ඇමරිකාවෙ ඉන්න කාට හරි බැරිද
4926858ffd	ද සිහි කරයි.
4926ded3e0	ජාතික කොඩියෙන් විලි වහනවා
4926fd653a	ඉන්දියාවට යවන අයගේ ඥාතීන්
4927ca8af8	ආතල් එකක් ගන්න තිබ්බ තැනක්
4927fca923	ශෝකභරිතව කථා කරන්නට පටන් ගත්තා.
49280100b1	පවිටු මාරයා පලවා හැරියා
4928156d2f	අඩුම තරමේ
49286bfd01	බොහෝවිට වැරදි උච්චාරණ,
4928732bab	බැස්ටියාට්ගෙන් ඉගෙන ගෙන නැත්නම්
4928a85e01	උඩ පනින්නේ?
4928ec827c	මේකට සබ් දාන්න ඉගන ගත්තේ විකියා සහෝගේ බ්ලොග් එකකින්.
4929e35c3b	මෙහිදී විශේෂයෙන්ම සඳහන් කල යුතුය.
492a40df75	මධ්‍යවේදීන්ට දඬුුවම් කළ
492a914dfc	පුවක් කරටියකින් මනා ලෙස
492b227116	මිනිසුන් විසින් ගෙනෙන දානයක් පිළිගැනීමට
492b3f15ec	බෞද්ධ හින්දු සහ මුස්ලිම් දැරියන්.
492b48ad5c	එකත් ඔයා ලියල තියෙන ඇතුලේ තියෙනවද
492b48e681	මොකද මේ වගේ අයියෙක් තමා නංගියෙක්ට ඉන්න ඕනේ.
492b9840b6	වාසෙට්ඨ භාරද්වාජ භික්‍ෂු දෙනමගෙන්
492d93d45f	fun facts
492dfdea37	ලොකු ප්‍රචාරයක් කරනවා
492e391942	මොකද සූ සැට සිල්ප ඉගෙනගත්තු පාමොක්ගෙ හොඳම ගෝලය
492e7c4964	එහෙත් අද වන විට
492f063faa	මෙරටේ සාමය සහ සංහිඳියාව
492f6e2afa	group
492f8f3c8e	milk products chilton wi
492f927ac4	ඔබගේ උපන්දිනයට
492f965588	හැබැයි අද රඟපෑම් ගැන අහනවාට වඩා
492ff268f6	හොඳම ගණයේ සතුරෙකි
493018936e	වාරිමාර්ග ප්‍රමිතියෙන් යුත් පානීය ජලය
4930274b59	අංගම් පොර ශිල්පය රාවණ රජුගේ මුත්තා දක්වා
49304878a8	මනාව විශ්ලේෂණය කර තිබේ
493082f6f3	දකුණෙදි නැති විනයක්
4930bc7f4e	එතකොට ඒ රටේ මීට වඩා අපරාධ වැඩි වෙන්න ඕනා නේ
4930dbfec7	ජනාධිපතිතුමා සීනි කර්මාන්ත සංවර්ධනය සඳහා
4930df8c19	එහෙම නැතිවුනොත්
4931236bc9	රකාරංශය වැඩ කරන්නේ නැහැ වගේ නේද?
4931434680	උබ උබේ හෝ උබගේ ළමයෙකුට
493174e511	එමෙන්ම ගිහි සිසුන් සඳහාද
4931f19584	අභයභූමියෙන් පිටත සීමාවේ බවයි.
49321556cc	ලක්දිව රජ පැමිණි රාජමහාමාත්‍යාදී
493236c0fc	තුන්දාස් පන්සීයයි
493294c06d	මැයි මාසයේ නිකුත්වෙන හොලිවුඩ් ච
4932c7de23	ඒත් එහි
4932e83187	new york lottery
4933b19328	ගොතපු බොරුවක්.
4933c50c89	අල්ලා ගත්තා.
4933e16c71	මිහිදු මා හිමියන් ලංකාවට ගෙන ආවේ
4934bba95c	පිළිමයේ පසුබිමේ දිස් වන මකර තොරණ
4934fa79b7	මේකිගේ අක්කා තමයි
49354e2fcb	අධික වැස්සෙන්
49359bec71	ඒත් ගැටළුව තියෙන්නේ
493690b4a7	එම අවස්ථාවේ අමරදේවයන් විසින් නිර්මාණය කළ අපූරු කවිය
4936962634	එතකොට ඒ නිගණ්ඨ පිරිස
4936a4f0a1	හැමෝම දන්නවනේ
4936aa8edd	විවාහ ජිවිතයක් සාර්ථක වෙන්න
4936d5ba81	මට විශාල ගෞරවයක් කළා
4936daa44d	ඈත් වෙන්න කියලා කවදාහරි සහකරු කිව්වොත්?
493707b0e9	මියගිය මවුපියන් වෙනුවෙන්
4937668e23	මෙහි ප්‍රථම විහාරාධිපතීන් වහන්සේ ලෙස
49376ce151	ධර්මය තේරුම් ගැනීමේ අවස්ථාව
4937b5aa2f	වස විෂ පානය කොට මිය යයිද
493827103e	අපි කාලය ඔස්සේ
49382cbd03	එදෙස ලොවම අවදියෙන්
493855802c	අපට දකින්නට ලැබෙනවා.
49385641e3	මේ හා සමානය.
4938aec2ed	ඒකෙ සුන්බුන් කැලණි ගඟට වැටිලා .
4938b154e3	ඒකෙ ප්‍රතිඵලයක් ලෙස
4938e0e558	අනෙක නම්
4939f1ec43	දෙවැනි රළ පහර උකුල දක්වා
493aae8b83	ඉංග්‍රීසින් නොයෙකුත් බදු පනවමින්
493acf7f44	ප්‍රකාශ කිරීමට නම්
493b2285a1	එවිට ඔබට හරියටම දැන ගත හැකිය.
493b3a275c	ඒක අද කාලේ ඉස්කෝලෙ යන කොල්ලොන්ට
493c0ac323	දකුණු අප්‍රිකාණු ඇමැතිවරයකු ඇතුළු විදේශ දූත පිරිසක්
493c237ec9	මෙම ගුප්ත ලෝකය හරහා යන විට අපගේ අවධානය අතිශයින්ම තීක්ෂණ වේ.
493c37f21c	හේතු වාසනා වූයේ
493c9068c4	ඇයි සාගරය සේ ආදරේ
493cb0414f	අන්න ඔබට සෑම ඉරියව්වකම ඒක කරන්න පුළුවන්
493d343801	උපත ලද මිනිසුන්
493d85eb2a	බෙදා හදා ගැනීම
493d9721ef	ඔයා කැමති නම් මට ඊමේල් ලිපිනය ලබාදෙන්න
493de39612	බුදුන් හෝ රහතන් වහන්සේලා
493de6b421	කියවන්න පුලුවන්ලු.
493e3aa228	මගේ මතය උඹලම ඔප්පු කරල
493e75acd6	magazines for teens
493e9f86e5	ශ්‍රී මහ බෝධි මළුවේ පිරිත් කීමද
493ec8e988	මෙම පින්කමේ මූලික දායකත්වය බස්නායක නිලමේතුමාය.
493ef9b5aa	උඹනම් නිකන් හාල් මැස්සෙක්
493f973efd	කිරිවෙහෙර පැත්තට වෙන්නට
493fc2a776	බුදුරජාණන් වහන්සේගේ බොහෝ ශ්‍රාවක පිරිස්
493fd8492a	cover
49401b37c5	සමාජ පරතරයක්
4940b0e8f3	උදේ තේ වලට පාන් ගෙඩියකුත් ජෑම් බෝතලයකුත් අපිට ලැබුණා
4940fe4fc8	රතු පාට කහපාට දිව්‍ය සළුවලින් සරසලා තිබෙන්නේ.
4941935cbd	ඇස්දෙක වහගෙන
4941b4ad29	සල්ලි නැති අය ණය අරගෙන
4941bb9005	අපි ගැනත් පොඩි ආඩම්බරයක් හිතෙනවා
4941c0b1e7	මෘදු නම්‍යශීලි නොවේ.
494205ba03	ගෝලීය පාර්ලිමේන්තුවක් අපට අවශ්‍ය වන්නේ ඇයි?
494216d84d	මේකට කියනවා පච්චත්තං වේදිතබ්බ විඤ්ඤූහි කියල.
49423b243a	නිරීක්‍ෂණ සහ නිගමන එකිනෙකට ගලපා ගැනීම
494298cf70	තිබිය යුතු ශ්‍රද්ධාවයි.
4942df58f7	රජකම් කළේය.
4942ecf4e0	සංඛාර උපාදානස්කන්ධය
4942f1eae1	ගල්අංග මහතාට අනුව
4943f23bc0	බෞද්ධ පුරාවිද්‍යා ස්ථානවල පවා පල්ලි හදනවා.
4944313eaf	එයාගෙ අම්මත් එක්ක
4945396931	මේ වසර පුරාවට
4945ccef40	අපේ පැදුරෙ හිටිය
4945d05301	කාටදැයි අමුතුවෙන් කීම අනවශ්‍යය.
49461f1464	දුක්නොවී ඉන්න අපිට සිදු‍වුණා.
49462fe0eb	හැම දෙයක්ම සොයාබලා අවශ්‍ය උපදෙස් දෙන්නේ තාත්තයි
4946cbab34	අපි දැක්කා තවත් දෙමළ කපල් එකකුත් ඇවිත් ඉන්නවා.
4946d00ba1	ඔබ මුළු ජීවිතයේම
4946d2fc61	sri lankan stupa
49472c708e	විවරණය කෙරේ.
49478ff06d	වැරදි වැටහීම් ඉවත් කර ගනිමින්
4947a792e3	රෙගුලාසි මාලාවන් ගැන ප්‍රශ්න
4947fc812a	ඔහුගේ සුන්දර බිරිඳ පුංචි පුතා වඩාගෙන එතැනට ආවා.
4948170592	නිසි ශරීර සෞඛ්‍යයකින් යුත් අයෙක් විය යුතුය
494855ffcd	මරණින් මතු පැවැත්ම
494873be90	බටහිරුන්ට එකට සිටිය නොහැකිය
4948c42477	වාද විවාද ගියා
4948e0b573	ජන මාධ්‍ය මට්ටමින්
4948f458ee	මිනිසුන්ගේ ස්වභාව නිවැරැදිව හඳුනාගැනීමට අපහසුය.
4948f8a664	එයට උඩින් කඩෙන් ගෙනැවිත්
494986412f	ලොකු සේවයක්.
4949d62fdc	භාවනාවේ යෙදෙමින්
4949e01ea2	පැරැණි ගැමියන්
494aa7aba2	අමසේකර මෙහි උපුටා දක්වා ඇති ඉංග්‍රීසි ඡේදය මෙසේය.
494b1f0324	එනම් පුද්ගල හෝ ධර්ම හෝ ස්වාධීන
494b6825c1	කිසිසේත්ම සිදු නොවේ.
494b8b1667	අපේ උන් ත්‍රිපිටකය තියා
494c27124b	දැන් බයෙන් ඉන්නේ කටක් අරින්න
494c2c7e96	හොඳම විධිය තමයි
494cc57c20	මිනිසා යන සත්ත්වයා
494cef91e4	වැලිතර හීන්අප්පු වෙති.
494cfd109a	පිළිබඳව අපි කණගාටු වෙනවා.
494d0fae86	ලබන ආස්වාදය කාලයකදී මදි වී
494d4aa3dd	මේ බලන්න මල් දරා ලොව අලංකාර වෙලා
494d5a4800	එවිට බුදු හාමුදුරුවෝ කළ හේතු
494d5b9b38	නටබුන් සහිත විශාල විහාර
494dd7a914	එක රහතන් වහන්සේ නමක් පැන් ටිකක් හොයාගන්න
494ddd4f34	ධනය වනසා නොගන්න.
494e0b0411	කෙස් කිව්වෙ පස්වෙලා යන
494e12a8f5	සිහියෙන් යුක්තව මෛත්‍රි සිත් පෙරදැරිව
494e3ebeee	අපට කරදරයක් ව්‍යසන ඒමට පෙර
494ec41be0	වහින්න ඔන්න මෙන්න අහසක් කර ගත්තා
494ecc435e	බව පැහැදිලි කළා.
494f3f24ce	ඇස් බලවලා කණ්ණාඩි අරන් දුන්නා
4950a79652	ඒකෙන් ණය ගෙවන්න
4950c260b2	ජොනී සපයන බොරු සාක්ෂි
4950db9194	මේ ලොකු හාමුදුරුවෝ ඉවකින් වගේ
4950fdd201	ඒවටත් ඉතින් විවිධ හේතු කාරණා
495117d9ac	free embroidery machine designs
495138fece	සාම ගිවිසුමක් ගේද්දි
4951575b3d	ජීවත් උන ආකාරයත්
4951ea5d84	after 2012 dvd
4951f4c425	ඔය තනතුර බොදු බල සේනාවට
495229c25b	වෙහෙස වීම යි.
49524da4b7	මේ අයුරින් නිර්මාණය වූ සඳකඩ පහණක්
4952516ed4	පාඨකයා ආකර්ෂණය කරගන්නා
495277c611	මෙම අවදානම් සහගත රැකියාව තමන් තෝරා ගත්තේ
495344e7c1	එම යන්ත්‍රය
495356a4de	මොකද ලංකාවෙත් සුරියකාන්ත වැවෙනවනේ?
49536c1a4c	ඇයට ආදරයෙන් කරුණාවනේ සැලකූ
4953b6f0b0	අදහස් පලකරනවානම්
4953c6c68e	එලෙස අතුරුදන් වන ගංඟාවක් හමු වී තිබේ
4953e7456b	යාමක් හෝ නොවේ.
4954f7d4c6	වෑංජන ආදිය භාරගන්නට
4955100c50	ජාතියේත් ඊජිප්තුවරුන්ගේත් අනාගත අභිවෘද්ධිය සඳහා
495537457d	නොනසා ඉදිරිපත් කිරීම
4955391985	අනේ අපි නම් ඔය කියන අවතාරය
49557534e5	මානව හිමිකම් නොමැති කල්හි
495595da96	කෙලෙස් දුරු කිරීමට, කෙලෙස් නැසීමට මිස
4955f4e1f7	චන්ද්‍රිකාවක් මිලදී ගත්තේය.
49560cfd34	අපුරු කතාවක් නැතුවමත් නෙවෙයි.
495656f7b7	දහම් පාසල් වල
495733ade1	පිනක් දහමක් කරගෙන ඉන්න එක තමයි හොද
49578ca361	සිංහල මිනිස්සු අතරේ
49581bdaa7	එය බුද්ධාගමට පදනම් වූ ඥාණ මාර්ගයට
4958c53e75	ආගම අමතක වී ගියේය
49595dca2b	තමන්ට අවශ්‍ය උපකරණය සොයන්නට විය
49599df381	ඌට තුවාල වෙලා වගේ
49599f8182	අපි ලැබූ දෙයක් නෑ.
4959aa5445	පැරණි වඳුරන් ඉවත්කර
4959cf6715	ආදරය කරන්න තියෙනවා නම්
4959d322fe	ඔක්කෝටම තියෙන ලොකුම අමාරුව
4959dac82a	මේ තරුණයා පැරිසියේ සොර්බෝන් විශ්වවිද්‍යාලයට ගියා.
495ac25192	රජය විසින් වෙන් කර සියලු පහසුකම් ලබා දීම
495b89ade5	එකකුත් හදන්න පුලුවන්නම් ගොඩක් හොදයි.
495bf913dd	පාලකයා අනිවාර්යයෙන්
495c4a2af0	හැබැයි අමෙරිකාවේ ආකල්පය අනුව
495c7e8942	මේ සඳහා පුහුණු කරවනු ලබයි
495c966cfc	නොබෝ කලකින් ගැටුම් ඇතිවිය.
495cbd6a8e	මොනවා කියන්න ද?
495cda24c0	අජාසත් රජතුමාගේ හමුදා පිරිසෙන් තිස් දෙනෙක් පමණ
495d1f0641	ඒත් ‍මේ වගේ විශේෂ දවසක
495d6e68e2	එනම් ඔබේ ජංගම දුරකථනයේ
495d7b2a4e	ඉතින් ඔහු තමන්ගේ ජීවිතය පරදුවට තියලා
495de2da7f	ස්තූතී ඔබට!
495e38ec05	බවට පත් කරගැනීමට
495e7e6c72	තව සුළු කාලයකින් ඔවුන්ගේ තීරණය ගැන ඔවුන්ටම තේරෙයි
495f5294b0	ඊට හේතුව එය සම්මාන දීමට සුදුසු ප්‍රශස්ත කෘතියක්
4960288474	දුක නිරුද්ධ වී යන්නේ ය.
49605c1845	ජනිතා සොයුරියගේ අභාවය
49615100d4	තේරුම්ගත නොහැකි දෙයකි
4961c7258a	ඉතා විශාල වශයෙන් ඇත්තේ
4961ec12ef	කවරදාකවත් එවැනි මෝඩ වැඩ කරන්නේ නෑ.
4962114516	ඔන්න හැමදාම
49626b0bf8	බුද්ධකාලයේත්
496319acc4	පුද්ගලයකු
496343a232	මම නම් තීරණය කළාඑනකම් ඉන්න
49638056e0	කලා හා වාස්තු විද්‍යාත්මක අංශවල උදාහරණ ඊට අයත්ය.
4963f12d77	එදා සිට අද දක්වා
49641d5fa6	ඔහු ඒකට කැමති වෙන්නේ නැහැ.
49647f7212	මුළු යුරෝපයේම තමන්ගෙ බස විතරයි කතා කරන්නෙ
49648b6ef3	බුදුසසුන ආරම්භ වූ මුල් කාලයෙහි
4964cd35e8	එකී පැනයට අනෝමා ෆෝනසේකා මෙලෙස පිළිතුරු ලබාදුන්නාය
496512c476	එම නාට්‍යයන්හි දක්නට ලැබුණු
496552fd4d	ඉහතින් සඳහන් කළ තුන් සිවුර මෙන් ම
49656b074f	අපගේ ජීවිත සියල්ල මෙහෙයවනා කරුමය
49659dda95	මෙලෙස බැලූ කල පැහැදිලි වන්නේ
496637db98	දස මාසයක් ඉස්පිරිතාලේ ඉන්න ගහන්නේ
496654ebe8	එහෙම කියන්න එපා අමල්
4966d0659c	ඒක ඒ විදියටම
4966e64e7b	විග්‍රහ වෙන්නේ මේ තත්ත්වය.
4966ebdcda	අපේ මනුස්ස ජීවිතය
4966fc21f8	ඔබටත් තිබුණා නේද
4966fe6ab1	මහාවංසය යනු කුමක්ද
496701db28	තිලක් නම්බුකාර විදියට හිටපු ගොවියන්ට
496704996e	ඇය ඊට සහභාගී වූවාය.
4967059264	අගමැති බාධා ව්‍යවස්ථානුකූලව ජීවිතාන්තය දක්වා
4967b4bf7c	මේ සඳහා එක් එක් පුද්ගලයාට
4967b9e1e0	ලෙන් පූජා කිරීම පිළිබඳ ලියැවුනු
49687d10bd	ගෑණි එවන සල්ලි වලින් බීලා බීලා
496894b9cc	ආහාර පාන දන් දීමය.
4968beea1f	විකල්පයක් නැති බවයි.
496931172d	අපි නිකම්ම නිකම් විශ්වාස කළ පළියට
4969b10328	බහුතරය බෞද්ධයෝ වෙති
4969e1be7a	ගිය ආත්මේ ගැනත් කිව්වා.
496a340f26	දඩයමේ යන රටක්
496a571865	විමර්ශන නිලධාරිවරයා පැවසීය.
496a7ed1f4	බයිසිකලයේ සීනු නාදය බව
496b545f70	එහෙම අරුතක් එන්නේ නෑ කෙලින්ම.
496bef8a0d	එම සුනඛයා පෙර අත්බවෙහි
496c2167e4	එයා කරන්නේ තවදුරටත්
496c2430c0	මීට අමතරව මවගේ කරුණාව
496c6692b0	අන්තිමේ විවාහවෙලා ටික කාලයකින්ම වෙන්වෙනවා.
496d4fb3c7	එම නිසාවෙන්ම
496d5a3f6e	මෙයින් වැළකීමෙන්
496d73eb26	පශ්චාත් නූතන සමාජය තුළ ආරම්භ වන්නේ
496de3c573	ධනුක සහන් මම හිතන්නේ
496e624d4b	එයා ස්වාභාවික විපත්වලට
496e712f5a	එනම් ඔබට මෙය
496e836a6e	උත්තරීතර අරහත්ඵලය සාක්‍ෂාත් කරගත්හ
496f284ddf	ගත් තීරණ බොහෝමයක් පෙර මෙන්
496f84e6c4	hindi movie photo pehla itihaas
496fe77f29	එයාගේ රස සාගරයක
4970151271	රටට මේ වගේ විශාල සේවයක් ලැබේවි
497029fd13	ඉතින් මේ සිංහල සින්දු වලතියෙන වැරැද්ද මොකක්ද?
497085d2b4	පියවර ගෙන ඇත
4970a1c3ba	මේ මතය පිළිගත් මිනිසුන් පැවසුවේ
49714df5cb	මේසා විශාල අසහාය දැනුමක්, මතක ශක්තියක් උදෙසා
497171bbee	ඉන්පසු අවස්ථා දෙකකදී
49720e656c	හිතන වෙලාවේ මං එහෙම කිව්වේ
497321f18b	ජංගම දුරකථනයෙන් අන්තර්ජාලයට පිවිසීම
4973acb129	යටත්ව ගමන් කරන්න පටන් ගත්තා
4973b02dea	ලබාගත හැකි දවසකි
49745a9406	ශාසන ගෞරවයෙන්
4974d54967	මගේ සංකල්පය
4975300d19	උළු ඉවත් කරන ලද අවකාශය අතරින්
4976026990	අර අපේ කාලේ
49761e3620	බුද්ධ වචනය ගීත ස්වරයෙන් ගායනා නොකළ යුතු බව
49764171cf	අර නිවසට අල්ලපු නිවසේ පදිංචියට එනවා
4976655a9b	එකේ කතා කරන්නේ නැහැ යකෝ
4976a78eb3	යොදා ගත්තු මෙවලමක්.
4977671d3a	කොහොමද දන්නේ නෑ
49778dca2e	එහි පළමු චෝදනාව තමයි
497815209a	එම ජාතිය පරිහානියට නොයයි
49782bb585	ඉතා දුලබ ඡායාරූප
4978c52cab	අතේ පැලවෙන බොරු කියන උඹ මනුෂ්‍යයයා.
4978fff245	ආසන්න හේතුව එය වන නමුත්
49799ed0b8	ප්‍රශ්නය මෙවැනි අය නිසා පෙරහරේ විචිත්‍රවත් බව වියැකී යා හැකියි නේද?
4979b3ee46	දිළිඳුකම පිටුදැකීමයි.
497a0fae3b	මෙහි ඇති තොරතුරු මද වශයෙන්
497af165ba	එයට නිවැරැදි පිළිතුරු ගීතය ගයන තැනැත්තාට
497b4ff17f	මහනුවර මල්වතු මහා විහාරයේ
497b7c3b65	ඉතිං සෑම් ඉහල ලකුණු හිමිකරගෙන
497b8b2e8d	අද ආසියාවේ ධනවත් ස්ත්‍රීන් අතරවන ස්ථානයේ සිට ඇත
497c4a3fa9	ඔවුන් කියා නැහැ.
497c8c741f	මම විල්පත්තුව ජාතික උද්‍යානය එළි කරලා
497dd374e1	පෝස්ට් එකක්
497de59027	පොලිස්‌ නිලධාරීන්ට සිදු විය.
497e74a931	ඇය පුවත්පතකට පවසා තිබුනේ
497ec736e6	ඔයාලට බලන්න කියලා මේක ගෙනාවා
497f1b1c44	වටහා ගෙන සිටිය යුතුය.
497f23acff	විද්‍යාව පැමිණිය යුතු උපරිමය මොදකද්ද
497f2da775	පුරාවිද්‍යාත්මක වටිනාකමක් ඇති
497f6145d4	විමධ්‍යගත ස්වභාවයයි.
497f8eb1ae	එබඳු සිංහල ග්‍රන්ථ දුර්ලභය.
497fd73dc5	උවමනා නැතිවෙයි කියලා මම හිතනවා.
497fe8ab20	අධ්‍යාපන කටයුතුවලට යහපත් දවසකි.
4980301720	සරත්චන්ද්‍රයන් මනමේ කල එලි දක්වන
49815a4fa2	වෙනත් විහාර හා සසඳා බැලීමේදී
498271ff28	ඒත් පසුව ඔවුන්
4982ab609c	උත්තර දෙන්න හිතුවේ.
49830499ff	සාමාන්‍ය සංස්කෘතියේ අංගයක් බවට පත් වූ අතර
