7100e3ec57	වටහා ගැනීම වඩාත් උචිතය.
713b62808c	අපි පොලිසියට කතා කරල
713bafb85f	මිතුරු වේශයෙන් ඇවිත් ඉන්නෙ හතුරෙක් වධකයෙක්.
713bb8de0c	තාත්තලා කියති.
713c4e6c4b	ඔබලට ගොඩක්
713c67c5e4	මේ වනවිට
713d01d333	ඉංග්‍රීසි හැර වෙනත් භාෂාවල
713d1927e1	බය වෙන්නට ඕනා නැතිය
713dd5e14f	ඔබටද ඔහුටද සුභ පතමී.
713de75e7d	එහෙයින් මේ ප්‍රදේශයේ
713e2b68ad	මුදලක් විසිකර
713e2d6b8a	ඒත් මං මෙව්වා දැනං හිටියෙ නෑනෙ.
713e965726	ලොව පහළ වූ විට
713eec138b	මේ සතුන්ගේ වඳ වීම වේගවත් වී තිබේ.
713f2b82c6	අනුන්ගේ සැපත සතුටේදී
713f3c97b5	පොත්පත් මිලදී ගන්න
714057eabe	සහයෝගයෙන් එකගෙයි කෑමක්
7140a42685	තුන් මං හන්දියෙන් වම් අත පැත්තට කිලෝමීටර්ක් විතර යනකොට
7140c6def3	මුල් සිංහල දැනුම
71417ec525	උබට හොදටපුළුවන්
7141c555ed	හැබැයි ඒ ප්‍රබෝදය
714239d2f2	පිළිගන්නට මඩු බොහෝ ගණනක්
71424daccf	කල් දමන බව පෙනීයයි.
714257fcd9	මුලින් සඳහන් කළ පරිදි
7142673d3a	එය භාවිතයට පහසු
7142b5d15f	එල රහිත මැර සංදර්ශන බවට පත් වේ
7142cd4c6c	සිංදුව අහන්න බැරි උනත්
71435a9cd3	අනතුරුව පූර්ණකාලීන එල්.ටී.ටී.ඊ සමාජිකයෙකු ලෙස
714368cb25	ඉන්නවනම් ඇත්ත මොකක්ද කියලා
7143c85636	සරලව කවියට නංවලා
7143cacdbd	රජුගේ පටන් දැසි දස්සන් දක්වා
7143dcef76	ඒත් වචනයකින්වත් පිහිටක් නෑ.
71441a95aa	ඇය කෙරෙහි යොමු වෙයි
7144945b9b	දානය පිරිමසා ගන්නේ
7144969064	අප සරණ ගිය
7144aa672e	උරුවෙල කාශ්‍යප,
7145b2e129	ඔබට අනතුරක් ඇති නොවේ.
714614f75a	මේ සිරිත් මේ කාලයේ අපේ රටේ පිරිහෙමින් පවතී.
714672a724	එහි රසය සොයමි
7146c08248	ප්‍රසිද්ධ කරන්න කෝ මෙයා ප්ලීස්!
7146ed429e	බුදුරජාණන් වහන්සේටත් වඩා සමාජමය වශයෙන් නිරාමිස ජීවිතයක්
714721e155	විදුලි වැට ඉදිකිරීම කඩිනම් කළ යුතුව ඇත.
714724b04a	අපේ ලමයින්ට ඒ අවස්ථාව ගිලිහිලා.
7147302840	ආපහු කාර් එක හරවාගෙන අපි කුරුණෑගල පැත්තට යන්න ඕන.
71473f5213	පිරිස් බලය හා ජාත්‍යන්තර පිළිගැනීම ලබාදුණි
71483f4754	සිංහල බෙහෙත් සීට්ටුවක් හින්ද
71485123dc	ප්‍රථමයෙන් පැමැණියේ ගමේ පන්සලටය
7148529ce1	ඔවුන් ගම්බිම්වලින් එළවා දැමුවා.
714892cb3f	හදපු එකක්ද කොහෙද.
71489e414f	නොදන්න ඈයොන්ට උගන්නන්ඩ යන්නෙනම් නෑ.
71497bb589	එම අභිෂේකය මෞර්ය රජ පෙළපතේ
71499d0ed4	මෙම චිත්‍රය, චිත්‍රයක් වශයෙන් ඇඳපු යම් යම් ස්ථානවල
7149a1dc94	ඒත් ටිකක් කල්පනා කළාම
714a3bebaa	මෙහිදී අප අදහස් කරන්නේ
714ad66290	ඇය තෙවන වරටත් බ්‍රිතාන්‍යයේ අගමැති ධූරයට
714aea0c81	අදහස් ඇගයුම් ප්‍රතිමාන
714b01dba3	ඇයි බන් බොලා සාමාන්‍ය බ්ලොග් කාරයො
714b03516d	ඒකයි මම කලිනුත් කිව්වේ
714bb488b8	අයිය කියපු ඔය මල්ලිකා දිසානායකට
714bd93b85	මා කියා ඇත්තේ
714c00c0e7	ඇය සතු මෙම විමර්ශනශීලි බව
714c821f14	වෙනස් කරල දැම්මම
714c92b47a	ගිලෙයිද මන්දා?
714ceff824	සිත අනාරක්ෂිත වෙයි.
714d3cea7e	මේ වන විට ප්‍රතික්ෂේප කරනවා වන්නටත් පුළුවන්.
714e0cfc0d	පොසොන් පොහොය වඩාත් වැදගත් බවට පත්විය.
714e17f075	කටපාඩං කරගත්තේ
714e2afc30	ලොව කිසිම ආණ්ඩුවක් වැටුප් වැඩිවීම් කර නැහැ.
714e83cc0b	අමන දේශපාලක සහ උපදේශක රැලයි
714ec3b165	ඇත්තේ වාණිජත්වය විසිනි.
714ef3f67c	මේ නිසා තමාට උදව් උපකාර කළ කිසිවකු
714f4fbb9a	නිර්මාණය වෙලා තියෙන්නේ
714fc032f1	එහි සම සභාපතිනි සරෝජා සාවිත්‍රී පෝල්රාජ්
714fc9b09c	සතුටක් නොවෙයිද?
715058dee7	ගිහින් ආදරයෙන් වන්දනා කරලා
7151c333ce	මෙහි රාජ්‍ය භාශා නෙමෙයි.
71521ff420	කථා කිරීම සල්ලපති ,
71524ec14a	අමෙරිකාවේ හිටපු සෙනෙට් සභික වරියක්
71525162cc	මිනිසුන් අතර ව්‍යාප්ත කිරීමට
7153174fe9	පිරිත්දේශනා සඳහා දායකත්වය ලබා දෙයි.
7153321972	මහලු අසරණ හා රෝගී පුද්ගලයන්ට
7153326423	නමුත් ඔබ පල කර ඇති
7153bd9885	එල කිරි සහ ජලජ
715454ee6c	ඔන්න මේකෙ කමෙන්ට්ස්
71547a39e3	එතැනට යාම
715502ca1b	පේදුරු තුඩුවට පියාඹන්න
715658cc53	මෙය තොපට නුසුදුසු යැයි
715732180d	අපේ අක්ක මාව ලැබෙන්න ඉද්දී
7157c1f0ac	මහා උපස්ථාන ශාලාවට වඩින්නට ඕන.
7157f5d598	new york post
7158544f27	මේ නිසා බොහෝ දෙනකු
7158a14537	එළ එළ සුපිරි වැඩක්
7158c1319a	වාසගමක් තියෙන
7158f614d1	වැඩිහිටි සමාජයකට නොසුදුසු නොවෙයි
7158f783ba	ප්‍රේක්ෂක පිරිසක් ගොඩනැගුනා.
71590bce5c	අපට පුංචිකාලෙ ඉඳන්ම උගන්වන්නෙ
71590c601f	පොලිසිය පවසයි
71599a9a3a	උන්දැලගේ අරමුණු ඉෂ්ට කර ගන්න
7159d74169	ඔවුන්ගේ කටයුතු ඉටු කරගන්න
715a37f55c	ඒත් මගේ යාලුවා
715aadaa45	මෙයින් ප්‍රකාශ වන්නේ ද
715ac879a2	එහි ඉදිරිපස තවදුරටත් හැඩ ගන්වන ලදී.
715b00d555	fun 4 the brain
715b21547e	ප්‍රේක්ෂකයාව විස්මයට පත් කරන්නට
715b6c6459	අවස්ථාව සැලසෙනු ඇත.
715bae821e	එකී සමාජ සංස්ථාගත ප්‍රශ්න
715be4c3f1	එතුමා මාව පරීක්ෂණයකට යොමු කරලා
715e31725b	කෙක්කෙන් වුව කොක්කෙන් වුව කම් නැත
715f0ed986	චංගුමී යැයි සමීක්ෂණවලින් හෙළි වී ඇත.
715f7e9994	අර සීකර් අල්ලන්න මායාමය ලුහුබැඳිමේ සිතියමක්
715f912338	දෙයියනේ තමන්ගෙ අවශ්‍යතාවය
715feee338	කුඩා බුදුමැදුරක් හමු විය.
71609af667	ඔය අතරේ වොෂින්ටන් ඩී.සී නගරයට
7160d860e0	ප්‍රධාන හේතුව වූයේ මෙම මැණික් පුටුව යි.
7160e8991c	ඒ පිළිබඳව සඳහන් කොටස
7161d94d5d	බෞද්ධයන් විසින්
71621222e7	වානර හැත්ත ආයිත් වානර යුගයට
716212d8a7	tv shows online
7163b8af40	මේක තමාට අයිති දෙයක්
7163d14f62	භාවනා වඩන කල්හි
7163e61601	හිතින් කොල්ලෙක් උනත්
71645039f4	විජය කුමාරයාගේ නඩේයි
71650dcea7	එය එසේ වන්නේ
7165d648ce	යාළුවා අර ඉපැරණි පුදුම හත ගැනත් ලිපියක් ලියමු නේද?
71661e90d8	අත්වනු ඇත.
7166cb8e92	සාරිපුත්ත මහරහතන් වහන්සේ ලකුණ්ඨක භද්දිය මහරහතන් වහන්සේට අඬ ගහලා
7166df9f3a	gossip lanka sinhala
7167162e61	එමෙන්ම නිශ්චිත රාජකාරියකින් තොරව
7167ebfa3e	සෙසු භික්‍ෂූන්ට ධර්මය ඉගැන්වීමෙහි ද නිරත වූහ
71681d3a26	මෙම ධාතු ගර්භයේ අවකාශයේ නිදහස
7168935ac5	අත් පටලා යමු ආයේ
7168a4a605	රත්න ශ්‍රී මේ කියන මව්බිමේ කොටසක්
71690e35cb	සිඟාලෝවාද සූත්‍රයේ සදහන් කර ඇත.
71692301ae	ඒත් එයා ඒ ෆෝන් එක
71696b22f1	එය ශ්‍රී ලංකාවේ දිගින් වැඩිම පාලම
7169997305	තිබූ තවත් කතාබහකි
7169a11fb6	අනික බොහෝ රටවල විශ්ව විද්‍යාල
7169db47f0	අපේම ජාතියට කෙලවෙන්නෙ.
7169fe49a9	සිදුවීමකට ද ඔහු සම්බන්ධ ය
716a3ec658	දිවා රෑ වෙහෙසී කටයුතු කරන්නට විය.
716a4fdf59	ඔබට නිවන් සුව!
716ae74b3e	ඔවුන් විවාහ වූයේ
716b428116	තිළිණ කර යවා ඇත.
716b817482	මේ ජාතියම කරගහල බටහිර උගත්තු හදනවනේ
716b848d15	අධ්‍යාපන වෙළඳාමේ පුරෝගාමින් අතරට
716baa836f	ලංකාවෙන් පිටවෙලා තියෙන්නෙ
716bb4f9b4	ප්‍රගුණ කළා
716bb51bed	එබැවින් මා සතු කොපමණ ධනය
716c0e26a8	අධිකරණ වෛද්‍යවරයා විසින් පවසන ලදී
716c434b50	ඒත් හොදම නවකතාව කියලා
716da0bd63	බෞද්ධයා නම් උපාසකතුමා ම බවයි.
716e9be7dc	ඔබගේ රුධිර වර්ගය පවා
716eed0384	ඩොනල්ඩ් බ්‍රැඩ්මන්ලා යලි කිසිදා හමු නොවනු ඇත.
716fe5c0a0	ලෙස රංගනයේ යෙදුනි
716fe5cc67	ආදිය තුළින් දෙවියන් හා එක්වීම
71709695b8	එදා සිනමා කර්මාන්තයට හොඳ නිර්මාණ බිහිවීමයි.
71716353f3	මේ ගාථාවෙන් වදාළා.
7171668cc5	නම් මේ කොටසෙදි හමුවෙන්නේ නෑ.
71717c0061	surange
7172361a4f	ශාසන ඉතිහාසයේ සඳහන් වෙයි
7172ec5c95	එදා පරාක්‍රමබාහු රජතුමාගේ කාලයේ පටන්
71739ac83d	එහෙම හැසිරෙන විට
7173fcde3e	එහෙත් අහසේ පියාඹන විට
7173ffbe39	චිත්‍රපටියේ නම තමයි ඒ
7174010f7c	එතකොට අපිට ආරම්භයේදී ම
71743c1336	බැරි තාලෙට අප්පුඩි ගහන්නවත්
7174de9d41	යම් යම් තැන්වලදි ලොකු සංවේගයක් ඇතිවෙනව.
717502fdbb	ශාවක ශ්‍රාවිකා දෙපිරිසටම අවැඩ කළ බව
717523f761	භික්‍ෂූන් වහන්සේ අලුයම අවදි වී
717525eb94	රත්තරන් සෙරෙප්පු දෙකක් පාවිච්චි කරපු කෙනෙක්.
7175560ead	ඉතරක් නෙමෙයි සින්දු කාරයට
71756976f6	සාද‍රයෙන් පිළිගන්නව!
717589cb32	කැටයම් කලාවෙන්
7175e8dc17	seylan bank
7176079e9e	ලෝක විනාශය සිදුවන ක්‍රම
717658c3c7	අපහාස නොකලේ යැයි
71767bae12	එය අමෙරිකන් ජනතාවට පුදුමයක්
717731e9da	එල මචන් චමී
7177a625f6	ඒ කෙනා ගැන මොකද හිතන්නේ.
7177e08848	ඇයගේ බෝඩිමේ අයිතිකරියගෙන් ඉල්ලාගත් සාරියකිනි
7178298888	නොසෙල්වී සිටියහ.
717864f39d	අශෝකමාලා චිත්‍රපටයේ සංගීත කණ්ඩායම හඳුනා ගන්නත් ලැබුණා
7178b4f47a	ප්‍රධාන කොටස් තුනකට බෙදා දක්වනු ලැබේ.
7178bc386b	හරි නැතුව හරි කමක් නැහැ
71795c4f30	එබැවින් කල්පනාකාරීව
7179f25ccc	මිනිසුන්ගේ ලොකුම වස්තුව බව
717a1a4cbd	ගඳක් එනවා
717a45a756	අප අප්‍රමාදී විය යුතු දෙවන කරුණ
717a5af425	කම්මැලි කාර ජාතියක් බවට පත් වී තිබීමයි.
717a69974c	එය කොටස් තුනක් ලෙස
717a7e08b0	දෙවියන් පිළිබඳ වැදගත් තොරතුරු රාශියක් දැකිය හැකිය.
717b199568	එක කුලූනක් නිලධාරීන්
717b4cd3ca	අවසාන වශයෙන් මෙම ලිපිය තුළ
717c328e4f	අඟල් තුන හතරක් විතර උසට
717c32ade2	නමුත් මේ තුවාලයට ප්‍රතිකාර කිරීම
717c61eee4	ඒ පොතපත නොකියවති
717cbd0cb2	e news sinhala
717cd841f9	තාම මොන්ටිසෝරි
717cfaa63b	කිසියම් පුහුණුවක් තියෙන්න ඕනෙ.
717d14b1fa	හෙටක් නැති වෙන ලකුණු
717e14aa04	පෞරාණික දන්දීමේ ක්‍රමයත් මෙයයි.
717e2681a5	මටම හිතා ගන්න බැරි උන නිසා
717eb05246	ඉස්සර කිව්වේ මේක ගැඹුරු ධර්මයක්
717eb3bca6	වාර්තාකරුවෝ පැවැසූහ.
717f459cd3	මමත් අහලා තියෙනවා
71803ea459	ඈතින් පෙනෙන ඉතා වට දුර ලෝකයේ
718060c38d	ඉන්දික ඇත්තටම මේ කියන්නෙ කාලකණ්නි සත්‍යයක්
718097da66	මේ ස්ථානවල උප්පත්ති ලබන සත්වයින් අතරෙන්
7181011044	සුවිශේෂී නිදන් වස්තූන් පිළිබඳ සටහන් නොමැත.
7181b552e9	ඒක නතර කරන්න පුලුවන්
7182383675	එය කොතරම් විශාල මුදලක් ද යත්
7182e0bd9d	අප සදා ණයගැතියි
7182f1e79d	උපතින්ම හිමිවන බවයි.
718349c5d6	අනිවාර්යයෙන් ම ඒ දිනයන්හි
718356c8d1	රුබෙල්ලා විදින්නට ගිහින් මැරුණා කියලා.
71839429e8	මචෝ දිගටම කරගෙන යන්න.
7183fd1565	මම දැකලා තියෙනවා.
71841b3a0f	මොන විපතක් උනත්
71843d2ba4	අනේ මන්ද
71844ce062	පරගැති සුද්දන්ගෙ නමින්.
71844fc458	එසේ කොට තිබෙන්නේ
7184a284e0	අපේ ගැනු රට යවනෙක
7184c9b9f7	සාදරයෙන් පිළිගන්නවා බයිස්කෝප් සිංහලෙන් කණ්ඩායමටත්.
7184e92c8b	කරේ පටවන එක තව එකකි.
7185055c8c	එක්තරා කාල වකවානුවකදි පමණි.
718525520f	මහා උගතෙකු, මෙන්ම ධනවතෙකුද වශයෙන් ද
71854c4fb6	අපි මේ රටේ ගොඩ නගන බොහෝ දේවල්
7186346600	දෙවැන්නට ප්‍රධාන හේතුව වී ඇත්තේ
718685f3cb	ඔබට ද ආර්ය න්‍යාය ප්‍රඥාවෙන්
71871734b8	ජාතිවාදෙ ආදේශ කිරීමට දැගලීම ගැනනම්
7187a19fba	ඔන්න ගොයියෝ කෝරළේ මහත්තය
7188017c7b	අතුරුදන් වු
718863e51b	යනුවෙන්ද ඔහු පැවසීය.
71886b92bd	අද බත් මිටක් නිසා
7189068e4f	සිංගප්පූරුවේ මවුන්ට් එළිසබත් රෝහලේ සිට පසුගිය
7189095049	මේට්‍රික්ස් පිලිබඳ ලේඛකයාගේ කියවීම බවයි.
71892477c2	ඒත් කවදාවත් ලඟට දැකලා නැති නිසා
7189a7def8	ඒක අවුල් වගේ නම්
7189bd6c3e	මෙම දෙකෙහිම ආකෘතිය
718a15a40e	සිය ගණනක් පෙන මඩලු මවාගෙනය.
718a17f1a2	මේව ප්‍රචාරය කරල අපේ රට බේරගනිමු
718a466193	ඒකාට එක බලා ඉඳලා
718a4b8490	ඒවා කොච්චර ගැලුවත්
718a5516f6	එයාලට හොදට සල්ලි ඕන වෙනවා
718a6c7faf	ඔහුගේ සුවිශේෂීත්වය කුමක්ද?
718bf11708	අනුර බණ්ඩාරනායකත් හිටියා.
718c0eb0b3	අකාලික දහමක් බව
718c7fae95	එවන් සතෙක් මරාගෙන කෑමට
718ccbabf7	උඩ තියන රූපයේ
718dd2cfbb	අයෝනිසෝ මනසිකාරයෙන් මිසක්
718dedd422	අපේ පහළ පන්තියේ මිනිසුන්.
718e999d61	මෙයාගේ ජිවිතේ වෙනස් වෙන්න ගන්නවා.
718ef6c6b4	එය රටට හිතැති ජාතික බලවේග
718f3a138a	සහෝ මුල්ම එකට සුබ පැතුම්!
718f70fb97	අන්තිමේදී බේරුනු අයට සතුටුයි
718f87cd3e	පිහිනා යන සතුන් අතර ඩොල්ෆින්
718fb97439	මීට අවුරුදු දෙසීයකට කලින් හිටියා නම්
718fca1a2c	මිනී වළවල් අතර සක්මනේ යෙදෙමින්
718ffeb8a4	අපේ රට ගැන කථා කරද්දි.
71901819dd	ඉතින් ඔය ආකාරයට තමයි
71904859a1	මෙතනින් දුවලා ගිහින් කියවන්ඩ.
71908ec043	එම අනුමැතියෙන් තොරව
7191273301	අපේ වයසක අයියට
7191d04e3a	සතර සම්‍යක් පදන් වීර්ය ලෙසම හැදින්විය හැකිය.
7191e85232	ඔහුට උනත් කියන්න පුලුවන්ද
7191f1799a	actress
7192607c12	හැබැයි එයාලට පොඩි කාලේ ඉඳලම
71945d3a81	පෙරහන්කඩක් නොලැබෙන්නේ නම්
71948f0ee2	උපකාරී වේ.
7194d9c305	චරිත්ගේ රංගන දායකත්වය ලබා දෙන
7194fd8ee2	ඒත් එච්චර කල් යටපත් වෙලා තිබ්බ
719543127a	නුවණැති සත්පුරුෂයෝ අදිටන් කර ගත යුතුය.
7195e7cb08	විවිධ ඖෂධ වටිටෝරු සකස් කර ගෙන
71960d363a	අධ්‍යක්ෂණය අන්තිමයි
71961e6de5	අප මෙහි ලියන්නේද නැත.
