a05967aa8d	ඔබ ඇසූ පැනය
a07c87fe9d	හින්දි බයිස්කෝප් දෙනකොට
a07ca27542	ඇය කෙරෙහි යොමු වෙයි
a07ce6e391	මේකෙ අඩුපාඩු තිබ්බොත් සාමවෙන්න
a07cf546e0	පිළිවෙත් ගරුකව වැඩිය යුතු වෙනවා
a07d15a2d4	සිංහාසනය තැන්පත් කැර තිබුණු
a07d491bbf	හරියට වැඩ කළ නිසා
a07d999c01	උන්වහන්සේ ද අනුගමනය කළහ.
a07e66deb2	ඇය එම ආභරණය සිරුරෙන් ඉවත් කොට දාසියට දුන්නා.
a07eb4e061	හිත හදාගන්න ඔහොම කිව්වට
a07f4d093a	එම පිරිසට කරුණු වටහා දී
a08041cb21	මොකද ඒවිදියට නැත්නම් ඒවාට පැවැත්මක් නැහැ
a08043d6a3	මෙම රාජ්‍ය සමයේදීය.
a08164b868	අනිත්‍ය යන වචනයෙහි තේරුම
a08198dee4	මේ අනුව දැන් පවත්නා
a081c78828	ඇති සෑම දෙයක්ම පෙනෙනවා
a08257ce63	ඇසුරින් තනන ලද්දක්
a08273c143	බිහිවන ලෝකය
a0836d978b	සූදානම් කරලානේ තියෙන්නේ.
a083747ad2	අවබෝධයෙන් හා සුහද හැඟීමෙන් යුතුව ය.
a083af1c39	මෙම හග්ගල උද්‍යානය
a084662488	කොහොම වෙයිද කියල
a084a52658	ඔබ පෝය වැඩසටහනකට පන්සලට ගිහිල්ලා
a084b60b4b	හදාරණ සිසුන් අතර මිස
a084ef3bb2	දැනටමත් හෙමිහිට මැරෙමින් සිටිනව.
a08509b2ff	එය තුණුරුවන් කෙරෙහි දැක් වූ
a085436687	මං ජාති ජාතිත් තිගෙන් පළිගන්නවා.
a08555fc13	හිනා වෙන්න පුළුවන්.
a085999c79	පිළිවදන් දීම ඔහුගේ සිරිතයි.
a085d1db10	කරන්නෙක් නොමැතිව කෙරෙන්නකි.
a085e04125	උත්සාහ කරල තියෙනවා.
a086138ea4	ජනාධිපතිතුමා කිව්වේ වසරකට කලින්
a08632f6b9	බලු මස් රසට විකුනන්න තිබ්බොත්
a087952a51	හිටියේ රත්තරං විතරයි.
a08888e790	යන අර්ථය ඇත.
a088b18bc3	ගොන්පාර්ට් ඇද බාන්නැතුව.
a0897b714e	හැබැයි එයා ඔලිවර්ගේ රහස දැනගත්ත
a08a4c388b	එදා සිටි ලෙසම පිළිගන්නා
a08aed133a	ඉහළම ස්ථානයක පවතී.
a08b0e10be	අපට පේනවා
a08b86ddf9	ස්වාමීන් වහන්සේලා විමසා සිටියා
a08bda1166	sad boys
a08beedff0	මා ඉදිරිපත් වන්නේත් නැහැ.
a08c457c2f	උඹ ඇර ඕන ගොනෙකුට තේරෙනවා.
a08c811a54	අධිකරණය වෙත ඉදිරිපත් කරන ලෙස
a08c936682	මෙන්න මේ නත්තල් තැග්ග අරගෙන ආවේ.
a08c9fd967	jerusalem sinhala aurudu 2014
a08cc4a595	සරලවම ජීවිතය
a08de20fe6	development fortune
a08e3f946c	හැම උත්සාහයක්ම යොදනවා.
a08e4ae411	වුල්වරීන්ව එක්සේවියර් ගෙ කට්ටියට හම්බවෙන්නේ
a08e5c8793	ක්‍රම එන්න ඕනේ
a08e7b5ff1	අහසින් වැටුණු මිනිස්සු'
a08eafb113	තමන්ගෙ තුවක්කුවල උණ්ඩ ඉවර උනාට පස්සෙ
a08ec3d984	අපේ අලුත් යාලුවට උණුසුම් සුබපැතුම්
a08f1622db	අපි පැයක් විතර දඟලලා
a08fa12ecc	අද වාහන සංඛ්‍යාවේ හැටියට හොඳ රියැදුරන් නැහැ
a09098cc7e	සල්ලි බෑග් එක.
a090fb539a	බොහොම සාමාන්‍ය විදිහට කළා.
a0912d9dc8	රෝලෙන් පිට නිල වාහන ලබා දී තිබෙනවා.
a091641ccd	අධිරාජ්‍යවාදීන්ට එරෙහිව සටන් පාඨ කියද්දී
a092165ac8	අපට පරිශීලනය කරන්න ලබාගත හැකි විදියක්
a0927078f2	කතා නොකර හිටපිය.
a092c98cf7	මොහොතකින් ඔසවා උඩට ගනියි.
a093115741	උඹ ඉන්නේ අඳුරේ නම්කණාමැදිරි එළියත් ලොකු දෙයක්.
a093345b51	ලොව අනිත්‍ය දුක්ඛ අනාත්ම යන ත්‍රිලක්‍ෂණ ස්වභාව සත්‍යයකි.
a0933e8ed4	ලංකාවේ පුරවැසියන් අත්දකින දේවල්ය.
a093db012e	ජයවේවා.බොහෝ.ම ස්තූතියි!
a093ffd5a4	අපේ මානව සම්පත මේවගේ හිතන්නගත්තනම්
a094243524	සන්ධානය ආසනක් විතරක් ගන්න කොට
a094776f42	house plan software download free
a09490dcde	මෙවැනි අද්භූත චෝදනා පසුගිය කාලේ කිහිප දෙනෙකුට කළා
a094f6aac9	මොහොතකින් තවත් රළ පහරක්
a0950a8c18	ඉටු කරලීමට අවශ්‍ය
a095b56629	පසඟ පිහි‍ටුවා වඳිනවා
a095d37458	අක්ෂර වින්‍යාස
a095d6c3df	අවශ්‍ය කරන භෞතික සියලු වස්තූන්
a0964e7aa6	බොහොම ස්තූතියි දෙන්නටම
a0965d4f36	තිබුණා නම්
a09759fbc5	අම්පාරේ ඔහු ඉගෙන ගත් පාසලට
a0976307ee	අද ආසියාවේ ධනවත් ස්ත්‍රීන් අතරවන ස්ථානයේ සිට ඇත
a097b39aee	සේවකයෝ කියති
a097c953f3	ලක්වැසියන් ගේ ජීවන දර්ශනයට අදාළ
a097dd21e0	එතනදී ගන්නා තීන්දුව පිළිගන්න
a09803122f	ඔබ ඒ තැන නෑ.
a099756a91	මුල් දැනුම ලොවට දුන්නේ
a099b6e59e	ඔහු කියා සිටියේය.
a099b6fb9f	බරපතළ ගැටලු ඇති කළා
a099d1bea4	ඒ වගේ කෙනෙක්.
a099e11052	එකම ප්‍රාසාංගික කණ්ඩායම වූ
a099e64a42	ඉස්කෝලෙ යන කාලෙ මට කොල්ලෙක් හිටියෙ නෑ
a09a55b2a7	තමන්ගෙ තොප්පිය රතු කියල කියන්න පුළුවනි
a09a72294d	ඔය ජීවිතය සිංහල ජාතිය වෙනුවෙන්
a09aa90495	මෙහි සියලු මිනිස් රූප
a09aaf50ea	රංගනයට සමුදෙන බව පවසන්නීය.
a09b4a85c6	එදා මම වික්ටෝරියාව දැක්කේ පිහිනුම් තටාකය අසලදී
a09b97ffa9	ඒ සඳහා වන කැබිනට් සංදේශයක්
a09c157ea1	එහි භූගෝලීය පිහිටීම
a09c26c93a	ඉතින් කඩේ කොලුවා දන්නා විදියට කියල දෙනවා
a09c32092d	ebooks
a09c9ff269	බුදුරජාණන් වහන්සේම පැවිදි වෙන්න කියනවා.
a09ca27cf0	බඬේ අමාරුවක් හැදුනා.
a09d2c712c	බුදුවරුනට වුව ද
a09d4191d9	ඒත් කොහොමහරි
a09d83eb7c	ඉතිං අපි දෙගොල්ලෝම එකම චිත්‍රපටයට
a09d91c282	මම සසුන් ගත වූයේ
a09d9da897	එහෙම අදහසක් නම් තියෙනවා.
a09dd79ee2	එවිට සම්භාවනීය පුද්ගලයන්
a09e3a942f	මොලයක් දැනුමක් නැහැ.
a09e7ced4b	සේවා දායකයින් මේවා ගන්න ගනේ නෑ
a09e85f32f	අපේ තාත්තා මේ ගිනිගහන කාන්තාර රටක
a09ec29909	ග්‍රන්ථ කිහිපයක නාම
a09f9444fd	මේවා වල තේරුම දන්නවද?
a0a02c06c1	ඓශ්චර්යවත් නිර්මාණයකි.
a0a06fa6e8	පොවන්නේ රෙදි සෝදන්නේ
a0a0881cfc	බෞද්ධ ජනතාවට අතිශය වැදගත් මාසයකි.
a0a0edd22c	ඉදිකිරීම් කටයුතු නිම කිරීමට හැකිවීම
a0a0f2652a	ගෙදර අත් උදව්වට එන අය
a0a0fc0f25	මානසික ව්‍යායාම නම් සමථ විපස්සනා භාවනාවන් ය.
a0a18dbc77	පාත්‍රයක් නොතිබුණි.
a0a2259e66	මේකට කර ගහන්න.
a0a22b3111	මෙම ඝාතන සිද්ධියට අදාළව
a0a29fd55f	මේ අදහස ඇතිවූයේ ය.
a0a2ef1ed2	එතෙක් මහජනයා සුවපත් කිරීමේ
a0a3104f89	අගමැති බර්ලූස්කෝනීගේ ඉල්ලා අස්වීමත් සමඟ
a0a502bb76	හදුනාගත හැකි වේ.
a0a53da14b	රැස්වූ අවස්ථාවේදී සමිත හිමියෝ මේ බව කීහ.
a0a5eec553	මතක ඇතුව පේටන් එක ගන්නආ ඔවුනෙ.
a0a65c46a6	කළ ස්මාරකයකි.
a0a6650871	ඔවුන්ට හමුවිය
a0a791ea5a	ඔබට ආගමක් අවශ්‍ය නැහැ කියල.
a0a87e7ad8	හැකි නම් එය මුදිතාවයි.
a0a8ab813d	ඕනම දහමක් අන්ධානුකරණය කරන එකයි කරන්නෙ.
a0a9473754	අන්තර්ජාතික සිනමා දර්ශකයේ
a0aa0bcfbd	අනික් අය දිගින් දිගටම
a0aaf9743f	තවත් කාලෙකට පස්සෙ
a0ab636c9b	පාරෙ අයිනක නවතිනවා
a0ab9c8cde	මයික්‍රසොෆ්ට් ආයතනය විසින්
a0ac3b8152	ඔය සටහනේම
a0ace0e9b8	හිතමිතුරන් නෑදෑයන් ගැන කිසිම හැගීමක්
a0add6e102	හොඳ ලිපියක් වේවි කියලයි මම හිතුවේ.
a0ae461c6c	අනියම් මාර්ගවලින් මුදල් ලබාගත හැකි දවසකි.
a0af3b0036	මා තෙරුවන් සරණ
a0af6acd25	ඔයාල දෙගොල්ලොම
a0aface487	ශ්‍රාවකත්වය ලබාගෙන සසරෙන් එතෙර වීමටයි.
a0b005a250	පොලිසියට ඉදිරිපත් කළාද?
a0b0158677	එනම් යථාර්ථයේ ස්භාවය
a0b04577de	කසිප්පු සිරියා ඇප ලබා පැමිණීම
a0b04b6f9d	සිත් තැවුලක්
a0b0511362	හරියට නිකම් මගේ නෙවෙයි මම නෙවෙයි ගාණට
a0b073b6e5	මකරාගෙන් සංකේතවත් වන්නේ
a0b1ac0c5d	එළකිරි වගෙ තිබෙන සිංහලකම
a0b1b7fb0b	ගැප් එකක් තියනව
a0b1e3871e	දෙයියනේ මොනව නොකෑවත්
a0b2c27a9c	අඩෝ හම්බයා තෝ බය වුනා නේද
a0b332e79a	ඒවා ඉතින්
a0b33f3448	ඒ දැනුම වර්ධනය වීමක් නෙවෙයි
a0b346e5a8	එසේනම් මෙහිදීද එම අනුදැනුම
a0b3b5efe9	ලංකාවේ බහුතරයක් මිනිස්සු හිතන බව දන්න හින්දා
a0b472a651	හෂාන්ට ඡන්ද ලබා දුන්
a0b50a3b24	සිග්මන් ෆ්‍රොයිඩ් කියල තිබ්බලු
a0b58f124b	ඇලගමුව වෙදකමින් මා මේ බව ඔප්පු කරල තියනවා
a0b59356d8	adobe cs6 all products activator
a0b59d5ab3	මා නැවත කිව යුතුයි.
a0b633d9cf	පුලුවන්තරම් අනෙත් අයට
a0b64b5d2d	මාන්නය ප්‍රහාණය වෙන්න නෙවෙයි
a0b6c83fb5	මලින්ත හා නිකලස් තමයි මහන්සි උනේ.
a0b6d515aa	ඉතා සියුම්ව නවකතාවේ ඉදිරිපත් වී තිබේ.
a0b6dcc9d2	සාමා ජෑපෑන්වල තියෙන බුදු දහමෙයි
a0b93df1c6	නිවේදනය කරන නිවේදක නිවේදිකාවන්ට
a0b9409aec	ඈ ඉදිරිපත් කිරීම
a0b9be60a2	මගේ ජාතියෙ එවුන්ට නොවැ
a0b9e112ba	මේ උබේ කොමෙන්ටුවෙන්ම තෙරෙනවා
a0ba49cf69	මේ නිසා වසරකට වරක් උදාවන
a0ba7a1879	ආදී ප්‍රශ්න වලට කිසිවකු ළඟ නිසි පිළිතුරු නැත.
a0baa6149c	පෙර දා මෙම කණු මත
a0bbb8a4b5	“රෝගීන් සුවපත් කිරීම”
a0bca4c6f3	ඉහත සඳහන් කළේ මෑතක දී සිදු වූ
a0bceb34c9	ඒකෙන් කියවෙන්නෙ නෑ
a0bd81441e	බටහිර විද්යාව දෙස බලන ඕනෑම අයකුට
a0be8f9eec	දිරිමත්ව එකිනෙකා වැලඳ ගත් යුවලකි
a0bee521e8	සිංහල බ්ලොග් සාහිත්‍යය
a0bf629805	ගුවන් යානා අනතුරට ලක්වූ අවස්ථා
a0bf68b396	waterfall 3d photos
a0c018f524	විසි වී ගිය මගේ හිස වැදුණේ
a0c0ce2b53	අලුත් අවුරුද්ද ලබන වෙලාවේම
a0c10f26a8	මූර්ති ශිල්පියාට
a0c1659449	එකල්හි අප මහ රජ්ජුරුවෝ කෝපාග්නියෙන් දැවී
a0c17d318b	අහිංසකයගෙ මොළේ පෑදෙයිද කියලා
a0c19fe11d	ඒ ඒ පළාත්වල දී
a0c1f5dd5f	අපට ඇසුණේ ගලක් මුලක්
a0c24cd3f0	එකෙක් යහතින් යවන්නෑ
a0c267d7be	නමුත් ජීවනෝපායට දෙවියන් දුන් තෑග්ගක් යැයි
a0c275d09d	ඉක්මනට කොහෙන් හරි
a0c2781a10	මේ ඉසුරුමුණියේ පෙම් යුවල යනු රාමා සීතා යුවලයි.
a0c2de08c1	දේශනා කරන ලද්දකි.
a0c305aa56	ආකර්ශනීය සරල ක්‍රම වලට
a0c3071ea2	හරහට පෙනීම
a0c3533efc	වටපිට බලමින්
a0c362365e	මේක මගේ පලවෙනි උපසිරැසි නිමැවුම
a0c3afeff8	ශාක්‍ය කෝළිය දෙපිරිසවේ.
a0c3dc2042	අඩුම තරමේ තමන් ආදරය කරන පෙම්වතාටත් නොකියා
a0c408dab5	ඒවාට අපහස කරන්නේ
a0c42413a8	එයාලා මෙතැනට ඇවිත්
a0c447d848	අපි හැම දෙනාට පොදු වෙච්ච යමක් තියෙනවා
a0c454093d	මේ රාත්‍රියේ විදුලිය එළියට
a0c4ba8b87	ජනතාව දැන දැන ම
a0c50c85d7	මම ඉතා ගෞරවයෙන් අගය කරනවා.
a0c57f5d5d	පෙනුමෙන් දර්ශනයෙන්, සද්ධර්මය වැන්නන්
a0c5aa746b	නයින් නටවන්නට යෑම වැනි
a0c6049ffd	යුද්ධයකට මුහුණ දෙන්න වෙනව
a0c65e8f8a	මේවා සම්බන්ධව විවිධ මත පළවෙමින් තිබේ
a0c66a975d	උද්‍යාන ගේට්ටුවෙන් ඇතුළු වන විටත්
a0c6ade7de	නිෂ්පාදනයේ කර්තව්‍යයට එහා ගිය චරිතයකි
a0c6de01e9	මඟුලක් නටල යන්න පුළුවන්
a0c751459e	නවත්තනවා නම්
a0c767a0a0	නාන කාමර සඳහා
a0c7934848	අයියගෙ හරි නිලු අක්කගෙ හරි
a0c8046b0c	මෙතෙක් කාලයක් ශ්‍රී ලංකාවට ආ
a0c84d7771	දැඩිව අපහසුතාවයකට ලක්වීම පුදුමයක් නොවේ
a0c8713db8	එංගලන්තය සමඟ ලන්ඩන් ඕවල් ක්‍රීඩාංගණයේ දී පැවති
a0c992d398	එයින් අක්කර සිය ගණනක නොඉඳුල් වනාන්තරය විනාශ වුනා.
a0c9b3e5f0	නමුත් ඉදිරියේදී
a0cacfe2b5	දේශපාලන හයිය මත
a0cb2e3db2	ලෝක උරුමය බවට පත් විය.
a0cbf6b9ff	එරෙහිව පොලිසියට හෝ අධිකරණයට යාමට පහසුකම් තිබේ.
a0cc0914c1	කැළණි ගඟට පැන්නා.
a0cc36492a	තමන්ගෙ කුරුලු හදවත කතාව පුරාම
a0cc639f5e	තුන්වන පාර්ශ්ව වලට
a0cc9c6a6e	එලෙසම උපදින දරුවන් අංගවිකල වීම
a0ccd53510	අන්න එතකොට ඒ වේදනානුපස්සනා භාවනාවේ
a0ce005124	සිංහාසනයේ වාඩිගත්තේ අප්පුහාමි නැමැත්තෙකි.
a0ce5d5cbc	නොදැන කරයි.
a0cffa1d55	මේ සිදුවීමෙන් පසුවය.
a0d0358273	මෙම අවස්ථා සම්පූර්ණයෙන්ම මගහැර
a0d0552164	පුළුල් කිරිමට ඉඩ ලැබී ඇත
a0d0e5aa46	ඇයි එහෙම නොකළේ
a0d12a754d	පාවිච්චි කරන්න එපා
a0d19351c5	ඊට පිළිතුරු දුන් ඇමතිවරයා පැවසුව
a0d1c0ac85	එය බොරු නොවෙයි
a0d208f62f	හැමදාම ඔතනට පඬුරක් දාන එක
a0d2abcbc0	එකට වැඩ කරන්න.
a0d35e9e38	මීළඟ පෝය සැප්තැම්බර් 29 වැනි දා සෙනසුරාදා ය.
a0d4089430	නැතිනම් මරණය නියතයි.
a0d42a249e	නිසා කියවල නැහැ
a0d4359001	ගිහින් ආපසු එන අතරේ
a0d4634b5a	අද වනවිට බෞද්ධ පිරිස් සන්නද්ධතාවය අතින් බලගතුය
a0d46f0e74	නිවන ලබා ගැනීමට අවබෝධ කර ගැනීමට වෙහෙසීමක් ලෙස දැක්වේ.
a0d4fd59c0	ඇය වෙනුවෙන් යමක් කරන්න
a0d518c6cc	අනිවාර්යෙන් හඳුනා ගනීවි කියලා හිතනවා.
a0d5b6a7e6	පෙනෙන්නට තිබිණි
a0d6aac0ae	ring heart shape
a0d71759fa	බයිස්කෝප් අඩවිය දිනෙන් දින ඉදිරියටම යන්න
a0d8b46998	කටු ඉඹුලේ නගින්න වෙනවා
a0d8e74135	english
a0d97630d2	මාස ඉන්න දුන්නෙ
a0d98fc80e	එය වේවැල් පහරවල් කිහිපයක්
a0d9a76fb5	සමභංග හෝ ත්‍රිභංග ඉරියව් වලින් යුක්ත ය.
a0da7bc7a9	එබැවින් 2013 වසර තුළ
a0daa98482	අප විහිලු නොකරයි
a0dba5a04d	සම්පූර්ණ කළ ආයුධ පුහුණුව
a0dc7514b8	"අර කියපු ""සෑර්"" දස්ස මනුස්සයා"
a0dcb469f9	friendship
a0dcc2f6f4	අපිට වැඩක් නැතිඑකක්නේ
a0dcc5509d	සල්ලි වලට
a0dcfe06b8	ඔය ගොඩේ බයියො
a0dd04065e	අරක මතක් කලොත් විතරක්
a0dd50c595	ඒකෙ බ්‍රොඩි ට
a0e0e8a78b	ඒවා සමූහ මිනී වළක
a0e127630b	ගෘහ සේවිකාවො කම්කරුවො ඕන උනාම.
a0e2213fe2	මේ නිසා මුරගලේ එක පැත්තක
a0e2613dca	හොද පරිවර්තන පොත් තියෙනවා
a0e2dddd37	බෞද්ධ චෛත්‍යයන් විනාශ කිරීම
a0e39bad29	ලෙඩවීමත් දුකයි කියලා.
a0e40ed880	හැබැයි අර කිව්ව අවදානම
a0e440a452	girls games 1
a0e47c547e	මොකද කලින් ලැබිච්ච එව්වා
a0e487284d	එන්න අවුරුදු ගානක් ගත වුනේ
a0e5514c56	අපේ ස්වභාවික සම්පත්
a0e55b27e4	චන්ද්‍ර රේඛාවක් මෙන්
a0e55bf447	මේ නිසා එතෙක් හිසමත පටවාගෙන තිබූ තෘෂ්ණාව
a0e5d37551	තද රත් පැහැ ගඩොලිනි
a0e63914e5	ගම් වලින් එන බහුතරයක් එළදෙනුන්ට මේ උණ බෝවේ.
a0e681e45c	ඇතැම් විට මෙය ලෝක ඉතිහාසයේ මෙතෙක් පවරා ඇති විශාලතම
a0e699a957	උන් වහන්සේලා ඉන්නෙ කියල දෙන්න
a0e6eaa454	එම අලියා වෙනුවෙන් ලබා දී ඇතැයි කියන
a0e7470825	මම ඇතුළුව හැම වෙලාවෙම බයිලා ගහන අයනේ
a0e75365e5	වැඩි වන්නේ වෙනත් කරුණු හා දක්වන උද්‍යයෝගය
a0e7763c99	වටිනා පුරා වස්තුවකි.
a0e875719e	ඔය කියපු විදියටම
a0e8b1a8b8	කරන්නේ විනෝද වෙන එක.
a0e8bf0fbe	ඉතිං ඒ තීරණේ ගැන වගකීම
a0e92d3a11	ඔන්න ඔය ටිකෙන් පස්සේ තමයි
a0e9644313	මිහිඳු මහරහතන් වහන්සේ විසින්
a0ea0ffdb5	අභ්‍යවකාශය වැනි තැනක
a0ea748add	ආරංචිය ආවෙ.
a0ea903758	වැඩිහිටි උපදෙස් පිළිපැදිය යුතුය.
a0eae40de3	අතිවිශාල තේරුමක් තියෙනවා.
a0eb68ef04	අප මෙහිදී
a0eb8c88ab	ඒකක නිපාතයේ සූත්‍ර සියල්ල අවසන් වේ.
a0eba7e89f	වඩා යැපෙන යුරෝපයට
a0ec0de692	ඇවැසි වන්නේ එපමණය.
a0ec7964a9	මොකද අද කොටස බලලා
a0ec93aaac	ලෝකය හා මිනිසුන් දකින්නේ
a0ec95ff6a	ස්වාමිපුරුෂයා ගොඩනැගිලි කොන්ත්‍රාත්කරුවෙක්.
a0ee68dd56	ඒ මනුෂ්‍යයන්ටයි දෙවියන්ටයි සංසාරෙන් එතෙර වෙන්න පුළුවන්
a0ee8c38b0	වරම් ලැබුවේ ඇයයි
a0ee94812a	ඒ අය එම දක්ෂතා දියුණු කරගන්න ඕන.
a0ef11a699	නවකතාවේ කතාව තුළට රැගෙන ඒමට
a0ef693f4c	මම නම් ඉල්ලන්නේ
