ba692ec9ea	තුන්වෙනි ධ්‍යානය පුරුදු කරන්න.
ba927f9bb8	හෙදියන්ට ප්‍රසූතිකාගාර පුහුණුව ලබා දිය යුතුමයි
ba929a4700	මෙහිදී ප්‍රේත කොට්ඨාස පිළිබඳ කතා කරතහොත්
ba92afaad1	නමුත් කපුගෙදර
ba92e8e062	පැරණි දිනපොතක් කියවන්න ලැබීමෙන්
ba938e2647	බදුල්ල දක්වා කිලෝමීටරක දුරක්
ba939ee866	software
ba93e88486	සැලකිලිමත් වීම මැනවි.
ba94430b58	එක දිගට ෆුල් ෆන් එකේ මේක බලන්න පුළුවන්.
ba94b53eaa	මුදල් කෙසේ වෙතත්
ba951803e1	අද අපේ හාමුදුරුවන් කරන්නේ බුදුන් කී දෙයද?
ba95762a95	රජය බිය විය යුත්තේ
ba95b07e3c	තියෙන ගිණි ගොඩක නෙමෙයි
ba95b4dbdc	ආයාසයකින් නොහොත් උත්සාහයකින් තොරවය.
ba96b98b25	තාපසතුමා ප්‍රකාශ කළේ ය.
ba97009725	කතන්දර ලිවීමේදීයි.
ba97a977ef	අධිගෘහිත දේවතාවා සතුටු කරවීමේ පරමාර්ථයෙන්
ba97de827e	නමුත් මේ සම්බන්ධයෙන්
ba98005801	ඒ නිසා ප්‍රාණ ඝාත කිසිවත් පිළිගන්නේ නෑ.
ba9887af8d	ඔයා කියන එක
ba988b329f	ඩෙස්ක් ටොප් පරිගණකයේ අවසානය
ba9893c060	එනම් උපක ආජීවකයා හට
ba98e91621	ලොකු කෙල්ල නැඟිටල මුගේ අත යටින් රිංගල
ba994e80b4	මේ ධර්මය අනුගමනය කරනු ලබන
ba9994ad97	ව්‍යවහාර ලෝකයේ පැවැත්ම සමඟ
ba9a586ffe	අන්න එකට වැඩපන්
ba9a8c6b31	අපට කොහෙන්වත් ආණ්ඩුවෙන්වත්
ba9aca32b5	අපේ මුස්ලිම් සහෝදරයන්ගේ සිත් නොරිදා
ba9b5301bb	තරහව පුද්ගලයාට, සමාජයට, ලෝකයට
ba9bd58f36	මට ඒ ප්‍රශ්නයට උත්තර දෙන්න බැහැ.
ba9d875d81	බලපෑම් කළේ නැහැ.
ba9df68c7e	හර්ද සාක්ෂිය දන්නවනේ
ba9e336e53	හොඳම දවස තමයි අපිට ලැබුණේ.
ba9e56995c	රැස්ව සිටිය යුතු යි.
ba9f6b4bfe	ගරහන්නේ නැහැ
ba9f99b37c	පෞද්ගලික හිමිකරුවන් සතුව
ba9fd0d66e	තමුන්ගෙම රටට කියන එක.
ba9febcbed	ඒත් විස්තරේ තියෙන්නේ
ba9ff117f7	සොහොන් අසල ගැවසෙන මිනී කටු
baa0319070	මම මෙකෙ විස්තර කියන්න යන්නෙ නෑ.
baa191cf0d	අතරමග නැවතී තිබෙන ව්‍යාපාර නැවත පටන් ගැනීමට ශුභ වේ
baa20556cf	ලියල දෙන්න බැරියැ.
baa2494582	අලුතෙන්ම කුඩා ළිඳක් කපා ගැනීමට
baa3444027	සල්ලි එකතු කරලා ටී ෂර්ට් හදාගෙන
baa3fc491b	කලන්තෙ දාලා වැටෙන්න
baa41b80da	උඹේ රැහේ එවුන් විකුනන් කන
baa427e636	ඡන්දය ගන්නේ ආණ්ඩුවයි.
baa451c4ee	දෙවෙනි ධ්‍යානයේ හිත පුහුණු කරන්න
baa4b2a7ba	මේ අද්භූත සම්බන්ධතාවය
baa4bd74f7	සිතුවමෙහි සෞන්දර්යාත්මක අගය වඩා වර්ධනය වෙයි.
baa4e195f7	පෙර සදහන්
baa4e40613	මෙම තරුණයා බෝධි පූජාවක්‌ පැවැත්වීම
baa4fac2be	ජීවිත විනාසෙ තමයි ඔන්.
baa51da80e	එක්තරා පුද්ගලයෙකු
baa572f854	අපට නම් වර්තමානයේ කවුරු හරි
baa5bed15e	විදේශිකයන්ට තමයි අපේ නර්තනය පෙන්වන්නෙ.
baa602b12f	යටත් නිලධාරියට කනේ පාරකුත් දීල
baa77987d1	අපේ ගමට ඔබ්බෙහි වු දිග පුළුල් ලෝකයක් පිළිබඳ
baa9379a73	පොඩි තැනකින් එනකොට
baa94b8992	සල්ලි හම්බ කරන්න
baa984ad91	දුරකතන සංවාදය මෙසේය
baac94362e	කියවන්න ඇති.
baaceac336	වෙනත් කිසිම ශාස්තෘවරයකුට කළ නොහැකි ය.
baacf8d4bb	බේරගන්න අපි කැමැතියි.
baad71a9af	වික්ටර්ගෙ එක නේද?
baad9407af	මගේ මහත්තයාත් මගේ දුවත් මේ අනතුරින් මියගිහිල්ලා
baadbeb816	මාන්ඩලික නිළධාරියෙකු ලෙස සැළකෙනුයේ
baaf7fd529	ගම්මුන්ට සනාථ කරලමිනි
baaffba145	සිතා බැලිය යුතුය.
bab006630a	ලොව පහළ වී වදාළ සේක.
bab04fcce7	ඊළඟ එකේ අපි කිව්වේ
bab05093ea	කැමැත්තකින් නොවේ.
bab06d2ce9	වෙන්න ඕන මං හිතන්නේ!
bab0737355	ඔහු අවසාන වශයෙන් රංගනයේ යෙදුන චිත්‍රපටයක් ගැන
bab09a2408	සෝම හිමියන්ටත් දෝෂාරෝපණය කළා
bab1da162d	ඉන්දියා නායකයා ගංගානම් ගඟත් සුරකී
bab216ae20	මෙහි දී දේවාල තල්පත ලිවීම
bab2a4ff7f	ඔන්න එතකොටම වාගේ
bab2f93819	අමාරුවෙන් හරි එළවළු ටිකක් කරවල කෑල්ලක්
bab39cc8d2	එයින් අදට වඩා හෙටට යමක්
bab3bfd59f	මේ ප්‍රකාශ හුදෙක් වචන වලට සීමා වෙයි
bab43c67dd	රැස්ව සිටි පිරිස
bab45e3445	අපේ රටට අවශ්‍ය කිරිපිටි සහ දියර
bab4702fcf	පමණක් අර්ථවත් වෙයි
bab491ce90	ඔබ ඉංග්‍රීසි ඉගෙන ගැනීමට
bab55371ea	මුරගලෙහි ප්‍රභවය සම්බන්ධවයි.
bab59fef44	ඒකට හේතුව විදිහට මම දැක්කේ
bab6005252	පුද්ගලයා පුරුදු වෙලා හිටියා
bab6420471	අපේ සැපතට හේතු වෙනවා.
bab69cd84a	රටේ සාමාන්‍ය මිනීමැරුම් වලට
bab6ec89a0	ඒත් එහෙම නෙවෙයි
bab71a51c6	රූපවාහිනිය නිවසට ඇවිත්
bab7b41c4e	ජනාධිපති මහින්ද රාජපක්ෂ මහතා අවධාරණය කරයි.
bab7f99e7f	student of the year
bab85b0107	අපි නොදන්න අපි නොහිතන
bab8df448d	ආශ්‍රය කිරීමෙන් මෙලොව පරලොව ජීවිතය
bab92cfba7	මොකද මම ඔයාටම කියලා තමයි
bab94795b0	මැඩියන්ට කුමක්ද සිදුවූයේ කියා සිතමින් සිටි රජු
bab9830212	කොන්දක් නැත්නම් මුං අපේ
bab99479c9	ඇති වෙනස කුමක්ද?
bab99da625	එකපාරටම ඇලිසන්ගේ තාත්තා
bab9b07da0	අලිටික නං ඉන්නව
baba2cd967	සිත කුසලින් බැහැර කරවා සිටින
baba5eb438	lanka news.com
babb2ab06a	එයින් ඇති කළ බලපෑම ප්‍රබල විය
babba0f19f	මා දී ඇති තුන්වැනි පැහැදිලි කිරීම බලන්න.
babbab9e44	ඔය පොජ්ජවල් ගන්න ගියාම
babcdaa73e	නුවර යුගයේ චිත්‍ර සම්ප්‍රදාය පෙන්නුම් කරයි.
babcf1c4fc	ඇස් දෙක එක තැනක තිබුණෙ නෑ
babd670a2a	බුද්ධ කාලයේ දී
babe58a853	යෝජනා කළ විදුලිය ගාස්තු වැඩිකිරීම
babeb284ce	ලෝකය පාලනය කරමින් ගෙන ගිය
babeb729b6	musaeus college
babedfb88a	ඊලඟට තවත් සුපිරිඑකක් අරන් ඔයාලව හමුවෙන්න එන්නම්
babf74dd25	එදා බුද්ධගයාවෙහිදී
babfdd4fe0	යොවුන් සාහිත්‍ය නිර්මාණ
bac1027215	ගෝඨගෙන් කෙරිච්ච කාර්ය භාරය මිසක
bac1543a83	රජතුමා අර පුංචි කුමාරයාව උකුලෙහි තබාගෙන
bac25dfc87	ඉන්දියානු මහමැතිවරණ ප්‍රචාරක ව්‍යාපාරය
bac2805ce0	විහාරමහාදේවියගේ කුසෙහි දරු ගැබක් පිහිටි
bac2cc1055	payza
bac3644e80	ගායනා කරපු සිංහල ගීත තියෙනවා.
bac3a23e55	ඒත් මේකෙත්
bac3c871d6	ගාල්ල දිස්ත්‍රික්කයෙන් තවත් නායකයකුට මතු වෙන්න
bac41ee831	ඉතිං මෙයත් තමන්ගෙ නව නිපැයුමක් පරීක්ෂා කරල බලන්ඩ
bac47f4273	මෝස් කේත ශබ්දයක් වශයෙන් අසා
bac4964083	ඒ විදියේ රැකියාවක් කිරීම
bac5067e3f	girl
bac51251af	කෝවිල් රස්සාව නිසා
bac537cd8a	ඒත් මිනිසුන්ට ඒවා ගැන
bac562a672	ඒත් මෙතුමගෙ පුතාට මොකද උනේ කියල දන්නවද?
bac5913f29	විජය කියන්නේ දැනුම් සම්භාරයක්
bac5c19e82	රජය යෝජනාවක් ඉදිරිපත් කර තිබිණි.
bac66c2037	උණ පඳුරේ සිර වූ මහා උණ ගසක් හැටියට
bac754cca8	අපිත් එක්ක ගියේ
bac755bcb1	මුල් සිංහල දැනුම
bac81b0776	කුස පෝෂණය වේ.
bac887fe4c	පිරිහෙන්නේ නැති වෙන්න
bac89078af	යම් පමණකින් හෝ පැහැදිළි කිරීම
bac92842b6	ඒත් ගුවන් විදුලිය තවම රූපවාහිනිය තරමටම
bac935a1b7	එක් රොක් වී ඇත.
bac96c22e8	ඕක කපාගෙන යනවට
bac97339b5	හසු කර ගැනීමටසමත් වී තිබෙනවා.
bac9bc2415	ඔයා කැනඩාවෙද ඉන්නෙ
bac9fd4a82	දුර්ලභ ලාභය ලබාගැනීමට
baca02b59c	බයිට් කරන්න තියෙනව නං
baca4c62fb	ගල වේගයෙන් පහළට වැටෙද්දී
baca7357ae	අපේ සාහිත්‍යය ලෝක සාහිත්‍යයෙන්
baca767860	සැබැවින් ම ඉතිහාසය
baca9a1f7f	free games for kids
baca9da10c	ඉතාම සතුටකින් යුතුව
bacac69904	සමන්විත වීමට නියමිත බවයි කියවෙන්නේ.
bacb04ef3a	අපේ කාලෙ හිටපු එකම ආරක්ෂක නිළධාරිණිය
bacbe836a6	නො ලියමි කතන්දර ඔබේ
bacc1828e1	මං පිළිකුල්ම කරන වචනෙ
bacd5d3643	එහිදී ඔහුගෙ පසුම්බිය
bace21018b	උන් මොංගල් එවුන්.
bace6fd12d	සංචාරක සටහනක් එකතු කරන්න
bacf5120d6	කොතෙකුත් සාධක ඇත.
bacfd5a20c	ගිය විට නිරුපද්‍රිතව
bacfe6bd65	හරියට ලියාගන්න බැරි ඇයි?
bacffe1bc7	නිතරම කමෙන්ට් දාන කෙනන් බව
bad0d7be48	සුරේනි සිංහල උපසිරැසියට.
bad15b83e5	foot ball games
bad1dbeb01	ඔවුන් දිවි හිමියෙන් බැඳී ඉන්නෙ
bad2746e85	මොන මගුලක්වත් නැති විය හැක.
bad29c2cff	සංගත තැටියක් එලි දැක්වේ
bad2f0833f	cooking game
bad37a5574	ස්වකීය ආත්මාර්ථය පදනම් කරගත් බලකාමින්ට
bad3844463	එම බාරය ඔප්පු කිරීම පිණිස
bad3848d83	අනුෂ්කට ඕනෙ ඉක්මනින්ම
bad3b4b231	නොකළ වරදකට නීතිය යටතේ
bad40270ef	හැමට ඉහලින් ගෞරවාන්විත තැනක
bad40f9d7f	අපි ඉතින් මුහුදු ගිහින්ම තමයි
bad460e4eb	එය පුද්ගලයා බොහෝ අයහපත් චර්යාවන්,
bad4c925b3	මෙහි ආරුක්කුව මුදුනේ
bad5e85c69	පල්ලි යන බොහොමයක් මිනිස්සු පොදුවේ ගත් කල
bad6759da9	ගෑණු පිරිමි ඔක්කෝටම
bad68549e8	ඒත් මේ ලින්ක්
bad6a39771	අපිට ශ්‍රද්ධාව පිහිටන්නේ කොහොමද?
bad6aaf969	රජයේ හමුදා වලින්.
bad6b0ba24	කුමන ආකාරයෙන් සිදු වී තිබේද?
bad7e68b09	නාග කුමාරයාගේ හිස වටා ඇති
bad8ac7ab6	cinema.lk
bad9310a5d	එදිනෙදා ජීවිතයේ සිදුවන
bad94d1f9a	කතා කරන්න හදන කෙනාට වෙන්නේ
bad9bacc5d	පසුකලෙක ධර්ම කථික භික්ෂුණීන් අතර අගතනතුර ලැබූ
bad9d96019	දේවදත්ත හිමිහිට ඒ ගල සොලවලා පහලට පෙරළුවා.
bad9dfdd2e	නොයෙකුත් දේ සොයන අතර
bada3cb61c	කායික වශයෙන් නොව
bada4b21cd	චුන්දගෙන් පහර ලබන අහිංසක ඌරන් තමයි.
badb2e1a5c	සෑහෙන පරක්කු වුණා නොවැ
badca8c72c	ඉතා වටිනා උපකරණ එවී ය.
badd1e6e4a	ඉහත සඳහන් ගාථාවන්හි අර්ථය මෙසේ ය.
badd2085dc	අශ්වයන් බලන්න යමු.
badd2dc453	මෙය තහනම් කලේ
badd407dfb	මේක පවත්වන්න.
badd4dc5d0	ඔබට සේවා දායකයි එක්ක
badd8f56a2	විකාර ධර්ම දේශනා රැල්ලක් ද මතු වී තිබේ
badd9e6071	මෙම උතුම් ගාථාව
baddc27a90	ඒත් මේ විහිළුව
bade004733	රටේ මිනිස්සුන්ගෙ පින් සල්ලි වලින් නෙවෙයිනෙ.
bade45fcd6	ඒත් නොබැලුවා වගේ ඉඳියි.
bade8a47f8	මෙය වුවත්
bade91bfc7	අවශ්‍ය ශක්තිය විදෙස් ගතව සිටින අප සහෝදර ජනතාවගෙන්
badedfb963	අපට අවශ්‍ය කරණ අංඟ සම්පූර්ණ කෑම බීම නොලැබීම.
badf127b3d	අප මෙතෙක් ආ ගමන් මග
badff34dd1	අද අපිව මෙතනට වැට්ටුවෙ කවුද?
bae0ecfe68	ආඩම්බර වෙන්න තරම් දියුණුයි දැන්
bae1a49efb	යම් බුද්ධි මට්ටමක්
bae1bd08c8	අට්ටාලයක් ගහලා ඒකේ
bae1fc1c50	භාවනා කළ යුතුයි.
bae20a8913	අපි ඒ වෙලාවට කතා කරන්නේ පුතාලා ගැන.
bae22907fe	බුද්ධ දේශනාවේ දැක්වෙන අන්දමට
bae2a14a9f	නැවතීමේ උත්සාහය පටන්ගත්තෙ
bae317a7e8	උන්වහන්සේ කවිය අමෝරාගෙන සටන් වැදුණේ ය.
bae3c112bb	රෝගය පාලනය කළ හැකි බවත්
bae3eea380	හිතාගන්න බැරි ලෙඩ
bae41200c9	miss sri lanka derana
bae413a6f3	අපිට හිතන්න වෙන්නෙ
bae4432b35	මේ වප් පෝය බෞද්ධ ප්‍රජාවට ඉතා වැදගත් වේ
bae4e10ccc	මීට කල්ප අනූ එකකට කලින්
bae6260dd0	එතකොට සිරිගුත්ත හයියෙන් කෑ ගහලා
bae6a5ee16	මේකට විරුද්ධ නොවුනොත්
bae6daf1cb	වද වේදනාවලට මුහුණ දීම සඳහා
bae7315a1f	එය වරදක් බවයි.
bae777cba1	ඔවුන් වසලයන් බවත්
bae81f764c	public administration
bae8b7f8d7	මම හිතන්නෙ මහා කස්සප හිමිට බැරිවුනා
bae9d8890a	සුළඟ හෙමින් හමලා රෝස මල නැළෙව්වා.
baea2c77cb	එත් මං අහල තියනවා කතාවක්
baea3c7ae3	ඉක්මනට ගෙදර යන්න කිව්වා
baea88a8de	දැන් එම තත්ත්වයට පත්ව තිබේ
baeb05014d	මියගොස් සිටින කාන්තාව අසරණයි.
baeb1db25e	උද්ඝෝෂකයෝ බැංකොක් අගනුවර වීදි ඔස්සේ
baeb5c9235	භාග්‍යවතුන් වහන්සේ කරා එළඹියේය.
baebdafc0f	මවුපියන් සතු කාර්යයක් වේ
baec37a6b0	ටක් ගාලා ආවා ගීතය බලන්ඩ
baec55c784	ඇති කොමෙන්ට් එකක්.
baec731e54	මෙච්චර නත්තල් සීයලා අතරින්
baec7759e3	ඇත්තටම මේක මම බලපු හොඳම ෆිල්ම් එකක් කියන්න පුලුවන්.
baec90f6e8	ජන හා සංඛ්‍යාලේඛන දෙපාර්තමේන්තුවේ
baed0d3cd9	ඔහුගේ ජනප්‍රියතම ගීත
baed39d961	අපේ රටට අවශ්‍ය කිරිපිටි සහ දියර
baed6c5fe7	අපට අදාල නැත
baedc2c28e	සිත සංවර වෙලා තියෙන කොට
baee9ee65b	තෙල් නැත්තන් මුන් ඔක්කොම
baeeba5912	මට මතකයි මේක ඉස්සර
baeece2637	ප්‍රභාකරන්ට එයාගේ ගේත් අහිමිවෙලා.
baef5e9c00	චිත්‍ර කලාව සංගීත කලාව හා සමාන භාවික තලයක
baf0c39ed7	සංඝයාට බනිනවද?
baf12c1aed	සෑහෙන් කාලෙකට පස්සේ ඔන්න ආයෙත් ආවා.
baf1323d3a	බොහොම ස්තූතියි හසන්ත සහෝ
baf15b021a	ආයෙත් රසවත් සටහනක් ලියන බලාපොරොත්තුවෙන් සමුගන්නවා
baf1906f08	ඇගේ හොඳම යෙහෙලිය ආදරේ ප්‍රකාශ කරපුවාම?
baf1f30c24	බුදුරජාණන් වහන්සේ දේශනා කර වදාළේ
baf2111367	දරුණු වචන දේශපාලකයෝ කියන බව ඇත්ත.
baf21c90f4	මේ වැඩ කොටස නිසියාකාරව කරගෙන යනවා
baf275c0df	කලින් ලියා ගත්තු මත නම් ගම් වෙනස් කරලා
baf32592b5	ඉඩකඩක් ලබාදෙනවා
baf36f074c	මෙන්න ආපහු මතකය අලුත් කර ගන්න හින්දම බානවා.
baf3a7933c	ඉඩ සැලසීම ගැන
baf3d7a0a4	ආරවුලක්‌ තිබෙනවද?
baf3e7ee51	සැබැවින්ම අපේ ශ්‍රී ලාංකිකයින්
baf3fce517	අනවශ්‍ය පමනට ඔහුව යොදා ගැනීම
baf407ae17	ඔයාගෙ මුණ අප්පිරියාවෙන් විරූපි වෙන හැටි
baf40c5f0a	අපිට ජීවත් වෙන්න
baf433e614	අතීතය දෙසින් බව මම පවසමි
baf460d21a	ඔක්කොම හොයලා මෙතන දාගෙන
baf4df3674	ලබා දෙන්න උත්සාහ කරලා නෑ.
baf53e285a	බෞද්ධ ශ්‍රාවකයාට දෙව්ලොව හිමිවන ආකාරය
baf5a1ebb3	පොඩ්ඩක් පරක්කු වෙලා.
baf718e7e7	kadulu
baf734d403	පුද්ගලයන් දෙදෙනෙකු මිය ගොස් තිබේ
baf73c684f	තිබෙන බවක්ද පෙනෙන්නට ඇත.
baf77503f1	උං අතර හොඳ මානුෂික බැඳීමක් තියෙන්න ඇති
baf7affed4	මෙම තත්ත්වය නොමැති විට
baf7ef42eb	තරුණයාට තමාගේ පිරිසිදු බව ඔප්පු කිරීමට සිදු ව ඇත
baf8aef3f3	අනුන්ගේ කාර් එකක්
baf8c80f00	එහේ උන්නු අලි පැංචලාට
baf8cc9279	මාධ්‍ය භාෂාව බවට පත්ව ඇත
baf9136a0b	සිත පහදින්න නම්
bafa5078bd	wedding cards
bafba1e15e	එලිසාගෙ අම්මට මේ නිවස බදු දීපු අය
