e20023ae49	මා විසින්
e230f0863f	හැබැයි අංක වශයෙන් ගත්තොත්
e230f2e88c	ශක්තිය ධෛර්යය වාසනාව හා කාලය ලැබේවායි එක සිතින් පතනවා
e230fa4209	සෑම නිවසකින්ම එකක් බැගින්
e231bdf142	ඊලාම් යුද්ධයට එරෙහි විරෝධතා පැවැත්වූ අතර
e231f7b0d9	ඔබ සිහියෙන් ඉන්න නිසා තේරුම් ගන්නව
e2325e72df	lak hiru teledrama
e233646fec	ඊට පස්සේ ඒ මුදල
e23377b447	සිංහල උපසිරසියට බොහොම ස්තූතියි! එළ එළ
e233840b92	මේ සයිට් එකෙන්
e2338bc090	විසඳා ගතහැකි දවසකි.
e233989672	ලස්සන තැනක් ලැබෙන
e233a448e5	එනම් මව පියා
e234570d62	එයින් සිදුවන්නේ පිනක් නොවේ.
e2349dd331	විනාශයට පත් ව ඇත
e234a6d73e	කුළුණුබර හැඟීම් පිරි පුරුෂයෙකි
e235292629	එක්කො ආපහු නැගිටල ගිහින් කුටියට ගිහින් නිදාගන්නව
e23536e3c5	උපාදානස්කන්ධය යනු සියුම් ශක්ති විශේෂයකුයි.
e2355f9c58	මේ සත්පුරුෂ ඇසුර තුළින්
e235c63d25	මේක වාසියි.
e2360c9d0e	පුරාවිද්‍යා අංශයට භාරදුන්
e2363e1724	අනේ ලංකාවෙනම්
e2368879c0	තමයි ගාගමෙල් කියන්නේ.
e236e0038c	වායුගෝලයේ ජල වාෂ්ප ප්‍රමාණය ද අධික වේ
e236e9870c	දකුණු කොරියාවේ දර්ශන තල වල
e237201e40	අමු සොහොනේ නිදාගන්නා බවත් පැවසුවාය.
e23759c25c	එහෙම දෙයක් උනාම දුක් වෙන්න
e237b06dd0	පුරුදු පුහුණු කොට
e237db2a65	ගොඩක් උදවු කරන යාළුවො වෙනුවෙන්
e2383be13a	ඒ අවස්ථාව උදා කරගත යුතුයි.
e238678922	නිසියාකාරව ළමයින්ට ඉගැන්විය නොහැකි වුණොත්
e2387c01fd	භාග්‍යවතුන් වහන්සේ කෙරෙහි සිත පහදවා ගන්න
e239090016	පවත්වන්නකු බවටද තොරතුරු අනාවරණයවී තිබේ
e23974bd9f	ජනප්‍රවාද රැසක්
e23a0028c9	බොරු නිසා තමයි
e23a2a245f	ඉක්මනට අන්දවන්න පුළුවන්.
e23a2bfad9	සීට් එක ගැනත් සැලකිලිමත් වෙන්න ඕනෙ.
e23a724dbe	වළක්වා ගැනීමේ වැදගත්කමයි
e23b2745bd	බණ පිරිත් ශ්‍රවණය කිරීම
e23b4f291f	උඹ උඹේ කැටගොරිය නියමෙට ලියල තිබ්බට
e23bb18dd5	මට බොහෝ අය අඳුනගන්න ලැබුණා.
e23bec3859	තුශාරි ටිකක්
e23c132e84	දීපු නිසා නම් නෙමෙයි.
e23c5319ec	තමා පරාජිත පෙම්වතෙක් නොව
e23c8d5043	ලැබූ තෘප්තිය උපරිමයි
e23d926fd3	බොහොම ස්තූතී ආ
e23e2b81cf	බං කියවන එකාට
e23e9f23b6	තව වැඩි කල් නැහැ
e23eb43455	මේ සිංහල වාක්‍යය වැරැදි බව
e23eda9a9e	sri lanka business directory
e23f0d205a	ඉකුත් වසරේදී එම කිරුළ දිනා ගැනීමට
e23fc9493e	එසේ වන්නේ ඇතැම් විට
e23ff9ea6c	ඊට පස්සේ මුළු පවුලම
e24012a66f	යනුවෙන් මා ලීවේ
e24060030e	වැව්රුකන්නලත් අලියෙක් කුලප්පු වේ
e240781864	එහි වැදගත් කොට නොසලකන සම්මුති ලෝකයෙහි
e2407c2166	ඉරානය සිරියානු රජයට සහාය
e240aa1b42	නොමැරී අනේක විධ දුක් විඳී
e2410294ba	පෙර දා මෙම කණු මත
e241188cf3	රක්ෂිත මායිමේ නිවසක් අසළ එම ගස් රැසක් තබා ඇත.
e24146497e	ඇමැති හීලෑ කරගන්නට මහන්සි විය
e24207b597	ඉදිරියේ විසඳාගන්නට පුළුවන් බවට
e2422b3559	විධිමත් විය යුතු බවයි අපි පවසන්නේ.
e242376fb0	සිංහල සංස්කෘතියට ගරුකළා.
e2426111e5	magazines online
e242f4be47	වෙඩි තියලා මරලා තිබුණා
e24303d7e1	මෙතනදි වුනේ ඒ සල්ලිවලින් කොටසක්
e24319b81a	අනුන්ගේ දියුණුවට හද තුල මුදිතාව
e243a8ba24	අප මාර්ග උපදේෂකයකු ලබාගැනීමට උත්සහ කලද
e244167c64	යශෝධරා භික්ෂුණිය ගැන
e2446c3d0b	විද්‍යාත්මකව බැලුවමත් ඇත්ත වෙන්න පුළුවන්.
e2453b3ae6	අකුරල ප්‍රදේශයේ නොගැඹුරු දියෙහිද
e24557cce1	පැවසූ නිසා නැවැත්තුවා
e2458d36d9	එල්ලුම් ගහ ඕන කියන අයට
e2465b5cff	කුමරුට එහි වාසය කිරීමට ඉඩ දුන්නේය.
e246a99ad7	මේ ප්‍රකාශය බුදුරදුන්ගේ මුවින් නිකුත් වූයේ
e246aeecb4	ලැජ්ජාවට කාරණයක් නෙවෙයි.
e246cf1e74	මොකෝ කියන්නේ?
e247592030	එය විහාරස්ථානයට
e247c2cf5b	මෙම බෝධීන් වහන්සේලාත් සමඟම යටකී
e248330a24	කපන්න කොටන්න පුළුවන් වෙයි එදාට.
e248c15d91	භාවනා පුහුණුවෙන් හාත්පසින් නැඟී සිටි
e24a43d002	පටැලවුණු කීප දෙනෙකුට
e24a43ebaf	එකෙ මම ආශා නළුවො ඩබලම ඉන්න නිසා
e24a928246	තෙරුවන් අරමුණු කරගත්
e24b7fab5f	අසාර වූ අනිත්‍ය වූ පිළිකුල් වූ මේ ශරීරයට
e24b982439	බෞද්ධ ආගම නැතහොත් පන්සල මූලික කොට ගෙනය.
e24c282404	එවිට ගෙවැසියන් හා එය දකින්නන්
e24c75889f	එතුමා මා කැඳවාගෙන ගියේ එතුමාගේ නිවසටය.
e24c7676da	එයින් මගියාගේ කාලය නාස්තිවීමත්
e24d18dd63	අපි ඉතින් රත්නපුරේ පහු කරන්න
e24d209cad	අලුත් පරම්පරාවේ නවකතාකරුවන්ට
e24d6c9712	අපි විලාසිතා යොදා ගන්නවා
e24da77814	අමතක වීමෙන් රතු වල්ගකාරයා පසුකර පියෑඹීමට යෑම
e24dbd1da7	මාව බය කරනවා.
e24e423d07	නැවත නැවත අලුත් වීමක් සිදු වෙනවා.
e24f465e58	හොදයි කියනවා නේ.
e24f9a6fc9	පසුදින පැවැත්වීමට නියමිත
e2507fa0f7	මම නොදුන් දේ ගැනීමෙන් වැළකීමේ ශික්‍ෂා පදය
e250b60582	අනාගතයේ ඔබ
e250cd666c	චන්දිමාල් ගෙන් හිස් වන ස්ථානයට
e250ec427f	ඔබේ සිත තුළ විශ්වාසය හා මායා රෝගී
e25142de9c	පීඩිත ක්‍රමයට හැඩගැහිලා ඉවරයි.
e2514fc19b	පෙරදින සන්ධ්‍යා සමයෙහි අඳුරත් අතින් අරගෙනය
e251b3f6c6	වරායේ සංවර්ධන කටයුතු නිම කිරීමට නියමිතයි
e251b43f40	එයාට උගන්වන ගුරුවරයකුයි ගැන තමයි
e251e4a6c0	gsmarena
e25255ea49	මේ වගේ චිත්‍රපටියක් ගැන ලිව්වට.
e2525d55ae	සත්‍යය දැන ගන්න උදව් කරන විදියට
e2526f3b5b	ආගමක් නැහැ
e252bd2124	දෙපාරක් තුන්පාරක් විතර ගියා..
e252c93d1f	අනිත් අය වැලි සිමෙන්ති ගොඩගහගෙන
e25323fb78	එක එක ජාතිය ජීවත්වෙන පළාත්
e2534b68ef	රට ජාතියට නිසි මග කීවේ මහා සංඝරත්නයයි.
e25355c791	අද දක්වාම බැතිමත් බෞද්ධයාගේ
e253668537	සැකයක් තියේ නම්
e2539348d1	තුශාරි අදහස් කරන්නෙ
e253e8ceb8	ඉතින් ඇයට එම අරමුණ ඉ‍ටුකරගන්න හැකියාව ලැබුණද
e254e3f523	යුද පිටියක් බවට පත් කළේ
e255238ba5	උපදින්න තැන් ගොඩාක් තියෙද්දී.
e2554bd9c7	එම නැවත නැවත අල්ලා ගැනීමේ
e2557a2f5d	sri lanka news room
e2560cc7cf	උන්වහන්සේ කවිය අමෝරාගෙන සටන් වැදුණේ ය.
e2564755c5	"ඔය ""පැන්"" ""වඩම්මනවා"" ""පුජා කරනවා"""
e2567c009c	යළි පැමිණියහොත්
e2573088ea	ඔය වතුර බෝතල් සීන් එක
e257566e82	පන්තිවලට අළුතින් ආ ගැනයි.
e2579af49f	යනුවෙන්ද ඔහු සඳහන් කළේය.
e257b31f70	එම දෙවියා සිංහල ජාතියට ආදරය,කරන,
e257b46a0d	එය සිහිපත් කිරීම් වස්
e257cbf7c1	කවදාවත් දරුණු චරිතයක් නිර්මාණය වෙන්නෙ නෑ.
e257ee0380	ඝෝෂක මඩි පිහිටා නෑ
e258d797bf	එදිනම අපර භාග 10.53 දක්වා
e2594ac610	ඔවුන්ගේ කැපවීම වෙනුවෙන්
e259914859	මේ ජඩ වැඩේ එක්ක.
e259a34f24	එසේත් නොමැති එක් පාර්ශවයක්
e25a0e84d0	අහසේ කළුව බල බලා නාලනී ටීචර්
e25a4eedad	දේශපාලනේ නොකර අයින් වුනත්
e25aa64430	වහින්න ඔන්න මෙන්න අහසක් කර ගත්තා
e25aa8a0a1	යම් ක්‍රියාවන්ට පරිවර්තනය වීමට ඉඩ තිබේ.
e25b036cae	පොර ආර්ටිකල් එක ලියලා තියෙන්නේ.
e25b0cc3fe	මහේස්ත්‍රාත්වරයා විසින් ප්‍රශ්නකොට ඇත්තේ
e25b1d6446	ඒත් ඉතිං
e25b680950	ලහි ලහියේ ගමන ඇරඹුවාය.
e25bd2e73d	දිය ඇලී වනපෙත් වැසි වනාන්තර ආදියේ
e25c9b25f7	ඒත් ඒක කාර්යක්ෂමතාවයට බලපාන්නෙ නෑ කියලයි
e25cbd9823	මගේ ආත්මය ලෙස
e25cd6839b	මෙම කට කතාවේ යම් සත්‍යයකට තිබුණේ මහරාජා සමාගම කියන නම විතරයි.
e25cedb192	බුදුදහමේ පැහැදිලි කරනුයේ
e25d1fad64	ධාතුන් සමඟ ඉන්දියන් රජයෙන් ලැබුණූ
e25d2e8e4f	මේනිසා බුදුරජාණන් වහන්සේගේ ධර්මය තුළ
e25d98199d	අපේ දැනුම
e25e1a9681	රසය දිවට බැඳිල තියෙන දෙයක්ද?
e25f246317	ශ්‍රී ලංකා රදගුරු සම්මේලනයේ ලේකම්
e26049394d	එහෙත් දැන් නැකත් කමිටුවකින්
e26061af6c	විපාක දෙන අයුරු හරි පුදුමයි.
e261a16ff8	මූණෙන් ඉඟියක් දෙන්නවත්
e261ad2b58	තම ගමනේ අරමුණු
e261f82f6a	ඔන්න උඹලගෙ
e26222a10a	හොඳට ඉගෙන ගෙන ඉස්සරහට
e2624406b5	සාමාන්‍ය මනුෂ්‍යයෙකුට පහසුවෙන් ග්‍රහණය කරගැනීමට
e2624d5a4c	තමයි මම ඉපදුණේ.
e262c075d4	එනම් පරිගණක ක්‍රිඩාවෙ විරුද්ධවාදියා
e2634e0be2	පිළිවෙලක් සොයා ගෙන යමු.
e2639f41a9	බුදුන් වහන්සේ දිනක්
e263bfe89e	මෙන්න මගෙන් සුභපැතුම්
e263d9be49	අන් අයගේ සිත් රිදීම් සම්බන්ධයෙන්
e263db2a04	ගෙන ගිය විරෝධතා ව්‍යාපාරය
e263e2448d	ඔන්න සී නිවුස්
e2640102c5	තමාව පුද්ගලභවනය කරගන්න අතරෙ
e2642a64ef	මොකෝ මාත්
e26444394f	සිය හදිසි නීති මර්දනකාරී පාලනය
e26446b138	අපිට ලොකයේ උත්තර නැති ප්‍රශ්න වලට
e2647a3135	උපේක්ෂාව දියුණු කිරීමෙන් ලබා ගන්නා චිත්ත සමාධිය
e265bb021d	අනේ මහත්තයා
e2675f0676	ගිලින ලද යකඩකූරු ඇම නිසා
e267750a4a	එහි නඩු තීන්දුව ආ දිනයේ
e267813a0d	අනාගාමී කෙනෙක් උපදින්නේ බ්‍රහ්ම ලෝකවලයි.
e267ca80c1	ප්‍රධානම දේ තමයි පින ගැන
e267f94d30	හැබැයි ඒ සල්ලි කවදාවත්
e268442e5b	අමාත්‍යවරයා විවාදයට ඇරයුම් කරනු ලැබුවේ
e2685d0f96	අනෙක් සමුරායිවරුන් සියලු දෙනාවම
e268850e9a	යන්න මම උදව් කරන්නේ නෑ.
e26890357d	මෙම මූල ධර්ම තුනක් ධර්මයේ සඳහන් වේ.
e2691c4a6f	එම විහාරයේ නඩත්තුව සඳහා
e2694a0f4b	බස් රථවලට
e269e12f0b	එබැවින් එය ප්‍රකෘති ශීලය නමින් හැඳින්වෙයි.
e26bc09c51	මෙකී අවිද්‍යාව නසා
e26bc5f2c2	නුඹ තවත් පමා වන්නේ කුමට?
e26c149a85	මගේ පැතුම තමයි
e26d0f2805	අනේ ඇනෝ ඔයිට වඩා අපහාස
e26d7d8d51	මේක පොතක් විදිහට එලියට එනකම්
e26dbfdb0d	සිදුවන්නේ විධිමත් ආකාරයටය
e26e68882b	එවිට මුණ ගැසුණු සැම භාහමන් වරයෙක්
e26f0b70e6	ඇතැම් විට මහණ වුණත් එවැනි කතා වලින් නිදහස් වෙන්න අමාරුයි.
e26f4d3d8b	මතු පිටින්.
e26fa8c597	සිදු වූ තැනැත්තෙකුට
e270288408	තමන් ගෙනත් බොන අය හිටියා
e2702c7bdb	සැබෑවට ම සමත් වී තිබේද?
e27034f9a2	එබැවින් ඉවශිලිවන්තව හා ධර්මානුකූලව කටයුතු කිරීමෙන්
e270400397	එහෙම යවපු එකක් නම්
e270a85b5f	එම තරගාවලියේ අවසන් වටයට පෙර වටයකදී
e27122298b	දැදුරුඔය පිටාර ගලන බවද වාරිමාර්ග දෙපාර්තමේන්තුව සඳහන් කරයි
e27137d9d0	මළුවේ පූජාවක් පවත්වලා
e27173de02	sinhala school girl
e271ad40ff	රට පිළිබඳ බාහිර දැක්ම
e2721ce537	කවුරුහරි අයින් වෙලා යද්දී.
e2732f6927	අවසනදී සදහන් කළ යුත්තේ
e273a68b3c	කලා ක්ෂේත්‍රයේ පමණක් නොවෙයි
e273b189b8	මනුෂ්‍ය ලෝකයට ආවේ
e2741c8082	එක්වන ප්‍රථම ගුවන්සේවය
e2741d80d4	soie
e2744f4652	තිසර පෙරේරාගේ අනගි ඉනිමෙන් ගොඩනැගුණු
e274b6c135	මේ සඳහා කළ කැපවීම
e274dcbb4f	දේශපාලන නායකයන් ලෙස
e274e8b4b8	බොහෝ දෙනෙකු දැන සිටියේ නැත
e2750d1943	එම වාර්තාවට අනුව
e275c10461	මගේ පටක විශ්ලේෂණයක් කළා
e275fb5eb8	සිතීම පවා නොමඟ යෑමකි.
e2766744fc	රූපවාහිනියේ අම්මත් එක්ක එකට නිවේදන කටයුතු කර
e276ad0b64	dammika pathirathna
e2772f646c	පංචශීලය බෞද්ධයාට පමණක් නොව
e277ca2b83	ත්‍රාසජනක වැඩ කරනවා.
e2780ee4dc	වඩා විස්තරාත්මක වශයෙන්
e27864f0c6	ඒ කතාව නෙවෙයි.
e278a01d8e	තප්පර කීයක්ද?
e278a0bd39	ඝාතකයෝ සන්සුන් ගමනින් යන්නට ගියහ.
e2793d6c82	මඩකළපුව රෝහලට ආවා.
e279461c3d	මේ සිදුවීම බුදු දහමට අනුව විශ්වාස කරන්න බෑ.
e279a50d28	අහන ප්‍රශ්නෙට උත්තර නොදී
e27a2651e6	මේ තුළින් මා ඔබට පහදාදීමට සූදානම් වූයේ
e27ae97ed5	ආරාධිතයින් ලෙස විතරයි.
e27b26c8cc	වික්‍රම් කපූර් හා ටීෂා ඛන්නා.
e27b3f078b	උගත් නෑ
e27b54fbf4	නිවන් සුව පතමි
e27c01d2da	ඒත් අවබෝධය නිසා අකුසල් ‍රැස් වෙනවා
e27c1bfad5	උඹ දැකලා නැද්ද
e27c301289	උත්සහ කරන්නම්
e27c71a58e	දේශපාලනය කරන්නේ
e27c8bbd2b	ඇහේ පිළිකාව හැදිලා
e27d02152b	ඉතා කනගාටුදායකය.
e27dabd1ec	ඇයි මහ ලොකු කතෝලික ඇමරිකාවට පුළුවන්නං
e27dfe3b3e	games freak
e27e0f3cfb	ඒත් එක්තරා සිදුවීමක් නිසා
e27e43af5c	දැනුම් පද්ධතිය නිර්මාණය කල යුතුය
e27ea09c7b	මොකද තවමත් ඔවුන් යුද්ධයෙන් පීඩා විඳ විඳ ඉඳලා ගැලවුණා විතරනෙ.
e27eae123b	රෝහල් ගතවීමට සූදානමින් සිටින බවද
e27f00e9b8	උගෙන් සල්ලි එහෙම අරගෙන තියෙනවද?
e27fd86581	ඒ ගැන හිතා මතාම අමතක කරලා
e28039a9d6	මෙසේ හට ගෙන
e280890ae4	බුදුදහම අනුමත කර නැහැ.
e2812f41f0	එහෙම කතාවක් නොහැදෙන ලෙසට
e281aa64c7	මේ ලෙසින් ගත් කල්හි
e2825b068f	ඇල්බට් පෙරේරා කියන කතෝලිකයාට
e28312834e	අරගෙන ගියාට පස්සේ
e2834f929a	ත්‍රිපිටකයෙන් උපුටා ගත හැකි
e2837f6c5c	එම අපරාධය නාඳුනන පිරිසක් කළ බව
e2838b7f7b	ඔච්චරම බදු සහන අර සහන මේ සහන දෙන්නේ මොකටද
e283d2bd1f	නේද අය්යේ
e283eb941c	විනාඩි 5 සිට පැය දක්වා දිවෙන බව
e283f58852	ප්‍රගුණ කරන හැටි
e2841eedfa	ලෝකයෙන් මකා දමා
e28426e2fc	මූලීන්ම බලන්නේ මේතන
e28451e4c3	එය බුදුපියාණන් වහන්සේ වෙනුවෙන්
e2845b41e9	ඔවුන් සදාචාරයේ හා දයාවේ ප්‍රතිමූර්ති වන බවයි.
e2858d6777	වාසගමත් තියෙනවා.
e285d58d25	හරිහරිඕක සිතුමිණයි වෙන්න ඇති
e28608f9f6	අපි මොනවා හරි කරමු කියලා.
e28627d995	යුද්දෙ වෙනුවෙන්
e2864e43d6	අවුරුදු තිස්පහේදී උපදවාගත් අවබෝධය
e287a103d5	හෝදන්න වෙන්න වැසිකිලි තමයි.
e287e9a635	දැනට අත්හිටුවා තිබේ.
e287ebbda0	සරණංකර හිමියෝ පනස් වියේ පසු වූහ.
e288edf907	ඵ්නම් ආයතනය මඟිනි.
e289b9c54b	පුතා අසනීප වුණු නිසා
e289e46373	ඔබ කැමැති පෙම්වතා
