d4000e4cb5	දන්න ඉටි ගෙඩියකුත් නැහැ
d40cd6ee31	හිඳි බුදුරුව දෙපස සම්ප්‍රදායික මල් වැලකි
d40ce10fe7	අමාත්‍ය ආචාර්ය දි.
d40cf29f35	ඔහු පියදාස මහතාට
d40cf6ed34	ඔබ දන්නවනෙ කැලිෆෝනියාවේ විශේෂයෙන්ම
d40d57d5b8	හරියට කියන්න මතක නෑ.
d40e6481fd	රටේ සිදුවන අපරාධ සහ අනතුරු රැසකටම මුල්
d40e6d1e44	ඇනා ද තමන් විශ්වාස කිරීම
d40e7ab368	ඔන්න මම උපසිරසක් අරන් ආවා
d40e7fdfa7	බොහොම ස්තූතී ආ
d40ea21e9a	ඉතිහාසය ඇතැම් අවස්ථාවල ආගම කොට කල්පනා කිරීම
d410ed3688	ඒක විකුණ ගෙන කාපු උන්ට
d411d99ae1	ලුමිනස් කාර්යාල ගොඩනැගිල්ල තුළට
d411ea9276	හාමිනේ ඒ තරුණයා අපේ දුව දුටු ගමන්
d411ebae0f	මේවා ජාත්‍යන්තර වුවමනාවන්ට සිද්ධවෙනවා වෙන්නත් පුළුවන්.
d41281770c	උදා සහෝට සහ විකී සහෝට ගොඩාක්ම ස්තුතියි
d4139c0112	වෙළෙඳ ව්‍යාපාරිකයන්ට ලාභ ලබාගත හැකි දවසකි.
d4139c6523	මනසත් කිසිම දෙකින් තොරව
d413aefdd3	අයියා! දැන් අයියලාට හිතෙන්නේ නැද්ද
d414099803	එම නිසා ඒ මාසය වෙසක් මහ
d41514ab37	අන්තිමේ මේ මැහැල්ල
d41515b353	කොටස් විසි හතරකටයි තියෙන්නේ
d4152fbfbf	එවැනිම යන්ත්‍ර සූත්‍ර තිබුණා
d4159edab3	යම් මුදලක් අය කළ හැකිය.
d415c1d9a4	colombo chat
d416cc7776	snow white
d4171c597d	නම් ගම් කීමෙන් හිත් රිදීම් විනා
d4173d15b3	එනිසා ද මෙම ප්‍රශ්නය
d4181b1564	වෙන්න ඕනි කියන්නේ.
d418ac2966	විජය රජුගේ පටන් පණ්ඩුකාභය රජු දක්වා
d418b89ccd	අටවැනි වතාවට එංගලන්තයට යන නන්දා මාලිනියට
d418dee334	ප්‍රඥා පාරමිතාවට හිමි වන්නේ ප්‍රමුඛතාවකි.
d4190719a0	milk products and constipation
d41946d9c3	මරණ බයට මුහුණ දීලා සිටියා.
d419d58baf	ඇයට ආරංචි වී තිබු නිසා
d419e660c6	අපි කවුරුත් නොහිතන දෙයක් සිදු වේවිද කියලා
d41a7431a1	ජනතා අභිලාෂයට අනුව යන නිසා
d41ac62ec7	ඉතිං අපේ රටේ ඔය දෙකෙන්ම මේ කටයුත්ත වෙන්නෙම නෑනේ
d41aca026a	මම ඒකට කැමති වෙනවා
d41ae71217	ඉදිරි අනාගතය උබට
d41b3fe465	ඒකේ ප්‍රතිඵලයක් විදියට
d41b746f17	සංඝ පිළිවෙත් පෙන්නුම් කළ
d41bbe3b18	මේ සියලු සිදුවීම් වලින් ප්‍රදර්ශනය වන්නේ
d41bcd09c0	වීරගුලේ ගුරුතුමා වන අතර අනෙක් තැනැත්තා
d41c0dc0c1	මවගේ හදවතේ දුක් වේදනා
d41c64472c	මෙම නියෝගය නිකුත් කර ඇත
d41c71a97b	විවිධ මත ප්‍රකාශ කරනවා.
d41cc1ef4f	දමිල අහිංසක ජනයා
d41ccf1e03	බෞද්ධ විහාරස්ථානයක සියලු අංග
d41cd8462d	අනික පොර මොන වගේ
d41cf46974	හැබැයි ඔහු දන්නවා
d41cf61eb3	ගමේ ඉන්න ‍පොඩි වෙළෙන්දාට තමයි
d41cf75511	උඩු යටිකුරු වෙන්න
d41d3668c5	ගලවලා දැම්මාම
d41d6fce7b	අංගුත්තර නිකායේ පළමුවැනි නීතත්ථ සූත්‍රයෙහි සඳහන් වේ.
d41e8ddd3b	අලි මිනිස් ගැටුම තරම්ම වන්නට
d41eec434e	කියන්න දෙයක් නෑනේ.
d41f159c68	අභියෝග භාර දිය යුතුයි.
d41f1d66e7	ආනාපානසති භාවනාව සමග
d41f2bdf1c	භාවනාවක් පිළිබඳ උපදෙස්
d41f3c9034	එසේම ඔබ කියනාකාරයෙන් වූ අඩු පාඩු
d41f95a58b	එකා හදිසියෙම ඩොමෙන් එකකුත් ගත්තා
d41fa0ebad	අපි දන්නවා.
d41fa608f5	එමෙන්ම ජාතික චින්තනයන් ලැබූ
d41fd773de	එම රන් රුවන් මුතු මාල වළලූ ආදිය රැකීම
d421586a2f	කලාව ආගම සමඟ සංස්කෘතිය
d4216bf7a8	පුරුදු කරවන එක
d4218a2f02	india actress
d42197ec7f	ඒ පුංචි මිනිස්‌සු හොයලා දෙන
d421c00134	අනේද කියන්නේ
d42261204b	සැඟවුණු උගුල් කුමක්ද
d4229dcf7c	තමන් ඉගෙන ගන්න
d423227333	එකෙන් ඇතිවුන කම්පනයට අදත් ඒ ළමයා මානසික ලෙඩෙක්
d42339e565	ඒකනායක මෙහි ප්‍රධාන ආරාධිත අමුත්තා වුවත්
d4234736a1	ජුදී ජන පහන් සාංවේගය උදෙසා
d423579d02	ඒක හොඳද නැද්ද කියලත්
d423bba893	ඔබට සමහරවිට මෙය නරඹන විට හිතෙයි
d4245e6d5d	ආත්ම වශයෙන් විශ්වාස කෙරිණි.
d42481a7b0	අප ණයවී ඇත.
d424b92910	ලොව පුරා බෞද්ධ විහාරස්ථානවල දායක පිරිස්
d424c97f14	බඹසර හැසිරෙන්නවුනට අනුග්‍රහ කරන්නේය.
d4251b1762	ඇමේසන් ගවේෂක වනමැද තිබෙන දැඩි සීතල දරාගෙන තවත් ඉදිරියටම ගියේය.
d4251dcd81	යක්ෂ, නාග ගෝත්‍රිකයන් සිටි බවට
d4253feace	මේවා නිසි අයුරින් ඉටුකිරීමට හැකි වන්නේ ද
d425889918	එහි සත්ත්ව පොසිලද පවතී.
d425ca839d	වැඩිය ලඟට එහෙම යන්නේ නෑ
d426277ccc	ටිකක් විවේක ගන්න ඕනෙලු
d42675f92e	තේමීය ජාතකයෙන් ගෙනහැර දක්වනු ලැබේ.
d426adc1f7	උද්දිකගේ රඟපෑමට
d426b6059e	සිය සොල්දාදුවන් බදවා ගන්නේ
d42740a554	හෑල්ලුවට ලක් කරන්නේ නම්
d427a28131	එම කලාපය
d427d0099a	තැංකුයි මෙයා සිද්දිය ගැන නම්
d4289f7583	අදාළ ලිපියෙත් කියල තිබුණෙ
d42933b200	නළු කොලුවා නැගිටියි
d42a030328	පැන නගින ඇතැම් ගැටලු 100 ක් පිළිබඳව
d42a4d1317	එහි මගඵල ලාබීන් නැත
d42ad5596d	සෑහෙන පළල් සංවාදයකට අවශ්‍ය
d42ad75b7a	කොයි ඡායා රූපයත් ඒ වගේමනේ කියලා.
d42aeb355c	මෙම විග්‍රහය තවදුරටත් පැහැදිලි කර ගැනීමට
d42aece571	ඒවාට ආර්ථික මධ්‍යස්ථාන දැම්මට
d42b6c85ed	අභ්‍යන්තර හා බාහිර සාධක මත
d42bc30a38	පෝස්ට් එකට එකතු කලාට.
d42bc95c76	ඉන්දියාවේ මීළඟ අගමැතිවරයා
d42c41a992	ඉටුකර ගැනීමටත් හැකිවනු ඇත.
d42c9227b9	ඉස්සෙල්ලා කියහං බලන්න විශ්වය කියන්නේ මොකක්ද කියලා
d42cf6e58b	ඒ උණුසුම අවසන් වූ පසු
d42cfe6c3b	අපි කැමැති
d42d1df92b	මගෙ තියන උද්දච්ච කමට.
d42d4513a7	කරඬුව බැඳීම ගැටලූවක් වූයේ නැත
d42de14604	දෙකක් හරි
d42dff2df8	ඒ වගේම දියවෙලා යන දේවල්
d42e375566	ඇය රඳවා සිටි නිවසේ සිරකාරියක ගේ මට්ටමිනි
d42ec8266c	කෙලින්ම මුහුද කරා යන්න.
d42f3c9326	ආයේ ඉතින් අමුතුවෙන් කියන්න ඕනි නෑනේ
d42f67aac1	එතකොට මේ දැරිවි අරගෙන එන්නේ
d42f68538a	අදාළ පැමිණිල්ල සම්බන්ධයෙන්
d42fa419e4	නමුත් දැන් ඒ බව
d4305718cf	වගාවන් පාලු වෙලා යනවා
d4307cea2f	එබැවින් නිසි වයසට පත් වූ විට
d4307e5c78	එය පියගැටයක හැඩයෙන් යුක්ත විය.
d43112a223	ගාමිණී සර්
d43207625f	මහතා අදහස් දැක්වීය
d4322cc6c0	විශාල ජල පහර එතැනට
d433980bdb	මේක මෙතන කවුරුවත් නොකිව්වට
d433e702ca	සැනසීම ලබා දෙන දැනුම් පද්ධතියක්
d433ef0231	එහි සුන්දරත්වය කියා නිමකළ නොහැක
d43403e998	සායම් සඳහා ගිය මුදල පමණක් ලබා ගෙන ඇත.
d4342db9ec	සොනාලි සමඟ පැය තුනක්
d434cc9c7e	එම පුද්ගලයා ඇයි මේ
d435083987	පලමු හා අවසාන එක උනේ
d4351448fe	මෙම නම්බු නාමය ලැබුණේ
d435621bed	එමෙන්ම ක්‍රමයෙන් ආදායම වැඩිකර ගැනීමටත්
d435d5afcf	බ්ලොග් ලියන්නේ
d43602a926	එහි ඇත්ත නැත්ත විමසා සිටියා.
d436129149	harry potter
d4362db18b	ජාතිය වර්ධනය කරගන්න බහ නේද?
d4363d027e	අර කතාවක් තියෙන්නෙ
d436c153e7	ඔයා දෙදාහක් දෙන්න
d436cdac91	මට මතක් වුනේ මෙන්න මේ
d436e18a66	මුළු රටම එසේ එකමුතුව ක්‍රියාත්මක වුවහොත්
d4372b2eca	ඊශ්‍රායලයේ ආක්‍රමණ නිසා
d43745d824	සමාජ ආර්ථික සංවර්ධන අත්පත් කර ගැනීමේ ගමනක්
d437c16a77	ලේඛනාරක්ෂක දෙපාර්තමේන්තුවේ ලිියාපදිංචි කර තිබෙ
d437ca06eb	මේ වන විටත් ක්‍රියාත්මකය
d437fb8dc5	ගායන වාදන නර්තන කළ බවත් සටහන්වෙයි
d43867687e	හින්දි සිනමාවෙත් එවන් ඒවා ඕනෑ තරම් තියෙනවා.
d4393514f4	බෙර සෑදීමෙදී
d43951f9a6	දකින්න ලැබේවි.
d43952c88e	බුදුරදුන් නම්
d43a5125cc	අපේ ඔය කියන දික් කොටස නැතෙයි
d43aa03643	බිරිඳකගේ වගකීම අතිවිශාලය.
d43b9b0bd7	උබ කියපන් පුන්චි බන්ඩෝ
d43c8d3e0a	ඔය වගේ එකක
d43cad1479	උන් කරන්නේ පාර දිගේ යන සංචාරකයන්ට හොඬ පා
d43cbbd06a	මේක දැනගෙන හිටියා.
d43ce10ead	උඹ හිතන් ඉන්නෙ දුර මැන්නෙ අඩි වලින් කියලද?
d43d2b1de0	අර පොඩි කාලේ මතකය
d43e0a2480	හරියටම කලින් කියල තිබුන වගේ
d43e834063	එම ප්‍රකාශ නොකිරීම
d43f5acea1	දැන් දකින්න ලැබෙනවා.
d43fb64562	තර්ක කරන්නවත් දෙයක් තියෙනවද
d4402a6d99	මනුෂ්‍යයකු මැරී
d44043166e	සාමාන්‍ය පෙළ සඳහා
d440581d5c	කතන්දර ආවේ අද ඊයේ නොවේ.
d440b00a65	බුද්ධිය වැඩි දියුණු කිරීම පිණිස
d440d0a07f	පුද්ගලයෙකු වටා ගෙතුන කතාවක්
d440de53f3	නිකන් හිටියා
d441739ad1	අනික පාසලෙන් ලැබුණ පන්නරයත්
d441a5f41e	එහිදී තැනට සහ මාතෘකාවට අදාලව
d441f4ee8f	ගුවන් සේවිකාවකට අසීමිත නිදහසක් ලැබෙනවද කියලා
d44270d84e	ආත්ම විස්වාසයක් නැති අය
d442c43827	neck shape for kurta top
d443d610b6	ඉතිං අපි දෙගොල්ලෝම එකම චිත්‍රපටයට
d44451ad1a	ඉතා රහසිගත ස්ථානයක මිහිදන් කිරීමට
d4446dd550	දක්ෂ නිරූපිකාවක් වෙන්න ඇයට
d4449f7874	මණි අක්‍ඛිත නා රජු ඇතුළු සැම දෙනාටම
d445287b0b	news lanka
d445c6d1c0	භික්‍ෂූන් වහන්සේ හා ගිහි පඬිවරුන් විසින්
d445fb607e	ආගම් පිළිබඳව විවිද මත පැවතුනද
d446ca464e	ඒ අයට හිමි තැන් දැනගෙන
d446e7f10b	ඔය ඉන්නේ අගේට
d447576b31	රට කාබාසිනියා කරන්න කැමති
d44766e1c2	මහා සංඝයා වහන්සේ එම කාර්යභාරය
d4481c658a	ඔය කියනව වගේ
d4483d38fe	මෙම සෙනෙහබර, එනමුත් ධර්මයම ඇසුරු කරන
d448f5528a	නිව්යෝර්ක් නගරයේ ඉඳලා.
d4490c8a1e	නැති බවයි.
d449353629	ඒවා සොයා ගන්නා බවට ඔහු පොරොන්දුවක් දුන්නේය.
d44a0d89f2	විවිධ ආකාරයකට හසුරුවා යා හැකියි.
d44a5fe2ba	කරන්නෙක් නොමැතිව කෙරෙන්නකි.
d44a6b1643	සිංහ ආදායම් මාර්ග
d44b362c9b	ඔබ අප පසු පස්සෙන් එනවා කියල.
d44be90e93	නිසි දෙයකට යොමු නොකිරීමේ හේතුව
d44c265b14	මරණය දෙස බලා සිටියෙමි.
d44c27e043	නොසිතූ ආකාරයෙන් ව්‍යාර්ථ වීම
d44c8823ea	ඒගොල්ලො පොඩි කයියක් එහෙම ගහගෙන
d44d144298	අර සින්දුව කියන්න ඇත්තේ ඒකි තමා
d44d2e6207	කෙල්ල ට්‍රැක්එකට වැටෙන්නෙ.
d44da7b5d7	පත්තිනි දේවියට කැප කර ඇත්තේය
d44dd40f1a	මෙය හොදම අවස්ථාව කරගෙන
d44df7c348	ඡන්දය පැවැත්වීමෙන් ප්‍රතිඵලයක් නැහැ
d44e188785	උන්වහන්සේ පැවිදිවුන
d44ebf0642	අධ්‍යාපනය විද්‍යාස්ථානාධිපති පාප සංයෝග බැවින්
d44ef82384	හොඳ හෝ නරක හෝ සිතිවිල්ලක් මුල් කරගෙන
d44f129d93	ඔබේ මනස දියුණු වුණොත්
d44f61b2e6	හිතින් කොල්ලෙක් උනත්
d4504cc39d	ඉන්ද්‍රිය සංවරය ඇති කිරීම
d4507d9850	පුළුවන් නේද.
d450cf04a1	ක්‍රමවත් පදනමක් මත පියවර කිහිපයකින් ගොඩනැඟී ඇත.
d4511ab1f6	ඉතිහාසය ඇතැම් අවස්ථාවල ආගම කොට කල්පනා කිරීම
d4517858dc	මිට පෙර ශ්‍රේෂ්ඨාධිකරණය මගින් ද නඩු තීන්දුවක් දී තිබෙනවා.
d451a4de4a	අපිට පොඩි දිරිමත් කිරීමක් දෙන්න
d451c4fb00	දේශීය මුදල් සංසරණය වූයේ ද දේශය තුළම ය.
d4522e1f6f	මේ වැඩ නිසා දිනකට රෝහල් ගතවන ගනන අති විශාලයි.
d452701df6	සිංහල මිනිස්සුන්ගෙන් ඒ ප්‍රඥාව
d452c7796c	ඒ නිකෙලෙස් රහතුන්ගේ දැක්ම
d45345c06b	උරුම හිමිකම්,
d4534bc92d	අපි ඉවෙන් වගේ දන්නවා
d45368c4a4	උන්මත්තක අරමුණු කරා
d453c6d65c	මැනවින් හෙළිපෙහෙළි වේ.
d453caefb8	හැබැයි ඔබ මොන ලෝකයක සිට ආවාදැයි
d453e8ac1f	ඊට පස්සෙ මෙහෙම කිව්වලු.
d4548c2a0b	මේ මන්ත්‍රීවරුන්ට මේක බලලා යන්න දෙන්න
d454d9808b	ශ්‍රී ලාංකිකයා මරදාන ප්‍රදේශයේ පදිංචිකරුවෙකි
d455284ac5	කරන්නෙ ඉදලක් හදල කාටහරි විකුණන එක
d455459329	ජෛව විවිධත්වය කොයිතරම් විචිත්‍රද.
d455eff419	මැකා‍ෆි ආයතනය පවසනවා
d4561a34e9	ආණ්ඩු පක්ෂයේ දේශපාලනඥයින් විසින්
d45796cca3	ඉක්මනට දෙන්න?
d457a7d012	ඒකාලේ බෞද්ධයෝ මදි නොකියන්න
d457adfbc3	දඩයක්කාරයා ඛෙරකාරයාගේ දුව සමඟ
d457f87afd	ඔය පුතාට
d45810f087	එහෙත් ඔහු පසුකාලීන ව
d458183999	මිලානෝ බලකොටුව වීඩියෝ දසුන් සහිතයි
d4582a1ace	ඇතිකර ගැනීම ප්‍රතිඵලදායක වන්නේමය.
d458a5ad36	උඹට දඹාන අවුල්ද?
d459c196d1	අහල තියෙනවා.
d459ec5689	තිස්ස කෘතිය
d459f1d830	මම අද දෙන්න යන්නේ.
d45a480494	අනිවාර්යෙන්ම යොමුවෙනවා
d45adf2488	මොකද බඩුගන්න තවත් කඩ තියෙන නිසා
d45b2d89ef	එම නිසා පින්වත් මහණෙනි
d45b561393	මෙහි විහාර මන්දිරයේ නිර්මාණය කර තිබෙන
d45b577c5e	ඉන්න නළු නිළියන් කවුද
d45bb05fec	ඉතින් හොරා යන්න ගිය නිසා
d45c5fb5f2	උස් පහත් භේද හැර
d45d1092b9	එය නිර්මාණය කළේ
d45d996f06	ඔක්කොම මෙතනදි පාවිච්චි කරනවා.
d45dd75c1a	වඩා වැදගත් බව පැහැදිලි ය.
d45e02ae95	පියවර ගෙන තිබුණේ නැත
d45ebdea65	අවුරුදු ක්‍රීඩා ජන ක්‍රීඩා ඇතුළු
d45ed48c4f	elephant tub
d45f65dc18	මට නම් ඔවුන් ටික පේන්න බැහැ
d45f765e78	ඒ ළමයගෙන් අනාගතයට වැඩදායක නායකයෙක් බිහිකරගන්න තිබුනා
d45fc0eba0	ත්‍රිපිටකයෙහි නොයෙක් තැන්හි සඳහන් වීමෙන් පෙනී යනුයේ
d4601367db	ආරක්ෂක නිලධාරීන් සටහන් කරනවා..
d4601f9564	අපේ ස්වභාවික සම්පත්
d4614cade6	රහත් උතුමන් මේ කිසිම තැනක කම්පා වීමක් නෑ.
d46213efb8	ඒකෙ කිසිම මෝඩ කමක් තියෙන්වද කියලාත්
d4629d9c04	වංශකථාගත සාධකවලට අමතරව
d4631b150b	ඔබ චිත්‍රපට හෝ
d463a71622	අත්තම්මා ටෙලිනාට්‍යය අපි සැබෑ ජීවිතයේත් පෙම්වතුන් කළේ
d463c43f38	භාවනා ක්‍රමවේදයන් වර්ධනය වීම
d463d32d6c	බෝගම්බර බන්ධනාගාරය වේ.
d463e16748	ඒ කිව්වේ මැයි මාසයේ නිකුත්වෙන
d4646fb4cf	හැබැයි ඒ යන ගමන්
d464bcd654	ජනප්‍රවාදයන් හා එකතුවීමට
d464d2856c	එබැවින් මැලේ ජාතික නායකයන්
d4652b810f	මට්ඨකුණ්ඩලී කතාව, සාමාවතී කතාව, ලාජා දෙව් වත ආදී වූ කතා පුවත් මගින්
d46557f6ae	එහි සිංහලෙන් ලියූ
d465b609ea	මේ දැකපු වයසක මිනිහව මරලා දාන්න
d466e7f60c	එයා යම් කෙනකුගේ අගුණයක් දැක්කොත්
d466f8ccc1	පිවිසි ජෝර්ජ් කීට් මහතා
d4671d8cfb	twilight
d46744c4b6	දිමුතු සහෝ චාලි චැප්ලින්ගේ චිත්‍රපටි මමත් බලන්න පටන්ගත්තේ
d467a111cd	නොදී ඉන්න බැහැ නේ නේද?
d468ba1330	පට්ටම පට්ට චිත්‍රපටයක්.
d468de1636	අනිත් අයට
d4698125f3	පසුගිය දා පැවති අතර
d46a04a96b	ඒකාන්ත වශයෙන් ඔහු දුක් කෙළවර කරන්නේ ය.
d46a100cbf	ජාල සම්බන්ධතාවෙ කැඩෙනවනේ.
d46a623b35	බැලූ බැල්මට නීති විරෝධී ලෙස පෙනෙන
d46a67f319	මහින්දාගමනයෙන් පසු මිහින්තලේ ඉදි වූ
d46a98b672	බද්ධ වී ඇති නිසයි
d46accb43c	කොහොමත් බෞද්ධයෝ වශවෙන්
d46ae47d4e	අවසානයේ ඔවුන් වියදම් කළ මුදල ද
d46b20bd9c	එක්කෝ සත්‍යයි
d46b412f1b	මාත් බාන්ඩ දැම්මා.
d46b96b005	උදාර සොහොයුරාට අප සැමගේ ස්තූතිය
d46bd22fb1	තිව්තිසා දෙව්ලොව සතර දෙවිදුගේ පුත්‍රයා වී උපදිනවා.
d46c19963f	සිරිමා බෝ හාමුදුරුවන්ට පැන් ගන්නා
d46c49ec12	ගොවිතැනක් කරගෙන ජීවත් වෙන ඔහු
d46cd21a0d	අපේ රටේ කොච්චර වැදගත් ලස්සන ස්ථාන තියෙනවාද?
d46e2e4e5b	උන්වන්සේ සම්බුද්ධත්වයට පත්වෙලා
d46e832abf	wedding cake structure
d46e9a3a4d	ඔය කියන මෛත්‍රීය තේරෙයි
d46ea3bd3c	එතනින් ගිහින් ගුවන් යානයට ජෝ නගින්න ගියත්
d46f02ba11	ගිනි තබා විනාශ කර ඇති බවත් කියැවේ.
d46f2af6f8	බුදුරජාණන් වහන්සේ දැකීම
d46f9930f2	එමෙන්ම මෙහි ඇති කුරගල පිහිටි ගුහාවෙන්
d46fd7454b	ඔබට මහත් ආශිර්වාදයකි
d4701a6c5b	යන්තන් කාලෙකට පස්සේ
d4702c7e1a	අනුරාධපුර මහ නගර සභාවේ
d4703c079a	පොඩ්ඩක් උතුරු මුහුදෙන් පැනල
d4706f2e24	අඩුම ගානේ කිරිතේ වත් බොන්නැ
d470d70942	ඔබට මේ ‍දේ කරන්න බෑ කියලා
d470dac9c2	එබැවින් තමන් පිහිට කොට
d4716a630a	එකෙනෙහි එක්‌ සගයකු පාර දෙසට යන්නට වූයේ
d47170f5de	ගොවියා කරාවි
d471a62009	වෙල්කම් බැක්
d471b47562	එබැවින් එකල විසූ බොහෝ භික්‍ෂූන්
d471c50805	ඇතැම් විට බලවත් ග්‍රහ කෝපයක් වෙන්නට පුළුවනි.
d47216ce4b	පැදුරු හෝ යම් ඇතිරිල්ලක් එලාගෙන
d472aad983	ඒ සඳහා අවබෝධයක් කැමැත්තක් ඇති නොවේ.
d472ad755b	ශ්‍රී ලංකාවේ කලා මණ්ඩලයෙනි.
d472ef330d	නියමයි නේද?
d4736adca0	මෙම සිදුවීම් ඇසුරින්
d4755a53d6	අම්මේ ඔබ අපට ආඩම්බරයෙකි.
d475f80367	ලංකාවට වැඩම කරල
d4761a002e	මිනිස්සු උස් හඬින් මහහඬින්
d476268c92	සෑම වසරක ම පළවන නවකථා
d4769f751e	එය යුද්ධය විසින් ජීවන අශාවන්
d476aa3976	අවශ්‍ය දේවල් දෙන්න පුළුවන් නම්
d476f93e72	කතාබහ ආරම්භ කරනවා
d477179185	සාලෙන් ආයෙමත්
d47790ba2c	ගිලන් භික්ෂූන් වහන්සේලාට
d477f958c4	එතැන ගන්නේ නූගතුන් හා මෝඝ පුරුෂයින්ය
d47850aa06	මේකෙන් ගැලවෙන්න තිබ්බ
d478c3e8d5	මොකද මේ වන විට
d478dd398c	ඉන්දියාවේ රාමායනේ එන රාම කුමරු
d478e6bc32	මේ මැයි මාසයේදී
d47943d3d8	දේවාල ආශ්‍රිතව පිහිටුවා ඇති කප වටාය.
d479952450	එහෙත් අදාල කටයුතු පිලිබඳ
d47a63583c	බුද්ධියෙන් දෙන්නා වූ දාන ලෙස හඳුන්වා තිබේ.
d47a8d735c	මේ අයට කරගන්න බැහැ
d47a9c1427	අන්තිමේදි බලනකොට
d47b014da4	ඔයා තවම පොඩීනේ
d47b2ba695	ඔබ වැනි ගැලවුම්කරුවන් අපට අවශ්‍ය නොවීම පිණිසය
d47b5923ea	යමෙක් පස් පවින් වැළකී
d47c28f796	ව්‍යායාම් ගැන කියලා දුන්නා.
d47cb151ce	ඊට පස්සේ බලපිටියේ සිද්ධාර්ථ විද්‍යාලයට ඇතුළත් වුණා
d47ce5849e	ජනාධිපති මහින්ද රාජපක්‍ෂ මහතා වෙත යොමු කර ඇත
d47d5aeef2	බෝම තුති ඉක්මන්ටම දෙන්න
d47d6bba25	එවැනි අබිරහස්‌ ඝාතන සිදුකර
d47de245c0	එකී ක්‍ෂේත්‍ර පාඩු රහිතව පවත්වාගෙන යාම
d47e3b0004	ක්‍රියාත්මක නොවීම කනගාටුවට කරුණක්.
d47e4cd4ac	ඇහුවාම මෙන්න
d47e7aecda	worlds end
d47ebe149a	එළියට එද්දීම
d47f24fffe	කන්ටවත් නිදහසක් නැති හැටි.
d47f2d7739	තද කළු පැහැයෙකි.
d47f8fbd91	ඉර එළිය රස්නෙ වැඩියි
d47faebe85	මහරජතුමනි මේ මොකද
d47fcd17cc	සල්ලි වලට සුද්දාගේ ලෙවකාපු උන් කියලා ඔක්කෝම දන්නවා
d480ee4f88	ඉතිහාසයේ මහා ශිෂ්‍ය සටන්වල
d48154e859	ඇතැම් බෞද්ධයෝ ද ඒ මත පිළිගෙන
d48189e849	සිය පුතුට පවසනු ලබයි.
d481e9d6ba	බෞද්ධයකුව උපන් ඔබ අතිශය පුණ්‍යවන්තයි.
d4826cc739	ඔවුන් සමග කතාබස් කරන්නේත්
