98005c5fc7	හොඳ ජොබ් එකක්.
9824456e20	ඉතා වැදගත් ධර්ම කරුණක් අඩංගු වී ඇත
98244e7c56	කිලෙසවට්ට හා කම්මවට්ටයි.
98245a693e	ආණ්ඩුව කළේ මීට එරෙහි වූ
982477a5f3	පොඩි හාමුදුරුවන්ගේ මහණ වීමත් සමගම,
982492b116	අනුකාරක සංගීත සම්ප්‍රදාය ප්‍රතික්‍ෂේප කරලා
9824a35f7a	ප්‍රාග් ඉතිහාසඥයෝ විශ්වාස කරති
98251a5d45	විරුද්ධ වෙන්නෙත් නෑනේ.
98256676ff	අකුරු කියවන්න හොඳ මෙයාල තමයි.
982594f88d	ඒ වගේම ජනප්‍රිය තරු රසක් රංගනයෙන්
9825be0c1f	උපසිරැසි සමඟ
9825c9a4aa	යෞවනයාගේ වචන තුළ නොකියූ
9825cd0441	ඒක තැලසීමියා හොද කරන්න
9826690a8d	ඒත් ඒගොල්ලන්ට ලැබුණෙ
9826ccbdab	තම කටයුතු සාර්ථක කර ගත හැකි වේ
98277792a5	මමත් කීප සැරයක් ම බොරු වලට අහුවෙලා තියනවා.
9827a6d268	මේ මෑතක් වන තුරුම
9827e9a52c	මෙම කරුණු විග්‍රහ කර බලන විට
9828255b77	අනුරාධපුරේ යනවාට සාපේක්ෂව සීමිත පිරිසක්.
9828972354	අධ්‍යාපනය උසස් අන්දමින් ගෙන යාමට හැකි දවසකි
9829cea43b	මම කැමති සාදාරන හේතු සාදක තියෙනවිට
982a9abc75	කප් සිටුවීම යනුවෙනි.
982b821e89	ඒවට ඔය බැටරි හා ඉන්ධන දෙකෙන්ම දුවන ඒව.
982b980b2e	ශිල්පීන්ට යන එනමං නැතිවුණා
982c1d653f	සෘජුව හා වක්‍රව සම්බන්ධව සිටින්නන් ය.
982e8202ef	දුෂ්කර කටයුත්තක් නොවේ.
982ea41063	ඔබේ ව්‍යාධියට
982ee79cc9	මේක දීල මෙතරම් කල් ගිහින් වුන
982eebcc64	වම්බටු හොදියි බතුයි හරි
982f028333	එයාම තමා ඇනෝ
982fbca081	අනුන්ගේ බ්ලොග් වල අදාලත්වයක් නොමැතිව
98300c0e42	එයා මේකෙන් නිදහස් වීමක්මයි
9830677252	එතකොට තේරෙනවා
983080ac48	එම සමුළුවේ දෙවන සැසිය
9830fde46c	දැන් පැහැදිලිව පේනවා.
98310b1298	කුමරිය කෙරෙහි ගැටළුවක් පැන නගී.
9831cb58f5	ඉදුරුව රක්ෂිතය හරහා චමත්කාර ජනක දසුන්
9831d67680	සංඝයාවහන්සේලා විසූ බව
983276a2a3	මෙසේ මෙලොව පරලොව දෙකෙහිදීම
9832a92455	ඇයි එවැනි සංගීත කණ්ඩායම්
98339c4013	එතකොට කවියා කරන්නේ
9833aab469	අනිවාර්යයෙන් අමුතුම හැගීමක් තමයි ඇතිවෙන්නේ.
9833fd9b7c	ඒත් ඒ ගැන හරි හැටි
9834441d1a	microsoft
9834466256	cute cat
98345cac43	තුවාලේ නැති එකාට නෙමේ.
9834aca646	එයා ඉරිසියා කරන්නෙ නැති
9834bf522a	මායාකාරියක් මතු වෙලා
983524f3a1	දක්‍ෂතා පෙන්නුම් කරන මාසයක් ද වේ.
98353b16a9	උපතේ සඳු දෙපස
9835d89084	වෙන වෙනම විමර්ශනයට ලක් කිරීම
9835ec85fc	ඔවුන් මිලදී ගනු ලබන
9836939f8b	මන්දපෝෂණය සෑදී මිය යන්නේ මිට දශක ගානකට පෙරදීය
98370764cf	ආකාර කීපයක් දක්වයි
9837138144	අතිශයින් ම මහත් ඵලතර මහානිශංසතර වන්නේ ය.
98374e9227	යොදන බව ද දක්නට ඇත.
9837eafb2f	ඉතින් එහෙම නෑ කියලා අපි අපිට වින කරගන්නවද?
98385380f8	අවිශදාත්මකව හෝ මුලිනුපුටා දමන්නට හෝ තැත් කරයි.
9838f74705	අනෙක් ජාතීන්ගේ ඉතිහාසය
983948162f	උන්ගේ රතු කට්ටත් පනීවිනේ.
9839613d3c	මේ සියලු කරුණු සැලකිල්ල ගත් විට
983986d812	අසිරිමත් දෙතිස් මහා පුරුෂ ලක්ෂණයන්ගෙන් යුක්තයි.
98399131ee	සම්මා වායාම සම්මා සති නැත්නම්
9839fe79e6	කාගෙවත් වෙන්නෙ කොහොමද?
983a2d6ea9	ගැලවීමට හැකියාව ඇත.
983a5ab1c4	අදත් එක් සත්‍යකතාවක් තුළින්
983a771501	මම කැරැල්ලේ ඉතිහාසය
983a83bbab	උදේ වනවිට හිටියේ නැහැ.
983a83c816	ලබන්නට ඇති වාර ගණන්
983b221571	දකුණු අත්ල ඉදිරියට දක්වා ඇති බවක් පෙනේ.
983b649183	ඒත් මං නොගියොත්
983b6d4134	තවත් වාහනයක් ගන්නව
983b7671ae	ඒ පාරේ
983bad7f26	එහි ආචාර්යවරු වූහ.
983bbdc5aa	විනීත වචන මාලාවකිනුයි
983bfe00c7	ඔහුට අන් කිසි දෙයක් වැදගත් නොවන බව
983c4fecc3	ජය වේවා!.
983c58dbd4	රුකුලක් වන අතරම කියවන්නා තුළද
983cd23aa7	දෙකම ඉවරයි දැන්
983d431978	එදා සිට අද වන තුරුම
983d64451a	උප්පලවණ්ණා තෙරණියයි.
983d70e193	පසුපසට නෙරා ඇති පර්වතය
983dc290b8	girl hd wallpaper
983dcfbbf5	පුළුවන් තත්ත්වයක් නෑ
983e0a74e8	ඇයි පාසලේ වැඩවලට ළමයින්ගෙන් මුදල් එකතු කරන්නේ
983e1a39dc	විහිදී ගිය බැව් ශාසන ඉතිහාසය සාක්ෂි දරයි.
983e3c6613	එය මිලිටරිය තුළ ති‍යන ප්‍රධානම ප්‍රතිමානයක්.
983eaa3a22	ඒක තමයි විශ්ව විද්‍යාල ජීවිතේදි
983f6ac05b	මොකද යමෙකුට චෝදනා කරන්න ඉස්සෙල්ල
983fc1f8ae	බලා‍පොරොත්තු ඉටුවීමෙන් සිතට සැනසීමක් ගෙන දෙන දවසකි.
98400c2864	සෙත් පැතීම
984050fecc	මෙසේ සැරියුත් මහ රහතන් වහන්සේගේ පරිනිර්වාණය සිදුවූයේ
984056d35d	ටෙලිග්‍රාෆ් පුවත් පත කියයි.
9840740c55	සරසවි කොටු පවුර තුළ
9841304223	එයින් තම සිතිවිලි පාලනය කර ගැනීමේ
9841c4db05	මොකක්ද එකෙන් වෙන්නේ කියලා
9842021b5c	හිතේ තියෙන ළාමක දේවල් දුරු කරගෙන,
98421c0203	අප ගුවන් මඟින් ලංකාවට පැමිණ
9842343d35	එවිට සේවකයන්ට දැකගත හැකි වූයේ
98426f8821	පෘතුගීසි ආක්‍රමණිකයන්ගෙන්
984285ada1	ඔබතුමා දකින ආකාරයට
9842cddd2c	මේ ශාසනය පවතින්නේ ඒ සබඳතාවය අනුවයි.
98430af018	පැවිදි වූ පසු කෙනෙක්
9843137300	එම හේතූන් නැතිව යාමෙන්
984321ee1f	මහාවංසයේ සඳහන්ය
98439f2f10	මේක සිංහල උපසිරැසිත් එක්කම
9843e047eb	අගනා ශාස්ත්‍රීය ලිපි සතරකින් සමන්විතය.
98442e7441	දේශපාලනඥයාගේ පුතා
98446c23db	පහන් දැල්වීම සඳහා
98455ae3df	මානසික ලෙඩක් නෙමෙයි කියල ඔප්පු කරලා තියෙනවා
9845c85805	වරු පිරිත, තිස් පෑ පිරිත, තුන් තිස් පෑ පිරිත, සති පිරිත, සෙත් පිරිත දැක්විය හැකිය.
9845f3356b	තවම සටන් කරනවා
98462c8afd	මොකද මේ තැනට එන්න
984648ba14	ඔය කාරණාව අප්‍රධානයි කියල මට හිතෙන්නෙ.
98465ac1c5	lakshmi mittal
9846635de7	ගේදොර කටයුතු වැඩිදියුණු කර ගැනීමට හැකිවේ.
98471f3289	ඔය රූකා ගේ පට්ට ටියුන්
98476cbdd5	රැකියා කටයුතු සාර්ථක වන අද දින
98476d2054	ගොවීන්ට මහවැලියෙන් කිව්වා වගා කරන්න කියලා.
9847d6d96b	hindi song
984805592b	අපේ භාෂාව උගන්වන අධ්‍යාපන ක්‍රමයම
98485950d5	වැය නොකරන එක අපරාධයක්.
984877c4f6	අවසාන රජ දවස දක්වාම මෙම වාරික්‍රමය
98487df6b6	එයින් කියැවෙන්නේ ඇත්තේ
9849fde38d	අතිශයින් ම පැහැදිලි ය
984a09e207	බටු ඇට දෙකක් උස නැහැ
984a8edb4e	සම්බන්ධතා මැදිරියට යොමු කරනවා
984a9a85bf	අනික මේ අදහස නිසා කෙනෙක්
984aec8deb	මැදිරිගිරියේ ගොඩනැගිලි
984b008fa0	නමුත් මේ අවස්ථාවේ මෙම ප්‍රශ්නය ඇසීමෙන්
984b6dc4ca	එනිසාම ශිෂ්ඨත්වයේ
984b8ef546	මම දැක්කේ නෑ කියන එකයි.
984c48c46a	මෙහෙම දෙයක් හරි කරලා
984c722029	රාත්‍රී අටට පමණ අලි ඇතුන් සහිත මහ පෙරහර
984c80c277	විනාඩි ක් පමණ තියලයි ගන්නේ.
984cb46210	යුද්ධය නිමාවූ පසු ඇති වු සන්සුන් බවයි
984cf23007	අව්‍යාජත්වය, විරාගී බව හා
984d5eb930	ඒබ්‍රහම් ලින්කන්ට අවුරුද්දක්ව තිබියදී
984d8eade1	ඒ මිනිස්සුන්ට කැලේටවත් යන්න තහනම්
984e1b3246	පිරිස් හැසිරවීමේ කටයුතුද සංවිධානය වී ඇත
984e3ac372	මේ හා සමග ඇති වෙයි.
984e7a51f1	බටහිර විද්‍යාව බොරුවක් බව දනිති
984f2128ed	නමුත් ඒ කාලේ වෙද්දී
984f8a953b	වෙනස් කරන්න වෙනවා
984f90b65b	විද්වත් ජනතාව හොඳින් දන්නා කරුණකි.
984fe6e896	අපේ අම්මගේ කම්බායක්
984feb1deb	බෝධින් වහන්සේ දෙගල්දොරුව විහාරයේ චිත්‍ර නිර්මාණවලට
98501089df	අළු චුට්ටක් මැව්වත් මහා හාස්කමක්නේ.
98502feb75	උතුරේ මන්ත්‍රීවරුන්ටත් එදා උතුරට යන්න බැරි තත්ත්වයක් තිබුණේ
985080ceb5	බුදුපියාණන් වහන්සේ වදාළහ.
98508d02c6	මෙතන නෙවෙයි
9850a41bc6	එය ස්තූපයේ ඉතා වැදගත් වූ
9850ece8a0	මහානුභාව සම්පන්න මහානිසංසදායක වූවකි
98512e09ea	ගෞරවනීය ස්වාමීන් වහන්සේ ඇතුළු
98512f6394	අනිත් පත්තර ගැන කවර කතාද
985168cff0	නමුත් ඒ පීඩනය
9851adf06a	කක්කුස්සි හදන්නයි
98526a0c34	අප අමතක නොකළ යුතුයි
985290b489	ලංකාවේ ඉපදුනේ කියනවා
9853066883	තායිලන්තයේ පාලක පක්ෂය
985310b5e9	ribbon embroider
9853bbc7f9	දුන්නහම හින්දි වුනත්
9853e86174	ඇල්පිටිය ඇල්ල ශාසනචන්ද්‍ර මහ විද්‍යාලයේ වන වසරේ අධ්‍යාපනය ලැබූ
98552d6566	ඒත් මහා සෑය කියන්නේ
98557882c6	ඔබ කියන යම් යම් කාරණා වලට
98557a3b34	එහිදී පුද්ගලයන් වෙත
9856f4a6af	එහෙත් ඔවුන් අතර විසඳාගත නොහැකි ප්‍රශ්නයක් මතු විය
9857004241	තමනට හැකි අයුරින්
9858525191	කොහොමද එහෙම දෙයක් වුණේ
98595bc5e9	යමෙක් මෙලොව මිනිසත් බව ලබා
9859c1ed13	මිනිසුන්ගේ සංස්කෘතිය
985b24a790	ධනය බලය පමණක් නොව
985b6c9b3f	දන් වළඳා
985c1a2efe	හරිහැටි දැන අවබෝධ කර ගැනීම
985c5b4156	අම්මාට තාත්තාට දුවට පුතාට ආදී වශයෙන්
985c916abe	මෙයින් උන්වහන්සේ අනාගත ලෝකයාටම
985d050a1e	ගේම එපාම උනා
985d599763	උපසිරස කරන්න ලැබුණු අවස්ථාව
985da98331	එය ඉතාම අල්ප වූ දෙයක්.
985ebb4d53	බ්ලොග් එකට වැඩි පිරිසක් එනවා නම් හොඳයි
9860086b83	අද හිතලුවන් අනාගතයේ සත්‍ය වනු ඇත
98622012be	ඉන්න හොඳම කෙනෙක්
9862363381	හොඳට කතා කරනවා
9862410eff	බෞද්ධ ප්‍රතිපත්තීන් මත සැකැසුණු
9862a51614	අවශ්‍යතා අසීමිත වන්නේ
9862d1efc7	ඒත් මේ කොපි උනාට
9862e0c437	සොළොස්මස්ථානාධිපති පූජ්‍ය වේඩරුවේ උපාලි නායක
9863551e51	නොපමාව අධ්‍යාපන අමාත්‍යංශයට දැනුම් දෙන්න
98636cafe2	මේකෙන් එළියට එන්න නම්
986380008c	කෝපි මල් අහුරක් තියා
9864bf04ba	අත්අඩංගුවට ගෙන නොතිබිණි.
9864da6ccf	wanasa
9865b74071	හේතූන් හෙවත් සිදුරු වසා දැමීමයි.
9865c39780	වෙනුෂා දියණියට අත්වූ ඉරණම ගැන
986671a07d	වගා කරලා නෙමෙයිද ගන්නේ?
9866d114a5	සමාජ සන්නිවේදනය සදාචාරාත්මක විවරණය
9867831754	වයෝවෘධ තපෝවෘධ හිමිනම
98679f4f55	දෙසූ බණ අසා අසීමිත
9867ea165f	ලංකාදීප චිරාත් කාලයක් යෙහෙන් වැජඹෙන්නේ
98681093c3	වන්නේ ත්‍රිලක්ෂණයයි.
986825f80e	සිංහල හෝඩිය අකුරු අනන්තය
98690102e9	ගල් අටුවේ පියස්සේ
986906c9bf	මේ හේතුවෙන්
9869271aaf	අනතුරුව මෙම ඔට්ටුව ගැන
98693d50c0	බුද්ධත්වය ලබා ගැනීමෙන් අනතුරුව ද
986a516bbb	ස්වාමීනී ආරංචි වෙනකොට මං හොයලා බලනවා
986ad8db7a	අපි අමතර ආදායමක් ලබා ගන්න
986b0e98d0	ආයේ බලන්න ඕනා
986b7725f3	බෙදා හදා ගැනීම
986b9cb1f1	මම ලැබූ අත්දැකීම් අනුව
986c047db7	පෙනෙන්නට තිබේ
986c1327a1	රැකියාවල නියුතු අයට යහපත්වන අතර
986c715b25	උපතින් පසුවය යන්නත් ඊට ඇතුළත්
986cf7dbc8	එනම් මිනිසාගේ ආයු පිරිහී යන විට
986d8ea832	කඩන පුද්ගලයන්ට නිසි දඬුවම් පැනවීමයි
986e548d82	එකදු වදනක් හෝ
986e55324f	ස්ථිරවම කිව නොහැකිය.
986f02e32a	අංශ දෙකකින් බැලීමේ හැකියාව තිබේ.
986fe7a5ce	මහායාන දහම වඩාත් නම්‍යශීලී සහ ස්වාධීන වෙයි.
987006bca2	රට වටේම ඇවිදල ගෙදර
98701cf538	මාසයකින් පසු කරන ලෙස
98703a9f64	කල්පනාවෙන් වැඩ කරන්න ඕනේ.
9870439095	හැබැයි මෙයාගේ වේදිකා නාට්‍යයේ නම්
9870a5505c	සැප පහසුව වගේම
98711464cd	එක්සත් ජාතීන්ගේ රාමුව රැකගන්න එක
98714057a8	එයා හම්බ කරන දේවල් වලින්
98714300ba	එක්සත් ජාතික පක්ෂය නිර්මාණය කළ
987312967d	එළුවෙක් වෙලා උපන්නා.
98735b7876	අනික මම එහෙම කළොත්
987378e373	එහේ හෝටල් පහසුකම් නැහැ
98737fa7ae	එදත් බේබදුකම නිසා
9874974788	විත්තිකරු කොට කලිසමක් හා සුදු ටී ෂර්ට් එකක් ඇඳගෙන
9874bc1829	ඇයි අප්පා මේ සේනාවක් හදන්න යන්නේ.
9875f7af61	බුදුරජාණන් වහන්සේ මේ දෙනම දෙස
9875f8772b	ඔබ දිගින් දිගටම ෆොන්සේකත් එක්ක වැඩකරන්න යෑම ගැන?
98760f2848	එතැන යමක් හැදෙන්නේ නැතිනම්
9876129867	එම පෞරාණික උරුමය පිරුණු කළුගල් ඇල්ලූ
98763aa033	නමුත් ඔය ලොකු සීන්
98763e00d2	මේකට බොහොම ස්තුතියි නැවතත්
9876c6e9be	හාමිනේගෙ උපන්දිනේ අමතක කරලා
9876dbf202	සිදුවන්නේ ඒවායෙහි ගුණාත්මක තත්වය
98772ae901	මැනැවින් අතුරන ලද්දේ ය.
9877f0a5c9	එක එක අය ලියන විදියට ලියන්න
987885cf7d	හිසෙහි තැබූ මැටි පිඩු සත්කඩකට පැලී ගියේය.
9878d83b27	විශාල ධර්ම සාහිත්‍යයක් ද වේ
9878e32ba5	පොල් ගෙඩි වැටෙන්නේ අර රේඛාව පොළොවට
98792677b5	මම බුදු ගුණ සිතල
987927c3b6	අපගේ රටවල අර්බුදය උග්‍ර වී ඇත
9879e4b04f	ඒක තමයි අවබෝධ කරන්නෙ.
987a389604	ඒ උදවිය තමයි.
987a67ef57	අද වන විට සිංහරාජ අඩවියේ
987a6c96ea	පෝලිමේ යා යුතු අවස්ථාවල
987a789819	අයෝනිසෝ මනසිකාරය වැඩෙයි.
987b07507f	පංචධනානි සද්ගුණවත් ධනවතෙකු හඳුනාගත හැකි ය.
987c00b2e0	මගේ පුතාට කියාදෙන්න බහුතර මනුෂ්‍යයෙකුම සත්‍යවාදී හා සර්ව සාධාරණ නොවන බව.
987c0c58be	ඒ අය රටේ නීතියට අනුවත් වැරදියි.
987c1e52db	ඒ හතේ පන්තියේ දී විතර වෙන්න ඕනෑ.
987c2136c3	සාමාන්‍ය කෙනෙකුට ඒක අගුණ වෙන්නත් පුළුවනි.
987d36b04d	ඔබට ගෑනු කෙනෙක් දැක්කහම
987d5d2616	කළු නෙවෙයි නේ කියන්නේ
987da1d3bf	පිහිටා ඇත්තේ ද හවායි දූපත් සමූහයේය
987dd03ce6	ගෙනෙන්නේ නැති කොට.
987dda9c86	cat
987e8a5225	මෙතන ලොකුම වරද තමයි වැරදි අච්චු ගසා බෙදා හැරීම.
987ebdd4cc	ජයමංගල ගාථා ලියා ඇති වෘත්තය
987ec79cfc	ඔය පිංතූරෙ ඉන්න
987f287394	අපට නැගිටින්න බැරි වන්න පුළුවන්
987f95dcc4	එකම මාළුවෙක් වත් ඇම ගිලින්න ආවේ නෑ.
987fbd3241	ගෙනදෙන අතර
9880003d7c	තුන් වෙනි දරුසිඟිත්තා
988024ad45	ඇතමෙක් හඳුන්වති.
98805029d2	ඉවාන් බටු උයන හැටි කෙසේ වෙතත්
9880b05b7a	බඳවා ගැනීමට හැකි බව
9880c2311c	බලා‍පොරොත්තු වූ අදහසක්
98810c9abf	අල් කයිඩා සංවිධානය න්‍යෂ්ටික අවි නිපදවනවා කි‍යල
988139677f	ආගමික සභාව කෙරෙහි ඇති
988148be19	වත්ත පල්ලෙහා ගසකින් කපා ගන්නා ලද
9881dacf31	ගනුදෙනුකාර පිරිමියා වුවද
9881f4ad48	නමක් නැහැ.
9881fe273b	singhala song
98820756fc	ඉතින් යම් වැරැද්දක් අතපසුවීමක් වෙලා නම්
988260e69f	සොබාදහමේ සුන්දරත්වය මැනවන් ගැලපී යනවා.
988273962a	අලුතින් පදිංචි වූ පුද්ගලයින්ට ජීවනෝපායන්
9882766e2e	බිරිඳගෙ කීමට ගොවියා හැන්සල්වයි ග්‍රේටල්වයි කැලේට අතරමං කරලා එනවා
9882b39b30	එලෙස ශීත, උෂ්ණයෙන්
9882e125e1	බිහිවන සමාජය වඩා යහපත් වන්නේ.
98832e0ce0	එහිදී එතනට පැමිණෙන
98838ba334	ස්වර්ණ පුස්තකයට නවකතා ලියනවා වගේ
9883c04164	අද පිළිගැනීම තියෙන්නේ
9883dd4299	ඔය අතරෙ මීනක්ෂිට
988462122b	ඔවුන් කැදෙව්වාට
9884d3d8c9	මැනැවින් ධර්මය හැදෑරූ
9884d5cdbd	අවුරුදු හතළිස් පහක් බෙදුවා.
9885005593	මාර්කට් වෙච්ච බව තමයි
988501315d	බුදුරජාණන් වහන්සේ හඳුන්වා දුන්
9885285886	අමුම අමු ‘තුප්පහියෙක්’.
98857f7ffa	අසීමාන්තික. දීර්ඝ කාලීන බලය
9885c16e84	එහි වූ රොන්මඩ ආදිය ව්‍යුහයේ ඉහත්තාවේ තැන්පත් වේ.
9885c777d9	coffee break arcade
9885f46b7f	කෙල්ලන්ගෙන් ලකුනක් කාරිය දාගන්න ඕනා
9886071168	අඳින ඇඳුම්
98860da668	ප්‍රතිකාර සඳහා මෙම රෝහලට ඇතුළත් කළා
988648f5b4	categories
9886a9d9b2	එක් කෘතියක් වූයේ ධම්මපදයයි.
988718d96c	සුවපත් කරන්න
988766b4eb	වෙනත් ලෝකයකි.
9888023230	නන්දිකඩාල් කලපුවට යනකම් අපි ගියේ තනියමනෙ.
988814cc85	ගුණසේන සමාගමේ කර්තෘ වුණ ගුණසේන මහත්මයා
98884cb3f5	විශ්වාස කෙරෙන බවයි බලධාරීන් පවසන්නේ.
9888973ebb	දන්නේ නෑ උගන්නන්නේ
9888f5259f	යම් කිසි මුදලක් ඉතිරි කර ගැනීමට ද හැකි වන වසරක් වේ.
988a2e78a5	milk snake
988a8adeed	හිටපං බං කියලා.
988af42a07	කඳුලු වැටෙන
988b131929	උදාවූ නිසා ඇමරිකාවේ පිලිසරණ පැතුවා.
988b30cd0f	කපා ගත්තොත් නරකද?
988bbb7d57	බුදුරජාණන් වහන්සේ පෙරවරු කාලයේ දී
988c3a5e5e	අපිට බය සිතුනද
988c99acb8	නැති නිසා නිකන් සෝකේ වගේ.
988ce02cee	ලගම ඉන්න ප්‍රශ්නය දිහා බලමු
988d1548cb	බුදුන් වහන්සේගේ පුද්ගල පෞරුෂය උත්කර්ෂයට නගා තිබෙනවා.
988d56f08a	හරිද වැරදිද කියන එක වැඩක් නෑ.
988ded9b87	ඔය මොන උප්පර වැට්ටි දැම්මත් බෑ හලෝ
988e89ff6c	නමුත් ගව ඝාතනයට විරෝධය නොදක්වයි.
988ea0b889	ලග්න ගත රවි ගුරු ප්‍රබල ග්‍රහ
988f26d27f	රුසියාවේ විශාලතම වාණිජ සහයකයා වන්නේ චීනයයි.
988fa0b1fd	එම විපාක වනාහී
988fb4f754	අගුලෙන් බැස දිය යට කිමිදී
988fe60bd6	බලන්නකෝ කවිය දීලා තියෙන්නේ
9890115389	ඉංගිරිසි අසැබි වදන්
98901756a9	ඒ අයව බලන්න එන අයව බලන්නයි.
